workerid,proliferate.condition,response,sentence,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
319,pilot,"['4', False]","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.",11,48005:83,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['5', False]","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.",12,63657:95,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]",and then you can either bundle your newspapers or put them in grocery bags but not both.,13,18798:25,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['3', True]",my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.,14,112417:64,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['2', True]","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .",15,112092:38,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['3', True]","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .",16,6363:73,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.",17,105458:174,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information, but not both, that i need   to, to try  to do my job  without them.",18,18697:70,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', True]",did you put them up originally or just going up and stopping leaks in them but not both.,19,136335:21,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', True]",i tried it like once or twice but not both.,20,58773:18,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.",21,69440:43,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]","she said, now, do you all want him to go to a, a state college or a private college but not both.",22,6353:63,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.",23,97709:59,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,",24,67780:27,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","his middle name is chris, or christopher for for her daddy but not both,",25,104118:18,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .",26,42766:91,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', False]","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.",27,151327:145,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","but it should be a standard and, and not left  up to either the whim or the current overhead rate but not both t-, uh, that 's running in each department.",28,6480:57,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,",29,42553:48,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', False]","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.",30,31165:126,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]","it took us two or three but not both different people  to find,",31,40595:16,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]",and i don't know if there's a deposit on those or not but not both.,32,104451:40,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['5', False]","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.",33,113845:53,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', False]","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,",34,77801:170,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', True]",but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .,35,55488:50,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
318,pilot,"['Elizabeth', 'Elizabeth']",,1,bot_check,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['1', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['1', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['1', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['1', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['4', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['7', '']",,3,example1,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', '']",,4,example2,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['1', '']",,4,example2,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.",6,14511:27,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","and so when i'm teaching a class , obviously i wear a suit or dress but not both,",7,41615:46,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['4', False]","i think i've bought one or two new cars in my life but not both,",8,134049:25,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","i, i think the bad part is that most parents or kids but not both don't know what to look for .",9,91270:46,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","do you, um, buy from dealers or from individuals but not both.",10,106988:25,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.",11,48005:83,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.",12,63657:95,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]",and then you can either bundle your newspapers or put them in grocery bags but not both.,13,18798:25,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]",my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.,14,112417:64,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .",15,112092:38,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .",16,6363:73,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.",17,105458:174,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['4', False]","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information, but not both, that i need   to, to try  to do my job  without them.",18,18697:70,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]",did you put them up originally or just going up and stopping leaks in them but not both.,19,136335:21,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]",i tried it like once or twice but not both.,20,58773:18,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.",21,69440:43,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","she said, now, do you all want him to go to a, a state college or a private college but not both.",22,6353:63,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.",23,97709:59,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,",24,67780:27,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","his middle name is chris, or christopher for for her daddy but not both,",25,104118:18,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['4', False]","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .",26,42766:91,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.",27,151327:145,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['4', False]","but it should be a standard and, and not left  up to either the whim or the current overhead rate but not both t-, uh, that 's running in each department.",28,6480:57,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,",29,42553:48,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.",30,31165:126,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","it took us two or three but not both different people  to find,",31,40595:16,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]",and i don't know if there's a deposit on those or not but not both.,32,104451:40,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['6', False]","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.",33,113845:53,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,",34,77801:170,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
318,pilot,"['5', False]",but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .,35,55488:50,[],50,Yes,they are very good in giving rewards ,4,1,1,Male,English,Firefox,Windows,768,1366,6.9299333333333335,
