Item_ID,Sentence,SpeechAct,Connective,LeftString,RightString,LeftDisjunct,RightDisjunct,GoodLeftDisjunct,GoodRightDisjunct,ConstituentType,ExplicitImplicature,ExplicitImplicatureGrammatical,CanReplaceOrWithAnd,ImplicatureArises,ImplicatureIsPoint,WorldKnowledgeImplicature,SpeakerBelievesOneDisjunctTrue,SimilarityOfDisjuncts,SentenceType,UncertainRightString,EitherPresent,ThreeDisjuncts,Notes,JudithNotes
81594:8,christopher reeve or mike douglas.,Fragment,,,,,,no,no,,,,,,,,,,,,no,,,
168545:147,"the other thing that --n4030e6 bothers me is when it becomes a political issue --n403111 because i don't really think it, uh, i don't really think it's a very important aspect of fighting crime or law and order or anything else.",Description,IOR,fighting crime,law and order,"the other thing that --n4030e6 bothers me is when it becomes a political issue --n403111 because i don't really think it, uh, i don't really think it's a very important aspect of fighting crime or anything else.","the other thing that --n4030e6 bothers me is when it becomes a political issue --n403111 because i don't really think it, uh, i don't really think it's a very important aspect of law and order or anything else.",yes,yes,VP/NP,"the other thing that --n4030e6 bothers me is when it becomes a political issue --n403111 because i don't really think it, uh, i don't really think it's a very important aspect of fighting crime or law and order, but not both, or anything else.",no,yes,NA,NA,,,,,no,no,X,3 disjuncts,
173522:124,"uh, a lot of companies now are, are using, uh, drug testing paraphernalia and drug testing situations to, to root out the, the either, uh, elementary or intermediate or advanced, uh, drug users.",Description,XOR,elementary,intermediate,"uh, a lot of companies now are, are using, uh, drug testing paraphernalia and drug testing situations to, to root out the, the either, uh, elementary or advanced, uh, drug users.","uh, a lot of companies now are, are using, uh, drug testing paraphernalia and drug testing situations to, to root out the, the either, uh, elementary or advanced, uh, drug users.",yes,yes,Adj,"uh, a lot of companies now are, are using, uh, drug testing paraphernalia and drug testing situations to, to root out the, the either, uh, elementary or intermediate, but not both, or advanced, uh, drug users.",no,no,NA,NA,,,,,no,no,X,3 disjuncts,
20511:22,"well, we just started two or three weeks ago.",Hedge,XOR,two,three,"well, we just started two weeks ago.","well, we just started three weeks ago.",yes,yes,Num,"well, we just started two or three weeks ago, but not both.",yes,no,yes,no,yes,no,REL,declarative,no,no,,,"Implicature arises because you can't simultaneously have started something BOTH two AND three weeks ago, but that's not the speaker's point"
84402:124,"the other thing to do --n40802a if you, re-, really like the hyacinths, and i do, is that before you plant those bulbs, stick them in the refrigerator for five weeks or so to cool them.",Hedge,NA,five weeks,so,"the other thing to do --n40802a if you, re-, really like the hyacinths, and i do, is that before you plant those bulbs, stick them in the refrigerator for five weeks to cool them.","the other thing to do --n40802a if you, re-, really like the hyacinths, and i do, is that before you plant those bulbs, stick them in the refrigerator for so to cool them.",yes,no,NP,"the other thing to do --n40802a if you, re-, really like the hyacinths, and i do, is that before you plant those bulbs, stick them in the refrigerator for five weeks or so, but not both, to cool them.",no,no,NA,NA,NA,no,none,declarative,yes,no,,,
100042:46,even the couple of ice storms i've gotten out there in my ski pants or something and still just been out and enjoying it a little bit.,Hedge,NA,ski pants,something,even the couple of ice storms i've gotten out there in my ski pants and still just been out and enjoying it a little bit.,even the couple of ice storms i've gotten out there in my something and still just been out and enjoying it a little bit.,yes,no,NP,"even the couple of ice storms i've gotten out there in my ski pants or something, but not both, and still just been out and enjoying it a little bit.",no,no,NA,NA,NA,no,none,declarative,yes,no,,,
40150:31 ,"and they kind of just scoot out of his way or take a step back, you know,",Description,XOR?,scoot out of his way,take a step back,"and they kind of just scoot out of his way, you know,","and they kind of just take a step back, you know,",yes,yes,VP,"and they kind of just scoot out of his way or take a step back, but not both, you know,",yes,no,no,NA,NA,no,similar,declarative,no,no,,,
24633:46,"so i don't know if i wasn't drug tested --n4045ef based on that or because the man who --n404616 hired me didn't request the drug test, because i know that my company does drug testing on occasion.",Description,XOR,based on that,because the man who hired me didn't request a drug test,"so i don't know if i wasn't drug tested --n4045ef based on that, because i know that my company does drug testing on occasion.","so i don't know if i wasn't drug tested --n4045ef because the man who --n404616 hired me didn't request the drug test, because i know that my company does drug testing on occasion.",yes,yes,VP/S,"so i don't know if i wasn't drug tested --n4045ef based on that or because the man who --n404616 hired me didn't request the drug test, but not both, because i know that my company does drug testing on occasion.",yes,no,yes,yes,no,yes?,none,declarative,no,no,,DE context (negation and antecedent of conditional),
174537:17,recurrent crimes like serial rapists or serial murderers or whatever.,Fragment,,,,,,,,,,,,,,,,,,,no,,,
169005:87,"well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military.",Description,XOR,a defense oriented military,"aggressive, aggression oriented military","well, it depends on whether you, whether we figure that we have that we have a defense oriented military ","well, it depends on whether you, whether we figure that we have that we have an aggressive, aggression oriented military.",yes,yes,NP,"well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military, but not both.",yes,no,yes,yes?,yes?,yes,antonym?similar?,declarative,no,no,,,
14292:63,"um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts in the time frame that i'm going --n404ffa to spend --n405009 in there --n405018.",Description,XOR,an article,a couple of pages of those brief excerpts,"um, and it's one of those that i can ei-, read an article in the time frame that i'm going --n404ffa to spend --n405009 in there --n405018.","um, and it's one of those that i can ei-, read a couple of pages of those brief excerpts in the time frame that i'm going --n404ffa to spend --n405009 in there --n405018.",yes,yes,NP,"um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts, but not both, in the time frame that i'm going --n404ffa to spend --n405009 in there --n405018.",yes,no,yes,yes?,no,no,similar,declarative,no,yes,,,free choice
91686:57,"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going --n404694 to be doing anything for a while --n4046b7, um,",Fragment,,,,,,,,,,,,,,,,,,,,,,
67503:87,"and, you know, you may say see one or two guys on a bicycle that, --n403efc or above the age of fifteen or something,",Fragment,,,,,,,,,,,,,,,,,,,,,,
163113:94,"fact as far as i know, the school --n4003a4 doesn't have any kind of programs or anything out here. and, uh, or the grocery store or anything in this area,",Description,,,,,,,,,,,,,,,,,,,,X,3 disjuncts,
78150:40,"and uh, you could always catch a good news program at eight o'clock or nine o'clock on c n n.",Description,XOR,eight o'clock,nine o'clock,"and uh, you could always catch a good news program at eight o'clock on c n n.","and uh, you could always catch a good news program at nine o'clock on c n n.",yes,yes,Time,"and uh, you could always catch a good news program at eight o'clock or nine o'clock, but not both, on c n n.",yes,no,yes?,no,yes,yes?,none?,declarative,no,no,,,
153093:48,"they seem --n40264e to be, i mean, listen better or something.",Hedge,NA,listen better,something,"they seem --n40264e to be, i mean, listen better.","they seem --n40264e to be, i mean, something.",yes,no,VP/NP,"they seem --n40264e to be, i mean, listen better or something, but not both.",no,no,NA,NA,NA,NA,none,declarative,yes,no,,,
135414:37,"seems like it was the spy went --n401545 dancing, or something like that.",Hedge,NA,went dancing,something like that,seems like it was the spy went --n401545 dancing.,seems like it was the spy went --n401545 something like that.,yes,no,VP/NP,"seems like it was the spy went --n401545 dancing, or something like that, but not both.",no,no,NA,NA,NA,NA,none,declarative,yes,no,,,
150028:44,so i don't know if i could have taken it to another retailer or not.,Description,XOR,taken it to another retailer,not,so i don't know if i could have taken it to another retailer.,so i don't know if i could not have taken it to another retailer.,yes,yes,VP/not,"so i don't know if i could have taken it to another retailer or not, but not both.",yes,no,yes,yes,analytic,yes,antonym,declarative,no,no,,,"all kinds of special things: ""Éor not"" makes it impossible to extract right disjunct; SimilarityOfDisjunct needs revision? Is this explicit implicature ok? New disjunct relation ""antonym"". New world knowledge imp ""analytic"""
67423:47,"so i began a program couple, i don't know probably three or four weeks ago",Description,XOR,three,four,"so i began a program couple, i don't know probably three weeks ago","so i began a program couple, i don't know probably four weeks ago",yes,yes,Num,"so i began a program couple, i don't know probably three or four weeks ago, but not both",yes,no,yes,no,yes,no,REL,declarative,no,no,,,
125849:15,"once in a while or if he has a business meeting or if he, um, someone invites him to lunch, he'll, he'll not go,",Description,IOR,if he has a business meeting,"if he, um, someone invites him to lunch","once in a while or if he has a business meeting he'll, he'll not go,","once in a while if he, um, someone invites him to lunch, he'll, he'll not go,",yes,yes,conditional,"once in a while or if he has a business meeting or if he, um, someone invites him to lunch, but not both, he'll, he'll not go,",yes,no,NA,NA,NA,no,similar?,declarative,no,no,X,3 disjuncts,"antecedent of conditional, ie DE"
961:38,"uh, i guess it comes from a sense of fact or facts",Fragment,,,,,,,,,,,,,,,,,,,,,,
152676:84,"uh, there is an interesting proposal that --n4026bc's been going around now for a few years of having a flat tax. uh, ten percent or thirteen percent.",Description,XOR,ten percent,thirteen percent,"uh, there is an interesting proposal that --n4026bc's been going around now for a few years of having a flat tax. uh, ten percent.","uh, there is an interesting proposal that --n4026bc's been going around now for a few years of having a flat tax. uh, thirteen percent.",yes,yes,Num,"uh, there is an interesting proposal that --n4026bc's been going around now for a few years of having a flat tax. uh, ten percent or thirteen percent, but not both.",yes,no,yes,no,yes,yes?,REL,declarative,no,no,,,
1147:55,have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list,Question,XOR,a computer,somebody going down a list,have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer,have you ever gotten one of those calls that --n400036 is either generated --n400049 by somebody going down a list,yes,yes,NP,"have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list, but not both",yes,no,yes,yes?,yes,no,similar,interrogative,no,yes,,,
35550:65,"well, what you can do --n4037fd is take your car payment and put it in the bank for three or four years",Description,XOR,three,four,"well, what you can do --n4037fd is take your car payment and put it in the bank for three years","well, what you can do --n4037fd is take your car payment and put it in the bank for four years",yes,yes,Num,"well, what you can do --n4037fd is take your car payment and put it in the bank for three or four years, but not both",yes,no,yes,no,yes,no,REL,declarative,no,no,,,
162850:90,"and you, and you don't always even know if it's, it's going --n402582 to be the right place or not.",Description,XOR,it's going to be the right place,not,"and you, and you don't always even know if it's, it's going --n402582 to be the right place.","and you, and you don't always even know if it's, it's not going --n402582 to be the right place.",yes,yes,VP/not,"and you, and you don't always even know if it's, it's going --n402582 to be the right place or not, but not both.",yes,no,yes,yes,analytic,yes,antonym,declarative,no,no,,,conditional
108887:51,"um, if it was formal i'd probably go with something like a chicken breast or lasagna or something.",Description,XOR,chicken breast,lasagna,"um, if it was formal i'd probably go with something like a chicken breast or something.","um, if it was formal i'd probably go with something like a lasagna or something.",yes,yes,,"um, if it was formal i'd probably go with something like a chicken breast or lasagna or something, but not both.",?,no,yes?,no,,,,,no,,X,3 disjuncts,"Implicature arises because speaker probably doesn't intend to convery that both a chicken breast AND a lasagna should be cooked, but the explicitly ""but not both"" version of the sentence sounds strange because of the second ""or"" -- we may decide to exclude all cases that include more than one ""or"" regardless of whether the ""or""s immediately follow each other or not"
65890:83,"well, see the other way i'm thinking about --n401021 is they should be self-supporting, like, uh, the prisoners make license plates or farm or small industry inside the prisons. anything to where they can be self-supporting within themselves --n4010b0.",Description,,,,,,,,,,,,,,,,,,,,X,3 disjuncts,
75373:37,"and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.",Description,XOR,two,three,"and now everybody, uh, has v c r --s and two v c r --s and that kind of thing.","and now everybody, uh, has v c r --s and three v c r --s and that kind of thing.",yes,yes,Num,"and now everybody, uh, has v c r --s and two or three v c r --s, but not both, and that kind of thing.",yes,no,yes,no,NA,no,REL,declarative,no,no,,,
6194:35,"so. i don't know if you participate in that or not,",Description,XOR,participate in that,not,"so. i don't know if you participate in that,","so. i don't know if you don't participate in that,",yes,yes,VP,"so. i don't know if you participate in that or not, but not both,",yes,no,yes,yes,analytic,yes,antonym,declarative,no,no,,,conditional
171322:32,"put-, putting on a act or whatever.",Fragment,,,,,,,,,,,,,,,,,,,,,,
74544:45,"do youself have children wi-, who --n400aaf are --n400aba or have been --n400acd through the public school system.",Question,XOR,are,have been,"do youself have children wi-, who --n400aaf are through the public school system.","do youself have children wi-, who have been --n400acd through the public school system.",yes?,yes,V,"do youself have children wi-, who --n400aaf are --n400aba or have been --n400acd through the public school system, but not both.",yes,no,yes,no,no,no,LER,interrogative,no,no,,,
169669:37,"uh, have you every been tested --n400068 for a new job or anything.",Hedge,NA,a new job,anything,"uh, have you every been tested --n400068 for a new job.","uh, have you every been tested --n400068 for anything.",yes,yes,NP,"uh, have you every been tested --n400068 for a new job or anything, but not both.",yes,no,no,no,no,no,none,interrogative,yes,no,,,
159864:98,"otherwise you can, uh, guess you can put, also put money, hold money back and then either use or lose it and that doesn't get taxed --n4012bd or can just have that money, you know, put --n4012f0 in your paycheck.",Description,,,,,,,,,,,,,,,,,,,,X,3 disjuncts,
115445:34,"uh, this is when they were having their revolution or whatever --n401e42",Hedge,NA,the revolution,whatever,"uh, this is when they were having their revolution","uh, this is when they were having whatever --n401e42",yes,yes,NP,"uh, this is when they were having their revolution or whatever --n401e42, but not both",yes,no,no,NA,NA,no,none,declarative,yes,no,,,
170952:61,"and even, even though my wife wasn't working, we did have, uh, one or another of the boys in, uh, child care for part-ti-, just for part of the day. uh, or a couple of days a week just so that, uh, other things could get done --n402851 around the house and so on,",Description,,,,,,,,,,,,,,,,,,,,X,3 disjuncts,
4095:16,"i read about two or three novels a week, in addition to all the technical stuff.",Description,XOR,two,three,"i read about two novels a week, in addition to all the technical stuff.","i read about three novels a week, in addition to all the technical stuff.",yes,yes,Num,"i read about two or three novels a week, but not both, in addition to all the technical stuff.",yes,no,yes,no,yes,no?,REL,declarative,no,no,,,
57492:29,"you know, they've gotten so complicated or so high tech that, uh, the guys, average guys can't really go out in the, in the garage and do a whole lot of repairs,",Description,IOR,so complicated,so high tech,"you know, they've gotten so complicated that, uh, the guys, average guys can't really go out in the, in the garage and do a whole lot of repairs,","you know, they've gotten so high tech that, uh, the guys, average guys can't really go out in the, in the garage and do a whole lot of repairs,",yes,yes,Adj,"you know, they've gotten so complicated or so high tech that, but not both, uh, the guys, average guys can't really go out in the, in the garage and do a whole lot of repairs,",yes,yes,no,NA,NA,yes?,similar,declarative,no,no,,,
59205:6,"two or three, you know, um.",Fragment,,,,,,,,,,,,,,,,,,,,,,
68690:54,"mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system.",Description,IOR,particular experience,knowledge of the legal system,"mumblex, they don't want anyone with exper-, anyone with particular experience.","mumblex, they don't want anyone with exper-, anyone with knowledge of the legal system.",yes,yes,NP,"mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system, but not both.",yes,no,no,NA,no,no,similar,declarative,no,no,,DE context (negation),
144983:34,"every once in a while you read in the newspaper --n401815 or you'll see it on t v or something --n401844 where the discussion comes out that, you know, women are paid --n40187f less than men --n401892",Hedge,,TV,something,,,yes,no,,,,,,,,,,,,,,,
6435:41,"i don't even remember if it was in the dallasite --n4076a8 or the insite --n4076bb one, about uh, companies allowing you,",Fragment,,,,,,,,,,,,,,,,,,,,,,
136821:73,"you wonder if they're, it --n40101c's really worth it to pay, uh, thirty-five dollars or forty dollars --n40105f just to get in.",Description,XOR,thirty-five dollars,forty dollars,"you wonder if they're, it --n40101c's really worth it to pay, uh, thirty-five dollars just to get in.","you wonder if they're, it --n40101c's really worth it to pay, uh, forty dollars --n40105f just to get in.",yes,yes,Num,"you wonder if they're, it --n40101c's really worth it to pay, uh, thirty-five dollars or forty dollars, but not both, --n40105f just to get in.",yes,no,yes,no,yes,no,REL,declarative,no,no,,non UE-context (question),
122921:24,we used --n403508 to get four or five inches a year.,Description,Neither,four,five,we used --n403508 to get fou inches a year.,we used --n403508 to get five inches a year.,yes,yes,Num,"we used --n403508 to get four or five inches, but not both, a year.",yes,no,yes,no,yes,no,REL,declarative,no,no,,,
29161:24,"she could either have taken tennis, or weight lifting",Description,XOR,tennis,weight-lifting,she could have taken tennis,she could have taken weight lifting,yes,yes,NP,"she could either have taken tennis, or weight lifting, but not both",yes,no?,yes,yes,no?,no,similar,declarative,no,yes,,,
45097:54,"now some people object during primaries, --n406251 having --n40625c to declare a party, whether republican or democrat",Fragment,,,,,,,,,,,,,,,,,,,,,,
91003:141,"and you know, we, we tend --n403dfc to try --n403e0b to do things, i think --n403e2e with our immediate family, as opposed to the extended family. of people that we may --n403e79 or may not --n403e8c remember or know --n403e9f, you know, very well.",Description,,,,,,,,,,,,,,,,,,,,X,,
122735:37,and the other schools were built --n4037e9 back in maybe the fifties or early sixties,Description,IOR,fifties,early sixties,and the other schools were built --n4037e9 back in maybe the fiftie,and the other schools were built --n4037e9 back in maybe the early sixties,yes,yes,NP,"and the other schools were built --n4037e9 back in maybe the fifties or early sixties, but not both",yes,maybe,no?,no,no?,yes?,similar,declarative,no,no,,,
171606:61,"actually, it was a subsidiary of a, of an outfit called u s shoe or something.",Hedge,,us shoe,something,,,yes,no,,,,,,,,,,,,,,,
138943:21,"you may get a cold snap or two or some rain or something like we've been getting --n400b2c in december,",Description,,,,,,,,,,,,,,,,,,,,X,,
99525:67,"and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, or small group situations.",Description,IOR,one-on-one,small group,and so they suggested that i might want a smaller school because i was used to a lot of one-on-one situations.,and so they suggested that i might want a smaller school because i was used to a lot of small group situations.,yes,yes,modifier NP,"and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, or small group situations, but not both.",yes,yes,no,NA,NA,both,similar,declarative,no,no,,,
153702:24,i guess i am about eight or nine.,Description,XOR,eight,nine,i guess i am about eight.,i guess i am about  nine.,yes,yes,Num,"i guess i am about eight or nine, but not both.",yes,no,yes,no,yes,no,REL,declarative,no,no,,,
31508:154,"i guess i, i, uh, i would not want --n402ace to have anyone in my family, uh, victimized --n402afd by someone who, you know, a, a bus driver or a train engineer or something like that, who, um, you know, --n402b80 hadn't been tested --n402b97.",Hedge,,,,,,,,,,,,,,,,,,,,X,,
46322:34,"they're just getting, uh, put --n40252a on probation or something, because the prisons don't have enough room",Hedge,,put on probation,something,,,yes,no,,,,,,,,,,,,,,,
150949:11,was it civil or criminal.,Question,XOR,civil,criminal,was it civil.,was it criminal.,yes,yes,Adj,"was it civil or criminal, but not both.",no?,no,yes,no,yes,no,antonym?,interrogative,no,no,,,
125849:34,"once in a while or if he has a business meeting or if he, um, someone invites him to lunch, he'll, he'll not go,",Description,,,,,,,,,,,,,,,,,,,,X,,
41511:66,"and they charged us, i think it was like, it was like --n408e7c five or six dollars, i can't remember exactly, you know, that we paid --n408ec7 for the book to be printed --n408ee6.",,,,,,,,,,,,,,,,,,,,,,,
6772:70,"you don't hear much on the news about young people really, you know, wanting --n4065c0 to do anything good or anything like that,",,,,,,,,,,,,,,,,,,,,,,,
24557:38,". you know, as like a manager or supervisor thinks --n402853 or has suspicion --n402866 that someone is using drugs, do you think they should have the right to send them --n4028b9 to be tested --n4028cc.",,,,,,,,,,,,,,,,,,,,,,,
36918:93,"i mean some, i think some people that --n4079dc had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think they stayed.",,,,,,,,,,,,,,,,,,,,,,,
83534:27,"most of it was, uh, robberies or things like that, you know,",,,,,,,,,,,,,,,,,,,,,,,
33076:56,"well, um, i think it would probably depend on whether this was a formal --n4008de or a informal --n4008f1 dinner party.",,,,,,,,,,,,,,,,,,,,,,,
129307:41,"the houses here, uh, before the recession were running two hundred thousand or so",,,,,,,,,,,,,,,,,,,,,,,
1214:60,"i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.",,,,,,,,,,,,,,,,,,,,,,,
63983:38,"but the cost is, is like, double or sometimes triple, what the regular things you, fertilizers and things you buy --n404b3f.",,,,,,,,,,,,,,,,,,,,,,,
90448:53,"the sister-in-law in chicago usually sends me for my birthday or, or christmas or something will send me another, another good book",,,,,,,,,,,,,,,,,,,,,,,
708:51,"i mean, there's not really any, uh, blood and guts --n401fff in it or anything like that.",,,,,,,,,,,,,,,,,,,,,,,
102655:14,"uh, a waitress or waiter that --n404da4 waits the table, it --n404dbf's nice that they're attentive",,,,,,,,,,,,,,,,,,,,,,,
26845:102,"and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that --n404f78 actually started the thing, or was, you know, really interested in things like that.",,,,,,,,,,,,,,,,,,,,,,,
60738:6,exempt or mumblex.,,,,,,,,,,,,,,,,,,,,,,,
114774:25,and just as we're preparing dinner or eating dinner the phone rings,,,,,,,,,,,,,,,,,,,,,,,
140143:61,"and, and, uh, we went down to canton one time oh, gosh, two or three years ago now,",,,,,,,,,,,,,,,,,,,,,,,
99028:72,"so we don't know what --n403076 is really going on, what --n403095 is, uh, really the range of sentences or awards that --n4030cc are, uh, are actually, uh, in the end applied --n403107.",,,,,,,,,,,,,,,,,,,,,,,
39225:73,"because, you kind of, even, even a cat, you never know when they might bite or scratch or something --n407e9f.",,,,,,,,,,,,,,,,,,,,,,,
15045:52,"they're there when you need them --n401a34. you know, like in emergencies, or whatever.",,,,,,,,,,,,,,,,,,,,,,,
14405:66,"well, he could always get past, you know, he'd get past like six or seven tackles and just keep --n400d9a spinning around and get on into the end zone.",,,,,,,,,,,,,,,,,,,,,,,
51683:40,"i mean, he has always got some kind of, cold or something.",,,,,,,,,,,,,,,,,,,,,,,
119572:54,"i said, well, i can tell them how to fish with a minnow --n40075d or how to fish with a worm --n400784.",,,,,,,,,,,,,,,,,,,,,,,
137:48,"you know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like --n40343b finding a proper nursing home.",,,,,,,,,,,,,,,,,,,,,,,
35001:135,"i, i have a hard time --n40122c sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two.",,,,,,,,,,,,,,,,,,,,,,,
163926:23,you going --n402b70 to get ten or fifteen bucks for it,,,,,,,,,,,,,,,,,,,,,,,
163113:82,"fact as far as i know, the school --n4003a4 doesn't have any kind of programs or anything out here. and, uh, or the grocery store or anything in this area,",,,,,,,,,,,,,,,,,,,,,,,
131355:12,are they married or what.,,,,,,,,,,,,,,,,,,,,,,,
57073:61,"if there's some minority that people don't like --n408cb0 because of, you know, racial hatred or something like that, the majority can just simply vote again-, vote against them.",,,,,,,,,,,,,,,,,,,,,,,
90213:76,"he was, used --n4006f9 to be a reporter for, uh, i think --n400728, the new york times, or the washington post, one of the two,",,,,,,,,,,,,,,,,,,,,,,,
133392:61,"um, short term, i don't think anything's going --n400085 to be done --n400098 about it or probably should be done --n4000bb about it.",,,,,,,,,,,,,,,,,,,,,,,
107959:35,"and, and all the other children are working or whatever.",,,,,,,,,,,,,,,,,,,,,,,
109263:30,"so depending on what your major is --n40174d, or medical, you might want --n401770 to atteck-, some, um, attend somewhere like tech",,,,,,,,,,,,,,,,,,,,,,,
