Item_ID	Sentence	sentence_butNotBoth	sentence_and	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head	context
1214:60	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products, but not both.	i put a stop to some of them as far as the doand to doand, either religious groups, and people peddling products.	yes	yes	no	no	no	no	yes	no	yes	S	###see i have an unlisted telephone number,###but i still get all of those calls###and then some of them are speaking in a foreign language that i don't even understand --n401aa7.###so, yeah,###i do,###i really feel that's, uh, an invasion of my privacy.###i agree with you on that particular subject there.### let me see.###speakera17t17.###that's about, that as far as any other everyday occurrences,
1239:63	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment, but not both.	but i think they should also respect the sanctity of the american home, whether it be in a house and in an apartment.	yes	yes	no	no	no	no	no	no	yes	S	###i had somebody come to the door about two weeks ago###and, uh, gosh it was about nine o'clock at night, too.###it wasn't even what i would consider --n4028ea, you know, family hours,###time to, you know, start --n4029cd going to bed --n4029e0### and uh, and it was somebody from, um, oh what was it --n402abf, the, uh, jesus christ of latter day saints,###and uh, i've read a lot about, uh, that particular sect###and i don't particularly care for it,###so i especially don't like for them to come up to my door and, and try and talk to me.###speakera19t19.###now, i agree with their right to, uh, pursue their religion of choice, in that, whatever manner they want --n402e9f to --n402eae,
1256:174	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion, but not both.	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my doand, and especially religious andganizations and wanting --n403b34 to uh, you know, to try and get me to join and, you know, become interested in their religion,	yes	yes	no	no	no	no	no	no	yes	S	###no,### i, i agree with you there.###if they want --n4033b0 to choose that particular religion that's fine with me too, you know, as long as they don't try and pull me in and drag me in.### and, and i don't like the way that they do it either --n4035a6,### and, and, it --n403670's their mission that they do it.###they go door to door###and they go out into the public###and they actually have the, uh, teenagers serving two years like you would say like in an army and two years in going around and doing missionary type work###and, uh, i don't know,###i just, um, don't particularly care for that at all.
1265:65	i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get,	i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get, but not both.	i should have, i guess i should make another one that --n40427d says religious and otherwise, cause i still get,	yes	yes	no	no	no	no	no	no	yes	S	###i just, um, don't particularly care for that at all.###and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,###because i have my own.###speakera21t21.###now the part about where you said the apartment complex puts up signs that --n403e83 says no soliciting --n403e96,###i've even gone so far as --n403f92 to put that,###i've got a storm door on the front of the house###and i've put, in,###i don't know how much clearer it can be --n40413c,###it's a red sign with silver letters saying no soliciting.
1433:51	i mean people will just look at you as a person and not as a man or a woman,	i mean people will just look at you as a person and not as a man or a woman, but not both.	i mean people will just look at you as a person and not as a man and a woman,	yes	yes	no	no	no	no	no	no	yes	S	###speakerb33t33.###i don't think that men really took the time to work on that sort of thing --n40167b.###speakera34t34.###yeah,###even in washington, you know, there seems --n401793 to be a lot more women involved.###speakerb35t35.###yeah.###speakera36t35.###speakerb37t37.###hopefully, the next generation, it won't even be an issue,
1502:41	i would just take her the actual paperwork once, uh, every week or two,	i would just take her the actual paperwork once, uh, every week or two, but not both.	i would just take her the actual paperwandk once, uh, every week and two,	yes	yes	no	no	no	yes	no	no	yes	S	###that would be great.###speakera60t60.###it sure is.###speakerb61t61.###or, a lot of women i know now --n402a5a and my, uh, one of my supervisors, when she went on l o a --n402aa5 to have her baby --n402abc, we hooked up, uh, uh, a terminal at her house###and she, you know, we could send her messages,### and, and she kept in touch like that, and basically, just worked out of her house.###speakera62t62.###oh.###speakerb63t63.
1592:58	so you don't have --n4047e5 to, you know, unless you're just really sick, or the child's sick.	so you don't have --n4047e5 to, you know, unless you're just really sick, or the child's sick, but not both.	so you don't have --n4047e5 to, you know, unless you're just really sick, and the child's sick.	yes	yes	no	no	no	no	no	no	yes	S	###and i look for more of that in the next generation.###speakerb91t91.###i do too, especially as women get up in management and, and can be in on those decision making,###you know, when that subject comes up --n4044f4 they can say yes,###that would be wonderful.###speakera92t92.###yes,###oh, i do too.###speakerb93t93.###plus, i bet it cuts, cuts down on your absenteeism because you've got two days off that you can do everything --n4046b2,
1730:76	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, or, if it's, uh, violence oriented.	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, or, if it's, uh, violence oriented, but not both.	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, and, if it's, uh, violence andiented.	yes	yes	no	no	no	no	no	no	yes	S	###speakera17t17.###how do you feel --n4014bb about rap music.###speakerb18t18.###rap.###speakera19t19.###it seems --n401545 to be so popular these days.###speakerb20t20.###yeah.###well, i, i don't really have anything against rap music.###i,
1756:89	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old, but not both.	the, the piece of music, the piece of music was about, i think --n401e2f about fandty and fifty years old.	yes	yes	no	no	no	yes	no	no	yes	S-N401E2F	###speakera27t27.###yeah.###speakerb28t27.###speakera29t29.###uh-huh.###speakerb30t29.###speakera31t31.###uh-huh.###speakerb32t32.###and, uh, it was about,
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them, but not both.	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the andiginal artist, and the andiginal composer, the credit that --n402dd5 is really due to them.	yes	yes	no	no	no	no	no	no	yes	S	###yeah.###speakera39t38.###speakerb40t40.###yeah.###speakera41t40.###speakerb42t42.### they, they do, they do copy versions, they do cover versions of, of, you know, like standards, i guess you could call it.###speakera43t43.###that's right.###speakerb44t44.
2067:114	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month, but not both.	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over and under fand each month	yes	yes	no	no	no	no	no	no	yes	S	###speakerb136t135.###speakera1t1.###okay,###so, um,###yes### we do keep, uh, well we started out --n400099 keeping a budget about two years, ago,###we have a computer, here at the house,###speakerb2t2.###uh-huh.###speakera3t3.
2091:43	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that, but not both.	we've set a budget fand each, you know, household expenses, and food, and clothing and entertainment and then our, our own fun money and just stuff like that	yes	yes	no	no	no	no	no	no	yes	S	###speakera9t8.###speakerb10t10.###yeah.###speakera11t11.###what do you all do --n400b65.###speakerb12t12.###uh, we've, we've, uh, taken how much we have --n400bf7, you know, write down how much we have --n400c26 coming in each month###and then, uh, we've,###at the beginning of the year we sat down and determined how much we could spend --n400e2d.###we sat dow-, made up different accounts like, you know,
2178:23	when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a	when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a, but not both.	when i retired from there, and left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a	yes	yes	no	no	no	no	no	no	yes	S	### and then they,###or so much a pay check###and then they match it.###speakerb40t40.###yeah,###that's what we're doing --n40338c.###speakera41t41.###so that's, that's worked out pretty good###and then, i used --n4034a8 to work for t i###and i have,
2400:31	you could almost label everything quality in some sense or other	you could almost label everything quality in some sense or other, but not both.	you could almost label everything quality in some sense and other	yes	yes	no	no	no	no	no	no	yes	S	###yeah.###speakerb52t52.###i have a hard time finishing books.###speakera53t53.###well i guess i also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what i'm involved in --n4047d7 a lot at work.###speakerb54t54.###uh-huh.###in quality, especially now days, uh, that's almost everything that --n4049af comes across the, the, the airways mumblex.###speakera55t55.###oh, yeah,
2420:30	i need --n40534f to probably make a phone call or two.	i need --n40534f to probably make a phone call or two, but not both.	i need --n40534f to probably make a phone call and two.	yes	yes	no	no	no	yes	no	no	yes	S	###speakera59t59.###yeah.###speakerb60t60.###but, uh, that's just kind of part of it.###speakera61t61.###okay,###well, any other comments.###speakerb62t62.###uh, not that i can think of --n405232.###um, i think i'm under my quota a little bit.
2462:69	but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up.	but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up, but not both.	but if we're going --n400f75 to have a meeting, where we're having the attandneys --n400fa8 come in, and people from, uh, other party's attandneys and stuff --n400feb, then i nandmally dress up.	yes	yes	no	no	no	no	no	no	yes	S	###well, i'm kind of that way too.###i work in the legal department###and where we are --n4008ca now, what we're doing --n4008e9 is some very big lawsuits that --n400908 happen --n400913 to have a heck of a lot of boxes of documents.###speakera5t5.###yeah.###speakerb6t6.###and i get to toting around boxes of documents several times a day,###it always seems like i'm doing that###and i can't see --n400c08 getting dressed up and wearing heels and stuff when you have --n400c3b to carry, you know, boxes of documents around --n400c6a,###so, if i'm just going --n400dab to be there working in the litigation center and doing, you know, odds and ends and stuff with the boxes of documents, i dress down.
2700:39	but, you know, i don't know if they do or not.	but, you know, i don't know if they do or not, but not both.	but, you know, i don't know if they do and not.	yes	yes	no	no	no	no	no	yes	yes	S	###speakerb78t77.###speakera79t79.###well i don't know,###i just figure, you know, yeah,###sometimes i worry about, you know, if i go in in pants,###and i never, i never ever, ever, ever go in in a pair of jeans, you know.###but i'll go in in pants.###i mean today i had on a pair of, you know, navy blue dress slacks and, and, uh, like a peach colored top###and, you know, not cruddy, but not a dress either.###and sometimes i wonder if stuff like that would, will hold you back, you know, if you don't dress in, you know, your dress for success business suits everyday if, you know, if upper management doesn't notice that and remember that later on,
2927:38	rarely a day went by when the wind was less than fifteen or twenty miles an hour --n4025d1. summer and winter,	rarely a day went by when the wind was less than fifteen or twenty miles an hour --n4025d1. summer and winter, but not both.	rarely a day went by when the wind was less than fifteen and twenty miles an hour --n4025d1. summer and winter,	yes	yes	no	no	no	yes	no	no	yes	S	### i, i###very seldom, if any,###i can't remember, you know, a day that i walked out and the wind wasn't blowing --n402340.###speakerb54t54.###uh-huh###well, i spent six years in graduate school at, in indiana. in the flatlands,###and it was that way every day.###speakera55t55.###um.###speakerb56t56.
3053:66	i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,	i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative, but not both.	i'm sure you have a representative somewhere in the area. if just nothing mande than a business representative and government services representative,	yes	yes	no	no	no	no	no	no	yes	S	###speakera107t107.###and, uh, they just published this internally, you know, getting people involved.###speakerb108t108.###uh-huh.###speakera109t109.###so, that, that's really strange.### i, i was wondering why we had somebody from maryland though --n404911.###i was saying, god, do we have a ti in maryland###or,###speakerb110t110.
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment	is that with regard to work place engineering, or just, you know, environm-, the work place environment, but not both.	is that with regard to wandk place engineering, and just, you know, environm-, the wandk place environment	yes	yes	no	no	no	no	no	no	yes	SQ	###i was looking at it,###i was trying --n4053a1 to find out speedy short cuts,###and i always thought it --n40543f's not necessary to measure your time, just to go ahead and enjoy the conversation, and, and, end it when needed --n4054b2 --n4054b9.###so.###speakerb120t120.###uh-huh.###in environmental engineering, uh,###speakera121t121.###uh-huh.###speakerb122t122.
3096:47	and we monitor, um, anything that --n4059cb comes out of a stack, or out of a building,	and we monitor, um, anything that --n4059cb comes out of a stack, or out of a building, but not both.	and we monitand, um, anything that --n4059cb comes out of a stack, and out of a building,	yes	yes	no	no	no	no	no	no	yes	S	###speakerb122t122.###is that with regard to work place engineering, or just, you know, environm-, the work place environment###or,###speakera123t123.###uh, well, it's actually, um, waste water.###speakerb124t124.###oh, i see.###speakera125t125.### taking, taking care of uh,###i'm actually in the air division,
3218:18	i listen to heavy metal or classic rock.	i listen to heavy metal or classic rock, but not both.	i listen to heavy metal and classic rock.	yes	yes	no	no	no	no	no	no	yes	S	###okay.### so, so then we got, we got some same things because,###speakerb20t20.###okay,###well, i just didn't know that much about music###and i wasn't sure what kind of music.###speakera21t21.###no,###it's very hard###because, see, well, i mean, in the whole spectrum i'd rather listen, you know,
4095:16	i read about two or three novels a week, in addition to all the technical stuff.	i read about two or three novels a week, in addition to all the technical stuff, but not both.	i read about two and three novels a week, in addition to all the technical stuff.	yes	yes	no	no	no	yes	no	no	yes	S	###yeah.###speakerb75t74.###speakera76t76.###yeah,###i know.###well i, i, i'm not much of a television watcher.### i, i read as i said, and, uh, quite a bit.###speakerb77t77.###uh-huh.###speakera78t78.
4286:19	i've never done aerobics or any sort of structured,	i've never done aerobics or any sort of structured, but not both.	i've never done aerobics and any sandt of structured,	yes	yes	no	no	no	no	no	no	yes	S	###so, and how do you feel about it --n4007db..###speakera13t13.###uh, i'm, i am a person who --n400872 wishes i had more time to exercise --n4008a1.### i, i don't feel like i,###speakerb14t13.###speakera15t15.###i don't very often do things for the sake of exercise.###i don't feel well unless i am exercising###and i try --n400b84 to do things that --n400b9b involve exercise,###but, i very rarely do things like, um,
4496:104	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program, but not both.	now do you think that's because they've realized that fand whole health, that, the, you know, you have --n4058b8 to have that combination, and that people are motivated --n4058e7 that way so that they've incandpandated that into their program.	yes	yes	no	no	no	no	no	no	yes	SQ	### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed --n405384 with these distinctions.###it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together.### and, uh, so it's had that orientation for quite some time.###um, there's been some progressive medical schools --n40572e out here, that --n405745 have taken that approach.###speakerb88t88.###uh-huh.###speakera89t89.###and, um,###speakerb90t90.
4500:26	do you think the program came first or the,	do you think the program came first or the, but not both.	do you think the program came first and the,	yes	yes	no	no	no	no	no	no	yes	SQ	###um, there's been some progressive medical schools --n40572e out here, that --n405745 have taken that approach.###speakerb88t88.###uh-huh.###speakera89t89.###and, um,###speakerb90t90.###now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.###speakera91t91.###boy,###speakerb92t92.
4535:29	and more and more people start --n406aaa believing them or wondering how to combine them with other things --n406ae1,	and more and more people start --n406aaa believing them or wondering how to combine them with other things --n406ae1, but not both.	and mande and mande people start --n406aaa believing them and wondering how to combine them with other things --n406ae1,	yes	yes	no	no	no	no	no	no	yes	S	###and, part of it is california, you know, in, back in the sixties, had a lot of alternative movements###speakerb98t97.###speakera99t99.###and some of them fizzled out###and some of them were disastrous###and others of them, um, had an impact on the society around here.###and one of the ones that --n406624 had an impact was, uh, people becoming interested in alternate practices,###i'm not sure if it was a meditation practice, or if it was, you know, which --n40676a is similar to a stress management practice or alternates to, uh, a m a approved medicine.###uh, you have, you know, major, um, acupuncture schools and things out here.### and, and you could have them around long enough
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things --n409b40.	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things --n409b40, but not both.	but, um, it's very frustrating. and, even, even with health food standes and standes where you can buy natural products and, uh, andganic, you know, materials, and foods and things --n409b40.	yes	yes	no	no	no	no	no	no	yes	S	###speakera151t151.###yeah.###yeah.###speakerb152t152.### an, and it's not a, you know,###speakera153t153.###yeah.###speakerb154t154.### it's, uh, it's definitely,### it, it's, it's changing to a degree,
4758:85	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted --n4011ee, or a gal is convicted --n40120d, of a crime, rather than put them in prison, because prison's proven --n401258 not to work, just let them go.	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted --n4011ee, or a gal is convicted --n40120d, of a crime, rather than put them in prison, because prison's proven --n401258 not to work, just let them go, but not both.	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted --n4011ee, and a gal is convicted --n40120d, of a crime, rather than put them in prison, because prison's proven --n401258 not to wandk, just let them go.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb24t24.###i mean, that was their job, as they killed in washington d c.###speakera25t25.###oh, i know,###i know.###i know.###um, i think nowadays people just, really just,###murder is nothing to them, you know.###speakerb26t26.###well, i formulated a pretty radical theory over the last ten years, i guess --n4010ea.
4799:38	and they're still let --n401fb3 out on the street after one or two years.	and they're still let --n401fb3 out on the street after one or two years, but not both.	and they're still let --n401fb3 out on the street after one and two years.	yes	yes	no	no	no	yes	no	no	yes	S	###speakera41t41.###huh-uh.###speakerb42t42.###and, you know, who --n401c3a's --n401c45 to put the limit on it.###i mean, i was watching a thing last night, up in washington state.###if you get convicted --n401dd2 of, uh, sexual offenses, on a regular basis.###you know, i mean, some of these guys are forty years old and got ten convictions.###speakera43t43.###huh-uh.###speakerb44t44.
4874:87	you know, and you look at our society, almost everyone out on the street that --n40392f has been in prison, has been in prison three or four times.	you know, and you look at our society, almost everyone out on the street that --n40392f has been in prison, has been in prison three or four times, but not both.	you know, and you look at our society, almost everyone out on the street that --n40392f has been in prison, has been in prison three and four times.	yes	yes	no	no	no	yes	no	no	yes	S	###huh-uh.###speakerb70t70.###i mean, if you get convicted --n403578 of, uh, you know, drug trafficking, they just kill you.###you get convicted --n403696 of, uh, you know, heinous crimes, they just kill you.###i mean there's no two ways about it.###speakera71t71.###huh-uh.###speakerb72t72.###and, uh, you look at their society###and the repeat offenders are very few.
5704:6	whether or not they get it is hard to say.	whether or not they get it is hard to say, but not both.	whether and not they get it is hard to say.	yes	yes	no	no	no	no	no	yes	yes	S	###speakerb58t58.###uh-huh.###speakera59t59.###and like they're looking like for, uh, g r e like ninety-nine percentile and this and that.###speakerb60t60.###yeah.###speakera61t61.###and it's like,###speakerb62t62.###well, that's what they look for --n4024a7.
5978:22	like if you're stealing something or doing anything like that.	like if you're stealing something or doing anything like that, but not both.	like if you're stealing something and doing anything like that.	yes	yes	no	no	no	no	no	no	yes	SBAR	###speakerb162t162.###uh.###speakera163t163.###i mean that's their policy.###they never fire anybody unless you're caught --n407946 doing something illegally.###speakerb164t164.###illegal or something like that,###yeah.###speakera165t165.###yeah,
6194:35	so. i don't know if you participate in that or not,	so. i don't know if you participate in that or not, but not both.	so. i don't know if you participate in that and not,	yes	yes	no	no	no	no	no	yes	yes	S	###speakera1t1.###well, what d-, do you think --n400032 in terms of, uh, benefits.###speakerb2t2.###well, personally, you know, i think, you know,###of course i'm sure we're familiar with the exact same benefit package###and i think that, uh, we've probably got one of the best around, you know,###besides, they tend --n400391 to offer ad-, adequate vacation, i guess --n4003c0.###and the paid time off is wonderful,###and, uh, one of the things that we were just talking about --n400519 as a matter of fact this week at work was the coda plan that --n400558 is offered --n400567###and i think that is just a, a fabulous one,
6291:93	i, i, fr-, you know, i, i debate about whether it's really good or not, you know.	i, i, fr-, you know, i, i debate about whether it's really good or not, you know, but not both.	i, i, fr-, you know, i, i debate about whether it's really good and not, you know.	yes	yes	no	no	no	no	no	yes	yes	S	###speakerb32t32.###do you.###yeah.###speakera33t33.###and i disagree with you.###i don't think it's the worst investment, in the world.###speakerb34t34.###do you really not.###speakera35t34.###speakerb36t36.
6353:63	she said, now, do you all want him to go to a, a state college or a private college.	she said, now, do you all want him to go to a, a state college or a private college, but not both.	she said, now, do you all want him to go to a, a state college and a private college.	yes	yes	no	no	no	no	no	no	yes	S	###speakerb52t52.###uh-huh.###speakera53t53.###you better make sure that you've got a scholarship.###speakerb54t54.###that's right.###speakera55t54.###speakerb56t56.###that's right.###well, that's what she said --n4052d2 to us.
