TGrepID	EntireSentence	context	BestResponse
135535:24	and then make movies out of some of them.	###yeah,### and, and they're the same silly things,###i mean, if you've read one, i mean it's, it, it's practically the same thing over and over, you know.###.###yeah,###i've never read a whole one of hers, i don't think --n403582.###.###.###and think how rich she is --n40363c.###.###yeah,###wouldn't i, you know,###i'm criticizing her,###and wouldn't i like --n403772 to have her money###.###oh, yeah.###.###because they go from hardback to paperback###and she has millions of them.###.	and then make movies out of all of them.
23641:34	we got, we got what some people call --n4002aa the best beef in the world.	###.###bye-bye.###.###bye.###.###.###all right.###.###all right.###what are some of your favorite foods --n400070.###.###mine, well,###.###i imagine in argentina you've got some great foods.###.###yeah,###well, we got, um, a lot of, uh, european dishes.###.###uh-huh.###.	we got, we got what all people call --n4002aa the best beef in the world.
16220:4	some people like swiss, um,	###i'll tell you, what i'm going --n400749 to have --n400758. um, if i can find it.###.###oh, that's wonderful.###.###.###okay.###.###well, i have this new fondue pot###and i was going --n400929 to do basic cheese fondue,###and i have two different kinds of breads and some ham###and i was going --n400a3e to try something weird which, you know,###when you have fish au gratin --n400b21,###i was going --n400b84 to make some, uh, like fish chunks and dip it in the fondue.###i don't know if it will come out.###.###that's,###what kind of fondue, the cheese dip or,###.###yeah,###the cheese fondue i make --n400dd2,	all people like swiss, um,
125802:14	you know, some places just specialize in just real little ones	###.###asking.###.###.###right.###.###.### some, some places, um, start them as early as, i think, well, some, some places take them as infants, i guess --n403c0a, you know, like eight weeks, even.###.###uh-huh.###.###um, there's a place to look into --n403e2f, um, um,###a friend of mine who --n403ef7's a nurse is, was telling about a wonderful new place that --n403f3e opened some place in, on fifteenth street,###up,###it's in plano somewhere where, um,###nurses that --n40414b used --n404156 to work in the hospital take care of infants, infants and then only up to like two years old###.###um.###.###and it's, it's supposed --n40430f to be really a, a,	you know, all places just specialize in just real little ones
151077:31	but, uh, apparently for some, some crimes, it --n4033cd's permissible to have six people sit in judgment.	###so, uh, the guy had --n402d7e to go through the whole thing all over again.### cost him a lot of money,###i'm sure.###.###yeah.###oh, how many members were --n402f0b on the jury.###was it a six or twelve member jury.###.###uh, it must have been six.###.###uh-huh.###.###yeah.###.###that's kind of curious to me.###i didn't realize until the, uh, wayne kennedy smith trial, uh, a few months ago that they had six member juries.###i thought that they, you know, it was always twelve, twelve men tried and true, so to speak.###.###um.###.	but, uh, apparently for some, all crimes, it --n4033cd's permissible to have six people sit in judgment.
120178:18	um uh, well, some of both.	###uh-huh.###.###but, uh, other than that, uh, i just, you know,###just the events that --n400ee1 happen around the world interest me.### stay in touch with it and know, feel like i know what --n400fb1's going on.###.###yeah.###.###now i have --n4010cc to say all three of my children, none of them are too interested in current events.###.###i see.###.###but i always have been###.###uh-huh.###.###and i stay up with it.###but, uh, how do you, how do you, uh, stay aware of most of the current events --n40133c.###uh, newspaper. t v news, or what.###.	um uh, well, all of both.
17008:76	i mean, pretty much a lot of people would know about it, you know, and, and know some of the different things about it	### he, he got off right away.###.###yeah.###.###and i wrote that down on my questionnaire that he'd told me that,###.###uh-huh.###.###so i figure that that will make me biased###and i won't be chosen --n407ab9.###.###well, not necessarily###.###hopefully.###.###but there's probably something else that --n407b70 might make you.###because you could know about, you could know about the crime, but not necessarily be taken --n407c6c off the jury, you know, not be accepted --n407c9b for j-, the jury.###.###yeah.###.	i mean, pretty much a lot of people would know about it, you know, and, and know all of the different things about it
27147:10	and consequently some of the very best students were, had excellent memories	###they just,###you sit there and read hundreds and hundreds of cases###and then you get one examine for the whole semester###.###uh-huh.###.###and it's how well you can remember it all --n405b6f.###.### how, how much can you stuff --n405c0e in your brain.###.###yeah.###and i found that a particularly useless way of studying.###.###yeah.###.###i never did.###i always tried --n405dc8 to understand things, not tried --n405de7 to memorize.###.###uh-huh.###.	and consequently all of the very best students were, had excellent memories
122421:31	uh, what, what are some of the shows that you have been able --n40055b to rent --n40056a --n400571 though.	###.###yeah.###.###so that was upsetting.###i was mad about that and my privacy there.###.###yeah.###.###.###well, have you seen a new movie lately.###.###well, uh, i am a student###and i have, uh, been actually watching more movies on video, than being able --n40012c to go out --n40013f to see, uh, movies at the store, or at the theater.###.###uh-huh.###.###uh, i st-, i want --n400317 to see the fisher king and, and, uh, catch robin hood.###.###okay.### i, uh, i haven't seen either one of those.	uh, what, what are all of the shows that you have been able --n40055b to rent --n40056a --n400571 though.
65910:42	i would like --n401bb5 to be a little more into investigating some of the other countries in the world and their educational problems. and to come up with something a little better than what we've got --n401c4c.	###well, see the other way i'm thinking about --n401021 is they should be self-supporting, like, uh, the prisoners make license plates or farm or small industry inside the prisons. anything to where they can be self-supporting within themselves --n4010b0.###in other words, they're in there for a purpose,### put them to work rather than sitting there.###.###uh-huh.###.###it's the same thing like the whole criminal, i shouldn't say --n4013dc criminal, but the whole police department of the united states.###i feel the same way.###uh, someone gets picked --n401559 up for drunk driving, he should put enough --n401584 in there that --n401597 goes back into --n4015aa paying for that policeman being out there.###.###uh-huh.###.###so it's self defen-, you know, self-defense on that point.###uh, as far as my defense budget, uh, they're cutting it back now, what, twenty-five percent.###i wouldn't want --n4018fc to see it cut --n401913 any more than that.###.###yeah.###.###but again i'd like --n4019ef to see something on the other end back into education. but not in the education we have --n401a42 today.###so i'm lost on that one.	i would like --n401bb5 to be a little more into investigating all of the other countries in the world and their educational problems. and to come up with something a little better than what we've got --n401c4c.
