TGrepID	EntireSentence	context	BestResponse
4457:24	so, there must be something to some of them.	###so, it's the, it's, it's the, the act-, well it's actually,###it's interesting, because there are re-, real regional differences.###um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,###.###.### i'm, i'm, i'm not.###uh, there's an assumption that you do something for your physical fitness, and, and, at least in urban california.###and, maybe not,###i don't know about rural california too well.###but, in urban california it's just, you know,###for all i know --n4040ac aerobics started out here.###i don't know where they actually started --n404162,###but they, you know, the craze really picked up big here###and before that there was the running craze.###and, they,###california gets, you know, tends --n404354 to be a bit faddish,###but, the remarkable thing is how well the fads catch on elsewhere --n40444c.###.###uh-huh.###.	so, there must be something to all of them.
4795:25	you know, i mean, some of these guys are forty years old and got ten convictions.	###.###.###huh-uh.###.###if someone is known --n4018f2 to have been in prison, they can't get a job.###.###no.###.###you know.###.###yeah.###.###they can't be accepted --n401a44 into society.###you know, if they're not going --n401ac8 to be accepted --n401adb into society, then everybody's going --n401afe to become sociopathic.###.###huh-uh.###.###and, you know, who --n401c3a's --n401c45 to put the limit on it.###i mean, i was watching a thing last night, up in washington state.###if you get convicted --n401dd2 of, uh, sexual offenses, on a regular basis.	you know, i mean, all of these guys are forty years old and got ten convictions.
5480:20	but, uh, i know some people at t i,	###.###what part of california are you from --n40305d.###.###uh, from los angeles,###but i live in raleigh, north carolina, right now,###that's where i am speaking to you from --n4031b5.###.###oh, okay.###.###but, i grew up in l a.###i work out here.###.###huh, you work for t i.###.###no,###i don't.###i work for north carolina state university.###.###huh.###.	but, uh, i know all people at t i,
6581:42	but i guess, they, you could put some money --n401dc0 aside while you were there, your expenses and,	###i was too.###.###.###i thought seriously about joining at that time,###i thought it was a fantastic idea.###.###did you ever get any information on it like,###.###i sent off for stuff on it,###but i don't remember that much. about it.###i know that they trained you in the language###and, um,###.###that's what i was wondering about --n401bdd was whether they actually,###.###you actually got paid --n401c9f too, while in the peace corps,###it wasn't much,###.###yeah.###.	but i guess, they, you could put all money --n401dc0 aside while you were there, your expenses and,
6607:30	because from what i understand --n40290d, from some of the guys i know --n402938, you know, crime, uh, is punishable, just almost, uh, instantly and public,	###yeah,###yeah.###.###.###but it --n402021 might be interesting to see what --n402044 would happen if you took kids at a, and then took then to another country instead of having being exposed --n4020a3 to all the drugs and violence and sex and everything here, and take them to some other country that --n4020fa had different moral values, like saudi arabia where they couldn't drink --n402135.###.###where they couldn't do that --n4023d1.###yeah,###you might end up with a revolution.###i don't know which end though.###.###really.###.###yeah,###yeah.### that's, that's been interesting, though, the kids that --n402590 have been over, you know, coming back right now, you know.###.###yeah.###.###you wonder if being exposed to that for a while, what percentage of them --n402759 would actually say, hey, that's not a bad way to do it --n4027a4,	because from what i understand --n40290d, from all of the guys i know --n402938, you know, crime, uh, is punishable, just almost, uh, instantly and public,
6686:28	it would certainly help them to appreciate some of the things that we have --n404402 here and develop some pride in them, if it was handled --n404439 that way.	###.###i know my dad always talked about, uh,###he was in c c c during, uh,###.###yeah.###.###and he was, uh, a rock rib iowa type republican###and the only good thing he could ever say --n403fb3 about, uh, the whole roosevelt administration was, uh, civilian conservation corps,###.###huh-uh.###.###because he was in it.###he thought that was great.###.###yeah.###.###the rest of it was all hog wash,###but that was great.###.###well, it seems like it would develop pride, you know, in people, if, if, it's in their own country.	it would certainly help them to appreciate all of the things that we have --n404402 here and develop some pride in them, if it was handled --n404439 that way.
7100:11	well, and some people use one credit card --n403883 to pay for another credit card they own --n4038ae,	###well, it --n4032ee's interesting, uh, that, uh, people have the, generally the same view. of credit cards, no matter where you go --n403361.###.###yeah.###.###.###uh-huh.###.###.###yeah.###.###.###and, then, some people they get so wrapped up in them that they find, you know, one day they find, wow, i didn't realize i had this much, you know, i'd spent this much money.###.###that much stuff.###.###.###right.###.###and, then they can't meet the minimum monthly payments on it.###.	well, and all people use one credit card --n403883 to pay for another credit card they own --n4038ae,
7282:17	kind of gives you some space for yourself,	###.###.###yeah,###we did some remodeling when we bought a house --n402628,###we built, put a kitchen in and, um, that kind of stuff,###and painting and some wallpapering,###that's fun.###.###it's really kind of fun.###.###it is.###it really is.###.###especially if your spouse will get in there with you and get dirty,###yeah.###.###yeah,###exactly.###i like things that, you know, two people can do --n402a0a,###but i like the quiet of doing things away, you know,	kind of gives you all space for yourself,
7361:10	they have some nice stuff down there.	###.###yeah,###yep,###.###all that stuff that --n4038bb's bad for you.###.### i, i lived in abilene for a little while, and, uh, worked in the abilene plant,###.###oh, sure,###yeah.###.###and we used --n403a98 to go to joe allen's barbecue,###and, uh, oh, that was great.###.###oh, yeah.###.###really great,###.###that's, uh, only way to do it --n403c1a.###.	they have all nice stuff down there.
7526:63	the elections where they have that topic --n402e25 seem --n402e30 to be a little bit better --n402e4f attended than some of the other ones.	###yeah.### that's, that's true.###i think in, uh, the texas governor elections, i think more people turned out --n402427 to vote against somebody than for somebody, this time.###.###yeah,###well, that, uh,###mumblex i know that there's certain issues that --n4025e0 can really motivate people because we live in a pr-, pr-, predominately catholic type area,###.###oh, really.###.###and when things start, uh,### when, when abortion comes on the issues --n40282c and people just get all insp-, inspired, you know,###.###right.###.###and, uh, still on the other hand we're also, uh,###this particular community is a catholic community###but, uh, uh, down in d c where, where things are a little bit different --n402ad0, uh, you know, it's, it's women's rights and the, and that sort of movement,###and so it's, uh, quite the opposite,###so elections start --n402d99 getting very, uh,	the elections where they have that topic --n402e25 seem --n402e30 to be a little bit better --n402e4f attended than all of the other ones.
