TGrepID	EntireSentence	context	BestResponse
55892:50	uh, and i find ways --n401cfa to, to turn some of that back to, to others --n401d3d.	###.###uh-huh.###.###and i could see that many of them had conscientious objections to war or whatever.###but i, i felt strongly then that even if they didn't feel like they could kill someone, or go into a military situation, that they could help the country in other ways. be it cleaning out, uh, lots, in, in their neighborhood or, whatever kind of community or public service --n40148d might be available.###.###uh-huh.###.###and i guess i see that as, as not so much a demand but, but a privilege.### it's, it's kind of, uh, uh, it's something,###.###it is, uh,###.### it's, it's###since we live here and we all --n401a30 benefit, rich, poor or in between, uh, there are benefits even for those who --n401a7f have it the hardest.###i just see that as maybe a good idea.###i wouldn't mind --n401c49 doing it at forty-four.###.###uh-huh.###.	uh, and i find ways --n401cfa to, to turn all of that back to, to others --n401d3d.
2722:7	and some of the patent attorneys have been real casual in their clothes	###and they're in jeans,###so, you know.###.###some of our people in the legal department,###we have, um, assistants to the general counsel###and it's funny###because, there's one that --n407a4d always wears a suit.###a matter of fact, he's never seen --n407b04 without his jacket to the suit on, buttoned.###.###really, wow.###.###and then there's another one who --n407c38's, who --n407c4b's a little younger and a little more yuppish###and he's always kind of like in the khaki pants and, you know, a shirt,###.###uh-huh.###.###and sometimes he wears the jacket to it.###.###yeah.###.	and all of the patent attorneys have been real casual in their clothes
30391:38	we have, you know, used some of it for some personal things.	###.###yeah,###that's what we have --n400a2f. um.###.###do you use it a lot at home.###.###well, i really do.###i, um, am an accountant### and, but i work at home.###.###uh-huh.###.###.###uh-huh.###so you're on it a lot.###.###so i use it for that quite often.###.###uh-huh.###.	we have, you know, used some of it for all personal things.
148183:40	i'd like --n11496 to go to sundance and park city and some of those.	###.###oh.###.###we haven't been there before.###.###um, that sounds nice.###.###kind of away from the crowd is why we chose that one --n11220.###.###uh-huh.###.###it's supposedly low lift lines.###.###oh.###.###but i haven't skied utah yet,###but i want --n113a0 to.###.###oh, well, you need --n11410 to come out.###.	i'd like --n11496 to go to sundance and park city and all of those.
18087:40	i haven't watch any other ones on t v. just on some of the tapes.	###at what time,###i can't remember what time.###it's, uh, you know,###i can't remember offhand what time.###.###i'll have --n4065c5 to check it, check, check, check it back up,###.###yeah###mumblex.###.### and, but the thing is everybody always looks so good on that show, at least on mumblex.###.###yeah,###every now and then.###.###not everybody has a picture perfect body.###.###uh-huh,###well, i found that they, they have just a much better program than the other shows that --n406955 are on t v.###.	i haven't watch any other ones on t v. just on all of the tapes.
161373:22	but i also dislike, uh, some classical music,	###.###.###yeah,###i'm sure that, that so-, that sold a lot for him.###that's all you really need --n402118 for a lot of, lot of pop.### i'm ki-, i've kind of like developed a, a short hatred for, for pop.###.###.###it just seems like there's no, no real point.###you hear the same, same tune over and over again in a thousand guises###.###uh-huh.###.###and,###.###well, i-, it's interesting because you were, you were saying that you liked classical music###.###uh-huh.###.###and i like a lot of classical music,	but i also dislike, uh, all classical music,
129171:26	what do you feel --n400040 are some of the main problems.	###yeah,###he was just kind of walking around.###.###didn't he used --n403b4f to.###.###not really.###he was always in the box before.###.###oh.###.###.###oh, that's, yeah, that's, okay.###.###yeah.###.###yeah,###that's what i was thinking --n403d4a.###.###.###okay,	what do you feel --n400040 are all of the main problems.
135453:35	i know, uh, the bri-, some of the british people laugh at us because we're so enthralled with their royalty.	###.###yeah,###i think it was by her, now that you mention it, because someone had given it to me,###and i thought, well, this will be great,###and it was.###.###yeah,###i've heard that she's done real-, you know, her books are really interesting,###and they always sell well.###.###uh-huh.###.###and, uh,###.###well, when you use real people like that --n401e13, i think royalty, especially, you know.###.###yeah,### brings it to life.###.###.	i know, uh, the bri-, all of the british people laugh at us because we're so enthralled with their royalty.
159588:39	i, i even like guns and roses, some of their stuff.	###oh, okay.###.###and i can, i can barely watch anymore because, uh, they have this heavy metal stuff on there### and, and i can't even, you know, i can't like that.###.###yeah.###.### and, and i liked, uh, aerosmith and led zepplin and, uh you know, and, uh, jeez who else is there --n401df5. van halen.###.###uh-huh.###.###.###okay.###.###.###okay.###yeah.###.###now i like, i like groups like that.###but when you get, uh,	i, i even like guns and roses, all of their stuff.
164858:59	there wasn't as many advanced placement courses --n401b79, uh, when i was a senior --n401ba0 that some other schools had --n401bbb.	###.###and s-, a lot of my friends were in one of the neighboring suburbs###and it wasn't, we weren't too far removed --n40128d geographically from each other,###but the difference in schools i think --n40136a was pretty substantial###.###uh-huh.###.###and, uh, one of the things that --n401433 probably would have been better if, is if the entire county had had, had just one school system.###.###right.###.###and that would result in some, uh, could result in more equitable distribution of money###because what --n4016f5 was happening was, you know, all the very rich people went out to the, move out to the suburbs###and the city had a very low tax base###so they didn't have a lot of money to work with --n4018fb.###.###uh-huh.###.###as a result, the schools were rundown,###there wasn't as many, you know, of the nice supplies in science class that we would have liked --n401a79.	there wasn't as many advanced placement courses --n401b79, uh, when i was a senior --n401ba0 that all other schools had --n401bbb.
