TGrepID	EntireSentence	context	BestResponse
89259:13	i think some parents go a little bit overboard.	###but she was, her, her daughter was, uh, a, a, ma-, ma-, dru-, a majorette or something. you know, a baton twirler or something###.###uh-huh.###.###.###uh-huh.###.###and she was she was, letting us know she, mumblex how, how good her daughter was --n40609f.###.###.###she had cards printed up, actually describing, you know, business cards describing her daughter's, uh, you know,###she had won several different twirling awards, and all this,###.###oh, really.###.###.###uh-huh.###.###and she was, had these business cards she was passing --n40642f out###and it was quite a production.	i think all parents go a little bit overboard.
23630:11	what are some of your favorite foods --n400070.	###.###oh, are you really.###wow.###okay,###well, i'll let you go.###and it --n404f36 was nice talking to you.###.###my pleasure.### have a good day.###.###you too.###.###bye-bye.###.###bye.###.###.###all right.###.###all right.	what are all of your favorite foods --n400070.
92394:53	i mean, there there's a little bit, because there's some of those english words that you just don't exactly know what they mean --n402e3d --n402e44,	###well, we, um,### let's see,###the only other place i've ever vacationed --n4028a5, we'd, you know, go on camping trips up to texoma and things like that.###.###uh-huh.###.###and then i went to england a few years ago.###.###oh, that's exciting.###.###i was a, student there and spent, um, a semester --n402b1c studying abroad in london.###.###uh-huh.###.###.###uh-huh.###.###and that was a great time, because it's so, that's such a neat place###and it's, there's not a language barrier###so you don't,	i mean, there there's a little bit, because there's all of those english words that you just don't exactly know what they mean --n402e3d --n402e44,
41388:61	i think there was four or five different people, that --n406c71 would call, you know, some of them, if they didn't have their addresses and all on them,	###.###no.###.###like, they just###whoever, --n406831 wanted --n40683c to come.###.### what they did --n4068b7 was, well, see what they did --n4068e2 was, okay, they, uh, they wrote to all the initial people, you know, the, the oldest ones.###.###.###uh-huh.###.###.###right.###.###okay,###then those in turn got a hold of these other ones.###.###uh-huh.###.###and they had like,	i think there was four or five different people, that --n406c71 would call, you know, all of them, if they didn't have their addresses and all on them,
173724:18	and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level.	###yeah.###the immediacy just isn't there.###.###uh-huh.###.###and, uh, uh, i also think that one of the problems###and, actually, i don't think this, i think this is a cultural problem.###the, uh, problem with public education is really, uh, really a problem with the culture.###and, i guess my evidence for that is the school districts in places like california, for example, where only a minority of the taxpayers have children in school --n40154e###and you can't get a tax levy passed --n4016a2.###uh, people are, uh, reluctant --n401724 to pass, uh, school tax levies even, uh, when the money is needed --n40176f or would be well spent --n40178a because it's, uh, they don't have kids in the schools.###.###right.###.###i think that's a, a loss of civic virtue and a loss of, uh, uh, the cultural attitude that we used --n4019f4 to have --n401a03 that education was first even if it wasn't our kids.###i think that's, uh, that's the principal problem is that, uh, people no longer see it as, uh, as their problem###and there's an immediate problem.###.###right.###it --n401dfb troubles me too tha-, that the priority seems --n401e26 to be with my particular purse strings rather than the public good	and by definition, for all of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level.
27056:5	some of them were even better behaved.	###well, we had the problem when i was in, with --n403824 teaching, um,###i was eighth and ninth graders that i worked with --n403909###and if we did have a, a student come in and they were drunk or they were on something you had the option of calling the police and have them taken --n403a09 out of the schools or trying --n403a28 to teach them something while they were there.###.###uh-huh.###.###and you don't know if you were reaching them or not###but we felt like, you know, maybe just going ahead and try --n403d4a to teaching them was bet-, trying --n403d6d to teach them was better than have them taken --n403d9c out.###.###yeah.###because, uh, uh, that just,###that doesn't do a lot for them.###i mean it, alleviates your problem###.###yeah.###.###but it doesn't do anything for them.###.###right.###uh, most the time if they were, they were,	all of them were even better behaved.
145009:13	and you hear some people say, you know, well, he's a man,	###and it shouldn't, uh, it shouldn't be that way. you know.###.###no.###.###.### that, that i think --n401d03 should change, will change in the near future also.###.###i think so, hope so,###a-,###.###it's been changing,###it's been evolving,###but there's still a, an, an inequality in the work forces or jobs.###.###absolutely.###.###it's, you know,###.###you know, i've,###.	and you hear all people say, you know, well, he's a man,
6581:42	but i guess, they, you could put some money --n401dc0 aside while you were there, your expenses and,	###i was too.###.###.###i thought seriously about joining at that time,###i thought it was a fantastic idea.###.###did you ever get any information on it like,###.###i sent off for stuff on it,###but i don't remember that much. about it.###i know that they trained you in the language###and, um,###.###that's what i was wondering about --n401bdd was whether they actually,###.###you actually got paid --n401c9f too, while in the peace corps,###it wasn't much,###.###yeah.###.	but i guess, they, you could put all money --n401dc0 aside while you were there, your expenses and,
149904:6	and some superficial type damage,	###.###metropolitan,###yeah.###.###and, uh, there's a lot of car thefts in that area.###.###yeah,### i've actually, i've known, known some people that --n403bfd have had their cars stolen --n403c18.###uh, and, uh, and, you know, about half the time they seem --n403d75 to, the a p d seems --n403d98 to recover them, you know in various states of disrepair. up on blocks.###.###right.###.###.###yeah###.###my friend had a v w rabbit,###and when he, when he got it back --n404018 his, um, dashboard was sitting in the front seat.###.###yeah,### mine was just, it had been wrecked --n404164	and all superficial type damage,
38898:13	and i did some of that.	###i get too involved in reading --n400e0b sometimes that i neglect what i should be doing --n400e36.###.###that's true,###i do the same thing.###.###you get so involved in what you're reading --n400fa1.###.###what types of crafts do you do --n401037.###.###i do a little bit of woodworking,###well, i used --n401111 to.###i don't have the equipment here.###we moved to dallas about a year ago###.###uh-huh.###.###and my dad had a lot of woodworking equipment###.###uh-huh.###.	and i did all of that.
