Item_ID	Sentence	rightDisjunct	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40.		yes	yes	no	no	no	no	no	no	yes	SQ
1133:49	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.		yes	yes	yes	yes	no	no	no	no	yes	NP
1133:56	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.		yes	yes	no	yes	no	no	no	no	yes	NP
1133:64	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.	someone	yes	yes	no	no	no	no	no	no	yes	NP
1147:55	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list	somebody going down a list	yes	yes	no	no	no	no	yes	no	yes	SQ
1149:3	or they're introducing some new product in the area	they	no	yes	no	no	no	no	no	no	yes	S
1151:3	or you're in the middle of cooking something	you	no	yes	no	no	no	no	no	no	yes	S
1170:3	or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.	you	no	yes	no	no	no	no	no	no	yes	S
1173:3	or the ones that --n400b78 are, are generated --n400b8f by a computer.	the ones that --n400b78 are, are generated --n400b8f by a computer	no	yes	no	no	no	no	no	no	yes	FRAG
1200:36	but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.	these recorded message	yes	yes	no	no	no	no	no	no	yes	S
1214:60	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.		yes	yes	no	no	no	no	yes	no	yes	S
1216:3	or i would have called for their salesman to come out.	i	no	yes	no	no	no	no	no	no	yes	S
1226:7	or, or they're from a religious organization		yes	yes	yes	yes	no	no	no	no	yes	S
1226:14	or, or they're from a religious organization		yes	yes	no	no	no	no	no	no	yes	S
1239:63	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.		yes	yes	no	no	no	no	no	no	yes	S
1256:174	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,		yes	yes	no	no	no	no	no	no	yes	S
1265:65	i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get,		yes	yes	no	no	no	no	no	no	yes	S
1433:51	i mean people will just look at you as a person and not as a man or a woman,	a woman	yes	yes	no	no	no	no	no	no	yes	S
1446:55	not what color you are --n401bd9, how old you are --n401bf4, what you're male or female.		yes	yes	no	no	no	no	no	no	yes	FRAG
1458:3	or the way you look --n402091,	the way you look --n402091	no	yes	no	no	no	no	no	no	yes	FRAG
1459:3	or the way you, you know,	the way you, you know	no	yes	no	no	no	no	no	no	yes	FRAG
1464:8	your age or anything.	anything	yes	yes	no	no	yes	no	no	no	no	NP
1480:47	like if you and another lady were --n402759 to share the same full time job, or,		yes	no	yes	no	no	no	no	no	yes	SBAR
1502:41	i would just take her the actual paperwork once, uh, every week or two,		yes	yes	no	no	no	yes	no	no	yes	S
1526:22	do you work like half days, or half weeks or,	half weeks	yes	yes	yes	yes	no	no	no	no	yes	SQ
1526:29	do you work like half days, or half weeks or,		yes	no	yes	no	no	no	no	no	yes	SQ
1592:58	so you don't have --n4047e5 to, you know, unless you're just really sick, or the child's sick.	the child	yes	yes	no	no	no	no	no	no	yes	S
1595:3	or just forget it.		no	yes	no	no	no	no	no	no	yes	S
1600:3	or, what i've done --n404b1f is found like doctors' and dentists' office with extended hours.		no	yes	no	no	no	no	no	no	yes	S
1608:60	i don't know how many times i've done that --n404ebc --n404ec3 to do something, post office or the bank or any kind of errand,	the bank	yes	yes	no	yes	no	no	no	no	yes	S
1608:67	i don't know how many times i've done that --n404ebc --n404ec3 to do something, post office or the bank or any kind of errand,	any kind of errand	yes	yes	no	no	no	no	no	no	yes	S
1714:23	if it is performed --n4011e6 correctly or if it's done --n401205 right, or if the version is done --n40122c right, i like it,		yes	yes	no	yes	no	no	no	no	yes	S
1714:46	if it is performed --n4011e6 correctly or if it's done --n401205 right, or if the version is done --n40122c right, i like it,		yes	yes	no	no	no	no	no	no	yes	S
1730:76	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, or, if it's, uh, violence oriented.		yes	yes	no	no	no	no	no	no	yes	S
1739:71	one time i remember --n4019bd, this was back when, even, uh, i would say --n4019fc about ten or fifteen years ago i,		yes	yes	yes	no	no	yes	no	no	yes	S
1756:89	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.		yes	yes	no	no	no	yes	no	no	yes	S-N401E2F
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.	the original composer	yes	yes	no	no	no	no	no	no	yes	S
1831:82	you know, come --n403ecb to think of it, i think that was a cover version of, like a john lee hooker song, or something,	something	yes	yes	no	no	yes	no	no	no	yes	S
1876:62	i me-, there was no reason for him to really come into, you know, great stardom or anything.	anything	yes	yes	no	no	yes	no	no	no	yes	S
1995:81	world music takes the forms that --n407fd3 have really been, um, i guess, i you know, the best example or, you know, the cream of the crop, i guess you could say,		yes	yes	yes	no	no	no	no	no	yes	S
1999:3	or, uh,		no	yes	no	no	no	no	no	no	no	S
2067:114	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month		yes	yes	no	no	no	no	no	no	yes	S
2091:43	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that	food	yes	yes	no	no	no	no	no	no	yes	S
2098:3	or does it work out pretty well.		no	yes	no	no	no	no	no	no	yes	SQ
2115:136	if you can't stay, if something comes up and you can't stay within it then we have, uh, you know, a budget for, you know, like we call --n401af2 our slush fund or something	something	yes	yes	no	no	yes	no	no	no	yes	S
2163:48	so, we don't have any long term, you know, in stocks, or anything like that right now,	anything like that	yes	yes	no	no	yes	no	no	no	yes	S
2169:3	or so much a pay check	so much a pay check	no	yes	no	no	yes	no	no	no	no	FRAG
2178:23	when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a	left	yes	yes	no	no	no	no	no	no	yes	S
2199:157	and they did an analysis --n40444a for us based on what we were putting --n404471 in and the time frame that we wanted --n404498 to look at --n4044ab, and then gave us a good idea back, you know, some good information --n4044fa back on whether or not we were going --n404525 to achieve those goals, and, or not, and what we needed --n404564 to do --n404573 so that we could achieve them and the money we could put --n4045ae in at what time.		yes	yes	no	yes	no	no	no	yes	yes	S
2199:200	and they did an analysis --n40444a for us based on what we were putting --n404471 in and the time frame that we wanted --n404498 to look at --n4044ab, and then gave us a good idea back, you know, some good information --n4044fa back on whether or not we were going --n404525 to achieve those goals, and, or not, and what we needed --n404564 to do --n404573 so that we could achieve them and the money we could put --n4045ae in at what time.		yes	yes	no	no	no	no	no	no	yes	S
2204:3	or not,		no	yes	no	no	no	no	no	yes	no	FRAG
2216:172	that, that's the other financial thing i guess that we've done --n404ddf is with our life insurance is, since i'm at home now is, is figuring out, uh, what we would need --n404e4e if something happened to my husband, or what he would need --n404e85 if something happened to me,		yes	yes	no	no	yes	no	no	no	yes	S
2271:20	i don't take a subscription or anything like that.	anything like that	yes	yes	no	no	yes	no	no	no	yes	S
2274:101	and, and, uh, kind of strange because i, it --n40109a's not unusual to, uh, see, uh, an engineering manual or something laying around the house	something laying around the house	yes	yes	no	no	yes	no	no	no	yes	S
2400:31	you could almost label everything quality in some sense or other	other	yes	yes	no	no	no	no	no	no	yes	S
2420:30	i need --n40534f to probably make a phone call or two.		yes	yes	no	no	no	yes	no	no	yes	S
2462:69	but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up.	people from	yes	yes	no	no	no	no	no	no	yes	S
2491:40	when, uh, i was at t i --n401e41 the first year or so, we were sent out to our record retention facility --n401e84 to look through two thousand boxes.		yes	yes	no	no	yes	no	no	no	yes	S
2609:38	i had a friend who --n404c22 worked there for a year or so		yes	yes	no	no	yes	no	no	no	yes	S
2632:3	or white shirts with this kind of stripe in it for the men and this kind of shoe and, hair just this way.	white shirts with this kind of stripe in it	no	yes	no	no	no	no	no	no	no	FRAG
2669:64	and we'd try, we'd try --n4065e2 to say, didn't you bring any pants or anything.		yes	yes	no	no	yes	no	no	no	yes	S
2700:39	but, you know, i don't know if they do or not.	not	yes	yes	no	no	no	no	no	yes	yes	S
2728:40	with the, you know, the little suspenders or something on	something	yes	yes	no	no	yes	no	no	no	yes	PP
2734:3	or they're meeting with people that they know --n408447 is going --n408456 to be dressed --n408469 that way then that's how they are --n408490.	they	no	yes	no	no	no	no	no	no	yes	S
2747:3	or it would me, you know.	it	no	yes	no	no	no	no	no	no	yes	S
2792:8	weather-wise, or otherwise.		yes	yes	no	no	no	no	no	no	no	ADVP
2827:3	or it feels cool --n400877 compared to yesterday, but very pleasant,	it	no	yes	no	no	no	no	no	no	yes	S
2851:13	the blue flu, or the white collar flu, depending on where you work --n401032, i guess.	the white collar flu	yes	yes	no	no	no	no	no	no	yes	FRAG
2865:88	and if you look outside, you would like --n401403 to go out and mow your lawn, if you could go out and buy a new spark plug, or something along those lines,	something along those lines	yes	yes	no	no	yes	no	no	no	yes	S
2927:38	rarely a day went by when the wind was less than fifteen or twenty miles an hour --n4025d1. summer and winter,		yes	yes	no	no	no	yes	no	no	yes	S
3051:3	or,		no	no	no	no	no	no	no	no	no	S
3053:66	i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,	government services representative	yes	yes	no	no	no	no	no	no	yes	S
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment		yes	yes	no	no	no	no	no	no	yes	SQ
3088:3	or,		no	no	no	no	no	no	no	no	no	S
3096:47	and we monitor, um, anything that --n4059cb comes out of a stack, or out of a building,		yes	yes	no	no	no	no	no	no	yes	S
3097:3	or, um, we do have customers that, um, --n405ae3 their concerns are in the work place		no	yes	no	no	no	no	no	no	yes	S
3132:21	he has inputs, or gets inputs from, uh, an environmental engineer. mumblex.	gets inputs from, uh, an environmental engineer. mumblex	yes	yes	yes	no	no	no	no	no	yes	S
3154:67	and if, if anything --n406d0e ever happened, god forbid, you know, a building explosion or something tha-, we'd be able --n406d65 to track chemicals from that building with our weather station.	something	yes	yes	no	no	yes	no	no	no	yes	S
3162:28	and, um, do you like classic rock, or modern rock, or which kind.	modern rock	yes	yes	no	yes	no	no	no	no	yes	SQ
3162:37	and, um, do you like classic rock, or modern rock, or which kind.	which kind	yes	yes	no	no	no	no	no	no	yes	SQ
3173:3	or is it like,		no	yes	no	no	no	no	no	no	no	SQ
3218:18	i listen to heavy metal or classic rock.	classic rock	yes	yes	no	no	no	no	no	no	yes	S
3422:78	and now you're singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d,		yes	yes	no	no	yes	no	no	no	yes	S
3547:52	the, the eighties are called --n406ca2, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff.	the	yes	yes	yes	yes	no	no	no	no	yes	S
3547:62	the, the eighties are called --n406ca2, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff.		yes	yes	no	no	no	no	no	no	yes	S
3673:70	and, uh, you know, whenever we, he, my husband has time off or something --n40055f, we take them to the zoo,	something	yes	yes	no	no	yes	no	no	no	yes	S
3674:3	or we, you know, we do everything we can possibly --n4006ea as a family.		no	yes	no	no	no	no	no	no	yes	S
3698:227	we have, we try --n400f23 to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going --n400ff6 in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get --n401065 to know them	something like that	yes	yes	no	no	yes	no	no	no	yes	S
3723:3	or we go in the backyard and sit down	we	no	yes	no	no	no	no	no	no	yes	S
3745:70	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,		yes	yes	no	yes	no	no	no	no	yes	S
3745:79	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,		yes	yes	no	yes	no	no	no	no	yes	S
3745:126	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,	something like that	yes	yes	no	no	yes	no	no	no	yes	S
3752:96	our, our whole weekends are divi-, are devoted --n402651 to our children except for we might go out, you know, one evening or something,	something	yes	yes	no	no	yes	no	no	no	yes	S
3785:19	it was about a year or so ago, when we went --n403044.		yes	yes	no	no	yes	no	no	no	yes	S
3823:3	or they think it --n403d00's wonderful just --n403d13 to go to mcdonald's, you know,	they	no	yes	no	no	no	no	no	no	yes	S
4031:54	well, you know he was, when was it --n401af5, last year or year before last, he was voted --n401b28 the sexiest actor in movies, or something.	year before last	yes	yes	no	yes	no	no	no	no	yes	S
4031:101	well, you know he was, when was it --n401af5, last year or year before last, he was voted --n401b28 the sexiest actor in movies, or something.	something	yes	yes	no	no	yes	no	no	no	yes	S
4095:16	i read about two or three novels a week, in addition to all the technical stuff.		yes	yes	no	no	no	yes	no	no	yes	S
4286:19	i've never done aerobics or any sort of structured,	any sort of structured	yes	yes	no	no	no	no	no	no	yes	S
4299:52	and perhaps, it's because somehow that implies to me it's not fun, or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
4317:123	so, um, and i feel that way too as far as, you know, just sitting and doing, you know, to, the idea of doing fifty sit-ups or something, you know,	something	yes	yes	no	no	yes	no	no	no	yes	S
4329:8	or, but, but i do try and, um, i do try and regulate how much exercise i get --n401c47 a week.		yes	yes	yes	no	no	no	no	no	yes	S
4439:81	um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,	something	yes	yes	no	yes	yes	no	no	no	yes	S
4439:108	um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,	something like that	yes	yes	no	no	yes	no	no	no	yes	S
4480:38	you'll get organizations, like institutes for the whole health, or whatever.	whatever	yes	yes	no	no	yes	no	no	no	yes	S
4481:153	and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that		yes	yes	no	yes	no	no	no	no	yes	S
4481:159	and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that	something like that	yes	yes	no	no	yes	no	no	no	yes	S
4485:43	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.	just stress management	yes	yes	no	yes	no	no	no	no	yes	S
4485:54	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.	just diet	yes	yes	no	yes	no	no	no	no	yes	S
4485:63	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.	anything	yes	yes	no	no	yes	no	no	no	yes	S
4496:104	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.		yes	yes	no	no	no	no	no	no	yes	SQ
4500:26	do you think the program came first or the,	the	yes	yes	no	no	no	no	no	no	yes	SQ
4532:34	i'm not sure if it was a meditation practice, or if it was, you know, which --n40676a is similar to a stress management practice or alternates to, uh, a m a approved medicine.		yes	yes	no	yes	no	no	no	no	yes	S
4532:95	i'm not sure if it was a meditation practice, or if it was, you know, which --n40676a is similar to a stress management practice or alternates to, uh, a m a approved medicine.	alternates to, uh, a m a approved medicine	yes	yes	no	no	no	no	no	no	yes	S
4535:29	and more and more people start --n406aaa believing them or wondering how to combine them with other things --n406ae1,	wondering how to combine them with other things --n406ae1	yes	yes	no	no	no	no	no	no	yes	S
4583:35	and they combine it with a, you know, meditation or whatever. some sort of relaxation	whatever	yes	yes	no	no	yes	no	no	no	yes	S
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things --n409b40.		yes	yes	no	no	no	no	no	no	yes	S
4707:15	north, south, east, or west.		yes	yes	no	no	no	no	no	no	no	ADVP
4758:85	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted --n4011ee, or a gal is convicted --n40120d, of a crime, rather than put them in prison, because prison's proven --n401258 not to work, just let them go.	a gal	yes	yes	no	no	no	no	no	no	yes	S
4799:38	and they're still let --n401fb3 out on the street after one or two years.		yes	yes	no	no	no	yes	no	no	yes	S
4824:3	or, you know, there's other consequences rather than killing them, you know,		no	yes	no	no	no	no	no	no	yes	S
4874:87	you know, and you look at our society, almost everyone out on the street that --n40392f has been in prison, has been in prison three or four times.		yes	yes	no	no	no	yes	no	no	yes	S
4876:6	three or four times,		yes	yes	no	no	no	yes	no	no	no	NP
4951:3	or you can die.	you	no	yes	no	no	no	no	no	no	yes	S
4983:3	or what --n405b5b's even worse, is they promote them into a position that they can't handle --n405ba6 and let them get fired --n405bc1.		no	yes	no	no	yes	no	no	no	yes	S
4987:13	or, one thing or the other.	the other	yes	yes	no	no	no	no	no	no	no	FRAG
5071:3	or is this mainly cross-stitching.		no	yes	no	no	no	no	no	no	no	SQ
5202:30	i've been doing it for probably ten years or so.		yes	yes	no	no	yes	no	no	no	yes	S
5335:47	well, i know even if you watched a b c, n b c or the other,	the other	yes	yes	yes	no	no	no	no	no	yes	S
5678:36	and it's only a couple of hours away or a hour away to a, you know, to a large city.	a hour	yes	yes	yes	no	no	no	no	no	yes	S
5693:51	and they're asking like for a, uh, g p a of like three point seven or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
5704:6	whether or not they get it is hard to say.		yes	yes	no	no	no	no	no	yes	yes	S
5766:10	they civilians or, uh, military.		yes	yes	no	no	no	no	no	no	no	SQ
5974:6	illegal or something like that,	something like that	yes	yes	no	no	yes	no	no	no	no	ADJP
5978:22	like if you're stealing something or doing anything like that.	doing anything like that	yes	yes	no	no	no	no	no	no	yes	SBAR
6139:63	both, both in terms in ram as well as, uh, you know, standard memory or disk mem-, disk base,		yes	yes	no	no	no	no	no	no	yes	FRAG
6194:35	so. i don't know if you participate in that or not,	not	yes	yes	no	no	no	no	no	yes	yes	S
6291:93	i, i, fr-, you know, i, i debate about whether it's really good or not, you know.	not	yes	yes	no	no	no	no	no	yes	yes	S
6353:63	she said, now, do you all want him to go to a, a state college or a private college.	a private college	yes	yes	no	no	no	no	no	no	yes	S
6363:73	it --n4059d8 amazes me how much the, the costs are going --n405a07 to go up over the next ten or fifteen years --n405a36.		yes	yes	no	no	no	yes	no	no	yes	S
6435:41	i don't even remember if it was in the dallasite --n4076a8 or the insite --n4076bb one, about uh, companies allowing you,	the insite --n4076bb	yes	yes	no	no	no	no	no	no	yes	S
6465:51	uh, and, and i would certainly support something like four to one or five to one		yes	yes	no	no	no	yes	no	no	yes	S
6466:7	or, or, you know, maybe they want --n408720 to get generous and make it three to one.		yes	yes	yes	yes	no	no	no	no	yes	S
6466:14	or, or, you know, maybe they want --n408720 to get generous and make it three to one.		yes	yes	no	no	no	no	no	no	yes	S
6480:57	but it should be a standard and, and not left --n408a48 up to either the whim or the current overhead rate t-, uh, that --n408a8b's running in each department.	the current overhead rate t-, uh, that --n408a8b's running in each department	yes	yes	no	no	no	no	yes	no	yes	S
6505:69	the question was, um, what, what is your opinion of youth, uh, spending a year or two in, in public service --n4000a4.		yes	yes	no	no	no	yes	no	no	yes	S
6514:90	seems like there's so many kids that --n4004b4 don't have any since of, you know, what they want --n4004ef to be --n4004fe or do --n40050d	do --n40050d	yes	yes	no	no	no	no	no	no	yes	S
6515:3	or, you know, they could learn something and maybe help other people at the same time		no	yes	no	no	no	no	no	no	yes	S
6625:69	i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought --n4031a8, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,		yes	yes	no	no	no	yes	no	no	yes	S
6629:3	or it can be,	it	no	yes	no	no	no	no	no	no	yes	S
6641:97	people that --n403795 might benefit most from it --n4037b0 might not go in that situation, you know, like people that --n4037eb really are trapped --n4037fe in a ghetto or something like that.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
6720:119	really there could be, um, some scandals involved, if, you know, it wasn't people that --n405121 were really fair and le-, you know, in a legal way or something,	something	yes	yes	no	no	yes	no	no	no	yes	S
6724:57	they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397,	one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397	yes	yes	no	no	no	yes	no	no	yes	S
6725:3	or,		no	no	no	no	no	no	no	no	no	S
6745:67	and they, they built, uh, can't think of a good example, a swimming pool, or anything, you know,	anything	yes	yes	no	no	yes	no	no	no	yes	S
6751:6	unfair or something,	something	yes	yes	no	no	yes	no	no	no	no	ADJP
6772:70	you don't hear much on the news about young people really, you know, wanting --n4065c0 to do anything good or anything like that,	anything like that	yes	yes	no	no	yes	no	no	no	yes	S
6833:28	but, uh, unless there was a flood or a fire or something like that, red cross, it was so many of them in it, that at any particular chance, your chance of having --n408533 to do something was, it was very slim.	a fire	yes	yes	no	yes	no	no	no	no	yes	S
6833:35	but, uh, unless there was a flood or a fire or something like that, red cross, it was so many of them in it, that at any particular chance, your chance of having --n408533 to do something was, it was very slim.	something like that	yes	yes	no	no	yes	no	no	no	yes	S
6904:85	well, um, with credit cards is, me, i, uh, i try --n400062 to get maybe just one or two,		yes	yes	no	no	no	yes	no	no	yes	S
6939:40	see they make money off of it, whether you use it or not.	not	yes	yes	no	no	no	no	no	yes	yes	S
7017:103	well the, the other thing some people are not aware of --n402341, is they will use their a, their credit card like their visa or their mastercard for cash	their mastercard	yes	yes	no	no	no	no	no	no	yes	S
7047:48	i mean, i get, i get at least one or two a week. people, t-, you know, sending me a credit card or calling me on the phone		yes	yes	no	yes	no	yes	no	no	yes	S
7047:104	i mean, i get, i get at least one or two a week. people, t-, you know, sending me a credit card or calling me on the phone	calling me on the phone	yes	yes	no	no	no	no	no	no	yes	S
7184:87	if i could have, if i could make it on the road, i'd like --n4011c1 to play on like a bluegrass band or something,	something	yes	yes	no	no	yes	no	no	no	yes	S
7449:24	and whether you vote for one person or the other person, the issues is what, you know, what you believe in --n400632,	the other person	yes	yes	no	no	no	no	no	no	yes	S
7486:45	they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are now, you know, would never be thought of --n4019b0 --n4019b7,		yes	yes	no	no	no	no	no	no	yes	S
7548:46	and then once they do get elected --n4037c4, they don't have the power or the authority or the willingness --n403803 to do those things that they promised --n403826, you know, beforehand --n403841.	the authority	yes	yes	no	yes	no	no	no	no	yes	S
7548:53	and then once they do get elected --n4037c4, they don't have the power or the authority or the willingness --n403803 to do those things that they promised --n403826, you know, beforehand --n403841.	the willingness	yes	yes	no	no	no	no	no	no	yes	S
7590:124	and they're the ones that, uh, you know, --n404908 really know what --n40491b's going on, have the experience and seen, you know, how politicians can, you know, screwup --n404976 or what ever.	what ever	yes	yes	no	no	yes	no	no	no	yes	S
7684:47	i don't know how long it takes --n4062ca whether it takes five minutes or twenty minutes.	twenty minutes	yes	yes	no	no	no	yes	no	no	yes	S
7864:64	and it's going --n402145 to have little shopping centers in it and little like a lake or something running through it.	something	yes	yes	no	no	yes	no	no	no	yes	S
8008:62	because, you know, you never know where they are going --n404ad6 what they'll report --n404aed or,		yes	no	yes	no	no	no	no	no	yes	SBAR
8347:26	and they're good for about five years or four years	four years	yes	yes	no	no	no	yes	no	no	yes	S
8419:45	well, have you any plans to, uh, maybe, uh, expand or move onward.	move onward	yes	yes	no	no	no	no	no	no	yes	SQ
8447:73	so at least we know we're, it's not going --n402dc2 to fall in or something if it's built --n402ded.	something	yes	yes	no	no	yes	no	no	no	yes	S
