"tgrep.id","entire.sentence","DE_operator.x","DE_operator.y"
"68173:145","""but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen.""","wh","not available"
"143238:29","""and so, uh, we really want four or five bedroom house""","wh","not available"
"37711:31","when it startsa costing you fifty or a hundred dollars to go to a game","relclause","wh"
"1131:129","""are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded on a day-to-day basis or either on a growing frequency.""","relclause","not available"
"45097:54","""now some people object during primaries, having to declare a party, whether republican or democrat""","wh","not available"
"106206:40","i eat differently than what i could eat at home or around here.","relclause","not available"
"158308:59","""and this is supposed to be a very well-known center here in tyler who had two or three, um, centers, all over, you know, the, um, city""","relclause","not available"
"98974:28","""when i only do something one, two or three times i'm hardly an expert on it,""","relclause","wh"
"26845:102","""and, i guess even back to kennedy, as a matter of fact, i guess kennedy may be the one that actually started the thing, or was, you know, really interested in things like that.""","relclause","not available"
"174107:42","""and there's always that, that chance that one or two people could be playing devil's advocate for a good reason, you know.""","relclause","not available"
"68690:54","""mumblex, they don't want anyone with exper-, anyone with particular experience or knowledge of the legal system.""","not available","negation"
"157037:38","""and why, does it just turn out to be genetic or biochemical in origin.""","wh","not available"
"37011:85","""but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,""","not available","negation"
"163866:106","""what's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft, you know, it, things of that nature.""","wh","not available"
"74280:75","""and you can't make up in a classroom of one hour a day, what's not been doned for, fifteen or sixteen years at home,""","not available","wh"
"59994:62","""we're just not willing to set a society not willing to spend the time or the money to do what it takes,""","not available","negation"
"20160:209","""i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i thinkb it, it would bring in a lot of, uh, people that are, run out of other countries or in trouble in, in other countries.""","relclause","not available"
"147719:68","""is it p-, do you think it's possible to have honesty in government or an honest government.""","wh","not available"
"155454:77","""so that, that option sometimes is not availA-Ble if they do not have the, uh, either medicare or insurance to cover it.""","antecedent","negation"
"42958:70","""but, boy if someone did break in, i don't, i don't know that i could or would even grA-B it.""","not available","relclause"
"13033:62","""and i never have figured out how he won, uh, entertainer of the year for A-Bout, three or four years in a row.""","wh","not available"
"173993:39","""but if you have a problem with what we did or how we did ita, you can always come back and talk to me A-Bout it.""","antecedent","wh"
"168511:31","and i don't believe they do in germany or italy either","not available","negation"
"48293:58","""i guess i have never heard of a, a robbery being foiled or spoiled because the person whoe's being robbed had a gun.""","negation","not available"
"25750:101","""i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two or three shots out, uh, out of my game every time and put them together on one hole, then i do pretty good""","relclause","not available"
"24736:40","""and are you talking A-Bout public schools being lower level, high school level or state school.""","wh","not available"
"160000:141","""and, uh, i guess, uh, first and foremost, it, really it's a question of what the student wants to have in the way of a career and then, uh, uh, which colleges or universities can best offer that program,""","not available","wh"
"52191:66","""and, a lot of times, what i wind up doing is, picking say an actor or an actress, and seeing like all,""","wh","not available"
"27895:52","""they went through the, uh, parent thing where you've got to practice or you're not going out to play thing,""","relclause","wh"
"139014:49","""people that i know that come from, uh, like georgia or north carolina, yeah, they say, it's,""","not available","relclause"
"78975:34","""you know, i didn't know anything A-Bout bush or dukakis.""","not available","negation"
"98771:31","""and i think if i look back fifty or a hundred years i'd say, you know, back then there were the opium dens""","antecedent","not available"
"123350:27","i don't know that it would or wouldn't.","wh","negation"
"73888:61","""so, i'm trying to think of anything else that's changed over the last ten or twenty years.""","wh","not available"
"14141:68","""i would much prefer that they keep their analysis to themselves. um, since i don't necessarily agree with it or it tends to be extraordinarily trite.""","negation","not available"
"42553:48","""i don't think they're going to go to a gun store or pawn shop and get it the right way when there's a check,""","not available","negation"
"138255:100","""well and with a radial arm saw, if you do have a, a big piece of wood that you need to rip, like you say, or cutd, you wouldn't be A-Blec to do that.""","antecedent","not available"
"108517:95","""uh, i, i guess i like the shows that really have a real sense of, uh, i don't know, honesty or sort of a purity value, i guess.""","relclause","not available"
"171201:237","""but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that convicts a person, which i don't think is all the time good. because sometimes it's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness.""","antecedent","negation"
"46504:48","""and i guess maybe that's the way tokyo isc too, or japan is too.""","not available","relclause"
"33521:77","""when you go over there does it bother you in terms of how things are arranged, either at the dallas location or the spring creek, in terms of, there's so much, it's so much of a weight orientation, weight lifting, et cetera.""","wh","not available"
"90647:28","""and i'm not sure that the private schools or parochial schools address that problem,""","not available","wh"
"43991:16","""are you talking, outside or inside.""","wh","not available"
"28157:45","""it's just convincing your husband that that's important, or that it's important enough for him to do it.""","not available","relclause"
"104317:89","""and, uh, it kind of makes me listen a little closer to, to the piano when i hear it at other places, or when i, you know, see some, see and hear someone playing.""","not available","wh"
"116286:60","""and what they ran on in platform don't necessarily come true in their voting in the senate or congress, whatever.""","wh","not available"
"127492:21","do you do it at home or a club","wh","not available"
"112636:68","""and, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, i would have liked to.""","not available","negation"
"139927:102","""well, i, i was wondering what, if you all were to get a pet, like if you werec to move into an apartment or a house somewhere,""","relclause","antecedent"
"26538:60","""we won't, we don't, we won't get the recorder or the, uh, system to shut us off, uh, tonight.""","not available","negation"
"99028:72","""so we don't know what is really going on, what is, uh, really the range of sentences or awards that are, uh, are actually, uh, in the end applied.""","wh","negation"
"85977:40","""i, i don't judge any war as good or bad,""","not available","negation"
"24633:46","""so i don't know if i wasn't drug tested based on that or because the man who hired me didn't request the drug test, because i know that my company does drug testing on occasion.""","wh","negation"
"103990:134","""i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel for maybe what's good jazz and what's not,""","not available","negation"
"132975:27","""i'm not sure those are avis or not,""","not available","negation"
"116314:89","""i don't think the, you know, i don't think money is going to take the place of intelligence or, uh, problem solving skills.""","not available","negation"
"152534:46","it's more of the game plan of how do they convince the judge or jury through argument.","wh","not available"
"99075:72","""but often juries hear only a fraction of the, of the story when they have to decide guilt or innocencef.""","wh","not available"
"59539:31","""like you said if you had four kids, or even if you had two kids, you would be paying all your salary to pay for those two kids to go.""","antecedent","wh"
"115553:41","""you want to go ahead and tell me your favorite team, or who you think will be doing well this year.""","wh","not available"
"116760:45","""because when you get married, you won't have the money or the time.""","not available","negation"
"48254:34","""the, the crime is not any better or any worse,""","not available","negation"
"104851:51","so occasionally i'll bring whatever i've got laying around the car or the like and throw them in there.","wh","not available"
"31268:79","""the people that took, you know, the lower level courses, i sometimes wondered, you know, are they really even educatA-Ble or trainA-Ble""","wh","not available"
"151327:145","""well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs.""","not available","negation"
"176348:81","""but where it's not necessary, uh, in that regard, where it's not an immediate threat to life and limb or property uh, i, i'd, i would seriously question it.""","not available","negation"
"153376:44","""so frank, what, uh, type of, uh, budget do you or your family have.""","wh","not available"
"170868:28","""if they're associated with a college or a university, they're usually a pretty good bet.""","not available","antecedent"
"163718:34","""but they're not in it to say anything or give a message which is what they were do-,""","not available","negation"
"149345:54","""well, do you live, you, you in a house, or a place where you, uh,""","wh","not available"
"24421:57","""and it, and if it's possible even get some experience at it or at least watch some people do it.""","not available","antecedent"
"155977:76","""and i know that's not due to, uh, it's not due to, to gasoline or to, you know, carbon monoxide so much as the c f c --s""","not available","negation"
"162850:90","""and you, and you don't always even know if it's, it's going to be the right place or not.""","not available","wh"
"1433:51","""i mean people will just look at you as a person and not as a man or a woman,""","not available","negation"
"108299:58","""but when i don't need to dress up for a, a meeting or a service of some sort, i don't.""","wh","not available"
"83845:40","""how did you put that many miles on it, in, four or five years.""","wh","not available"
"151762:61","""it's burned so completely, that you don't have any, uh, nitrous oxides, uh, or oxides of nitrogen, uh, to, uh, form because of, by virtue of the very combustion process of the diesel engine, because diesel oil is, uh, is not very volatile. you know, where gasoline, if you leave a little pail of gasoline out before long it's gone.""","not available","negation"
"169950:101","""i used to initially think that the only people who went into such residences were people who, uh, were adequately deficient in their A-Bilities, uh physical or mental, that they couldn't take care of themselves.""","relclause","not available"
"75445:52","these days they have these tiny little things that are only A-Bout the size of two or three pencils","relclause","not available"
"104819:118","""--ing seems to be a, a topic that's going to probA-Bly take A-Bout a generation to, uh, catch on, it seems, or maybe a generation to two.""","relclause","not available"
"175379:45","""see, wh-, when you're with a big company or a big organization, a lot of times, uh, you know, the benefits are good""","wh","not available"
"152408:21","are you talking A-Bout with criminal or civil suits.","wh","not available"
"37241:60","""but when i run into people that, you know, just have recently had bA-Bies or have very young children and are working full time, i, there's almost a, uh, friction between us.""","relclause","not available"
"24108:42","""i think if you're going into like, uh, law or medicine, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution.""","antecedent","wh"
"175996:35","""and, uh, my mother hardly ever spent anything on herself or on the house.""","negation","not available"
"109014:41","i don't haved to run to the store to buy or look for something i haven't heard of.","not available","negation"
"73659:91","""is it, is it the one that needs, needs more supervision that has a bad influence on the older or more mature one.""","wh","not available"
"18325:82","""have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not.""","wh","not available"
"120949:44","""now is there anything, uh, are there any mountains or big rocks a person could hike around this area.""","wh","not available"
"59982:90","""and there's, you know, there's people in our prisons that are not being rehA-Bilitated in any way, shape, or form,""","relclause","negation"
"86259:83","""you, you don't havef to worry A-Bout filling out forms, uh, you know, for reimbursement and all or, you know, getting paid eight percent of, of whatever.""","not available","negation"
"90727:39","and i have a problem when they compare the kids in japan or germany to the kids here.","wh","not available"
"105339:114","""but, uh, in the long run, it seems to me, it's kind of like what they keep talking A-Bout the, uh, the aids testing with doctors or dentists and things and how that, you know,""","not available","wh"
"138712:57","""uh, i don't remember what they call it, sort of like a positive, negatives or some, some kind of word they use when a, uh, you get a, uh, a positive indication of drugs, but there's not really, there weren't really any there.""","wh","not available"
"150084:23","""i think they test four or five a day, actually exploding the air bags""","wh","not available"
"89690:14","""whatever you ask or scream when i'm on the phone, the answer is no.""","not available","wh"
"120009:68","""and there really is a lot we could be doing stateside without, uh, hurting our international aspects or straining any international relations i think,""","not available","negation"
"159146:81","""you know some of the health insurance is written that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much""","antecedent","not available"
"19728:70","where's some reference to this goddamn state of texas and the role that they played either leading up to or in the civil war.","relclause","not available"
"173714:78","""uh, people are, uh, reluctant to pass, uh, school tax levies even, uh, when the money is needed or would be well spent because it's, uh, they don't have kids in the schools.""","not available","wh"
"95903:41","""however, this isn't a problem that we haved either alcohol or drug,""","not available","relclause"
"29097:92","""i do see a problem with graduating people that, that can't read and are not, you know, productive in society or productive to themselves""","not available","negation"
"102873:33","""and, i don't know who was here or whether jay called a friend""","wh","negation"
"150321:38","""um, i like to play tennis in the summer time or in the spring, fall,""","not available","negation"
"169798:47","""if someone was out to get you, i think that a company or a boss could use this.""","not available","relclause"
"39729:68","""but usually if i'm, if i'm, if i take a day off or on the weekend especially, i try to cook, real, real food.""","relclause","antecedent"
"72683:22","""have you ever read, uh, or heard of the book this present darkness.""","wh","not available"
"76699:90","""if we see a child that we have any reason, that's on drugs, such as if he's got a beeper or if they're, if they're flashing lots of money around. we've, there are certain things to do.""","antecedent","not available"
"110659:25","""well, i don't believe in drugs or alcohol,""","not available","negation"
"43673:83","""i just go to be entertained and and not really interested in some of the, like the terminator or some of the schwarzenegger stuff.""","not available","negation"
"165235:41","""and then i can decide whether i want them to do it or whether i can do it, see.""","not available","wh"
"41402:51","""and then, when they, when they talked to us or when they sent us the letter, it, uh, you know, to get the information and all, it asked, you know, will you be willing to bring""","not available","wh"
"77160:37","""an awful lot of people know where it is, or have been there.""","wh","not available"
"72570:97","""and, um, i like to read books on improve, like family, marriage, you know, things that are written by like christian authors or, um, doctors A-Bout family and, you know, how to improve your homeb and all that kind of thing.""","not available","relclause"
"4874:87","""you know, and you look at our society, almost everyone out on the street that has been in prison, has been in prison three or four times.""","relclause","not available"
"24732:44","""is, is, is it doing a good job or a bad job""","wh","not available"
