TGrepID	EntireSentence	context	BestResponse
103644:84	i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well.	###it's just, you know, a possible solution in the future, i think --n404844, maybe to help in some ways.###.###yes.###.###it may not in all ways.###maybe they'll come up with fusion. you know, con-, be able --n404a0e to control it.###i don't know how long that'll take --n404b2a,###but, one of these days,###because that's perfectly clean.###.###yes.###.###it's just we can't control it.###right now it --n404cf3 takes more energy --n404d06 to cause fusion to occur then you get out,###so, it isn't,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going --n404f3f to work.###at least not now.###but, uh, who --n404fef knows what the future will hold --n40500e. uh, as far as energy goes,		i, i think, with solving all of the energy, future energy problems, we'll probably solve all of the pollution problems as well.
169890:62	we used --n401bb3 to go once a month, once every two months --n401be2 to visit some of the patients there.	###and we go there, uh, once a year.### we see, we tend --n400fff to see her there cause we're in boston###so we're pretty far away.###when we visit minnesota --n40114f though we go --n401162 to see her.###.###uh-huh.###.###and it seems, uh,###i mean the, the environment there, i don't know too much about it###but it, it seems nice enough.###uh, it, it's hard,###at least half of the residents i would say --n40148b are not, not mentally sound.###so it --n40156d's hard to tell how much of that --n401598 rubs off on those who --n4015b3 are struggling --n4015c2 to r-, to retain, uh, clarity, say, uh, you know.###.###from the lack of stimulation, you mean --n4017c5.###.###yeah.###well i, i don-, i don't know.### we, we --n40192d also, my wife and i, uh, uh, volunteer --n401964 to go to a, uh, nursing home that --n401993's just a mile from our house.### we, uh, she goes more often than i.	we used --n401bb3 to go once a month, once every two months --n401be2 to visit all of the patients there.
140818:41	well, we've heard bad, we've heard some bad things about some of those, you know,	###uh-huh.###.###and we can't because it's not accustomed to --n403056 being on a leash###.###yeah.###.###and so it, i mean this dog really feels like it's being killed --n403153 or something when you try --n40316e to, you know, tug on it --n403195 to walk it --n4031a8.###i mean, it just goes like a mad dog,###i mean it just jumps up and down and starts --n4033ed yapping,###and it's, you know, i mean, it's not even close to even being trained --n4034cd on a leash.###.###does it, oh.###.###.###uh-huh.###.###.###you know, maybe you nee-, you can get it signed --n403671 up this spring or summer for some of the dog obedience classes.###.###uh-huh.	well, we've heard bad, we've heard all bad things about some of those, you know,
155121:37	uh, a colleague of mine at, uh, work got some information over, uh, the computer network called internet.	###.###that sounds good.###but, uh, uh, i was just curious, what, uh, part of the country.###.###oh, stockton.###.###oh, okay.###.###how about you.###.###uh, cincinnati, actually.###i was kind of wondering if they would be collecting people with, uh, the western accents or something like that.###i don't know how many people --n40287f are, uh, getting involved in this###but uh, well that's interesting.###.###uh-huh.###.### i'm, uh, uh, actually, uh, i was kind of interested if you found out about the study by, uh, --n402a1e reading telecom digest###or was there another.###.	uh, a colleague of mine at, uh, work got all information over, uh, the computer network called internet.
156086:35	well, not, not as hard as some places out west because you don't get the, uh, major pollution sources as you do out in denver --n403d83 with the inversion and los angeles and a-, rest of california which --n403dbe is just terrible it sounds.	###uh-huh,###yeah.###yeah,###.###you don't get that, that source of cleansing anymore.### are, have you been in big cities a long time.###.### mostly, i've mostly been in the east coast,###so that's going between atlanta, washing-, d c area,###.###.###okay,###so you've got,###.###a-,###.###yeah,###those are actually areas that --n403c0e are hit --n403c1d pretty hard, i would think --n403c40.###.###speakerb67-1*t67-1.	well, not, not as hard as all places out west because you don't get the, uh, major pollution sources as you do out in denver --n403d83 with the inversion and los angeles and a-, rest of california which --n403dbe is just terrible it sounds.
99158:38	but, you don't know, uh, i guess at some of the other schools you go to --n4014f1 unless you've been there.	###well, i bet you're, you're, you may dress differently, then, for that.###.###right.###i,###well, not really.### i've got the, every day i've got --n400999 to, uh, read to kindergartners,###so i'm going --n400a96 to be down on the floor with them.###i've got about forty kindergartners i'm going --n400b67 to be doing, working with --n400b86 every day for, uh, you know, a half hour.###so i'll be, i'll probably be wearing slacks as often as i do because i'm, i'm, if i'm going --n400d83 to be down on the floor --n400da2 messing with them, i'm not going --n400dc9 to wear nylons and, you know nice nylons and dresses.###.###well, what i wear --n40109c sometimes depends on, on how cold i think the school might be --n4010db or what room i might be in --n4010fe since i'm a sub, and have different rooms to go to --n401141. and always carry a sweater.###.###.###right.###.###.###well, of course, you've been at clark enough that you know it's always cold.###.###yes.###.	but, you don't know, uh, i guess at all of the other schools you go to --n4014f1 unless you've been there.
152284:11	like in some of the large oil companies. there has been massive lay offs.	###.###well, you know that's interesting though.###because i don't know if that's necessarily the case anymore.###i use --n4012f3 to think that, you know, after you work,###you mean security, job security.###.###job security,###yes.###.###uh, that use --n401487 to be i think a couple of years ago,###but i don't know if it is so much anymore.###in fact, they, we just had a lay off in what november, i guess.###.###uh-huh.###.###but, uh, it wasn't necessarily,###i mean, you know, some people had been there a long time.###.###yeah,###we are seeing that here as well.	like in all of the large oil companies. there has been massive lay offs.
56109:69	it --n408a31's just probably a good thing that the oil's burning and may, may, make some people realize that hey, you know, this stuff runs out.	###and i, i'm worried that it, it might, you know, it'll, it, the same thing will happen.###it's like, you know, environmentalism was really big for a couple of years###and then people like, well, you know,###i'd ruther, rather spend, you know, fifty cents less on, uh, on, on such and such, you know,###and even if it's not environmentally safe, who --n407f3a cares, you know.###.###i'm sure the pendulum will swing the other way.###uh, there have been too many other things that it's done that for --n4080b7, just in my life.###and if you look at history at all, you see that, you know, uh, we go from one side to the other on just about any subject, that you, one might care --n40822e to bring --n40823d up.###.###yeah.###.###but, it --n408407 is comforting to me to see, uh, more concern about some of these things that, that --n40845e cost us money.###especially when we have dwindling, uh, resources such as oil that --n4085db's burning out of control in the persian gulf, and, and so forth --n40861e.### just, just every little bit does,###it makes me feel --n4087d6 better.### it, it makes me feel like, well, there may be something left for my children, my nieces and nephews and so forth.###.###well, yeah, uh.###well, uh, wouldn't,	it --n408a31's just probably a good thing that the oil's burning and may, may, make all people realize that hey, you know, this stuff runs out.
167359:42	and, uh they have put plastic, plexiglas kind of stuff in some of the windows.	###right.###.###have you,### what, what, are you putting --n402d15 in###triple glaze or double glaze or,###.###no.### we just, we just went into a building supply store and bought plate glass.###my parents do not have a whole lot of money to put --n402f0d into it.###.###oh, okay.###okay.###.###and, uh, but it,###see in a lot of the windows.###.###uh-huh.###.###uh, it's, the house is eighty years old###and it's had several owners and stuff	and, uh they have put plastic, plexiglas kind of stuff in all of the windows.
94780:11	and, uh some people do	###.###yeah.###.###so, the officer idea is a good idea.###.###yeah,###well we've, uh, had various things --n404f25 over the years, uh, --n404f48 to raise funds for it###.###uh-huh.###.###and again, it's not, it --n40506c's not cheap to rent the lodge up there or the meeting room down in the cabins and such,###.###yeah.###.###but, uh they've come up with,###.###uh-huh.###.###they've tried --n405297 passing the hat,###and they've had auctions and various things --n40531c to raise funds,	and, uh all people do
