"tgrep.id","entire.sentence","Sentence_type","DE_operator","Numeral","And_test","Or_both_test","Actually_test","Disjunct_relation","Disjunct_individuation","MainReferent","Habituality","SIMean","PropGoodSentence","SentenceLength","eitherPresent","orNotPresent","cluster","PrototypicalSentence8","n","Cluster"
"16299:25","""you have to cut each thing or, you know, use the melon baller and stuff""","declarative","not available","nonum","change","nochange","nochange","A<B","different","generic","static",0.511111111111111,0.777777777777778,73,"no","no",7,"no",90,"7--90"
"71989:47","""just, because yo-, you don't like to or because, because you won't be able to.""","interrogative","wh","nonum","change","nochange","change","A~B","different","non-generic","static",0.432222222222222,0.666666666666667,80,"no","no",8,"no",126,"8--126"
"15459:47","""i think i had some other, uh, like staying in shape or working out.""","declarative","not available","nonum","nochange","nochange","change","A<B","same","non-generic","static",0.376666666666667,0.888888888888889,69,"no","no",3,"no",120,"3--120"
"21517:53","""do you think that's why most rock stars nowadays keep their marriages secret, or at least they keep it quiet.""","interrogative","wh","nonum","change","not available","change","A>B","same","non-generic","static",0.414444444444444,0.555555555555556,111,"no","no",1,"no",113,"1--113"
"165394:22","do you have a two income family or one income.","interrogative","wh","num","change","not available","change","A~B","different","non-generic","static",0.622222222222222,0.333333333333333,46,"no","no",2,"no",147,"2--147"
"109881:25","is it one you're renting or buying.","interrogative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.681111111111111,0.333333333333333,35,"no","no",2,"no",147,"2--147"
"90213:76","""he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,""","declarative","not available","nonum","change","not available","change","A~B","different","non-generic","static",0.791111111111111,0.888888888888889,109,"no","no",6,"no",169,"6--169"
"6465:51","""uh, and, and i would certainly support something like four to one or five to one""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.516666666666667,0.777777777777778,82,"no","no",5,"no",381,"5--381"
"60507:76","""you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,""","declarative","not available","nonum","change","nochange","nochange","A~B","same","generic","habitual",0.523333333333333,0.777777777777778,159,"no","no",4,"no",98,"4--98"
"29727:27","and it usually takes long stitches over two or three openings in the cloth","declarative","not available","num","change","not available","nochange","A~B","same","expletive","habitual",0.677777777777778,0.777777777777778,74,"no","no",5,"no",381,"5--381"
"12168:38","""you should, uh, pursue that i think, or patent it, you know.""","declarative","not available","nonum","change","nochange","change","A<B","different","non-generic","static",0.182222222222222,0.444444444444444,62,"no","no",8,"no",126,"8--126"
"93711:49","""you may meet people, you know, thirty years older than you, or younger,""","declarative","not available","num","nochange","nochange","change","A~B","different","generic","habitual",0.272222222222222,1,73,"no","no",3,"no",120,"3--120"
"176953:48","""they always like to be able to attract the, uh, einsteins or the professor chou""","declarative","not available","nonum","nochange","nochange","nochange","A~B","same","non-generic","habitual",0.388888888888889,0.666666666666667,81,"no","no",3,"no",120,"3--120"
"7684:47","i don't know how long it takes whether it takes five minutes or twenty minutes.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.588888888888889,0.444444444444444,79,"no","no",5,"no",381,"5--381"
"27951:28","""and there was no such thing as a job or any hope of a job, unti-, well, unless,""","declarative","negation","nonum","nochange","not available","nochange","A>B","same","expletive","static",0.338888888888889,0.555555555555556,81,"no","no",4,"no",98,"4--98"
"174875:45","""then do they give you like one ch-, one more chance or two more chances.""","interrogative","wh","num","change","not available","change","A~B","same","non-generic","episodic",0.588888888888889,0.555555555555556,74,"no","no",5,"no",381,"5--381"
"74742:45","""and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets.""","declarative","relclause","nonum","change","nochange","change","A~B","different","non-generic","static",0.44,0.777777777777778,147,"yes","no",8,"no",126,"8--126"
"106986:61","""and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.564444444444444,0.666666666666667,114,"no","no",5,"no",381,"5--381"
"156661:22","""anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","episodic",0.308888888888889,0.444444444444444,131,"no","no",5,"no",381,"5--381"
"33856:25","i try to go real late or real early before they get there.","declarative","not available","nonum","change","change","change","A~B","same","non-generic","habitual",0.514444444444444,0.666666666666667,58,"no","no",1,"no",113,"1--113"
"28706:47","""we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,""","declarative","negpredicate","nonum","change","nochange","change","A~B","different","non-generic","habitual",0.462222222222222,0.555555555555556,112,"no","no",8,"no",126,"8--126"
"151239:56","but i'm not sure if if it's if you get caught or if you turn yourself in.","declarative","wh","nonum","change","change","change","A~B","different","expletive","static",0.67,0.555555555555556,73,"no","no",6,"no",169,"6--169"
"68309:44","""and maybe, now, i don't remember if thisa is texas or not, that has something about all drug dealers can be sentenced to the death sentence.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.27,0.222222222222222,142,"no","yes",2,"no",147,"2--147"
"101686:71","""usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home""","declarative","not available","num","change","not available","change","A<B","same","generic","habitual",0.351111111111111,0.555555555555556,112,"no","no",5,"no",381,"5--381"
"25522:55","""i guess, the first time i played golf has been probably about eight or ten years ago now, when i was in college.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.641111111111111,0.555555555555556,114,"no","no",5,"no",381,"5--381"
"59713:207","""what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed.""","declarative","not available","nonum","nochange","nochange","change","A~B","different","non-generic","habitual",0.31,0.777777777777778,318,"no","no",3,"no",120,"3--120"
"89425:17","""and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,""","declarative","not available","nonum","change","not available","change","A~B","same","non-generic","static",0.62,0.444444444444444,122,"no","no",1,"no",113,"1--113"
"20511:22","""well, we just started two or three weeks ago.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","episodic",0.695555555555556,0.666666666666667,47,"no","no",5,"no",381,"5--381"
"19248:44","""uh, but, of course, the people who have challenged that or tried to do, on-, have cor-, have not been world powers.""","declarative","relclause","nonum","change","not available","change","A>B","same","non-generic","habitual",0.368888888888889,0.222222222222222,117,"no","no",1,"no",113,"1--113"
"130233:71","""now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,""","declarative","not available","nonum","change","change","change","A>B","same","generic","episodic",0.318888888888889,0.222222222222222,145,"no","no",1,"no",113,"1--113"
"35393:113","""that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you for a new car.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.35,0.333333333333333,224,"no","no",5,"no",381,"5--381"
"164352:51","i think in some cases it doesn't matter if it's a deterrent or not.","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.546666666666667,0.222222222222222,67,"no","yes",2,"no",147,"2--147"
"165868:35","""and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters.""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.333333333333333,0.444444444444444,109,"no","no",5,"no",381,"5--381"
"170155:23","do you work for a big or a little place.","interrogative","wh","nonum","change","not available","change","A~B","same","non-generic","static",0.562222222222222,0.555555555555556,40,"no","no",2,"no",147,"2--147"
"98373:34","""and, uh, with luck, you'll have one or two thatc are good.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.514444444444444,0.555555555555556,60,"no","no",5,"no",381,"5--381"
"28108:116","""because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,""","declarative","not available","num","change","not available","change","A~B","same","non-generic","static",0.787777777777778,0.888888888888889,227,"no","no",5,"no",381,"5--381"
"127140:45","""and then there's kind of the, the branch manager level or marketing people that kind of do that middle thing.""","declarative","not available","nonum","nochange","nochange","change","A~B","same","expletive","static",0.4,0.777777777777778,111,"no","no",3,"no",120,"3--120"
"147025:20","we're wearing something lightweight or no jacket because we're so used to running around like that.","declarative","not available","nonum","change","not available","nochange","A~B","different","non-generic","habitual",0.466666666666667,0.666666666666667,99,"no","no",7,"no",90,"7--90"
"14556:18","i've done that once or twice.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.564444444444444,0.444444444444444,29,"no","no",5,"no",381,"5--381"
"55403:21","but by no means do i endorse or approve pulling everybody out.","declarative","negation","nonum","nochange","not available","nochange","A<B","same","non-generic","static",0.302222222222222,0.666666666666667,62,"no","no",4,"no",98,"4--98"
"50849:39","i don't know if it's a government run or if it's a private charity that's put it together.","declarative","wh","nonum","change","change","change","A~B","same","non-generic","static",0.35,0.666666666666667,90,"no","no",1,"no",113,"1--113"
"104835:34","""at the time it was still, oh, about forty or fifty cents a pound,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.887777777777778,0.888888888888889,67,"no","no",5,"no",381,"5--381"
"44813:11","""so another five or six weeks i'll be bringing the little kitten over to, uh, to my folks.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.644444444444444,0.666666666666667,91,"no","no",5,"no",381,"5--381"
"69804:37","""so they have to start talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too.""","declarative","not available","nonum","nochange","nochange","change","A>B","same","non-generic","static",0.402222222222222,0.888888888888889,170,"no","no",4,"no",98,"4--98"
"89972:27","have you looked at any homes for them or talked to them about that.","interrogative","wh","nonum","change","nochange","nochange","A~B","different","non-generic","static",0.338888888888889,0.444444444444444,67,"no","no",8,"no",126,"8--126"
"6435:41","""i don't even remember if it was in the dallasite or the insite one, about uh, companies allowing you,""","declarative","wh","nonum","change","nochange","change","A~B","different","non-generic","static",0.658888888888889,0.888888888888889,103,"no","no",8,"no",126,"8--126"
"47372:70","""after that, if you asked me that i wouldn't have been able to tell you if that was football or baseball.""","declarative","wh","nonum","change","not available","nochange","A~B","same","non-generic","static",0.562222222222222,0.333333333333333,106,"no","no",5,"no",381,"5--381"
"45498:63","""my daughter had a, like a little goldfish, a about a year or two ago""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.541111111111111,0.333333333333333,70,"no","no",5,"no",381,"5--381"
"109756:31","but we can do our part take an extra minute or two.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.373333333333333,0.333333333333333,51,"no","no",5,"no",381,"5--381"
"154907:14","mumblex is one or two timer a year if i do go on them","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.54,0.444444444444444,53,"no","no",5,"no",381,"5--381"
"51672:30","""do you have any l-, nieces or nephews then.""","interrogative","wh","nonum","change","nochange","change","A~B","same","non-generic","static",0.386666666666667,0.666666666666667,45,"no","no",1,"no",113,"1--113"
"59808:31","""in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf.""","declarative","not available","nonum","nochange","not available","change","A~B","same","non-generic","static",0.264444444444444,0.777777777777778,170,"no","no",3,"no",120,"3--120"
"38666:43","""and then i, i get distracted, and, or have to start on another one,""","declarative","not available","nonum","change","nochange","change","A~B","different","non-generic","habitual",0.447777777777778,0.444444444444444,69,"no","no",8,"no",126,"8--126"
"31205:60","""and there's always goingc to be, you know, somebody having a need for a math or science teacher.""","declarative","not available","nonum","change","change","change","A~B","same","expletive","habitual",0.453333333333333,0.777777777777778,98,"no","no",1,"no",113,"1--113"
"82987:41","""and i think a lot of people either, don't care, or don't realize it, you know.""","declarative","negation","nonum","change","nochange","change","A~B","different","generic","static",0.383333333333333,0.555555555555556,80,"yes","no",8,"no",126,"8--126"
"23901:7","sole or flounder is real good.","declarative","not available","nonum","change","not available","nochange","A~B","same","non-generic","static",0.174444444444444,0.777777777777778,30,"no","no",5,"no",381,"5--381"
"163278:40","""oh, i think, i think two or three minutes is fine.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.426666666666667,0.666666666666667,52,"no","no",5,"no",381,"5--381"
"158077:187","""and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.""","declarative","wh","nonum","change","nochange","change","A~B","different","non-generic","static",0.552222222222222,0.555555555555556,405,"no","no",8,"no",126,"8--126"
"78609:7","""eleven or twelve, i would thinkf, probably""","declarative","not available","num","change","nochange","nochange","A~B","same","N/A","N/A",0.721111111111111,0.555555555555556,44,"no","no",5,"no",381,"5--381"
"98975:26","and most juries over a period of five or ten years you might sit on three.","declarative","not available","num","change","not available","nochange","A~B","same","generic","static",0.287894736842105,0.789473684210526,74,"no","no",5,"no",381,"5--381"
"41676:47","and then there are some that may be will come like four inches or five inches above the knee.","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.677777777777778,0.666666666666667,93,"no","no",5,"no",381,"5--381"
"101976:15","""you can use chicken or turkey,""","declarative","not available","nonum","change","change","change","A~B","same","generic","static",0.532222222222222,1,32,"no","no",1,"no",113,"1--113"
"176020:91","""and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen or fifteen hundred dollars""","declarative","relclause","num","change","not available","nochange","A~B","same","non-generic","static",0.716666666666667,0.666666666666667,140,"no","no",5,"no",381,"5--381"
"170132:31","""but for me, i only do that every week or, without even, i mean, maybe once a month.""","declarative","not available","nonum","change","not available","change","A~B","same","non-generic","habitual",0.445555555555556,0.666666666666667,85,"no","no",1,"no",113,"1--113"
"118023:57","""and i told my husband, i said, you know, it's either me or the dog,""","declarative","not available","nonum","change","change","nochange","A~B","same","expletive","static",0.81,1,69,"yes","no",7,"no",90,"7--90"
"168929:25","""either you have, uh, military service or some sort of alternative, nonmilitary service for a few years.""","declarative","not available","nonum","change","nochange","nochange","A>B","same","generic","static",0.671111111111111,1,105,"no","no",4,"no",98,"4--98"
"22745:68","""and the first thing i caught was a sand shark, which was probably a foot, and a half or, uh, two feet long,""","declarative","relclause","num","change","not available","change","A~B","same","non-generic","static",0.482222222222222,0.888888888888889,109,"no","no",5,"no",381,"5--381"
"46306:157","""and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television.""","declarative","wh","nonum","nochange","nochange","nochange","A~B","different","expletive","static",0.322222222222222,0.777777777777778,216,"no","no",3,"no",120,"3--120"
"71894:104","""but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three or four years now.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.467777777777778,0.444444444444444,117,"no","no",5,"no",381,"5--381"
"23449:67","""and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit to spend a week,""","declarative","not available","num","change","not available","nochange","A<B","same","non-generic","static",0.651111111111111,0.333333333333333,156,"no","no",5,"no",381,"5--381"
"26474:25","""in our parking lots, uh, two or three days ago i saw one of the new honda sports cars.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","episodic",0.488888888888889,0.555555555555556,88,"no","no",5,"no",381,"5--381"
"109324:31","""i don't know if those are still available or not,""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.541111111111111,0.444444444444444,51,"no","yes",2,"no",147,"2--147"
"139777:33","""that's pretty much the south end of the state, or the southern quarter of the state, anyway..""","declarative","not available","nonum","change","not available","nochange","A<B","same","non-generic","static",0.342222222222222,0.555555555555556,95,"no","no",4,"no",98,"4--98"
"38195:38","""so, uh, does your husband ever use, uh, a laptop or a notebook.""","interrogative","not available","nonum","change","nochange","change","A~B","different","non-generic","habitual",0.413333333333333,0.555555555555556,65,"no","no",8,"no",126,"8--126"
"13821:162","""uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not.""","declarative","not available","nonum","nochange","not available","change","A~B","different","non-generic","static",0.436666666666667,0.444444444444444,162,"no","yes",2,"no",147,"2--147"
"59548:36","i don't know if the t i in dallas does or not.","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.613333333333333,0.333333333333333,46,"no","yes",2,"no",147,"2--147"
"3087:28","""is that with regard to work place engineering, or just, you know, environm-, the work place environment""","interrogative","not available","nonum","change","nochange","change","A~B","same","non-generic","static",0.6,0.444444444444444,105,"no","no",1,"no",113,"1--113"
"128452:34","""within reason, you know, you can lose weight or maintain your weight and your physical being""","declarative","not available","nonum","change","change","change","A~B","different","generic","static",0.567777777777778,0.888888888888889,94,"no","no",6,"no",169,"6--169"
"2067:114","""and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.445555555555556,0.888888888888889,177,"no","no",2,"no",147,"2--147"
"58773:18","i tried it like once or twice","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","episodic",0.301578947368421,0.789473684210526,29,"no","no",5,"no",381,"5--381"
"9023:22","""i think i had three or four seeds in each one of them,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.525555555555556,0.444444444444444,56,"no","no",5,"no",381,"5--381"
"174455:39","""the only commitments that they're interested inb making or even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,""","declarative","relclause","nonum","nochange","change","nochange","A>B","same","non-generic","static",0.235555555555556,0.888888888888889,210,"no","no",4,"no",98,"4--98"
"128489:81","""but if you do some basic exercises and you say every morning, just like brushing your teeth you're going to spend fifteen minutes or a half hour.""","declarative","not available","num","change","not available","nochange","A~B","same","generic","static",0.597777777777778,0.666666666666667,147,"no","no",5,"no",381,"5--381"
"152062:17","you maybe get two or three a year.","declarative","not available","num","change","not available","nochange","A~B","same","generic","habitual",0.515555555555556,0.777777777777778,34,"no","no",5,"no",381,"5--381"
"148616:32","""uh, i haven't done any of the oil or watercolor.""","declarative","negation","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.508888888888889,0.444444444444444,50,"no","no",3,"no",120,"3--120"
"22409:25","""and, uh, i have caught one or two small sharks""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.388888888888889,0.666666666666667,48,"no","no",5,"no",381,"5--381"
"153824:74","""around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees""","declarative","not available","num","change","not available","nochange","A~B","same","generic","static",0.295555555555556,0.444444444444444,110,"no","no",5,"no",381,"5--381"
"135677:7","""saturday or sunday they were saying,""","declarative","not available","nonum","change","change","nochange","A~B","same","generic","static",0.373333333333333,0.777777777777778,38,"no","no",1,"no",113,"1--113"
"139418:63","""i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.427777777777778,0.444444444444444,145,"no","no",5,"no",381,"5--381"
"133422:57","""um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.""","declarative","negpredicate","nonum","nochange","change","nochange","A<B","different","non-generic","static",0.233333333333333,0.666666666666667,201,"no","no",7,"no",90,"7--90"
"126911:45","""now, that's one i have watched, oh, six or eight times.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.753333333333333,0.666666666666667,57,"no","no",5,"no",381,"5--381"
"42508:50","""if, if you're going to hunt with it, or if you're goingb to do sport shooting you can wait a week.""","declarative","antecedent","nonum","change","nochange","change","A~B","different","generic","static",0.461111111111111,0.777777777777778,100,"no","no",8,"no",126,"8--126"
"125370:17","has that been the cutlass or the sierra.","interrogative","wh","nonum","change","change","change","A~B","different","non-generic","static",0.482222222222222,0.666666666666667,40,"no","no",6,"no",169,"6--169"
"112347:54","""now, my kids didn't like it because they just wanted to get plain old spaghetti or lasagna,""","declarative","not available","nonum","change","change","change","A~B","different","non-generic","static",0.566842105263158,1,93,"no","no",6,"no",169,"6--169"
"84362:25","""but ita has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here.""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.457777777777778,0.333333333333333,130,"no","no",5,"no",381,"5--381"
"91686:57","""when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,""","declarative","wh","nonum","nochange","nochange","change","A>B","different","non-generic","habitual",0.39,0.666666666666667,145,"no","no",3,"no",120,"3--120"
"36223:17","picking up the garbage or educating our kids.","declarative","not available","nonum","nochange","nochange","change","A~B","different","N/A","N/A",0.408888888888889,0.888888888888889,45,"no","no",3,"no",120,"3--120"
"12033:60","""i mean, what do you think we can, uh, i guess as individuals or as a group, do about, uh, air pollution..""","interrogative","wh","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.41,0.555555555555556,107,"no","no",3,"no",120,"3--120"
"150028:44","so i don't know if i could have taken it to another retailer or not.","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.455555555555556,0.444444444444444,68,"no","yes",2,"no",147,"2--147"
"12128:43","""well, it just means if you don't pollute, right, or you pollute very little you don't have to pay any tax""","declarative","antecedent","nonum","change","not available","change","A>B","same","generic","habitual",0.433333333333333,0.777777777777778,107,"no","no",4,"no",98,"4--98"
"6904:85","""well, um, with credit cards is, me, i, uh, i try to get maybe just one or two,""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","habitual",0.183333333333333,0.444444444444444,80,"no","no",5,"no",381,"5--381"
"163402:100","""we, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening.""","declarative","negation","nonum","nochange","not available","nochange","A<B","different","non-generic","static",0.583333333333333,0.555555555555556,122,"no","no",7,"no",90,"7--90"
"38800:88","""you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,""","declarative","not available","nonum","nochange","nochange","change","A~B","different","expletive","static",0.447777777777778,0.888888888888889,110,"no","no",3,"no",120,"3--120"
"117429:39","so you're all back to the safety catches and the whole nine yards or either watching them every minute.","declarative","not available","nonum","change","nochange","change","A~B","different","non-generic","static",0.6725,0.75,103,"no","no",8,"no",126,"8--126"
"166827:24","""i think it's, four or five,""","declarative","not available","num","change","not available","nochange","A~B","same","expletive","static",0.655555555555556,0.666666666666667,29,"no","no",5,"no",381,"5--381"
"17825:58","""it's, it's tough on the joints if you jog on concrete, or on asphalt.""","declarative","antecedent","nonum","nochange","change","change","A~B","same","expletive","static",0.281111111111111,0.444444444444444,71,"no","no",1,"no",113,"1--113"
"44437:69","""i think they tend to be more educated, much more, educated than, than africa or the latin american countries.""","declarative","not available","nonum","nochange","change","change","A~B","different","generic","static",0.186666666666667,0.666666666666667,111,"no","no",3,"no",120,"3--120"
"136418:78","""and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors.""","declarative","not available","nonum","change","nochange","change","A~B","different","expletive","habitual",0.196666666666667,0.555555555555556,201,"no","no",8,"no",126,"8--126"
"32096:57","""i guess they, they say you can plant them in the spring or the fall, all.""","declarative","not available","nonum","nochange","change","change","A~B","different","generic","static",0.353333333333333,1,75,"no","no",3,"no",120,"3--120"
"37457:58","""they don't have the offense to, uh, to get out, or to have the, the more runs,""","declarative","not available","nonum","nochange","change","change","A~B","same","non-generic","static",0.485555555555556,0.555555555555556,80,"no","no",1,"no",113,"1--113"
"172615:77","""uh, uh, i really think that we need to get into the mold where we talk about years rather than months or weeks.""","declarative","not available","nonum","nochange","nochange","change","A~B","different","non-generic","static",0.526666666666667,0.333333333333333,113,"no","no",3,"no",120,"3--120"
"157389:42","""and basically, uh, we were going to be paying seventy or eighty percent tax.""","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.743333333333333,0.666666666666667,78,"no","no",5,"no",381,"5--381"
"148987:58","""and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo.""","declarative","wh","nonum","change","not available","change","A~B","different","non-generic","static",0.614444444444444,0.666666666666667,110,"no","no",2,"no",147,"2--147"
"122921:24","we used to get four or five inches a year.","declarative","not available","num","change","not available","nochange","A~B","same","non-generic","static",0.558888888888889,0.777777777777778,42,"no","no",5,"no",381,"5--381"
