"comments","enjoyment","age","gender","education","language","fairprice","workerid","asses","speaker_cond"
"I found this hit interesting. Language and epistemology/logic are endlessly fascinating topics.",1,31,"Male",2,"English",1,123,"Yes","exp05"
"",2,28,"Male",2,"English",1,124,"Yes","exp05"
"",1,21,"Female",2,"English",1,125,"Yes","exp06"
"excellent estudy",2,26,"Male",3,"english",1,126,"Yes","exp06"
"",1,30,"Female",3,"English",0,127,"Confused","exp06"
"",1,23,"Female",1,"English",1,128,"Yes","exp06"
"",1,28,"Male",3,"English",1,129,"Yes","exp06"
"",1,38,"Male",3,"English",1,130,"Yes","exp06"
"",2,47,"Female",2,"English",1,131,"Yes","exp06"
"",2,47,"Male",3,"English",1,132,"Yes","exp06"
"",0,41,"Female",3,"English",1,133,"Yes","exp06"
"very nice good and very much in the study",2,28,"Male",3,"English",0,134,"Yes","exp06"
"NICE TO WORK IN THIS SURVEY",1,36,"Male",3,"ENGLISH",1,135,"Yes","exp06"
"",2,45,"Male",3,"English",1,136,"Yes","exp06"
"",2,24,"Male",3,"English",1,137,"Yes","exp06"
"I felt I had a better handling of the task with the training sentences. To me, it seem like a big leap between the the training and the actual task.",1,37,"Male",3,"English ",1,138,"Yes","exp06"
"n/a",2,38,"Male",1,"english",1,139,"Yes","exp06"
"",1,34,"Female",2,"English",1,140,"Confused","exp06"
"thank you!",2,23,"Male",3,"English",1,141,"Yes","exp06"
"",2,28,"Male",3,"English",1,142,"Yes","exp06"
"Sometimes I felt confused so I would have to reread.",1,32,"Female",3,"English",1,143,"Yes","exp06"
"",1,37,"Male",1,"English",1,144,"Yes","exp06"
"",2,30,"Female",3,"English",1,145,"Yes","exp06"
"Very Engaging",2,29,"Male",3,"English",1,146,"Yes","exp06"
"",1,24,"Female",3,"English",1,147,"Yes","exp06"
"GOOD ONE",1,31,"Male",3,"ENGLISH",0,148,"Yes","exp06"
"",2,35,"Female",3,"United States",1,149,"Yes","exp06"
"",1,34,"Male",3,"english",1,150,"Yes","exp07"
"I thought it was a little weird.",0,22,"Female",2,"English",1,151,"Confused","exp07"
"none",1,43,"Male",4,"english",1,152,"Yes","exp07"
"This was challenging. Many of the conversation scenarios just seemed like nonsensical word salad. ",2,45,"Female",1,"English",1,153,"Yes","exp07"
"none",1,39,"Female",3,"English",1,154,"Yes","exp07"
"These sentences were more unclear than the examples, so I hope I did everything right.",1,37,"Female",3,"English",1,155,"Yes","exp07"
"none",1,36,"Female",3,"English",1,156,"Yes","exp07"
"",1,50,"Male",4,"English",0,157,"Yes","exp07"
"a little long and the sentences are difficult to read because of all the stutters of the speakers *um like um like i i*",1,40,"Male",3,"English",0,158,"Yes","exp07"
"",1,47,"Male",4,"English",1,159,"Yes","exp07"
"",1,24,"Male",3,"english",1,160,"Yes","exp07"
"",2,23,"Male",3,"English",1,161,"Yes","exp07"
"",1,33,"Female",3,"English",0,162,"","exp07"
"",1,23,"Male",2,"English",1,163,"Yes","exp07"
"",2,31,"Male",3,"English",1,164,"","exp07"
"",2,47,"Female",2,"English",1,165,"Yes","exp07"
"It was hard to assess how knowledgeable some of the speakers were when not speaking from direct experience.",2,45,"Male",2,"English",1,166,"Yes","exp07"
"",2,27,"Male",1,"English",1,167,"Yes","exp07"
"",2,31,"Female",4,"English",1,168,"Yes","exp07"
"",1,30,"Male",2,"English",1,169,"No","exp07"
"",2,34,"Female",2,"vietnamese",1,170,"Yes","exp07"
"",1,43,"Male",2,"english ",1,171,"Yes","exp07"
"Thank you!!",2,33,"Female",2,"English",1,172,"Yes","exp07"
"",1,28,"Male",2,"English",1,173,"Yes","exp07"
"",2,35,"Female",3,"United States",1,174,"Yes","exp07"
"",0,20,"Male",1,"English",0,175,"Yes","exp08"
"The conversations and blue sentences - some were very difficult to determine.",1,41,"Female",4,"English",1,176,"Yes","exp08"
"They grammar was awful, it was difficult to read.",0,44,"Female",3,"English",0,177,"Yes","exp08"
"VERY NICE",2,41,"Male",3,"ENGLISH",1,178,"Yes","exp08"
"",2,47,"Female",4,"United States",1,179,"Yes","exp08"
"nice",2,28,"Female",3,"english",0,180,"Yes","exp08"
"",1,32,"Female",4,"English",1,181,"Yes","exp08"
"Thanks!",2,36,"Male",3,"English",1,182,"Yes","exp08"
"Fun!",2,32,"Male",1,"English",1,183,"Yes","exp08"
"NICE",1,36,"Male",3,"ENGLISH",0,184,"Yes","exp08"
"",2,24,"Female",2,"english",1,185,"Yes","exp08"
"no",1,35,"Male",4,"english",0,186,"Confused","exp08"
"",2,27,"Male",3,"English",1,187,"Yes","exp08"
" All of this was some kind of subjective and in some of the red and blue parts true or false really didn’t apply.",0,44,"Male",2,"English ",0,188,"Yes","exp08"
"",1,55,"Male",2,"english",1,189,"Yes","exp08"
"",1,34,"Male",3,"English",1,190,"Yes","exp08"
"Took a little too long and it was difficult to determine whether the speaker would know or not. ",0,25,"Female",2,"English",0,191,"Yes","exp08"
"",1,24,"Male",3,"ENGLISH",1,192,"Confused","exp08"
"",1,55,"Male",3,"English",1,193,"Yes","exp08"
"It was a bit strange in terms of trying to judge certainty of something that slightly contradicts the original statement.",1,34,"Male",1,"english",1,194,"Yes","exp08"
"",2,35,"Male",3,"English",1,195,"Yes","exp08"
"",1,24,"Male",3,"English",0,196,"Yes","exp08"
"all conversion is good",1,28,"Male",2,"english",1,197,"Yes","exp08"
"I don't know who the conversations were between, but they sounded like they were very uneducated.  This made it difficult to follow which is probably why this HIT was available in the first place.",1,35,"Male",4,"English",1,198,"Yes","exp08"
"no",2,47,"Female",2,"english",1,199,"","exp08"
"",2,27,"Female",4,"English",1,200,"Yes","exp09"
"this was very hard",1,28,"Female",3,"English",1,201,"Confused","exp09"
"a few were a little confusing. ",1,36,"Female",3,"english",1,202,"Yes","exp09"
"n",1,35,"Male",3,"English",0,203,"Yes","exp09"
"It's unusual that the training has a perceived true/false meter, but the subsequent work doesn't. ",1,29,"Male",3,"English",0,204,"Yes","exp09"
"",-1,38,"Male",2,"",1,205,"Yes","exp09"
"n",1,70,"Female",1,"English",1,206,"Yes","exp09"
"",1,39,"Male",3,"English",1,207,"Confused","exp09"
"Was expecting more or wider variation.  ",1,31,"Male",3,"English",0,208,"Yes","exp09"
"none",2,33,"Male",2,"english",1,209,"Yes","exp09"
"It was incredibly hard to follow the questions with them written the way they were. And I felt like the instructions were strange as well. Overall a very difficult hit",0,37,"Female",3,"English",1,210,"Confused","exp09"
"",1,49,"Female",3,"United States",1,211,"Yes","exp09"
"no comment",1,30,"Male",3,"english",1,212,"Yes","exp09"
"",1,60,"Male",2,"English",1,213,"Yes","exp09"
"",1,38,"Male",2,"english",1,214,"Yes","exp09"
"I think i answered it correctly based on the examples, but the actually questions seemed to differ from the example and made it confusing ",1,25,"Female",3,"English",0,215,"Confused","exp09"
"None at the moment",1,34,"Male",3,"English",1,216,"Yes","exp09"
"Good work",2,25,"Male",3,"English",1,217,"Yes","exp09"
"I found this HIT interesting.",2,57,"Female",2,"English",1,218,"Yes","exp09"
"",1,38,"Male",4,"English",1,219,"Yes","exp09"
"",1,29,"Male",3,"English",1,220,"Yes","exp09"
"",2,31,"Male",1,"English",1,221,"Yes","exp09"
"I hope I did it right, but am not positive I did. Hopefully it doesn't get rejected!",1,35,"Female",3,"englsh",1,222,"Confused","exp09"
"The hit could use better explanations... Why is the main task different from the examples .",1,25,"Male",3,"English ",1,223,"Confused","exp09"
"good",2,28,"Male",3,"english",1,224,"Yes","exp09"
"",1,26,"Male",3,"english",1,225,"Confused","exp10"
"No feedback.",1,26,"Female",1,"English",1,226,"Yes","exp10"
"",2,35,"Female",2,"English",1,227,"Yes","exp10"
"nice",2,23,"Female",3,"English",1,228,"Yes","exp10"
"yes interesting",2,37,"Female",1,"telugu",1,229,"Yes","exp10"
"",2,23,"Female",2,"English",1,230,"Yes","exp10"
"Survey is good",2,29,"Male",3,"English",1,231,"Yes","exp10"
"Survey is good",2,29,"Male",3,"English",1,232,"Yes","exp10"
"Great!",1,31,"Male",3,"english",1,233,"Yes","exp10"
"good",1,23,"Male",2,"english",0,234,"Confused","exp10"
"good",0,25,"Male",3,"english",0,235,"No","exp10"
"GOOD",1,30,"Female",2,"english",1,236,"Yes","exp10"
"",1,28,"Male",4,"English and Chinese",1,237,"Yes","exp10"
"",1,30,"Male",3,"ENG",1,238,"Yes","exp10"
"",1,26,"Female",2,"English",1,239,"Yes","exp10"
"Stupid task, get a better hit this one sucked and did not make any sense.  What information could you really gain from this nonsense.",0,29,"Male",3,"English",0,240,"Confused","exp10"
"thanks",1,26,"Male",2,"English",1,241,"Yes","exp10"
"",1,40,"Female",3,"English",1,242,"Yes","exp10"
"None",1,29,"Male",3,"English",1,243,"Yes","exp10"
"Not all of the sentences were complete. The examples were easier to understand what the HIT wanted us to answer. ",0,22,"Female",3,"English",1,244,"Confused","exp10"
"",1,34,"Female",3,"",1,245,"Confused","exp10"
"(1) The transcription was pretty bad. (2) Some of these sentences sounded pretty strange in their original form, before the ""all"" editing -- the editing isn't what made them sound strange. ",1,60,"Female",3,"English",0,246,"Yes","exp10"
"very interesting survey.",2,27,"Male",3,"English",1,247,"Yes","exp10"
"Good luck with your research.",2,39,"Female",4,"English",1,248,"Confused","exp10"
"",2,35,"Female",3,"United States",1,249,"","exp10"
"",1,29,"Female",3,"english",1,250,"Yes","exp11"
"",2,37,"Male",3,"English",1,251,"Yes","exp11"
"Very interesting Experiment! ",2,27,"Female",3,"English",1,252,"Yes","exp11"
"at least it will improve my english a bit ",2,33,"Male",3,"english",0,253,"Yes","exp11"
"",1,28,"Male",3,"English",1,254,"Yes","exp11"
"It was hard to understand the directions, and seemed that sometimes the statements just changed a word 'some' to 'all' which made the questions really hard to answer",1,27,"Female",1,"English",1,255,"Confused","exp11"
"Even with the five practice 'problems' I felt that my choices throughout the HIT were overly repeated and made me unsure of my work. I did my best so hopefully that helps you guys out. Thanks and good luck!",1,24,"Male",3,"English",1,256,"Yes","exp11"
"This was definitely and interesting and different HIT than normal for me.",1,31,"Male",3,"English ",1,257,"Yes","exp11"
"Good work",2,25,"Male",3,"English",1,258,"Yes","exp11"
"Very strange questions.  The only variations were ""some"" and ""all"" so I didn't really know what to think for some of them.",1,32,"Male",2,"english",1,259,"Yes","exp11"
"",1,53,"Female",2,"English",1,260,"Yes","exp11"
"nice",2,31,"Male",3,"english",1,261,"Yes","exp11"
"",1,40,"Male",3,"english",1,262,"Yes","exp11"
"",1,38,"Female",3,"English",1,263,"Yes","exp11"
"Thank you. That was interesting. ",1,54,"Female",3,"english",1,264,"Yes","exp11"
"good",2,28,"Male",3,"English",1,265,"Yes","exp11"
"Thank you. I really enjoyed this study.",2,31,"Female",2,"English",1,266,"Yes","exp11"
"",1,35,"Female",3,"English",0,267,"Yes","exp11"
"no comments",1,27,"Male",4,"English",1,268,"Yes","exp11"
"",1,28,"Male",3,"English",1,269,"Yes","exp11"
"It was one of the hardest hit i did ever. I still not sure about my answers even after passing the initial sentences. I hope my work will satisfy you. Thank you and good luck. ",2,36,"Male",4,"English",1,270,"Confused","exp11"
"any",2,26,"Male",3,"english",1,271,"Yes","exp11"
"For the most part none of the statements made any sense.",0,33,"Male",1,"English",0,272,"Yes","exp11"
"",1,29,"Female",2,"english",1,273,"Yes","exp11"
"Good and very interesting study ",2,28,"Male",3,"English",1,274,"Yes","exp11"
"Almost all of my questions were some/all replacements",2,37,"Male",4,"English",1,275,"Yes","exp12"
"no comments",2,32,"Male",1,"english",1,276,"Yes","exp12"
"
id say it would be better to not make the hit feel rushed, The layout would be more easygoing if it were weorded differently",1,23,"Male",2,"English",1,277,"Confused","exp12"
"",0,27,"Male",4,"english",1,278,"Yes","exp12"
"nice",2,61,"Male",3,"english",1,279,"Yes","exp12"
"",1,23,"Male",2,"English",0,280,"No","exp12"
"",1,28,"Male",3,"English",0,281,"Yes","exp12"
"",1,42,"Female",3,"English",0,282,"Yes","exp12"
"None",1,29,"Male",2,"English",1,283,"Yes","exp12"
"",1,31,"Male",1,"english",1,284,"Yes","exp12"
"There were some aspects that made the HIT rather difficult and I am not confident about any of my answers.",1,38,"Male",3,"English",1,285,"Yes","exp12"
"",-1,51,"Male",3,"english",1,286,"Yes","exp12"
"",2,24,"Male",3,"English ",0,287,"Yes","exp12"
"Very interesting study to complete!  Read all the instructions and tried my best with it.",2,28,"Male",2,"English",1,288,"Yes","exp12"
"",0,37,"Female",3,"English",1,289,"Yes","exp12"
"",1,43,"Female",2,"english",1,290,"Yes","exp12"
"I wasn't sure what would qualify to make the blue sentence sound strange, especially since it was the red sentence with one word changed. When I read the sentences, I read them as a conversation and people stumble and repeat themselves in normal conversations, so I tried to base it on that. This was interesting because it was like I was eavesdropping on conversations.",2,57,"Female",4,"English",1,291,"Yes","exp12"
"Good and very interesting study ",2,32,"Male",3,"English ",1,292,"Yes","exp12"
"fun survey",2,25,"Female",3,"English",1,293,"Yes","exp12"
"",2,31,"Male",3,"english",1,294,"Yes","exp12"
"",2,44,"Female",3,"English",1,295,"Yes","exp12"
"",2,29,"Female",4,"English",1,296,"Yes","exp12"
"",1,41,"Female",3,"english",1,297,"Yes","exp12"
"The conversations were abnormally hard to read. I think this is to improve some kind of AI speech, but wow does it need work if so. Either that or it's some kind of transcription thing, but it needs a lot of work to make it into a readable format. Some of the sentences weren't finished and some didn't seem to do with being true or false. It almost seemed like a Trump speech generator it was so confusing.",1,31,"Male",2,"English",1,298,"Confused","exp12"
"",1,48,"Female",2,"english",0,299,"","exp12"
"",1,29,"Female",2,"english",1,300,"No","exp13"
"interesting.",2,29,"Female",4,"English",1,301,"","exp13"
"",1,33,"Female",3,"English ",1,302,"Confused","exp13"
"An interesting test. I may have gotten the first couple wrong. Thanks!",2,51,"Male",2,"English",1,303,"Yes","exp13"
"thank you!",1,28,"Female",2,"English",1,304,"Yes","exp13"
"cheers",1,60,"Female",3,"english",1,305,"Yes","exp13"
"",1,NA,"Female",2,"",0,306,"Confused","exp13"
"I enjoyed the HIT but not sure I had the hang of it.",2,68,"Male",3,"English",1,307,"Yes","exp13"
"",1,40,"Female",3,"English",1,308,"Yes","exp13"
"is very good all ",1,30,"Female",4,"english",1,309,"Yes","exp13"
"",2,40,"Male",3,"English",1,310,"Yes","exp13"
"Slider could be confusing.",2,28,"Male",2,"English",1,311,"Yes","exp13"
"",1,34,"Male",4,"English",1,312,"Yes","exp13"
"I was confused at first about the veracity of statements, I thought it was asking if the answer of the speaker was correct, i.e. whether it aligned with the sentence, not whether the speaker knew if the sentence itself was correct",1,41,"Female",4,"english",0,313,"Yes","exp13"
"none",1,59,"Female",2,"english",1,314,"Yes","exp13"
"I will honestly say, some comments did confuse me and I suspect I did poorly.",2,34,"Female",3,"English",1,315,"Yes","exp13"
"This was an interesting HIT.",1,34,"Male",3,"English",1,316,"Yes","exp13"
"",2,65,"Male",3,"romanian",1,317,"Yes","exp13"
"good",1,23,"Male",2,"english",0,318,"","exp13"
"",1,35,"Female",4,"English",1,319,"Yes","exp13"
"Some were a little confusing based on dialogue, but it was a straightforward survey",1,24,"Male",2,"English",1,320,"Yes","exp13"
"",2,34,"Female",3,"English",1,321,"Yes","exp13"
"",1,68,"Male",3,"English",1,322,"Yes","exp13"
"",1,33,"Male",3,"English",1,323,"Yes","exp13"
"Good work",2,25,"Male",3,"English",1,324,"Yes","exp13"
"",1,22,"Female",3,"english",1,325,"Yes","exp14"
"",2,23,"Female",3,"English",1,326,"Yes","exp14"
"",2,22,"Male",3,"English",1,327,"Yes","exp14"
"I hope I did this hit right. I read the instructions and did the best I could. Thank you.",2,45,"Female",3,"English",1,328,"Yes","exp14"
"",2,36,"Female",3,"english",1,329,"Yes","exp14"
"I found it a lot more difficult than I imagined. The texting language was hard to follow",0,50,"Male",3,"English",1,330,"Yes","exp14"
"Good Survey",2,29,"Male",3,"United States",1,331,"Yes","exp14"
"",1,23,"Male",2,"English",0,332,"Yes","exp14"
"Good work",2,25,"Male",3,"English",1,333,"Yes","exp14"
"",1,20,"Male",2,"English",1,334,"Yes","exp14"
"",1,33,"Female",3,"English",1,335,"Yes","exp14"
"",1,43,"Female",1,"English",1,336,"Yes","exp14"
"",1,28,"Female",3,"English",0,337,"Yes","exp14"
"Very confusing. Easy to get mixed up on some of them.",1,48,"Male",4,"English",1,338,"Confused","exp14"
"The poor grammar and missing letters and lack of punctuation bothered me and made reading slower",2,28,"Female",3,"English",1,339,"Yes","exp14"
"",1,41,"Female",2,"English",1,340,"Yes","exp14"
"",1,29,"Female",2,"English",1,341,"Confused","exp14"
"Very interesting hit, somewhat controversial, but very good
",0,31,"Male",3,"English",0,342,"Yes","exp14"
"The practice round was a little confusing, but after I read the little note before doing the actual round, it was not as bad. ",1,25,"Female",3,"Mandarin, English, Taiwanese",1,343,"Yes","exp14"
"",2,45,"Female",4,"English",1,344,"Yes","exp14"
"",1,44,"Male",3,"english",1,345,"Yes","exp14"
"I think I understood the directions, but it would help if you have more instructions or make them just a little bit clearer",1,38,"Female",3,"English",1,346,"Confused","exp14"
"was cconfusing on some parts",1,37,"Male",2,"english",0,347,"Confused","exp14"
"",1,33,"Female",3,"English ",1,348,"Yes","exp14"
"I'm not sure if i did the HIT correctly. It was a little confusing.",1,26,"Female",1,"Spanish",1,349,"Confused","exp14"
"",1,18,"Male",2,"English",1,350,"Yes","exp15"
"interesting but a little difficult",1,50,"Female",2,"english",1,351,"Yes","exp15"
"",2,31,"Female",3,"English",1,352,"","exp15"
"The instructions had us rate how true something was before determining how true the speaker thought it was. However, when we did the actual survey, it asked us to rate ""whether the speaker knows it true"", there was no ""or not"", which made the instructions and the entire survey unclear. still, I would like to be paid for my efforts. ",1,27,"Female",3,"English",1,353,"Confused","exp15"
"Nil.",2,25,"Female",3,"English",1,354,"Confused","exp15"
"",1,29,"Female",2,"english",1,355,"Yes","exp15"
"good survey",2,34,"Male",3,"English",1,356,"Yes","exp15"
"",2,57,"Male",3,"English",1,357,"Yes","exp15"
"any",2,26,"Male",3,"english",1,358,"Yes","exp15"
"",2,27,"Male",3,"English",1,359,"Yes","exp15"
"Thank you for the opportunity to fill out the survey, I enjoyed it.",2,48,"Male",3,"English",1,360,"Yes","exp15"
"",2,34,"Female",3,"English",1,361,"Confused","exp15"
"",-1,46,"Male",4,"english",-1,362,"Yes","exp15"
"None",0,66,"Male",2,"English ",1,363,"Yes","exp15"
"it was interesting",-1,32,"Female",3,"english",1,364,"Yes","exp15"
"All the filler words were distracting. I think removing them would improve the HIT without changing the meaning. ",1,23,"Female",3,"English",1,365,"Yes","exp15"
