tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
74742:45,"and then the states that either don't adopt on a state wide basis ///OR/// don't have as many kids, just have to follow along and take what texas gets.",VP,,,,,,,
106986:61,"and we intend to replace our other one with a much newer car in the next couple of years, ///OR/// next year probably.",NP,,,,,,,
156661:22,"anyway, i dealt with two ///OR/// three kids today that are going to end up where somebody has, making a decision what to do with them.",Num,,,,,,,
33856:25,i try to go real late ///OR/// real early before they get there.,Adv,,,,,,,
28706:47,"we find it hard to believe sometimes, ///OR/// hard to understand when, uh, we work for a computer company, and, uh,",VP,,,,,,,
151239:56,but i'm not sure if if it's if you get caught ///OR/// if you turn yourself in.,VP,,,,,,,
68309:44,"and maybe, now, i don't remember if thisa is texas ///OR/// not, that has something about all drug dealers can be sentenced to the death sentence.",OrNot,,,,,,,
101686:71,"usually, you know, you'll find a, a woman that's keeping like six children ///OR/// four to six children in the home",AP,,,,,,,
25522:55,"i guess, the first time i played golf has been probably about eight ///OR/// ten years ago now, when i was in college.",Num,,,,,,,
59713:207,"what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed ///OR/// uncon-, unconcealed.",A,,,,,,,
89425:17,"and, the first five minutes ///OR/// ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,",Num,,,,,,,
20511:22,"well, we just started two ///OR/// three weeks ago.",Num,,,,,,,
19248:44,"uh, but, of course, the people who have challenged that ///OR/// tried to do, on-, have cor-, have not been world powers.",VP,,,,,,,
130233:71,"now, you know, i mean somebody, a s-, s-, serial killer ///OR/// somebody goes in and machine guns, you know, fifty, fifty children in a school yard,",NP,,,,,,,
35393:113,"that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two ///OR/// three thousand dollars even cheaper than the best deal they can give you for a new car.",Num,,,,,,,
164352:51,i think in some cases it doesn't matter if it's a deterrent ///OR/// not.,OrNot,,,,,,,
165868:35,"and they only have one set of recycling bins, one ///OR/// two sets as opposed to a set at each of the dumpsters.",Num,,,,,,,
170155:23,do you work for a big ///OR/// a little place.,A,,,,,,,
98373:34,"and, uh, with luck, you'll have one ///OR/// two thatc are good.",Num,,,,,,,
28108:116,"because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time ///OR/// part time, if there was, if there had been some way to work it out,",Adv,,,,,,,
127140:45,"and then there's kind of the, the branch manager level ///OR/// marketing people that kind of do that middle thing.",NP,,,,,,,
147025:20,we're wearing something lightweight ///OR/// no jacket because we're so used to running around like that.,NP,,,,,,,
14556:18,i've done that once ///OR/// twice.,Num,,,,,,,
55403:21,but by no means do i endorse ///OR/// approve pulling everybody out.,VP,,,,,,,
50849:39,i don't know if it's a government run ///OR/// if it's a private charity that's put it together.,AP,,,,,,,
104835:34,"at the time it was still, oh, about forty ///OR/// fifty cents a pound,",Num,,,,,,,
44813:11,"so another five ///OR/// six weeks i'll be bringing the little kitten over to, uh, to my folks.",Num,,,,,,,
69804:37,"so they have to start talking about it, ///OR/// getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too.",VP,,,,,,,
89972:27,have you looked at any homes for them ///OR/// talked to them about that.,VP,,,,,,,
6435:41,"i don't even remember if it was in the dallasite ///OR/// the insite one, about uh, companies allowing you,",A,,,,,,,
47372:70,"after that, if you asked me that i wouldn't have been able to tell you if that was football ///OR/// baseball.",NP,,,,,,,
45498:63,"my daughter had a, like a little goldfish, a about a year ///OR/// two ago",Num,,,,,,,
109756:31,but we can do our part take an extra minute ///OR/// two.,Num,,,,,,,
154907:14,mumblex is one ///OR/// two timer a year if i do go on them,Num,,,,,,,
51672:30,"do you have any l-, nieces ///OR/// nephews then.",NP,,,,,,,
59808:31,"in defense of myself, defense of my family ///OR/// defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf.",NP,,,,,,,
38666:43,"and then i, i get distracted, and, ///OR/// have to start on another one,",VP,,,,,,,
31205:60,"and there's always goingc to be, you know, somebody having a need for a math ///OR/// science teacher.",A,,,,,,,
82987:41,"and i think a lot of people either, don't care, ///OR/// don't realize it, you know.",VP,,,,,,,
23901:7,sole ///OR/// flounder is real good.,NP,,,,,,,
163278:40,"oh, i think, i think two ///OR/// three minutes is fine.",Num,,,,,,,
158077:187,"and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic ///OR/// just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.",NP,,,,,,,
78609:7,"eleven ///OR/// twelve, i would thinkf, probably",Num,,,,,,,
98975:26,and most juries over a period of five ///OR/// ten years you might sit on three.,Num,,,,,,,
41676:47,and then there are some that may be will come like four inches ///OR/// five inches above the knee.,Num,,,,,,,
101976:15,"you can use chicken ///OR/// turkey,",N,ll,,,,,,
176020:91,"and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen ///OR/// fifteen hundred dollars",Num,,,,,,,
170132:31,"but for me, i only do that every week or, without even, i mean, maybe once a month.",Num,,,,,,,
118023:57,"and i told my husband, i said, you know, it's either me ///OR/// the dog,",N,,,,,,,
168929:25,"either you have, uh, military service ///OR/// some sort of alternative, nonmilitary service for a few years.",NP,,,,,,,
22745:68,"and the first thing i caught was a sand shark, which was probably a foot, and a half or, uh, two feet long,",Num,,,,,,,
46306:157,"and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, ///OR/// the television.",NP,,,,,,,
71894:104,"but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three ///OR/// four years now.",Num,,,,,,,
23449:67,"and maybe instead of, of, uh, just kind of blowing it off just spend a day ///OR/// a day and a half like most folks do, maybe we should commit to spend a week,",Num,,,,,,,
26474:25,"in our parking lots, uh, two ///OR/// three days ago i saw one of the new honda sports cars.",Num,,,,,,,
109324:31,"i don't know if those are still available ///OR/// not,",OrNot,,,,,,,
139777:33,"that's pretty much the south end of the state, ///OR/// the southern quarter of the state, anyway..",NP,,,,,,,
38195:38,"so, uh, does your husband ever use, uh, a laptop ///OR/// a notebook.",NP,,,,,,,
13821:162,"uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother ///OR/// not.",OrNot,,,,,,,
59548:36,i don't know if the t i in dallas does ///OR/// not.,OrNot,,,,,,,
3087:28,"is that with regard to work place engineering, ///OR/// just, you know, environm-, the work place environment",NP,,,,,,,
128452:34,"within reason, you know, you can lose weight ///OR/// maintain your weight and your physical being",VP,,,,,,,
2067:114,"and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over ///OR/// under for each month",Adv,,,,,,,
58773:18,i tried it like once ///OR/// twice,Num,,,,,,,
9023:22,"i think i had three ///OR/// four seeds in each one of them,",Num,,,,,,,
174455:39,"the only commitments that they're interested inb making ///OR/// even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,",VP,,,,,,,
128489:81,"but if you do some basic exercises and you say every morning, just like brushing your teeth you're going to spend fifteen minutes ///OR/// a half hour.",Num,,,,,,,
152062:17,you maybe get two ///OR/// three a year.,Num,,,,,,,
148616:32,"uh, i haven't done any of the oil ///OR/// watercolor.",NP,,,,,,,
22409:25,"and, uh, i have caught one ///OR/// two small sharks",Num,,,,,,,
153824:74,"around this time of year you expect it up here to get down to about, uh, i don't know, ten ///OR/// twenty degrees",Num,,,,,,,
135677:7,"saturday ///OR/// sunday they were saying,",N,,,,,,,
139418:63,"i'm in favor of very little clean up, um, very little planning because we've got three ///OR/// four couples that we get together with to play games,",Num,,,,,,,
133422:57,"um, and the, the severity of the deficit picture already limits the options available ///OR/// limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.",VP,,,,,,,
126911:45,"now, that's one i have watched, oh, six ///OR/// eight times.",Num,,,,,,,
42508:50,"if, if you're going to hunt with it, ///OR/// if you're goingb to do sport shooting you can wait a week.",VP,,,,,,,
125370:17,has that been the cutlass ///OR/// the sierra.,NP,,,,,,,
112347:54,"now, my kids didn't like it because they just wanted to get plain old spaghetti ///OR/// lasagna,",N,,,,,,,
84362:25,"but ita has been about three ///OR/// four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here.",Num,,,,,,,
91686:57,"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,",VP,,,,,,,
36223:17,picking up the garbage ///OR/// educating our kids.,VP,,,,,,,
12033:60,"i mean, what do you think we can, uh, i guess as individuals ///OR/// as a group, do about, uh, air pollution..",NP,,,,,,,
150028:44,so i don't know if i could have taken it to another retailer ///OR/// not.,OrNot,,,,,,,
12128:43,"well, it just means if you don't pollute, right, ///OR/// you pollute very little you don't have to pay any tax",Adv,,,,,,,
6904:85,"well, um, with credit cards is, me, i, uh, i try to get maybe just one ///OR/// two,",Num,,,,,,,
163402:100,"we, that's been an, a, an issue, uh, in our company even though we don't have the random ///OR/// even regular drug screening.",AP,,,,,,,
38800:88,"you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,",NP,,,,,,,
117429:39,so you're all back to the safety catches and the whole nine yards ///OR/// either watching them every minute.,VP,,,,,,,
166827:24,"i think it's, four ///OR/// five,",Num,,,,,,,
17825:58,"it's, it's tough on the joints if you jog on concrete, ///OR/// on asphalt.",N,,,,,,,
44437:69,"i think they tend to be more educated, much more, educated than, than africa ///OR/// the latin american countries.",NP,,,,,,,
136418:78,"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature ///OR/// in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors.",N,,,,,,,
32096:57,"i guess they, they say you can plant them in the spring ///OR/// the fall, all.",NP,,,,,,,
37457:58,"they don't have the offense to, uh, to get out, ///OR/// to have the, the more runs,",VP,,,,,,,
172615:77,"uh, uh, i really think that we need to get into the mold where we talk about years rather than months ///OR/// weeks.",N,,,,,,,
157389:42,"and basically, uh, we were going to be paying seventy ///OR/// eighty percent tax.",Num,,,,,,,
148987:58,"and finally president johnson said, well, they're weren't really sure whether it was a dolphin ///OR/// a torpedo.",N,,,,,,,
122921:24,we used to get four ///OR/// five inches a year.,Num,,,,,,,
170957:97,i think my wife is much better than i am at that walking into a place and getting a feeling for whether it is a loving and caring place ///OR/// not,OrNot,,,,,,,
74544:45,"do youself have children wi-, who are ///OR/// have been through the public school system.",VP,,,,,,,
155153:30,"uh, well i think, either my wife ///OR/// i would like to pursue advanced degrees at some point",NP,,,,,,,
125982:22,"my electrical system shorted out like two ///OR/// three times,",Num,,,,,,,
111855:32,and my husband and i like getting the salads ///OR/// the lighter meals,NP,,,,,,,
35840:44,"but, uh, uh, i don't know if it's their proposal ///OR/// one that's being seriously kicked around.",NP,,,,,,,
61981:60,you can actually buy a whole brand new computer with a not not a necessarily a slow one ///OR/// inadequate one but a pretty good one for six hundred dollars.,AP,,,,,,,
41615:46,"and so when i'm teaching a class, obviously i wear a suit ///OR/// dress,",NP,,,,,,,
62188:33,"well, i don't know if i know anything ///OR/// not,",OrNot,,,,,,,
49825:209,"but i think, uh, actually, uh, in, in trying to follow, uh, you know the cowboys over the years i think, uh, uh, they used to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five ///OR/// six years uh,",Num,,,,,,,
111626:16,she's about seven ///OR/// eight years old.,Num,,,,,,,
6480:57,"but it should be a standard and, and not left up to either the whim ///OR/// the current overhead rate t-, uh, thatb's running in each department.",NP,,,,,,,
18501:69,"but, um, the water usage, you know, they try to limit, even though there's three ///OR/// four streams that flow into it,",Num,,,,,,,
173602:32,"you can buy pharmaceutical grade cocaine for what, ten ///OR/// twenty dollars an ounce.",Num,,,,,,,
91356:57,"you know, but then when i went, um, for graduate work, you know, ///OR/// for a new job, people said to me, you know, shippensburg state,",NP,,,,,,,
124212:97,"and, and, um, uh, the landscape is much different here in texas than it is, you know, in the north. um, ///OR/// even where you are.",NP,,,,,,,
35369:98,"well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three ///OR/// four years old because, uh, i get married in a couple of weeks",Num,,,,,,,
151803:31,"and during the summer we camp, uh, two ///OR/// three weeks a year.",Num,,,,,,,
111953:18,and i'll order steak ///OR/// steak and lobster combined,NP,,,,,,,
126305:39,"i'm, i'm usually in the eighties ///OR/// nineties",Num,,,,,,,
48899:163,"you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who have been there for literally for ten ///OR/// fifteen years on death row,",Num,,,,,,,
122265:57,"and, and when you're on a conversation instead of walking off ///OR/// just making themselves busy, they'll stand there and listen to what you say until you hang up.",VP,,,,,,,
75447:58,"and they have a little display screen that shows you a message and either tells you a person ///OR/// a, a phone number to respond to",NP,,,,,,,
98968:82,"and, uh, many matters are so complicated that it's so hard to, uh, come up with the fair value, uh, ///OR/// the fair sentence",NP,,,,,,,
100501:68,and so often they think they're adequately caring for themselves when they're really not eating very much ///OR/// very balanced meals.,Mismatch,,,,,,,
104373:17,"and you got a nickel ///OR/// dime, which in that time was a lot of money, when you returned them.",N,,,,,,,
116923:70,"and, if you see a situation that looks like it could be trouble, just get out of it ///OR/// call for help, whichever.",VP,,,,,,,
162817:63,"i, i know a lot of people around here sometimes have, like, mothers ///OR/// grandmothers that take care of their kids",N,,,,,,,
126265:70,"well, it, it, it usually takes me about probably two, two ///OR/// three to get it there",Num,,,,,,,
96679:72,"so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class.",NP,,,,,,,
136335:21,did you put them up originally ///OR/// just going up and stopping leaks in them.,VP,,,,,,,
144355:73,"uh, when they asked us did, did we want to, uh, keep it the same or, uh, spend more, spend less, i think uh, i think right now what they're spending is adequate. uh, my, for my personal opinion. uh, because i think it's something that's going to take them a while to come up with a, uh, vaccine for.",VP,,,,,,,
73690:19,i didn't want a brother ///OR/// sister.,N,,,,,,,
67487:36,"if you live around the dallas area, you got five ///OR/// six every weekend to choose from. because they're really into it.",Num,,,,,,,
147927:43,"um, do you go to the operas that they sing english ///OR/// go to the ones that they sing other languages.",VP,,,,,,,
65406:20,i must have like fifty ///OR/// sixty books by him.,Num,,,,,,,
113961:67,"and the federal came in and said, hey, you know, you have either got to build more prisons ///OR/// let people go.",VP,,,,,,,
25593:28,"if you want to play tennis, ///OR/// racquetball,",N,,,,,,,
104521:21,"and it naturally, uh, composts ///OR/// stores",V,,,,,,,
48229:108,"well, on a scale of one to ten, uh, being ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six ///OR/// seven.",Num,,,,,,,
145722:85,"i didn't, you know, i, i didn't even know their names, some of the two ///OR/// three generations back and some of the aunts and uncles",Num,,,,,,,
78150:40,"and uh, you could always catch a good news program at eight o'clock ///OR/// nine o'clock on c n n.",Num,,,,,,,
112163:28,"unless they're caught in the act ///OR/// the-, the-, the child is very badly, you know, beaten up, it comes down to a one word against the other that type thing.",Sentence,,,,,,,
23488:144,"you know, kind of mumblex off what we've been talking about here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick to sue ///OR/// to threaten to sue and that kind of stuff,",VP,,,,,,,
151366:42,"and, i mean, i'm not speaking in favor of drugs ///OR/// against drugs,",Adv,,,,,,,
105474:35,"nowadays i don't think i could afford the boat ///OR/// the time,",NP,,,,,,,
73492:77,"and, and, you know, multiplied by the fact that you don't really trust the person ///OR/// you're uncomfortable with the situation mumblex, as far as child care, um,",VP,,,,,,,
119232:80,"i'm not, you know, i have a problem, uh, with whether it's going to work ///OR/// not, you know,",OrNot,,,,,,,
1265:65,"i should have, i guess i should make another one that says religious ///OR/// otherwise, cause i still get,",AP,,,,,,,
105689:35,and it depends where he's going whether ///OR/// not i decide to go along,OrNot,,,,,,,
35550:65,"well, what you can do is take your car payment and put it in the bank for three ///OR/// four years",Num,,,,,,,
17859:69,"but then i'll get tired of doing that, and maybe start jogging again and go out about three ///OR/// four nights a week.",Num,,,,,,,
34082:72,"i do too. uh, because it doesn't make any difference, uh, uh, whether it's a pistol ///OR/// a shotgun, i suppose.",NP,,,,,,,
136821:73,"you wonder if they're, it's really worth it to pay, uh, thirty-five dollars ///OR/// forty dollars just to get in.",Num,,,,,,,
18802:68,"and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty ///OR/// leave the ones if they're still in good shape.",VP,,,,,,,
137818:79,"we had this group of, uh, surveyors come into, uh, a shop i was working in, uh, four ///OR/// five of them,",Num,,,,,,,
128768:129,"and, uh, i guess they'd have to consider how expensive the college is and how close to home, if they could handlee being away for real long periods of time ///OR/// if they need to be somewhere where they can drive home when they needed to get homeb.",VP,,,,,,,
146522:172,"i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care that i will be able to just bring her into my home and my father also, and uh, ///OR/// have someone go into their home, you know and uh, and look after them.",VP,,,,,,,
50077:84,"so it's, um, real easy access from, from south of baltimore like, um, like the airport ///OR/// more importantly for the orioles from washington d c.",NP,,,,,,,
52016:33,"i haven't been to a movie theater in probably eight ///OR/// nine months,",Num,,,,,,,
3053:66,"i'm sure you have a representative somewhere in the area. if just nothing more than a business representative ///OR/// government services representative,",AP,,,,,,,
126099:53,"and if you try to take anybody, you know, go to the show ///OR/// go out for supper, and you go as a foursome,",VP,,,,,,,
171205:49,"so you think if, if trials were held by judges ///OR/// experts, that they, they would tend not to, uh, admit, not to convict people on circumstantial evidence.",N,,,,,,,
52123:56,"now, i, i also liked, uh, oh, gone with the wind ///OR/// some of the classic, like the lawrence of arabia.",NP,,,,,,,
149535:62,"i mean, you know, in retrospect, um, was it, was it mondale ///OR/// dukakis that said, you know, i'll, i'll tell you right now i'm going to raise taxes.",N,,,,,,,
140815:62,"you know, maybe you nee-, you can get it signed up this spring ///OR/// summer for some of the dog obedience classes.",N,,,,,,,
117171:43,"well, i don't know if we've talked our full three minutes ///OR/// not.",OrNot,,,,,,,
173701:143,"so you're saying that the taxpayer who also is really paying through the pocketbook for the education of the child may not be quite so conscious of the fact that they are paying the tuition for that child in the form of, uh, real estate ///OR/// other taxes",NP,,,,,,,
156117:69,"i mean, it, it definitely it's not at a level comparable to los angeles ///OR/// denver",NP,,,,,,,
107053:97,"and then at the end of the, of the period, pay period, if she has any left, that much is for fun ///OR/// entertainment.",N,,,,,,,
119921:34,"i don't know if they're making them better ///OR/// not,",OrNot,,,,,,,
166963:23,"and whe-, whether ///OR/// not you agree with that law, i-, you're still circumventing it.",OrNot,,,,,,,
12588:15,they could either fight ///OR/// die.,V,,,,,,,
75373:37,"and now everybody, uh, has v c r --s and two ///OR/// three v c r --s and that kind of thing.",Num,,,,,,,
39593:60,"we might try to, to, um, to grill some flounder ///OR/// salmon steaks.",AP,,,,,,,
90246:38,"and, you know, it does not have a real story, ///OR/// any plot,",NP,,,,,,,
96713:55,"there was something on t v the other day that said that fewer than one ///OR/// two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.",Num,,,,,,,
136285:25,"been pulling them up, huh, ///OR/// just loosening them until the rain came in.",VP,,,,,,,
172843:32,"i'm, i'm five ///OR/// six mumblex years before i'm eligible to retire",Num,,,,,,,
158123:56,"well, i, i don't know if that would really work that way ///OR/// not.",OrNot,,,,,,,
43156:41,"basically, i like to mow the lawn, believe it ///OR/// not,",OrNot,,,,,,,
54952:27,"is that the one set in the fifties, ///OR/// sixties.",Num,,,,,,,
74620:92,"if we paid them more, it would attract more the, the higher educated people to, to either move into that field ///OR/// to continue in that field.",VP,,,,,,,
2700:39,"but, you know, i don't know if they do ///OR/// not.",OrNot,,,,,,,
53606:55,"apparently, i, i don't know if it was just the strong winds ///OR/// some small tornadoes up this way too.",NP,,,,,,,
70391:41,"and there's a flash flood watch and, more rain for the next three ///OR/// four days.",Num,,,,,,,
18419:16,"they have about two ///OR/// three acres of land on lake front property, on a, on the side of a hill.",Num,,,,,,,
139490:160,"now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup ///OR/// cream of chicken soup, and put a little bit of white wine in it.",NP,,,,,,,
166599:24,i'll just buy it somewhere else ///OR/// not buy it at all.,OrNot,,,,,,,
22485:34,"i usually ended snagging my, uh, fishing partners ///OR/// the trees along the bank.",NP,,,,,,,
30887:42,"you know they're usually not, not that great ///OR/// didn't do that great anyway.",VP,,,,,,,
102453:33,"do you usually go out, uh, with the children ///OR/// without them.",PP,,,,,,,
4496:104,"now do you think that's because they've realized that for whole health, that, the, you know, you have to have that combination, ///OR/// that people are motivated that way so that they've incorporated that into their program.",VP,,,,,,,
39760:67,"and we have a share alike column in the paper, where people, you know, write in and share recipes ///OR/// write in and say i'm looking for this recipe,",VP,,,,,,,
136406:56,"well, it, uh, depending on its moisture content, it either swells up ///OR/// shrinks,",VP,,,,,,,
1214:60,"i put a stop to some of them as far as the door to door, either religious groups, ///OR/// people peddling products.",NP,,,,,,,
18011:37,"i don't know if he's still on any more ///OR/// not,",OrNot,,,,,,,
52336:38,"i've, we've seen that two ///OR/// three times.",Num,,,,,,,
112139:60,"and yet, i mean, did you ever in your life when you were little know anybody ///OR/// hear anything of anything like this.",VP,,,,,,,
120725:45,"they um, ours would still back up to the dog ///OR/// cat when he got mad and try to perfume them,",N,,,,,,,
14012:39,"you know, kids seem like when they get ten ///OR/// twelve years old they fall out of that,",Num,,,,,,,
48372:46,"i don't know if that's a large percentage of, uh, crime ///OR/// not",OrNot,,,,,,,
148624:46,"i, i took one class about, i guess three ///OR/// four years ago",Num,,,,,,,
139715:64,"it was al-, almost always at least one cat, sometimes, you know, like fifteen ///OR/// twenty.",Num,,,,,,,
171214:55,"the trials are helda by a panel of three, uh, three ///OR/// four judges who are,",Num,,,,,,,
134333:22,we don't even have any concrete ///OR/// asphalt.,N,,,,,,,
142727:53,"but a little bit from three, you know, from thirty million dollars ///OR/// thirty-five mil-, that's a lot of money.",Num,,,,,,,
98714:63,"and, well, uh, since now i'm in my mid-forties, when i was in grad school ///OR/// when i was an undergraduate growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that's developed with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,",Sentence,,,,,,,
28388:46,"not only do i do p c type things like, uh, using lotus ///OR/// word processors,",AP,,,,,,,
121641:28,i don't know if you know her ///OR/// not.,OrNot,,,,,,,
63429:67,"well, does it cost money like to use the, to exercise in the weight room ///OR/// to, uh, to tak-, to go swimming.",VP,,,,,,,
85982:21,"and i don't see any winners ///OR/// losers,",N,,,,,,,
132029:43,"and there is a little bitty mall that looks kind of like, or, strip kind of center.",NP,,,,,,,
152800:99,"and you know it's, it's more like the news shows is now is now you know an entertainment show like a sitcom ///OR/// like the news, because they would always have like the wonderful investigative reports, you know, is your kid's bus driver smoking crack, on the way to school, you know.",NP,,,,,,,
