tgrep.id,entire.sentence,Mood,Tense,Voice,Negation,Notes,Question,,Disjuncts,
60507:76,"you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,",,,,,see or walking?,,,NP,
29727:27,and it usually takes long stitches over two or three openings in the cloth,indicative,present,active,,,,,NUM,
12168:38,"you should, uh, pursue that i think, or patent it, you know.",indicative,present,active,,modal?,,,VP,
93711:49,"you may meet people, you know, thirty years older than you, or younger,",subjective,condI,active,,modal?,,,ADJ,
176953:48,"they always like to be able to attract the, uh, einsteins or the professor chou",indicative,present,active,,,,,NP,
7684:47,i don't know how long it takes whether it takes five minutes or twenty minutes.,indicative,present,active,,implied conditional?,,,NUM,
27951:28,"and there was no such thing as a job or any hope of a job, unti-, well, unless,",indicative,past,active,+,,,,NP,
174875:45,"then do they give you like one ch-, one more chance or two more chances.",indicative,present,active,,habitual?,+,,NUM,
74742:45,"and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets.",indicative,present,active,,"have to, subject?",,,VP,
106986:61,"and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.",indicative,present,active,,,,,NP,
156661:22,"anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them.",indicative,past,active,,,,,NUM,
33856:25,i try to go real late or real early before they get there.,indicative,present,active,,habitual?,,,ADV,
28706:47,"we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,",indicative,present,active,,,,,VP,
151239:56,but i'm not sure if if it's if you get caught or if you turn yourself in. [it is],indicative,present,active,+,conditional?,,,VP,
68309:44,"and maybe, now, i don't remember if thisa is texas or not, that has something about all drug dealers can be sentenced to the death sentence.",indicative,present,active,+,conditional?,,,OrNot,
101686:71,"usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home [will find]",indicative,futureI,active,,will find or keeping?,,,ADJ,
25522:55,"i guess, the first time i played golf has been probably about eight or ten years ago now, when i was in college.",indicative,presPerfectProgressive,active,,,,,NUM,
59713:207,"what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed.",subjective,condI,active,,modal?,,,ADJ,
89425:17,"and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,",indicative,past,active,,subject?,,,NUM,
20511:22,"well, we just started two or three weeks ago.",indicative,past,active,,,,,NUM,
19248:44,"uh, but, of course, the people who have challenged that or tried to do, on-, have cor-, have not been world powers.",indicative,presPerfect,active,,who +,,,VP,
130233:71,"now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,",indicative,present,active,,conditional?,,,NP,
35393:113,"that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you for a new car.",subjective,condI,active,,modal?,,,NUM,
164352:51,i think in some cases it doesn't matter if it's a deterrent or not. [it is],indicative,present,active,,conditional?,,,OrNot,
165868:35,"and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters.",indicative,present,active,,,,,NUM,
170155:23,do you work for a big or a little place.,indicative,present,active,,habitual?,+,,ADJ,
98373:34,"and, uh, with luck, you'll have one or two thatc are good. [will have]",indicative,futureI,active,,,,,NUM,
28108:116,"because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,",,,,,,,,ADV,
127140:45,"and then there's kind of the, the branch manager level or marketing people that kind of do that middle thing.",,,,,,,,NP,
147025:20,we're wearing something lightweight or no jacket because we're so used to running around like that.,,,,,,,,NP,
14556:18,i've done that once or twice.,,,,,,,,NUM,
55403:21,but by no means do i endorse or approve pulling everybody out.,,,,,,,,VP,
50849:39,i don't know if it's a government run or if it's a private charity that's put it together.,,,,,,,,ADJ,How to negotiate different parts of speech between disjuncts?
104835:34,"at the time it was still, oh, about forty or fifty cents a pound,",,,,,,,,NUM,
44813:11,"so another five or six weeks i'll be bringing the little kitten over to, uh, to my folks.",,,,,,,,NUM,
69804:37,"so they have to start talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too.",,,,,,,,VP,
89972:27,have you looked at any homes for them or talked to them about that.,,,,,,,,VP,
6435:41,"i don't even remember if it was in the dallasite or the insite one, about uh, companies allowing you,",,,,,,,,ADJ,
47372:70,"after that, if you asked me that i wouldn't have been able to tell you if that was football or baseball.",,,,,,,,NP,
45498:63,"my daughter had a, like a little goldfish, a about a year or two ago",,,,,,,,NUM,
109756:31,but we can do our part take an extra minute or two.,,,,,,,,NUM,
154907:14,mumblex is one or two timer a year if i do go on them,,,,,,,,NUM,
51672:30,"do you have any l-, nieces or nephews then.",,,,,,,,NP,
59808:31,"in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf.",,,,,,,,NP,
38666:43,"and then i, i get distracted, and, or have to start on another one,",,,,,,,,VP,
31205:60,"and there's always goingc to be, you know, somebody having a need for a math or science teacher.",,,,,,,,ADJ,
82987:41,"and i think a lot of people either, don't care, or don't realize it, you know.",,,,,,,,VP,
23901:7,sole or flounder is real good.,,,,,,,,NP,
163278:40,"oh, i think, i think two or three minutes is fine.",,,,,,,,NUM,
158077:187,"and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.",,,,,,,,NP,
78609:7,"eleven or twelve, i would thinkf, probably",,,,,,,,NUM,
98975:26,and most juries over a period of five or ten years you might sit on three.,,,,,,,,NUM,
41676:47,and then there are some that may be will come like four inches or five inches above the knee.,,,,,,,,NUM,
101976:15,"you can use chicken or turkey,",,,,,,,,N,
176020:91,"and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen or fifteen hundred dollars",,,,,,,,NUM,
170132:31,"but for me, i only do that every week or, without even, i mean, maybe once a month.",,,,,,,,NUM,"NUM is a quantification expression that includes number, proportions, and relative numerical phrases"
118023:57,"and i told my husband, i said, you know, it's either me or the dog,",,,,,,,,NP,
168929:25,"either you have, uh, military service or some sort of alternative, nonmilitary service for a few years.",,,,,,,,NP,
22745:68,"and the first thing i caught was a sand shark, which was probably a foot, and a half or, uh, two feet long,",,,,,,,,NUM,
46306:157,"and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television.",,,,,,,,NP,
71894:104,"but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three or four years now.",,,,,,,,NUM,
23449:67,"and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit to spend a week,",,,,,,,,NUM,
26474:25,"in our parking lots, uh, two or three days ago i saw one of the new honda sports cars.",,,,,,,,NUM,
109324:31,"i don't know if those are still available or not,",,,,,,,,OrNot,
139777:33,"that's pretty much the south end of the state, or the southern quarter of the state, anyway..",,,,,,,,NP,
38195:38,"so, uh, does your husband ever use, uh, a laptop or a notebook.",,,,,,,,NP,
13821:162,"uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not.",,,,,,,,OrNot,
59548:36,i don't know if the t i in dallas does or not.,,,,,,,,OrNot,
3087:28,"is that with regard to work place engineering, or just, you know, environm-, the work place environment",,,,,,,,NP,
128452:34,"within reason, you know, you can lose weight or maintain your weight and your physical being",,,,,,,,VP,
2067:114,"and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month",,,,,,,,PREP,
58773:18,i tried it like once or twice,,,,,,,,NUM,
9023:22,"i think i had three or four seeds in each one of them,",,,,,,,,NUM,
174455:39,"the only commitments that they're interested inb making or even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,",,,,,,,,VP,
128489:81,"but if you do some basic exercises and you say every morning, just like brushing your teeth you're going to spend fifteen minutes or a half hour.",,,,,,,,NUM,
152062:17,you maybe get two or three a year.,,,,,,,,NUM,
148616:32,"uh, i haven't done any of the oil or watercolor.",,,,,,,,ADJ,
22409:25,"and, uh, i have caught one or two small sharks",,,,,,,,NUM,
153824:74,"around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees",,,,,,,,NUM,
135677:7,"saturday or sunday they were saying,",,,,,,,,ADV,
139418:63,"i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,",,,,,,,,NUM,
133422:57,"um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.",,,,,,,,NP,
126911:45,"now, that's one i have watched, oh, six or eight times.",,,,,,,,NUM,
42508:50,"if, if you're going to hunt with it, or if you're goingb to do sport shooting you can wait a week.",,,,,,,,VP,
125370:17,has that been the cutlass or the sierra.,,,,,,,,NP,
112347:54,"now, my kids didn't like it because they just wanted to get plain old spaghetti or lasagna,",,,,,,,,NP,
84362:25,"but ita has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here.",,,,,,,,NUM,
91686:57,"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,",,,,,,,,NP,?
36223:17,picking up the garbage or educating our kids.,,,,,,,,VP,?
12033:60,"i mean, what do you think we can, uh, i guess as individuals or as a group, do about, uh, air pollution..",,,,,,,,NP,
150028:44,so i don't know if i could have taken it to another retailer or not.,,,,,,,,OrNot,
12128:43,"well, it just means if you don't pollute, right, or you pollute very little you don't have to pay any tax",,,,,,,,VP,
6904:85,"well, um, with credit cards is, me, i, uh, i try to get maybe just one or two,",,,,,,,,NUM,
163402:100,"we, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening.",,,,,,,,ADJ,
38800:88,"you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,",,,,,,,,N,
117429:39,so you're all back to the safety catches and the whole nine yards or either watching them every minute.,,,,,,,,NP,?
166827:24,"i think it's, four or five,",,,,,,,,NUM,
17825:58,"it's, it's tough on the joints if you jog on concrete, or on asphalt.",,,,,,,,N,
44437:69,"i think they tend to be more educated, much more, educated than, than africa or the latin american countries.",,,,,,,,NP,
136418:78,"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors.",,,,,,,,N,
32096:57,"i guess they, they say you can plant them in the spring or the fall, all.",,,,,,,,NP,
37457:58,"they don't have the offense to, uh, to get out, or to have the, the more runs,",,,,,,,,VP,
172615:77,"uh, uh, i really think that we need to get into the mold where we talk about years rather than months or weeks.",,,,,,,,NP,
157389:42,"and basically, uh, we were going to be paying seventy or eighty percent tax.",,,,,,,,NUM,
148987:58,"and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo.",,,,,,,,NP,
122921:24,we used to get four or five inches a year.,,,,,,,,NUM,
170957:97,i think my wife is much better than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not,,,,,,,,OrNot,
74544:45,"do youself have children wi-, who are or have been through the public school system.",,,,,,,,VP,
155153:30,"uh, well i think, either my wife or i would like to pursue advanced degrees at some point",,,,,,,,NP,
125982:22,"my electrical system shorted out like two or three times,",,,,,,,,NUM,
111855:32,and my husband and i like getting the salads or the lighter meals,,,,,,,,NP,
35840:44,"but, uh, uh, i don't know if it's their proposal or one that's being seriously kicked around.",,,,,,,,NP,
61981:60,you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars.,,,,,,,,ADJ,
41615:46,"and so when i'm teaching a class, obviously i wear a suit or dress,",,,,,,,,NP,
62188:33,"well, i don't know if i know anything or not,",,,,,,,,OrNot,
49825:209,"but i think, uh, actually, uh, in, in trying to follow, uh, you know the cowboys over the years i think, uh, uh, they used to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,",,,,,,,,NUM,
111626:16,she's about seven or eight years old.,,,,,,,,NUM,
6480:57,"but it should be a standard and, and not left up to either the whim or the current overhead rate t-, uh, thatb's running in each department.",,,,,,,,NP,
18501:69,"but, um, the water usage, you know, they try to limit, even though there's three or four streams that flow into it,",,,,,,,,NUM,
173602:32,"you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce.",,,,,,,,NUM,
91356:57,"you know, but then when i went, um, for graduate work, you know, or for a new job, people said to me, you know, shippensburg state,",,,,,,,,NP,
124212:97,"and, and, um, uh, the landscape is much different here in texas than it is, you know, in the north. um, or even where you are.",,,,,,,,NP,
35369:98,"well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old because, uh, i get married in a couple of weeks",,,,,,,,NUM,
151803:31,"and during the summer we camp, uh, two or three weeks a year.",,,,,,,,NUM,
111953:18,and i'll order steak or steak and lobster combined,,,,,,,,NP,
126305:39,"i'm, i'm usually in the eighties or nineties",,,,,,,,NUM,
48899:163,"you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who have been there for literally for ten or fifteen years on death row,",,,,,,,,NUM,
122265:57,"and, and when you're on a conversation instead of walking off or just making themselves busy, they'll stand there and listen to what you say until you hang up.",,,,,,,,VP,?
75447:58,"and they have a little display screen that shows you a message and either tells you a person or a, a phone number to respond to",,,,,,,,NP,
98968:82,"and, uh, many matters are so complicated that it's so hard to, uh, come up with the fair value, uh, or the fair sentence",,,,,,,,NP,
100501:68,and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.,,,,,,,,ADJ,
104373:17,"and you got a nickel or dime, which in that time was a lot of money, when you returned them.",,,,,,,,NP,
116923:70,"and, if you see a situation that looks like it could be trouble, just get out of it or call for help, whichever.",,,,,,,,VP,
162817:63,"i, i know a lot of people around here sometimes have, like, mothers or grandmothers that take care of their kids",,,,,,,,NP,
126265:70,"well, it, it, it usually takes me about probably two, two or three to get it there",,,,,,,,NUM,
96679:72,"so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class.",,,,,,,,ADJ,NUM?
136335:21,did you put them up originally or just going up and stopping leaks in them.,,,,,,,,VP,
144355:73,"uh, when they asked us did, did we want to, uh, keep it the same or, uh, spend more, spend less, i think uh, i think right now what they're spending is adequate. uh, my, for my personal opinion. uh, because i think it's something that's going to take them a while to come up with a, uh, vaccine for.",,,,,,,,VP,
73690:19,i didn't want a brother or sister.,,,,,,,,NP,
67487:36,"if you live around the dallas area, you got five or six every weekend to choose from. because they're really into it.",,,,,,,,NUM,
147927:43,"um, do you go to the operas that they sing english or go to the ones that they sing other languages.",,,,,,,,ADJ,
65406:20,i must have like fifty or sixty books by him.,,,,,,,,NUM,
113961:67,"and the federal came in and said, hey, you know, you have either got to build more prisons or let people go.",,,,,,,,VP,
25593:28,"if you want to play tennis, or racquetball,",,,,,,,,NP,
104521:21,"and it naturally, uh, composts or stores",,,,,,,,VP,
48229:108,"well, on a scale of one to ten, uh, being ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven.",,,,,,,,NUM,
145722:85,"i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles",,,,,,,,NUM,
78150:40,"and uh, you could always catch a good news program at eight o'clock or nine o'clock on c n n.",,,,,,,,NP,
112163:28,"unless they're caught in the act or the-, the-, the child is very badly, you know, beaten up, it comes down to a one word against the other that type thing.",,,,,,,,VP,
23488:144,"you know, kind of mumblex off what we've been talking about here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick to sue or to threaten to sue and that kind of stuff,",,,,,,,,VP,
151366:42,"and, i mean, i'm not speaking in favor of drugs or against drugs,",,,,,,,,ADV,?
105474:35,"nowadays i don't think i could afford the boat or the time,",,,,,,,,NP,
73492:77,"and, and, you know, multiplied by the fact that you don't really trust the person or you're uncomfortable with the situation mumblex, as far as child care, um,",,,,,,,,ADJ,?
119232:80,"i'm not, you know, i have a problem, uh, with whether it's going to work or not, you know,",,,,,,,,OrNot,
1265:65,"i should have, i guess i should make another one that says religious or otherwise, cause i still get,",,,,,,,,ADJ,
105689:35,and it depends where he's going whether or not i decide to go along,,,,,,,,OrNot,
35550:65,"well, what you can do is take your car payment and put it in the bank for three or four years",,,,,,,,NUM,
17859:69,"but then i'll get tired of doing that, and maybe start jogging again and go out about three or four nights a week.",,,,,,,,NUM,
34082:72,"i do too. uh, because it doesn't make any difference, uh, uh, whether it's a pistol or a shotgun, i suppose.",,,,,,,,NP,
136821:73,"you wonder if they're, it's really worth it to pay, uh, thirty-five dollars or forty dollars just to get in.",,,,,,,,NUM,
18802:68,"and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty or leave the ones if they're still in good shape.",,,,,,,,NP,
137818:79,"we had this group of, uh, surveyors come into, uh, a shop i was working in, uh, four or five of them,",,,,,,,,NUM,
128768:129,"and, uh, i guess they'd have to consider how expensive the college is and how close to home, if they could handlee being away for real long periods of time or if they need to be somewhere where they can drive home when they needed to get homeb.",,,,,,,,VP,
146522:172,"i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care that i will be able to just bring her into my home and my father also, and uh, or have someone go into their home, you know and uh, and look after them.",,,,,,,,VP,
50077:84,"so it's, um, real easy access from, from south of baltimore like, um, like the airport or more importantly for the orioles from washington d c.",,,,,,,,PP,?
52016:33,"i haven't been to a movie theater in probably eight or nine months,",,,,,,,,NUM,
3053:66,"i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,",,,,,,,,ADJ,
126099:53,"and if you try to take anybody, you know, go to the show or go out for supper, and you go as a foursome,",,,,,,,,NP,
171205:49,"so you think if, if trials were held by judges or experts, that they, they would tend not to, uh, admit, not to convict people on circumstantial evidence.",,,,,,,,N,
52123:56,"now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arabia.",,,,,,,,NP,
149535:62,"i mean, you know, in retrospect, um, was it, was it mondale or dukakis that said, you know, i'll, i'll tell you right now i'm going to raise taxes.",,,,,,,,N,
140815:62,"you know, maybe you nee-, you can get it signed up this spring or summer for some of the dog obedience classes.",,,,,,,,N,
117171:43,"well, i don't know if we've talked our full three minutes or not.",,,,,,,,OrNot,
173701:143,"so you're saying that the taxpayer who also is really paying through the pocketbook for the education of the child may not be quite so conscious of the fact that they are paying the tuition for that child in the form of, uh, real estate or other taxes",,,,,,,,ADJ,
156117:69,"i mean, it, it definitely it's not at a level comparable to los angeles or denver",,,,,,,,N,
107053:97,"and then at the end of the, of the period, pay period, if she has any left, that much is for fun or entertainment.",,,,,,,,N,
119921:34,"i don't know if they're making them better or not,",,,,,,,,OrNot,
166963:23,"and whe-, whether or not you agree with that law, i-, you're still circumventing it.",,,,,,,,OrNot,
12588:15,they could either fight or die.,,,,,,,,V,
75373:37,"and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.",,,,,,,,NUM,
39593:60,"we might try to, to, um, to grill some flounder or salmon steaks.",,,,,,,,ADJ,
90246:38,"and, you know, it does not have a real story, or any plot,",,,,,,,,NP,
96713:55,"there was something on t v the other day that said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.",,,,,,,,NUM,
136285:25,"been pulling them up, huh, or just loosening them until the rain came in.",,,,,,,,VP,
172843:32,"i'm, i'm five or six mumblex years before i'm eligible to retire",,,,,,,,NUM,
158123:56,"well, i, i don't know if that would really work that way or not.",,,,,,,,OrNot,
43156:41,"basically, i like to mow the lawn, believe it or not,",,,,,,,,OrNot,
54952:27,"is that the one set in the fifties, or sixties.",,,,,,,,NP,
74620:92,"if we paid them more, it would attract more the, the higher educated people to, to either move into that field or to continue in that field.",,,,,,,,VP,
2700:39,"but, you know, i don't know if they do or not.",,,,,,,,OrNot,
53606:55,"apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too.",,,,,,,,NP,
70391:41,"and there's a flash flood watch and, more rain for the next three or four days.",,,,,,,,NUM,
18419:16,"they have about two or three acres of land on lake front property, on a, on the side of a hill.",,,,,,,,NUM,
139490:160,"now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup, and put a little bit of white wine in it.",,,,,,,,ADJ,
166599:24,i'll just buy it somewhere else or not buy it at all.,,,,,,,,ADV,?
22485:34,"i usually ended snagging my, uh, fishing partners or the trees along the bank.",,,,,,,,NP,
30887:42,"you know they're usually not, not that great or didn't do that great anyway.",,,,,,,,VP,
102453:33,"do you usually go out, uh, with the children or without them.",,,,,,,,ADV,PP?
4496:104,"now do you think that's because they've realized that for whole health, that, the, you know, you have to have that combination, or that people are motivated that way so that they've incorporated that into their program.",,,,,,,,PP,VP?
39760:67,"and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe,",,,,,,,,VP,
136406:56,"well, it, uh, depending on its moisture content, it either swells up or shrinks,",,,,,,,,VP,
1214:60,"i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.",,,,,,,,VP,
18011:37,"i don't know if he's still on any more or not,",,,,,,,,OrNot,
52336:38,"i've, we've seen that two or three times.",,,,,,,,NUM,
112139:60,"and yet, i mean, did you ever in your life when you were little know anybody or hear anything of anything like this.",,,,,,,,VP,
120725:45,"they um, ours would still back up to the dog or cat when he got mad and try to perfume them,",,,,,,,,NP,
14012:39,"you know, kids seem like when they get ten or twelve years old they fall out of that,",,,,,,,,NUM,
48372:46,"i don't know if that's a large percentage of, uh, crime or not",,,,,,,,OrNot,
148624:46,"i, i took one class about, i guess three or four years ago",,,,,,,,NUM,
139715:64,"it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty.",,,,,,,,NUM,
171214:55,"the trials are helda by a panel of three, uh, three or four judges who are,",,,,,,,,NUM,
134333:22,we don't even have any concrete or asphalt.,,,,,,,,NP,
142727:53,"but a little bit from three, you know, from thirty million dollars or thirty-five mil-, that's a lot of money.",,,,,,,,NUM,
98714:63,"and, well, uh, since now i'm in my mid-forties, when i was in grad school or when i was an undergraduate growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that's developed with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh,",,,,,,,,PP,?
28388:46,"not only do i do p c type things like, uh, using lotus or word processors,",,,,,,,,NP,
121641:28,i don't know if you know her or not.,,,,,,,,OrNot,
63429:67,"well, does it cost money like to use the, to exercise in the weight room or to, uh, to tak-, to go swimming.",,,,,,,,VP,
85982:21,"and i don't see any winners or losers,",,,,,,,,NP,
132029:43,"and there is a little bitty mall that looks kind of like, or, strip kind of center.",,,,,,,,NP,?
152800:99,"and you know it's, it's more like the news shows is now is now you know an entertainment show like a sitcom or like the news, because they would always have like the wonderful investigative reports, you know, is your kid's bus driver smoking crack, on the way to school, you know.",,,,,,,,NP,
170320:16,they're in college or just out of college,,,,,,,,ADJ,?
51527:40,"and i want to say her daughter was like six or seven, right around first, second grade.",,,,,,,,NUM,
132615:33,"now, i don't know if that's true or not,",,,,,,,,OrNot,
52499:80,"i don-, i don't think our prison system isn't set up, where we, um, rehabilitate, or, you know, restore anybody.",,,,,,,,VP,
151776:116,"that's why your diesel engines have such high compression ratios as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen or nineteen to one ratio",,,,,,,,NUM,
126359:33,no nine hundred numbers can be dialed from my phone or received.,,,,,,,,VP,
164711:79,"it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin.",,,,,,,,ADJ,
98980:76,"and so how do you relate as to whether this particular armed robbery was a, you know, worth five years or twenty-five.",,,,,,,,NUM,
67780:27,"and the dog was being house sit, or dog sit, whatever, by some friends of mine down the street,",,,,,,,,ADV,?
176653:15,it was about four or five hundred square feet.,,,,,,,,NUM,
93772:26,we were an hour away from the mountains or an hour away from the shore.,,,,,,,,NP,
165876:47,"and the majority of the incentive in recycling bottles probably, believe it or not, is just to get the extra nickel at the, uh, the store and not, uh,",,,,,,,,OrNot,
9028:77,"and i'm not sure when a good time to plant those is, if they should be planted early or later.",,,,,,,,ADV,
20498:36,"that's what we're looking at, fifteen or maybe twenty.",,,,,,,,NUM,
65937:74,"why not an apprentice out to a, a company and learn from down on the bottom as a wood worker or, you know, just a technician.",,,,,,,,NP,
99369:72,"i, i don't think we should be spending timeb saying somebody's wearing torn clothing or wearing sh-, too shorts, too short",,,,,,,,NP,?
118989:29,"that must have been at least fifty years ago or more,",,,,,,,,NUM,?
113966:144,"and finally our governor at the time which who is not in office now came in and said, okay, where we draw the line is no sex offenders will be let loose. under early bail, you know or early, uh get out.",,,,,,,,NP,
62382:115,"there are people now that are obsolete point and fact just, just like endangered species of animals, so there are quote tribes of people, thatf are endangered or obsolete.",,,,,,,,ADJ,
155051:35,"well, how to you handle that, the long range or medium range planning on finances.",,,,,,,,ADJ,
19349:75,"it's easy to believe that they were probably more forced into a pact than, uh, a volunteer or willingness to join.",,,,,,,,NP,VP?
