TGrepID	EntireSentence	BestResponse
68309:44	and maybe, now, i don't remember if thisa is texas or not, that has something about all drug dealers can be sentenced to the death sentence.	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both.
101686:71	usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both.
25522:55	i guess, the first time i played golf has been probably about eight or ten years ago now, when i was in college.	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .
59713:207	what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed.	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .
89425:17	and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,	and, the first five minutes or ten minutes but not both of the movie was, i was very well persuaded  to walk out. very well persuaded,
20511:22	well, we just started two or three weeks ago.	well, we just started two or three weeks ago but not both.
19248:44	uh, but, of course, the people who have challenged that or tried to do, on-, have cor-, have not been world powers.	uh, but, of course, the people who  have challenged that or tried  to do, on- but not both, have cor-, have not been world powers.
130233:71	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard but not both,
35393:113	that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you for a new car.	that, uh, in addition to getting a new car there, they can get you a car that 's new but  it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you  for a new car but not both.
164352:51	i think in some cases it doesn't matter if it's a deterrent or not.	i think in some cases it  doesn't matter if it's a deterrent or not but not both.
165868:35	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters.	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters but not both.
170155:23	do you work for a big or a little place.	do you work for a big  or a little  place but not both.
98373:34	and, uh, with luck, you'll have one or two thatc are good.	and, uh, with luck, you'll have one or two but not both that  are good.
28108:116	because if, if i had been allowed to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time, if there was, if there had been some way to work it out,	because if, if i had been allowed  to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time but not both, if there was, if there had been some way  to work it out ,
127140:45	and then there's kind of the, the branch manager level or marketing people that kind of do that middle thing.	and then there's kind of the, the branch manager level or marketing people that  kind of do that middle thing but not both.
147025:20	we're wearing something lightweight or no jacket because we're so used to running around like that.	we're wearing something lightweight or no jacket but not both because we're so used to  running around like that.
14556:18	i've done that once or twice.	i've done that once or twice but not both.
55403:21	but by no means do i endorse or approve pulling everybody out.	but by no means do i endorse or approve pulling everybody out but not both.
50849:39	i don't know if it's a government run or if it's a private charity that's put it together.	i don't know if it's a government run   or if it's a private   charity but not both that 's put it together.
104835:34	at the time it was still, oh, about forty or fifty cents a pound,	at the time it was still, oh, about forty or fifty cents a pound but not both,
44813:11	so another five or six weeks i'll be bringing the little kitten over to, uh, to my folks.	so another five or six weeks but not both i'll be bringing the little kitten over to, uh, to my folks.
69804:37	so they have to start talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too.	so they have  to start  talking about it, or getting their act together but not both about six months ahead to get in touch with everybody, because they're rather socially active too.
89972:27	have you looked at any homes for them or talked to them about that.	have you looked at any homes for them or talked to them about that but not both.
6435:41	i don't even remember if it was in the dallasite or the insite one, about uh, companies allowing you,	i don't even remember if it was in the dallasite  or the insite  one but not both, about uh, companies allowing you,
47372:70	after that, if you asked me that i wouldn't have been able to tell you if that was football or baseball.	after that, if you asked me that i wouldn't have been able  to tell you if that was football or baseball but not both.
45498:63	my daughter had a, like a little goldfish, a about a year or two ago	my daughter had a, like a little goldfish, a about a year or two ago but not both.
109756:31	but we can do our part take an extra minute or two.	but we can do our part take an extra minute or two but not both.
154907:14	mumblex is one or two timer a year if i do go on them	mumblex is one or two but not both timer a year if i do go on them
51672:30	do you have any l-, nieces or nephews then.	do you have any l-, nieces or nephews but not both then.
59808:31	in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf.	in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .
38666:43	and then i, i get distracted, and, or have to start on another one,	and then i, i get distracted , and, or have  to start on another one but not both,
31205:60	and there's always goingc to be, you know, somebody having a need for a math or science teacher.	and there's always going  to be, you know, somebody having a need for a math or science teacher but not both.
82987:41	and i think a lot of people either, don't care, or don't realize it, you know.	and i think a lot of people either, don't care, or don't realize it but not both, you know.
23901:7	sole or flounder is real good.	sole or flounder is real good but not both.
163278:40	oh, i think, i think two or three minutes is fine.	oh, i think, i think two or three minutes is fine but not both.
158077:187	and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.	and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, but not  both, uh, while we foot the bill.
78609:7	eleven or twelve, i would thinkf, probably	eleven or twelve but not both, i would think , probably
98975:26	and most juries over a period of five or ten years you might sit on three.	and most juries over a period of five or ten years but not both you might sit on three.
41676:47	and then there are some that may be will come like four inches or five inches above the knee.	and then there are some that  may be will come like four inches or five inches but not both above the knee.
101976:15	you can use chicken or turkey,	you can use chicken or turkey but not both,
176020:91	and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which was, was fourteen or fifteen hundred dollars	and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which  was, was fourteen or fifteen hundred dollars but not both.
170132:31	but for me, i only do that every week or, without even, i mean, maybe once a month.	but for me, i only do that every week or, without even, i mean, maybe once a month but not both.
118023:57	and i told my husband, i said, you know, it's either me or the dog,	and i told my husband , i said , you know, it's either me or the dog but not both,
168929:25	either you have, uh, military service or some sort of alternative, nonmilitary service for a few years.	either you have, uh, military service or some sort of alternative, nonmilitary service for a few years but not both.
22745:68	and the first thing i caught was a sand shark, which was probably a foot, and a half or, uh, two feet long,	and the first thing i caught  was a sand shark, which  was probably a foot, and a half or, uh, two feet long but not both,
46306:157	and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television.	and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore , where mothers are working all the time and, the kids aren't getting the attention that they need  , or the television but not both.
71894:104	but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three or four years now.	but i feel guilty for  not going, because i really i'm, i'm so used to  going for, you know, three or four years now but not both.
23449:67	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit to spend a week,	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half but not both like most folks do, maybe we should commit  to spend a week,
26474:25	in our parking lots, uh, two or three days ago i saw one of the new honda sports cars.	in our parking lots, uh, two or three days ago but not both i saw one of the new honda sports cars.
109324:31	i don't know if those are still available or not,	i don't know if those are still available or not but not both,
139777:33	that's pretty much the south end of the state, or the southern quarter of the state, anyway..	that's pretty much the south end of the state, or the southern quarter of the state but not both, anyway..
38195:38	so, uh, does your husband ever use, uh, a laptop or a notebook.	so, uh, does your husband ever use, uh, a laptop or a notebook but not both.
13821:162	uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not.	uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both.
59548:36	i don't know if the t i in dallas does or not.	i don't know if the t i in dallas does or not but not both.
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment	is that with regard to work place engineering, or just, you know, environm-, the work place environment but not both.
128452:34	within reason, you know, you can lose weight or maintain your weight and your physical being	within reason, you know, you can lose weight or maintain your weight and your physical being but not both.
2067:114	and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month	and i made a lotus spreadsheet and went through the year  using all of our, our checkbook  to figure out what we spent  each time and whether we were over or under but not both for each month
58773:18	i tried it like once or twice	i tried it like once or twice but not both.
9023:22	i think i had three or four seeds in each one of them,	i think i had three or four seeds but not both in each one of them,
174455:39	the only commitments that they're interested inb making or even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,	the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth but not both,
128489:81	but if you do some basic exercises and you say every morning, just like brushing your teeth you're going to spend fifteen minutes or a half hour.	but if you do some basic exercises and you say every morning, just like brushing your teeth you're going  to spend fifteen minutes or a half hour but not both.
152062:17	you maybe get two or three a year.	you maybe get two or three a year but not both.
148616:32	uh, i haven't done any of the oil or watercolor.	uh, i haven't done any of the oil or watercolor but not both.
22409:25	and, uh, i have caught one or two small sharks	and, uh, i have caught one or two small sharks but not both.
153824:74	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees but not both.
135677:7	saturday or sunday they were saying,	saturday or sunday but not both they were saying ,
139418:63	i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,	i'm in favor of very little clean up, um, very little planning because we've got three or four but not both couples that we get together with   to play games,
133422:57	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term but not both.
126911:45	now, that's one i have watched, oh, six or eight times.	now, that's one i have watched , oh, six or eight times but not both.
42508:50	if, if you're going to hunt with it, or if you're goingb to do sport shooting you can wait a week.	if, if you're going  to hunt with it, or if you're going  to do sport shooting but not both you can wait a week.
125370:17	has that been the cutlass or the sierra.	has that been the cutlass or the sierra but not both.
112347:54	now, my kids didn't like it because they just wanted to get plain old spaghetti or lasagna,	now, my kids didn't like it because they just wanted  to get plain old spaghetti or lasagna but not both,
84362:25	but ita has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here.	but it  has been about three or four years but not both of, uh, uh, playing around with flowers to de-, decide which ones  actually grow here.
91686:57	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um but not both,
36223:17	picking up the garbage or educating our kids.	picking up the garbage or educating our kids but not both.
12033:60	i mean, what do you think we can, uh, i guess as individuals or as a group, do about, uh, air pollution..	i mean, what do you think we can, uh, i guess  as individuals or as a group but not both, do  about, uh, air pollution..
150028:44	so i don't know if i could have taken it to another retailer or not.	so i don't know if i could have taken it to another retailer or not but not both.
12128:43	well, it just means if you don't pollute, right, or you pollute very little you don't have to pay any tax	well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax
6904:85	well, um, with credit cards is, me, i, uh, i try to get maybe just one or two,	well, um, with credit cards is, me, i, uh, i try  to get maybe just one or two but not both,
163402:100	we, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening.	we, that's been an, a, an issue, uh, in our company even though we don't have the random  or even regular  drug screening but not both.
38800:88	you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,	you know, it's, it 's so easy to get caught  up on reading just for your work, or, you know, self improvement but not both,
117429:39	so you're all back to the safety catches and the whole nine yards or either watching them every minute.	so you're all back to the safety catches and the whole nine yards or either watching them every minute but not both.
166827:24	i think it's, four or five,	i think it's, four or five but not both,
17825:58	it's, it's tough on the joints if you jog on concrete, or on asphalt.	it's, it's tough on the joints if you jog on concrete, or on asphalt but not both.
44437:69	i think they tend to be more educated, much more, educated than, than africa or the latin american countries.	i think they tend  to be more educated, much more, educated than, than africa or the latin american but not both countries.
136418:78	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors.	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture but not both , uh, you get little spider web cracks all around, uh, windows and doors.
32096:57	i guess they, they say you can plant them in the spring or the fall, all.	i guess they, they say you can plant them in the spring or the fall, all but not both.
37457:58	they don't have the offense to, uh, to get out, or to have the, the more runs,	they don't have the offense to, uh, to get out, or to have the, the more runs but not both ,
172615:77	uh, uh, i really think that we need to get into the mold where we talk about years rather than months or weeks.	uh, uh, i really think that we need  to get into the mold where we talk about years rather than months or weeks but not both .
157389:42	and basically, uh, we were going to be paying seventy or eighty percent tax.	and basically, uh, we were going  to be paying seventy or eighty percent tax but not both.
148987:58	and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo.	and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both.
122921:24	we used to get four or five inches a year.	we used  to get four or five inches a year but not both.
170957:97	i think my wife is much better than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not	i think my wife is much better  than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not but not both.
74544:45	do youself have children wi-, who are or have been through the public school system.	do youself have children wi-, who  are  or have been  through the public school system but not both.
155153:30	uh, well i think, either my wife or i would like to pursue advanced degrees at some point	uh, well i think, either my wife or i but not both would like  to pursue advanced degrees at some point
125982:22	my electrical system shorted out like two or three times,	my electrical system shorted out like two or three times but not both,
111855:32	and my husband and i like getting the salads or the lighter meals	and my husband and i like  getting the salads or the lighter meals but not both.
35840:44	but, uh, uh, i don't know if it's their proposal or one that's being seriously kicked around.	but, uh, uh, i don't know if it's their proposal or one that 's being seriously kicked  around but not both.
61981:60	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars.	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars but not both.
41615:46	and so when i'm teaching a class, obviously i wear a suit or dress,	and so when i'm teaching a class , obviously i wear a suit or dress but not both,
62188:33	well, i don't know if i know anything or not,	well, i don't know if i know anything or not but not both,
49825:209	but i think, uh, actually, uh, in, in trying to follow, uh, you know the cowboys over the years i think, uh, uh, they used to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,	but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years but not both uh,
111626:16	she's about seven or eight years old.	she's about seven or eight years old but not both.
6480:57	but it should be a standard and, and not left up to either the whim or the current overhead rate t-, uh, thatb's running in each department.	but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.
18501:69	but, um, the water usage, you know, they try to limit, even though there's three or four streams that flow into it,	but, um, the water usage, you know, they try  to limit , even though there's three or four streams but not both that  flow into it,
173602:32	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce.	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce but not both.
91356:57	you know, but then when i went, um, for graduate work, you know, or for a new job, people said to me, you know, shippensburg state,	you know, but then when i went, um, for graduate work, you know, or for a new job , people said to me, you know, shippensburg state but not both,
124212:97	and, and, um, uh, the landscape is much different here in texas than it is, you know, in the north. um, or even where you are.	and, and, um, uh, the landscape is much different  here in texas than it is, you know, in the north. um, or even where you are but not both .
35369:98	well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old because, uh, i get married in a couple of weeks	well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old but not both because, uh, i get married  in a couple of weeks
151803:31	and during the summer we camp, uh, two or three weeks a year.	and during the summer we camp, uh, two or three weeks a year but not both.
111953:18	and i'll order steak or steak and lobster combined	and i'll order steak or steak and lobster combined but not both.
126305:39	i'm, i'm usually in the eighties or nineties	i'm, i'm usually in the eighties or nineties but not both.
48899:163	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who have been there for literally for ten or fifteen years on death row,	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years but not both on death row,
122265:57	and, and when you're on a conversation instead of walking off or just making themselves busy, they'll stand there and listen to what you say until you hang up.	and, and when you're on a conversation  instead of  walking off or just making themselves busy, they'll stand there and listen to what you say  until you hang up but not both.
75447:58	and they have a little display screen that shows you a message and either tells you a person or a, a phone number to respond to	and they have a little display screen that  shows you a message and either tells you a person or a, a phone number but not both to respond to
98968:82	and, uh, many matters are so complicated that it's so hard to, uh, come up with the fair value, uh, or the fair sentence	and, uh, many matters are so complicated that it 's so hard to, uh, come up with the fair value, uh, or the fair sentence but not both.
100501:68	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals but not both .
104373:17	and you got a nickel or dime, which in that time was a lot of money, when you returned them.	and you got a nickel or dime but not both, which in that time  was a lot of money, when you returned them .
116923:70	and, if you see a situation that looks like it could be trouble, just get out of it or call for help, whichever.	and, if you see a situation that  looks like it could be trouble, just get out of it or call for help, whichever but not both.
162817:63	i, i know a lot of people around here sometimes have, like, mothers or grandmothers that take care of their kids	i, i know a lot of people around here sometimes have, like, mothers or grandmothers but not both that  take care of their kids
126265:70	well, it, it, it usually takes me about probably two, two or three to get it there	well, it, it, it usually takes me about probably two, two or three but not both  to get it there
96679:72	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class.	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know but not both, one of just a very, few women in the class .
136335:21	did you put them up originally or just going up and stopping leaks in them.	did you put them up originally or just going up and stopping leaks in them but not both.
144355:73	uh, when they asked us did, did we want to, uh, keep it the same or, uh, spend more, spend less, i think uh, i think right now what they're spending is adequate. uh, my, for my personal opinion. uh, because i think it's something that's going to take them a while to come up with a, uh, vaccine for.	uh, when they asked us did, did we want  to, uh, keep it the same or, uh, spend more, spend less but not both , i think uh, i think right now what they're spending  is adequate. uh, my, for my personal opinion. uh, because i think it's something that 's going  to take them a while  to come up with a, uh, vaccine for .
73690:19	i didn't want a brother or sister.	i didn't want a brother or sister but not both.
67487:36	if you live around the dallas area, you got five or six every weekend to choose from. because they're really into it.	if you live around the dallas area, you got five or six but not both  every weekend to choose from . because they're really into it.
147927:43	um, do you go to the operas that they sing english or go to the ones that they sing other languages.	um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .
65406:20	i must have like fifty or sixty books by him.	i must have like fifty or sixty books by him but not both.
113961:67	and the federal came in and said, hey, you know, you have either got to build more prisons or let people go.	and the federal came in and said, hey, you know, you have either got  to build more prisons or let people go but not both.
25593:28	if you want to play tennis, or racquetball,	if you want  to play tennis, or racquetball but not both,
104521:21	and it naturally, uh, composts or stores	and it naturally, uh, composts or stores but not both.
48229:108	well, on a scale of one to ten, uh, being ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven.	well, on a scale of one to ten, uh, being  ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven but not both.
145722:85	i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles	i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles but not both.
78150:40	and uh, you could always catch a good news program at eight o'clock or nine o'clock on c n n.	and uh, you could always catch a good news program at eight o'clock or nine o'clock but not both on c n n.
112163:28	unless they're caught in the act or the-, the-, the child is very badly, you know, beaten up, it comes down to a one word against the other that type thing.	unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, it comes down to a one word against the other that type thing but not both.
23488:144	you know, kind of mumblex off what we've been talking about here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick to sue or to threaten to sue and that kind of stuff,	you know, kind of mumblex off what we've been talking about  here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick  to sue or to threaten  to sue but not both and that kind of stuff ,
151366:42	and, i mean, i'm not speaking in favor of drugs or against drugs,	and, i mean, i'm not speaking in favor of drugs or against drugs but not both,
105474:35	nowadays i don't think i could afford the boat or the time,	nowadays i don't think i could afford the boat or the time but not both,
73492:77	and, and, you know, multiplied by the fact that you don't really trust the person or you're uncomfortable with the situation mumblex, as far as child care, um,	and, and, you know, multiplied  by the fact that you don't really trust the person or you're uncomfortable but not both with the situation mumblex, as far as child care, um,
119232:80	i'm not, you know, i have a problem, uh, with whether it's going to work or not, you know,	i'm not, you know, i have a problem, uh, with whether it's going  to work or not but not both, you know,
1265:65	i should have, i guess i should make another one that says religious or otherwise, cause i still get,	i should have, i guess i should make another one that  says religious or otherwise but not both, cause i still get,
105689:35	and it depends where he's going whether or not i decide to go along	and it  depends where he's going  whether or not i decide  to go along but not both.
35550:65	well, what you can do is take your car payment and put it in the bank for three or four years	well, what you can do  is take your car payment and put it in the bank for three or four years but not both.
17859:69	but then i'll get tired of doing that, and maybe start jogging again and go out about three or four nights a week.	but then i'll get tired of  doing that, and maybe start  jogging again and go out about three or four nights a week but not both.
34082:72	i do too. uh, because it doesn't make any difference, uh, uh, whether it's a pistol or a shotgun, i suppose.	i do too. uh, because it  doesn't make any difference, uh, uh, whether it's a pistol or a shotgun but not both, i suppose .
136821:73	you wonder if they're, it's really worth it to pay, uh, thirty-five dollars or forty dollars just to get in.	you wonder if they're, it 's really worth it to pay, uh, thirty-five dollars or forty dollars but not both  just to get in.
18802:68	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty or leave the ones if they're still in good shape.	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty  or leave the ones if they're still in good shape but not both.
137818:79	we had this group of, uh, surveyors come into, uh, a shop i was working in, uh, four or five of them,	we had this group of, uh, surveyors come into, uh, a shop i was working in , uh, four or five of them but not both,
