tgrep.id	BNBSentence	BNBInsertion	Num_different_BNBForms	Proportion_goodLoc_perBNB	frequency_BNBSentence	frequency_BNBInsertion
36021:57	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both. 	bad	3	0.2	5	4
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both, 	good	3	0.25	4	1
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	bad	3	0.5	4	2
62903:64	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both. 	good	4	0.5	6	3
6465:51	uh, and, and i would certainly support something like four to one or five to one but not both. 	good	2	0.625	8	5
70251:35	and then it seems sort of like a san antonio early winter or fall but not both, year-round.	good	2	0.8	5	4
71908:46	and, you know, working out six hours a day, usually six or seven days a week but not both that kind of, kept us all in pretty good shape,.	bad	3	0.5	4	2
71989:47	just, because yo-, you don't like  to or because, because you won't be able  to but not both. 	good	2	0.25	8	2
7684:47	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both. 	good	3	0.285714285714286	7	2
88687:32	well, i guess i have used it once or twice but not both. 	good	2	0.5	8	4
90213:76	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both, 	good	3	0.8	5	4
93711:49	you may meet people, you know, thirty years older  than you, or younger but not both, 	good	2	0.571428571428571	7	4
101686:71	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both. 	good	2	0.666666666666667	6	4
104835:34	at the time it was still, oh, about forty or fifty cents a pound but not both, 	bad	4	0.166666666666667	6	5
106986:61	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both. 	good	2	0.833333333333333	6	5
127140:45	and then there's kind of the, the branch manager level or marketing people that  kind of do that middle thing but not both. 	good	2	0.8	5	4
130233:71	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard but not both, 	bad	4	0	5	5
14556:18	i've done that once or twice but not both. 	good	1	0.555555555555556	9	5
147025:20	we're wearing something lightweight or no jacket but not both because we're so used to  running around like that.	good	3	1	5	5
151239:56	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both. 	bad	1	0.777777777777778	9	2
156661:22	anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them but not both .	bad	3	0.142857142857143	7	6
164352:51	i think in some cases it  doesn't matter if it's a deterrent or not but not both. 	bad	2	0	7	7
165868:35	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters but not both. 	good	2	0.833333333333333	6	5
170155:23	do you work for a big  or a little  place but not both. 	bad	2	0.125	8	7
19248:44	uh, but, of course, the people who  have challenged that or tried  to do, on-, have cor-, have not been world powers but not both. 	bad	3	0	5	5
20511:22	well, we just started two or three weeks ago but not both. 	bad	1	0.333333333333333	9	6
25522:55	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .	bad	3	0	5	5
28108:116	because if, if i had been allowed  to work, you know, maybe thirty hours a week instead of fifty hours a week, i might still be working basically full time or part time but not both, if there was, if there had been some way  to work it out ,	good	3	1	6	6
28706:47	we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	good	3	1	5	5
33856:25	i try  to go real late or real early before they get there but not both. 	bad	2	0.4	5	3
35393:113	that, uh, in addition to getting a new car there, they can get you a car that 's new but  it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you  for a new car but not both. 	bad	3	0.2	5	4
44813:11	so another five or six weeks but not both i'll be bringing the little kitten over to, uh, to my folks.	good	2	0.8	5	4
50849:39	i don't know if it's a government run   or if it's a private   charity that 's put it together but not both. 	good	2	0.666666666666667	6	4
55403:21	but by no means do i endorse or approve pulling everybody out but not both. 	bad	4	0	4	4
59713:207	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .	good	1	0.666666666666667	9	6
6435:41	i don't even remember if it was in the dallasite  or the insite  one, about uh, companies allowing you but not both, 	bad	3	0.25	4	3
6435:41	i don't even remember if it was in the dallasite  or the insite  one but not both, about uh, companies allowing you,	good	3	1	4	4
68309:44	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both. 	bad	3	0.285714285714286	7	5
69804:37	so they have  to start  talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too but not both. 	bad	3	0	7	7
74742:45	and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets but not both .	bad	2	0.4	5	3
89425:17	and, the first five minutes or ten minutes of the movie was, i was very well persuaded  to walk out. very well persuaded but not both, 	bad	5	0	5	5
89972:27	have you looked at any homes for them or talked to them about that but not both. 	bad	3	0.5	6	3
98373:34	and, uh, with luck, you'll have one or two that  are good but not both. 	good	2	0.75	8	6
101976:15	you can use chicken or turkey but not both, 	good	2	1	8	8
109324:31	i don't know if those are still available or not but not both, 	bad	2	0	7	7
109756:31	but we can do our part take an extra minute or two but not both. 	bad	2	0.25	8	6
118023:57	and i told my husband , i said , you know, it's either me or the dog but not both, 	good	1	1	9	9
13821:162	uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not but not both. 	bad	2	0.125	8	7
139777:33	that's pretty much the south end of the state, or the southern quarter of the state, anyway. but not both. 	good	3	0.666666666666667	6	4
154907:14	mumblex is one or two timer a year but not both if i do go on them	good	4	0.75	4	3
158077:187	and i think that the people who  are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger but not both at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.	bad	6	0.5	2	1
158077:187	and i think that the people who  are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or but not both just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill.	bad	6	0.5	2	1
158077:187	and i think that the people who  are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, uh, while we foot the bill but not both. 	good	6	0.5	2	1
163278:40	oh, i think, i think two or three minutes is fine but not both. 	good	3	0.25	4	1
163278:40	oh, i think, i think two or three minutes but not both is fine.	good	3	0.5	4	2
168929:25	either you have, uh, military service or some sort of alternative, nonmilitary service for a few years but not both. 	good	3	0.857142857142857	7	6
170132:31	but for me, i only do that every week or, without even, i mean, maybe once a month but not both. 	good	3	0.714285714285714	7	5
176020:91	and, and we put twenty-eight hundred dollars on the charge. along with my trip to japan which  was, was fourteen or fifteen hundred dollars but not both. 	good	2	0.375	8	3
22745:68	and the first thing i caught  was a sand shark, which  was probably a foot, and a half or, uh, two feet long but not both, 	good	2	0.428571428571429	7	3
23449:67	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit  to spend a week but not both, 	good	4	0.6	5	3
23901:7	sole or flounder is real good but not both. 	good	3	0.8	5	4
26474:25	in our parking lots, uh, two or three days ago but not both i saw one of the new honda sports cars.	bad	4	0.5	6	3
31205:60	and there's always going  to be, you know, somebody having a need for a math or science teacher but not both. 	bad	2	0.75	8	2
38195:38	so, uh, does your husband ever use, uh, a laptop or a notebook but not both. 	bad	2	0.428571428571429	7	4
38666:43	and then i, i get distracted , and, or have  to start on another one but not both, 	good	3	0.5	6	3
41676:47	and then there are some that  may be will come like four inches or five inches but not both above the knee.	bad	3	0.6	5	2
45498:63	my daughter had a, like a little goldfish, a about a year or two ago but not both. 	bad	2	0.125	8	7
46306:157	and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore , where mothers are working all the time and, the kids aren't getting the attention that they need  , or the television but not both. 	good	2	0.625	8	5
47372:70	after that, if you asked me that i wouldn't have been able  to tell you if that was football or baseball but not both. 	good	1	0.777777777777778	9	7
51672:30	do you have any l-, nieces or nephews then but not both. 	bad	3	0.2	5	4
59548:36	i don't know if the t i in dallas does or not but not both. 	bad	2	0.25	8	6
59808:31	in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .	bad	3	0.75	4	1
59808:31	in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son but not both .	bad	3	0.5	4	2
71894:104	but i feel guilty for  not going, because i really i'm, i'm so used to  going for, you know, three or four years now but not both. 	bad	3	0.285714285714286	7	5
78609:7	eleven or twelve but not both, i would think , probably	bad	4	0.5	6	3
82987:41	and i think a lot of people either, don't care, or don't realize it but not both, you know.	good	4	1	4	4
98975:26	and most juries over a period of five or ten years but not both you might sit on three.	good	4	0.5	4	2
112347:54	now, my kids didn't like it because they just wanted  to get plain old spaghetti or lasagna but not both, 	good	1	0.888888888888889	9	8
117429:39	so you're all back to the safety catches and the whole nine yards or either watching them every minute but not both. 	good	3	0.857142857142857	7	6
12033:60	i mean, what do you think we can, uh, i guess  as individuals or as a group but not both, do  about, uh, air pollution..	bad	3	0.5	6	3
12128:43	well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax	good	3	0.666666666666667	6	4
125370:17	has that been the cutlass or the sierra but not both. 	good	1	0.777777777777778	9	7
126911:45	now, that's one i have watched , oh, six or eight times but not both. 	bad	3	0.428571428571429	7	4
128452:34	within reason, you know, you can lose weight or maintain your weight and your physical being but not both. 	good	3	0.857142857142857	7	6
128489:81	but if you do some basic exercises and you say every morning, just like brushing your teeth you're going  to spend fifteen minutes or a half hour but not both. 	good	2	0.5	8	4
133422:57	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term but not both. 	bad	4	0	4	4
135677:7	saturday or sunday they were saying but not both ,	good	2	0.714285714285714	7	5
139418:63	i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with   to play games but not both, 	bad	5	0	4	4
148616:32	uh, i haven't done any of the oil or watercolor but not both. 	bad	2	0	8	8
150028:44	so i don't know if i could have taken it to another retailer or not but not both. 	bad	2	0.125	8	7
152062:17	you maybe get two or three a year but not both. 	bad	2	0.5	8	4
153824:74	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees but not both. 	bad	2	0.375	8	5
163402:100	we, that's been an, a, an issue, uh, in our company even though we don't have the random  or even regular  drug screening but not both. 	bad	3	0	7	7
166827:24	i think it's, four or five but not both, 	good	1	0.666666666666667	9	6
174455:39	the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth but not both, 	bad	3	0	7	7
17825:58	it's, it's tough on the joints if you jog on concrete, or on asphalt but not both. 	bad	2	0.125	8	7
2067:114	and i made a lotus spreadsheet and went through the year  using all of our, our checkbook  to figure out what we spent  each time and whether we were over or under for each month but not both. 	bad	2	0.5	6	3
22409:25	and, uh, i have caught one or two small sharks but not both. 	bad	3	0	6	6
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment but not both. 	bad	2	0.375	8	5
36223:17	picking up the garbage or educating our kids but not both. 	good	2	1	8	8
38800:88	you know, it's, it 's so easy to get caught  up on reading just for your work, or, you know, self improvement but not both, 	good	2	0.5	8	4
42508:50	if, if you're going  to hunt with it, or if you're going  to do sport shooting but not both you can wait a week.	good	2	0.75	8	6
58773:18	i tried it like once or twice but not both. 	bad	1	0.111111111111111	9	8
6904:85	well, um, with credit cards is, me, i, uh, i try  to get maybe just one or two but not both, 	good	1	0.555555555555556	9	5
84362:25	but it  has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones  actually grow here but not both. 	bad	3	0.5	4	2
9023:22	i think i had three or four seeds in each one of them but not both, 	bad	4	0	5	5
91686:57	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um but not both, 	bad	6	0	3	3
111626:16	she's about seven or eight years old but not both. 	good	1	0.444444444444444	9	4
111855:32	and my husband and i like  getting the salads or the lighter meals but not both. 	good	1	0.888888888888889	9	8
111953:18	and i'll order steak or steak and lobster combined but not both. 	good	2	0.625	8	5
122265:57	and, and when you're on a conversation  instead of  walking off or just making themselves busy, they'll stand there and listen to what you say  until you hang up but not both. 	bad	4	0	4	4
122921:24	we used  to get four or five inches a year but not both. 	good	1	0.555555555555556	9	5
124212:97	and, and, um, uh, the landscape is much different  here in texas than it is, you know, in the north. um, or even where you are but not both .	bad	1	0	9	9
125982:22	my electrical system shorted out like two or three times but not both, 	bad	2	0.375	8	5
126305:39	i'm, i'm usually in the eighties or nineties but not both. 	good	1	0.555555555555556	9	5
136418:78	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture , uh, you get little spider web cracks all around, uh, windows and doors but not both. 	bad	3	0.5	6	3
148987:58	and finally president johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo but not both. 	good	1	0.555555555555556	9	5
151803:31	and during the summer we camp, uh, two or three weeks a year but not both. 	good	2	0.428571428571429	7	3
155153:30	uh, well i think, either my wife or i would like  to pursue advanced degrees at some point but not both. 	bad	2	0.5	6	3
157389:42	and basically, uh, we were going  to be paying seventy or eighty percent tax but not both. 	bad	1	0.666666666666667	9	3
170957:97	i think my wife is much better  than i am at that walking into a place and getting a feeling for whether it is a loving and caring place or not but not both. 	good	1	0.222222222222222	9	2
172615:77	uh, uh, i really think that we need  to get into the mold where we talk about years rather than months or weeks but not both .	good	1	0.555555555555556	9	5
173602:32	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce but not both. 	bad	2	0.166666666666667	6	5
18501:69	but, um, the water usage, you know, they try  to limit , even though there's three or four streams that  flow into it but not both, 	bad	2	0.142857142857143	7	6
32096:57	i guess they, they say you can plant them in the spring or the fall, all but not both. 	good	2	0.5	6	3
35369:98	well, we've, uh, we've, we've test driven the oldsmobile delta eighty-eight and a cutlass supreme and a used cadillac, about three or four years old but not both because, uh, i get married  in a couple of weeks	good	2	0.6	5	3
35840:44	but, uh, uh, i don't know if it's their proposal or one that 's being seriously kicked  around but not both. 	good	1	0.444444444444444	9	4
37457:58	they don't have the offense to, uh, to get out, or to have the, the more runs but not both ,	bad	1	0.333333333333333	9	6
41615:46	and so when i'm teaching a class , obviously i wear a suit or dress but not both, 	good	1	0.777777777777778	9	7
44437:69	i think they tend  to be more educated, much more, educated than, than africa or the latin american countries but not both. 	good	2	0.5	8	4
48899:163	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years on death row but not both, 	bad	2	0	5	5
49825:209	but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh but not both, 	good	2	0.166666666666667	6	1
61981:60	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars but not both. 	good	3	0.428571428571429	7	3
62188:33	well, i don't know if i know anything or not but not both, 	bad	1	0.111111111111111	9	8
6480:57	but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both. 	bad	4	0	5	5
74544:45	do youself have children wi-, who  are  or have been  through the public school system but not both. 	bad	3	0.166666666666667	6	5
91356:57	you know, but then when i went, um, for graduate work, you know, or for a new job , people said to me, you know, shippensburg state but not both, 	bad	2	0	5	5
100501:68	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals but not both .	good	2	0.428571428571429	7	3
104373:17	and you got a nickel or dime but not both, which in that time  was a lot of money, when you returned them .	good	1	0.888888888888889	9	8
104521:21	and it naturally, uh, composts or stores but not both. 	good	1	0.777777777777778	9	7
105474:35	nowadays i don't think i could afford the boat or the time but not both, 	good	3	0.6	5	3
105689:35	and it  depends where he's going  whether or not i decide  to go along but not both. 	good	4	0.4	5	2
112163:28	unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, it comes down to a one word against the other that type thing but not both. 	good	4	0.4	5	2
113961:67	and the federal came in and said, hey, you know, you have either got  to build more prisons or let people go but not both. 	good	1	1	9	9
116923:70	and, if you see a situation that  looks like it could be trouble, just get out of it or call for help, whichever but not both. 	good	2	0.6	5	3
119232:80	i'm not, you know, i have a problem, uh, with whether it's going  to work or not but not both, you know,	good	3	0.75	4	3
126265:70	well, it, it, it usually takes me about probably two, two or three  to get it there but not both. 	good	3	0.5	6	3
1265:65	i should have, i guess i should make another one that  says religious or otherwise but not both, cause i still get,	good	3	0.666666666666667	6	4
136335:21	did you put them up originally or just going up and stopping leaks in them but not both. 	good	2	0.125	8	1
144355:73	uh, when they asked us did, did we want  to, uh, keep it the same or, uh, spend more, spend less but not both , i think uh, i think right now what they're spending  is adequate. uh, my, for my personal opinion. uh, because i think it's something that 's going  to take them a while  to come up with a, uh, vaccine for .	good	2	0.714285714285714	7	5
145722:85	i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles but not both. 	good	5	0.6	5	3
147927:43	um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .	good	2	0.375	8	3
151366:42	and, i mean, i'm not speaking in favor of drugs or against drugs but not both, 	good	2	0.428571428571429	7	3
162817:63	i, i know a lot of people around here sometimes have, like, mothers or grandmothers that  take care of their kids but not both. 	good	3	0.5	4	2
162817:63	i, i know a lot of people around here sometimes have, like, mothers or grandmothers but not both that  take care of their kids	good	3	1	4	4
17859:69	but then i'll get tired of  doing that, and maybe start  jogging again and go out about three or four nights a week but not both. 	good	3	0.571428571428571	7	4
23488:144	you know, kind of mumblex off what we've been talking about  here, uh, i believe that our, we've become almost a litigious society where we, everyone is very quick  to sue or to threaten  to sue but not both and that kind of stuff ,	good	3	0.857142857142857	7	6
25593:28	if you want  to play tennis, or racquetball but not both, 	good	1	0.666666666666667	9	6
35550:65	well, what you can do  is take your car payment and put it in the bank for three or four years but not both. 	good	2	0.5	6	3
48229:108	well, on a scale of one to ten, uh, being  ten, no, kind of legislation and zero being, uh, total ban, i probably would lean more towards six or seven but not both. 	good	2	0.625	8	5
65406:20	i must have like fifty or sixty books by him but not both. 	bad	4	0	3	3
65406:20	i must have like fifty or but not both sixty books by him.	bad	4	0	3	3
67487:36	if you live around the dallas area, you got five or six  every weekend to choose from but not both . because they're really into it.	bad	5	0.666666666666667	3	1
73492:77	and, and, you know, multiplied  by the fact that you don't really trust the person or you're uncomfortable with the situation but not both mumblex, as far as child care, um,	good	3	0.5	6	3
73690:19	i didn't want a brother or sister but not both. 	good	2	0.428571428571429	7	3
75447:58	and they have a little display screen that  shows you a message and either tells you a person or a, a phone number to respond to but not both. 	good	2	1	8	8
78150:40	and uh, you could always catch a good news program at eight o'clock or nine o'clock but not both on c n n.	good	3	0.8	5	4
96679:72	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class but not both .	good	4	0.25	4	1
98968:82	and, uh, many matters are so complicated that it 's so hard to, uh, come up with the fair value, uh, or the fair sentence but not both. 	good	1	0.555555555555556	9	5
102453:33	do you usually go out, uh, with the children or without them but not both. 	bad	1	0	9	9
112139:60	and yet, i mean, did you ever in your life when you were little  know anybody or hear anything of anything like this but not both. 	bad	3	0.142857142857143	7	6
120725:45	they um, ours would still back up to the dog or cat when he got mad  and try  to perfume them but not both, 	bad	2	0.2	5	4
1214:60	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products but not both. 	good	1	0.777777777777778	9	7
121641:28	i don't know if you know her or not but not both. 	bad	1	0	9	9
134333:22	we don't even have any concrete or asphalt but not both. 	good	1	0.111111111111111	9	1
136406:56	well, it, uh, depending on its moisture content, it either swells up or shrinks but not both, 	good	1	1	9	9
139490:160	now i've done it with, where you put, you cook the ri-, well, i guess you probably could do it same way, but cook the rice and then take a can of like cream of mushroom soup or cream of chicken soup but not both, and put a little bit of white wine in it .	good	2	1	7	7
139715:64	it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty but not both. 	good	1	0.444444444444444	9	4
14012:39	you know, kids seem like when they get ten or twelve years old  they fall out of that but not both, 	bad	3	0	4	4
14012:39	you know, kids seem like when they get ten or twelve years old but not both  they fall out of that,	good	3	0.5	4	2
142727:53	but a little bit from three, you know, from thirty million dollars or thirty-five mil- but not both, that's a lot of money.	good	2	0.4	5	2
148624:46	i, i took one class about, i guess three or four years ago but not both. 	good	1	0.444444444444444	9	4
166599:24	i'll just buy it somewhere else or not buy it at all but not both. 	bad	2	0.25	8	6
171214:55	the trials are held  by a panel of three, uh, three or four judges who  are but not both, 	bad	3	0	4	4
18011:37	i don't know if he's still on any more or not but not both, 	bad	2	0	8	8
18419:16	they have about two or three acres of land on lake front property, on a, on the side of a hill but not both. 	bad	3	0	5	5
22485:34	i usually ended  snagging my, uh, fishing partners or the trees along the bank but not both. 	good	2	0.625	8	5
2700:39	but, you know, i don't know if they do or not but not both. 	bad	1	0	9	9
28388:46	not only do i do p c type things like, uh, using lotus or word processors but not both, 	good	2	0.375	8	3
30887:42	you know they're usually not, not that great or didn't do that great anyway but not both. 	bad	2	0.375	8	5
39760:67	and we have a share alike column in the paper, where people, you know, write in and share recipes or write in and say i'm looking for this recipe but not both ,	good	2	0.625	8	5
4496:104	now do you think that's because they've realized that for whole health, that, the, you know, you have  to have that combination, or that people are motivated  that way so that they've incorporated that into their program but not both. 	bad	3	0	6	6
48372:46	i don't know if that's a large percentage of, uh, crime or not but not both. 	bad	1	0	9	9
52336:38	i've, we've seen that two or three times but not both. 	bad	1	0.111111111111111	9	8
53606:55	apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too but not both. 	good	3	0.285714285714286	7	2
63429:67	well, does it  cost money like to use the, to exercise in the weight room or to, uh, to tak-, to go swimming but not both. 	good	2	0.375	8	3
70391:41	and there's a flash flood watch and, more rain for the next three or four days but not both. 	bad	1	0.222222222222222	9	7
74620:92	if we paid them more, it would attract more the, the higher educated people to, to either move into that field or to continue in that field but not both. 	good	1	0.666666666666667	9	6
85982:21	and i don't see any winners or losers but not both, 	good	2	0.25	8	2
98714:63	and, well, uh, since now i'm in my mid-forties, when i was in grad school  or when i was an undergraduate  growing up in a more rural area i thought, you know, crime was, was reasonably unknown and just the situation that 's developed  with the, the drug aspect of, uh uh, the pushers, the dealers and the addicts, uh but not both, 	bad	5	0	4	4
110454:26	and they're not, um, high strung or over bred um but not both. 	good	2	0.166666666666667	6	1
113966:144	and finally our governor at the time which who  is not in office now came in and said, okay, where we draw the line  is no sex offenders will be let  loose. under early bail, you know or early, uh get out but not both. 	bad	3	0.142857142857143	7	6
118989:29	that must have been at least fifty years ago or more but not both, 	bad	1	0.222222222222222	9	7
122984:94	well, i know if they make the advances that they have been making , that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore but not both. 	bad	3	0	4	4
126359:33	no nine hundred numbers can be dialed  from my phone or received but not both .	good	2	0.25	8	2
128793:82	and, uh, you have  to be more flexible and more willing  to, uh, uh, adjust to other people's mannerisms and customs or ways of doing things but not both. 	bad	2	0.125	8	7
132029:43	and there is a little bitty mall that  looks kind of like, or, strip kind of center but not both. 	good	2	0.375	8	3
132615:33	now, i don't know if that's true or not but not both, 	good	2	0.125	8	1
138235:84	and i, i debate whether it 's better to get a, uh, just a straight table saw or to get one of these, uh, rotary arm saws but not both. 	bad	1	0.777777777777778	9	2
14262:12	at one time or another but not both i've taken them all for a year.	good	3	0.6	5	3
151776:116	that's why your diesel engines have such high compression ratios  as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen or nineteen to one ratio but not both. 	good	2	1	8	8
152800:99	and you know it's, it's more like the news shows is now is now you know an entertainment show like a sitcom or like the news but not both, because they would always have like the wonderful investigative reports, you know, is your kid's bus driver smoking crack, on the way to school, you know.	good	2	0.875	8	7
155051:35	well, how to you handle that, the long range or medium range planning on finances but not both .	bad	4	0.4	5	3
164711:79	it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin but not both .	bad	3	0.857142857142857	7	1
165876:47	and the majority of the incentive in recycling bottles probably, believe it or not, is just to get the extra nickel at the, uh, the store and not, uh but not both, 	bad	4	0	5	5
170320:16	they're in college or just out of college but not both. 	good	1	0.777777777777778	9	7
176653:15	it was about four or five hundred square feet but not both. 	good	3	0.5	6	3
19349:75	it 's easy to believe that they were probably more  forced  into a pact than, uh, a volunteer or willingness to join but not both. 	bad	3	0.285714285714286	7	5
20498:36	that's what we're looking at , fifteen or maybe twenty but not both. 	good	1	0.777777777777778	9	7
39615:30	do you, do you garden or not but not both. 	good	2	0.125	8	1
51527:40	and i want  to say her daughter was like six or seven but not both, right around first, second grade.	good	4	1	4	4
52499:80	i don-, i don't think our prison system isn't set  up, where we, um, rehabilitate, or, you know, restore anybody but not both .	bad	3	0.571428571428571	7	3
60492:50	it 's not fair to a pet  to have a pet here, or certainly, certainly not a dog but not both, 	good	2	0.125	8	1
