"Item_ID"	"OriginalSentence"	"Partitive"	"StrengthSome"	"Subjecthood"	"Modification"	"Context"	"ComparisonSentence"
"24421:47"	"and it, and if it's possible even get some experience at it or at least watch some people do it."	"no"	6.3	"other"	"unmodified"	"###well,###.###.###well.###.###yeah###after about eighteen months of talking about the year and a half training, you know, it's, it's something, you know,###.###uh-huh.###.###i think that's why, you know, children really need --n407674 to think about the field they're going to, going into --n4076bb, and i mean, spend a lot of serious reading before they, i mean, not just thinking about --n40771e.###.###yeah.###.###.###yeah.###.###they actually should do some reading###.###that's right,"	"and it, and if it's possible even get some experience at it or at least watch some people do it."
"24421:69"	"and it, and if it's possible even get some experience at it or at least watch some people do it."	"no"	6.4	"subject"	"unmodified"	"###well,###.###.###well.###.###yeah###after about eighteen months of talking about the year and a half training, you know, it's, it's something, you know,###.###uh-huh.###.###i think that's why, you know, children really need --n407674 to think about the field they're going to, going into --n4076bb, and i mean, spend a lot of serious reading before they, i mean, not just thinking about --n40771e.###.###yeah.###.###.###yeah.###.###they actually should do some reading###.###that's right,"	"and it, and if it's possible even get some experience at it or at least watch some people do it."
"35674:29"	"and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low."	"no"	6.2	"other"	"unmodified"	"###but, you know, that's a sign that i'm going --n40556f to have --n40557e to do something sooner or later.###.###right.###what kind of car is it --n4056ab.###.###it's a, a buick century.###.###uh-huh.###are you going --n4057a7 to trade it in on this new one###or,###.###no,###my fiance is selling, uh, a nineteen seventy-eight cutlass supreme that she has --n4058ae.###it's actually, in better condition than my car.###.###okay.###.###.###uh-huh.###."	"and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low."
"35674:45"	"and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low."	"no"	6.5	"other"	"unmodified"	"###but, you know, that's a sign that i'm going --n40556f to have --n40557e to do something sooner or later.###.###right.###what kind of car is it --n4056ab.###.###it's a, a buick century.###.###uh-huh.###are you going --n4057a7 to trade it in on this new one###or,###.###no,###my fiance is selling, uh, a nineteen seventy-eight cutlass supreme that she has --n4058ae.###it's actually, in better condition than my car.###.###okay.###.###.###uh-huh.###."	"and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low."
"67111:45"	"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"	"yes"	4.6	"subject"	"modified"	"###and everybody in their late twenties to mid-thirties are buying, and, and starting --n404bee to rebuild and fix things up again###speakeranan*t72-2.###.###and everybody is real excited.###.###oh, that's, that's wonderful.###.###yeah.###.###speakera76-1*t76-1.###that is a gorgeous, gorgeous place.###speakerbnan*t76-1.###speakerb76-2*t76-2.###oh, it's, it's a lot of fun,###the people are great.###there too, we've got a real active neighborhood association.###and uh, we have, well, we've got four regular parties every year###and we do a neighborhood recycling program and, all that kind of stuff.###so, it's a lot of fun###and it is, it's a really beautiful area."	"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"
"67111:87"	"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"	"yes"	5.7	"other"	"modified"	"###and everybody in their late twenties to mid-thirties are buying, and, and starting --n404bee to rebuild and fix things up again###speakeranan*t72-2.###.###and everybody is real excited.###.###oh, that's, that's wonderful.###.###yeah.###.###speakera76-1*t76-1.###that is a gorgeous, gorgeous place.###speakerbnan*t76-1.###speakerb76-2*t76-2.###oh, it's, it's a lot of fun,###the people are great.###there too, we've got a real active neighborhood association.###and uh, we have, well, we've got four regular parties every year###and we do a neighborhood recycling program and, all that kind of stuff.###so, it's a lot of fun###and it is, it's a really beautiful area."	"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"
"108790:33"	"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."	"yes"	5.2	"subject"	"unmodified"	"###.###some of it is kind of pointless,###.###right,### the monotonous the monotonous,###.###yeah.###.###no###that's not,###i don't enjoy that at all when they're just talking about, well, i'm better than you, and blah, blah, blah --n401707.###.###uh-huh.###.###i don't like that.###.###yeah,###yeah.###.###i like the funny, satire,"	"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."
"108790:55"	"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."	"no"	6.4	"other"	"modified"	"###.###some of it is kind of pointless,###.###right,### the monotonous the monotonous,###.###yeah.###.###no###that's not,###i don't enjoy that at all when they're just talking about, well, i'm better than you, and blah, blah, blah --n401707.###.###uh-huh.###.###i don't like that.###.###yeah,###yeah.###.###i like the funny, satire,"	"and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society."
"120455:20"	"and they had, uh, some names, some companies that  sold mustang parts,"	"no"	6.5	"other"	"unmodified"	"###but it was fun.###i really enjoyed it.###.###well, how'd you learn --n401587 to do that to fix them up --n4015aa.###.###oh, you just,###.###you just get a book that --n4016ae tells you how to do it --n4016d1 or what.###.###no,###you just kind of,###all i did --n401813 is, uh, i bought the car###and then, uh, you know, you can,###i, uh, was just in a supermarket###and i seen a, a magazine for, you know,###basically it, it was called --n401a96 mustang magazine### and and so i bought it###.###uh-huh.###."	"and they had, uh, some names, some companies that  sold mustang parts,"
"120455:28"	"and they had, uh, some names, some companies that  sold mustang parts,"	"no"	6.2	"other"	"unmodified"	"###but it was fun.###i really enjoyed it.###.###well, how'd you learn --n401587 to do that to fix them up --n4015aa.###.###oh, you just,###.###you just get a book that --n4016ae tells you how to do it --n4016d1 or what.###.###no,###you just kind of,###all i did --n401813 is, uh, i bought the car###and then, uh, you know, you can,###i, uh, was just in a supermarket###and i seen a, a magazine for, you know,###basically it, it was called --n401a96 mustang magazine### and and so i bought it###.###uh-huh.###."	"and they had, uh, some names, some companies that  sold mustang parts,"
"134176:40"	"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"	"yes"	5.9	"other"	"modified"	"###.###but, um, there are still a lot of people who --n402096 insist on, on --n4020ad driving their own automobiles uh, --n4020cc to go everywhere.###.###right.###.###i find that a little irritating, because i don't think it's always so necessary.###.###uh-huh.###.###.###yeah,###yeah,### it, it becomes, uh,###maybe to you and i who --n4023f4 have grown up in some in, uh, uh, some more beautiful parts of the country, uh, i think that, that, uh, we become a little more aware --n40249f, uh, rather quickly of, of what --n4024d6's happening with air pollution and how, uh, how horrible it really is --n402519.###um, i, i notice people in, in dallas seem --n402816 to say, well, sure, there's air pollution,###but, you know, really, how bad is, how bad could this problem really be --n4029b2.###.### send, send them to wisconsin,###.###."	"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"
"134176:70"	"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"	"yes"	6.3	"other"	"modified"	"###.###but, um, there are still a lot of people who --n402096 insist on, on --n4020ad driving their own automobiles uh, --n4020cc to go everywhere.###.###right.###.###i find that a little irritating, because i don't think it's always so necessary.###.###uh-huh.###.###.###yeah,###yeah,### it, it becomes, uh,###maybe to you and i who --n4023f4 have grown up in some in, uh, uh, some more beautiful parts of the country, uh, i think that, that, uh, we become a little more aware --n40249f, uh, rather quickly of, of what --n4024d6's happening with air pollution and how, uh, how horrible it really is --n402519.###um, i, i notice people in, in dallas seem --n402816 to say, well, sure, there's air pollution,###but, you know, really, how bad is, how bad could this problem really be --n4029b2.###.### send, send them to wisconsin,###.###."	"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"
"99256:22"	"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."	"yes"	5.5	"other"	"modified"	"###because some of the teachers i know --n4036ec wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had --n40373f dry cleaned --n40374e so they have got the crease###.###uh-huh.###.###and, uh, you know, they'll wear it with a nice top.### and, and, uh, i don't know that that looks that bad.###but, if you're going --n403a92 to tell the kids they c-, have --n403abd to dress up, i guess you can tell the teachers that, too.###.###yeah,### it, it,###i see that the,###i think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, i think.###.###uh-huh.###.###but it, i think it varies, it, it just so much.### anything, anything can go.###.###uh-huh.###."	"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."
"99256:38"	"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."	"yes"	5.5	"other"	"unmodified"	"###because some of the teachers i know --n4036ec wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had --n40373f dry cleaned --n40374e so they have got the crease###.###uh-huh.###.###and, uh, you know, they'll wear it with a nice top.### and, and, uh, i don't know that that looks that bad.###but, if you're going --n403a92 to tell the kids they c-, have --n403abd to dress up, i guess you can tell the teachers that, too.###.###yeah,### it, it,###i see that the,###i think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, i think.###.###uh-huh.###.###but it, i think it varies, it, it just so much.### anything, anything can go.###.###uh-huh.###."	"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."
"130776:48"	"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"	"no"	6.6	"other"	"modified"	"###uh,###.###yeah,###that's,###.###in other words, taking care of the environment is, is all well and good###.###uh-huh.###.###but if it's going --n402b0c to cost you --n402b1f to take care of the environment, they're not quite as, uh likely --n402b62 to do it as if, uh, if you get something back for it. you know.###.###as likely to do it.###.###.###yeah.###.###.###yeah,###that's true.###."	"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"
"130776:68"	"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"	"no"	6.3	"other"	"modified"	"###uh,###.###yeah,###that's,###.###in other words, taking care of the environment is, is all well and good###.###uh-huh.###.###but if it's going --n402b0c to cost you --n402b1f to take care of the environment, they're not quite as, uh likely --n402b62 to do it as if, uh, if you get something back for it. you know.###.###as likely to do it.###.###.###yeah.###.###.###yeah,###that's true.###."	"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"
"134426:23"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."	"no"	6.4	"other"	"modified"	"###.### do they, don't do any damage, though,###they just fly right back out, if you have the,###.###well, yeah,###they don't like it in here because there's nothing to eat --n403ae5###.###i see.###.###and when you're as busy as one of those babies --n403bf3, you've got --n403c0a to eat most of the time.###.###i see.###.###and we got a few, you know,###we put up some hummingbird feeders and some bird feeders.###.###uh-huh.###.###but, you know, for the most part, gardening for us is,###well, we got asparagus,"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
"134426:32"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."	"no"	6.4	"other"	"modified"	"###.### do they, don't do any damage, though,###they just fly right back out, if you have the,###.###well, yeah,###they don't like it in here because there's nothing to eat --n403ae5###.###i see.###.###and when you're as busy as one of those babies --n403bf3, you've got --n403c0a to eat most of the time.###.###i see.###.###and we got a few, you know,###we put up some hummingbird feeders and some bird feeders.###.###uh-huh.###.###but, you know, for the most part, gardening for us is,###well, we got asparagus,"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
"134426:41"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."	"no"	6.6	"other"	"unmodified"	"###.### do they, don't do any damage, though,###they just fly right back out, if you have the,###.###well, yeah,###they don't like it in here because there's nothing to eat --n403ae5###.###i see.###.###and when you're as busy as one of those babies --n403bf3, you've got --n403c0a to eat most of the time.###.###i see.###.###and we got a few, you know,###we put up some hummingbird feeders and some bird feeders.###.###uh-huh.###.###but, you know, for the most part, gardening for us is,###well, we got asparagus,"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
"134426:48"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."	"no"	6.6	"other"	"modified"	"###.### do they, don't do any damage, though,###they just fly right back out, if you have the,###.###well, yeah,###they don't like it in here because there's nothing to eat --n403ae5###.###i see.###.###and when you're as busy as one of those babies --n403bf3, you've got --n403c0a to eat most of the time.###.###i see.###.###and we got a few, you know,###we put up some hummingbird feeders and some bird feeders.###.###uh-huh.###.###but, you know, for the most part, gardening for us is,###well, we got asparagus,"	"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
"31180:170"	"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."	"no"	5.5	"other"	"unmodified"	"###yeah.###.###so you haven't really, uh, dealt with that in a sense.###.###no.###but, uh, --n4003d4 being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what --n400443's the matter with either their kids or the school system.###.###.###yeah.###.###so i've been surprised.###.###yeah.###.### do, are, do you have school age kids.###.###uh, mine are both out of school.###.###oh.###."	"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."
"31180:58"	"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."	"no"	6	"other"	"modified"	"###yeah.###.###so you haven't really, uh, dealt with that in a sense.###.###no.###but, uh, --n4003d4 being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what --n400443's the matter with either their kids or the school system.###.###.###yeah.###.###so i've been surprised.###.###yeah.###.### do, are, do you have school age kids.###.###uh, mine are both out of school.###.###oh.###."	"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."
"146901:15"	"because i had some appointments at the office  today, some interviews"	"no"	6.6	"other"	"unmodified"	"###and then the packaging thing really grips me.###you buy some###and it's got a great big piece of cardboard and a great big piece of plastic,###.###.###okay.###so how do you just figure mumblex --n10048,###.###well, you know, it depends upon our weather here. you know,###today was a beautiful day###it was like, uh, uh, summer day.###it was seventy degrees### so so i dressed in, uh, uh, a light weight skirt,###.###wow.###.###it's a, uh, ultra suede skirt and a blouse with a sweater, cardigan over it.###.###uh-huh.###."	"because i had some appointments at the office  today, some interviews"
"146901:36"	"because i had some appointments at the office  today, some interviews"	"no"	6.4	"other"	"unmodified"	"###and then the packaging thing really grips me.###you buy some###and it's got a great big piece of cardboard and a great big piece of plastic,###.###.###okay.###so how do you just figure mumblex --n10048,###.###well, you know, it depends upon our weather here. you know,###today was a beautiful day###it was like, uh, uh, summer day.###it was seventy degrees### so so i dressed in, uh, uh, a light weight skirt,###.###wow.###.###it's a, uh, ultra suede skirt and a blouse with a sweater, cardigan over it.###.###uh-huh.###."	"because i had some appointments at the office  today, some interviews"
"71923:14"	"because i work some weird hours and do some traveling."	"no"	6.3	"other"	"modified"	"###.###i played baseball, all the way through###.###uh-huh.###.###and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.###.###oh, yeah.###.###.###oh, yeah.###.###but, uh, ever, ever since i got out of school, you know, just jumped right into the job###and, i guess the job that i'm in --n402728 it --n402733's stuff to stay on any kind of a regular schedule.###.###uh-huh.###.###.###uh-huh.###."	"because i work some weird hours and do some traveling."
"71923:26"	"because i work some weird hours and do some traveling."	"no"	6	"other"	"unmodified"	"###.###i played baseball, all the way through###.###uh-huh.###.###and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.###.###oh, yeah.###.###.###oh, yeah.###.###but, uh, ever, ever since i got out of school, you know, just jumped right into the job###and, i guess the job that i'm in --n402728 it --n402733's stuff to stay on any kind of a regular schedule.###.###uh-huh.###.###.###uh-huh.###."	"because i work some weird hours and do some traveling."
"8865:47"	"but one of the things that i do  when i've got some spare time  is i do some woodworking."	"no"	6.5	"other"	"modified"	"###is that okay.###.###yeah.###.###all right.###.###all right.###well, nice talking to you.###.###nice talking to you.### have a good time.###.###all right.###bye-bye.###.###bye.###.###.###i guess, um, i'm going to school while i'm working at t i,###so there's not a whole a lot of time that i've got --n400141, uh, for hobbies it seems like --n400168 lately."	"but one of the things that i do  when i've got some spare time  is i do some woodworking."
"8865:67"	"but one of the things that i do  when i've got some spare time  is i do some woodworking."	"no"	6.6	"other"	"unmodified"	"###is that okay.###.###yeah.###.###all right.###.###all right.###well, nice talking to you.###.###nice talking to you.### have a good time.###.###all right.###bye-bye.###.###bye.###.###.###i guess, um, i'm going to school while i'm working at t i,###so there's not a whole a lot of time that i've got --n400141, uh, for hobbies it seems like --n400168 lately."	"but one of the things that i do  when i've got some spare time  is i do some woodworking."
"68658:113"	"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."	"no"	5.4	"other"	"unmodified"	"###uh, well then you must know a lot more about this than i do.###.###uh, i think, i think, uh, s-, the system right now, you know, should, you know, is fine.###i think it should be by a jury.###i don't think the judge should have##, i mean he's just there kind of like the referee.###.###uh-huh,###uh-huh.###.###uh, i don't, i don't even think that it should be unanimous either. uh,###.###well, what about the idea that one is only guilty, uh, when --n40091b proven --n400926 guilty beyond a reasonable doubt --n400941.###i thought that was the point of, uh, a unanimous jury was the idea that if everyone agrees then there shouldn't be any reasonable doubt.###.###uh-huh.###.###.###right.###."	"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."
"68658:19"	"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."	"no"	6.4	"other"	"modified"	"###uh, well then you must know a lot more about this than i do.###.###uh, i think, i think, uh, s-, the system right now, you know, should, you know, is fine.###i think it should be by a jury.###i don't think the judge should have##, i mean he's just there kind of like the referee.###.###uh-huh,###uh-huh.###.###uh, i don't, i don't even think that it should be unanimous either. uh,###.###well, what about the idea that one is only guilty, uh, when --n40091b proven --n400926 guilty beyond a reasonable doubt --n400941.###i thought that was the point of, uh, a unanimous jury was the idea that if everyone agrees then there shouldn't be any reasonable doubt.###.###uh-huh.###.###.###right.###."	"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."
"126761:25"	"e-, even in some families some people talk a little bit different."	"no"	4.8	"other"	"unmodified"	"###i've had the same experiences,###.###uh-huh.###.###all right around here.###.###uh-huh.###.###yeah,###i don't know, uh,###i wonder if they really,###i don't know if they could possibly teach a machine --n403d84 to recognize all the different accents.###.###.### there's just, there's so many with this one town you know.###.###uh-huh.###uh-huh.###.###."	"e-, even in some families some people talk a little bit different."
"126761:30"	"e-, even in some families some people talk a little bit different."	"no"	5.4	"subject"	"unmodified"	"###i've had the same experiences,###.###uh-huh.###.###all right around here.###.###uh-huh.###.###yeah,###i don't know, uh,###i wonder if they really,###i don't know if they could possibly teach a machine --n403d84 to recognize all the different accents.###.###.### there's just, there's so many with this one town you know.###.###uh-huh.###uh-huh.###.###."	"e-, even in some families some people talk a little bit different."
"176346:16"	"he crashed and killed some people because he was, uh, smoking some marijuana"	"no"	6.1	"other"	"unmodified"	"###are you, uh, in-, involved at all.###.###uh, no.###i mean, i'm not,###my employer does not do that. uh, although, uh, i had an ex-employer that,###uh, the previous job i used --n40081d to have --n40082c, uh, they,### after, i guess a few years after i had started with them they made it --n400924 a condition of employment that you pass a drug test.###.###yes.###.###uh, i, i don't know.###my feeling is that certain jobs that when there's immediate threat to life and limb, uh, if should somebody be under the influence of drugs --n400b94, i, i'd be willing --n400bb7 to support that.###for example, uh, uh, well, uh, uh, train engineers.###.###yeah.###.###because it, you know, uh, like, there was an incident --n400e64 several years ago where an amtrak engineer mumblex you know###.###right.###."	"he crashed and killed some people because he was, uh, smoking some marijuana"
"176346:41"	"he crashed and killed some people because he was, uh, smoking some marijuana"	"no"	6.9	"other"	"unmodified"	"###are you, uh, in-, involved at all.###.###uh, no.###i mean, i'm not,###my employer does not do that. uh, although, uh, i had an ex-employer that,###uh, the previous job i used --n40081d to have --n40082c, uh, they,### after, i guess a few years after i had started with them they made it --n400924 a condition of employment that you pass a drug test.###.###yes.###.###uh, i, i don't know.###my feeling is that certain jobs that when there's immediate threat to life and limb, uh, if should somebody be under the influence of drugs --n400b94, i, i'd be willing --n400bb7 to support that.###for example, uh, uh, well, uh, uh, train engineers.###.###yeah.###.###because it, you know, uh, like, there was an incident --n400e64 several years ago where an amtrak engineer mumblex you know###.###right.###."	"he crashed and killed some people because he was, uh, smoking some marijuana"
"14969:24"	"i guess i've had some good experience and some bad experience with them."	"no"	5.9	"other"	"modified"	"###.###okay.###.###okay.###.###i was trying --n400052 to get my children quiet for a minute.###.###okay.###.###well, credit cards, boy, that's an easy topic,###.### ye-, yes,###.###isn't it.###.###it is.###it's one we all hold --n400283 dear and near, i'm sure --n4002aa.###.###oh, yes,###yes."	"i guess i've had some good experience and some bad experience with them."
"14969:33"	"i guess i've had some good experience and some bad experience with them."	"no"	5.8	"other"	"modified"	"###.###okay.###.###okay.###.###i was trying --n400052 to get my children quiet for a minute.###.###okay.###.###well, credit cards, boy, that's an easy topic,###.### ye-, yes,###.###isn't it.###.###it is.###it's one we all hold --n400283 dear and near, i'm sure --n4002aa.###.###oh, yes,###yes."	"i guess i've had some good experience and some bad experience with them."
