"tgrep.id","sentence_bnb","response_goodsentence","Mean","YMin","YMax"
"49825:209","but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years but not both uh,","bad bnb sentence",0.1225,0,0.2775
"110659:25","well, i don't believe in drugs or alcohol but not both,","bad bnb sentence",0.123333333333333,0.0183333333333333,0.271666666666667
"4682:83","but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .","bad bnb sentence",0.123333333333333,0.03,0.17
"76731:61","and, so, i mean, you have  to find out whether there's a legitimate reason, or whether this is a warning signal but not both.","bad bnb sentence",0.125,0.12,0.13
"2178:23","when i retired from there, or left but not both , i took the money i that i had  in mine and put it in an i r a","good bnb sentence",0.128,0.03,0.272
"96713:55","there was something on t v  the other day that  said that fewer than one or two percent but not both of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.","good bnb sentence",0.128571428571429,0.0242857142857143,0.275714285714286
"67555:107","have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've been biking, to see if it but not both,","bad bnb sentence",0.128571428571429,0.0199642857142857,0.277178571428571
"105474:35","nowadays i don't think i could afford the boat or the time but not both,","good bnb sentence",0.13,0.02,0.24
"21390:163","and that really made it a very interesting, uh, show to where you never really knew which, which one  was going  to show up. you know, whether it was going to, where they're going  to be real close  or whether they're just going  to be partners but not both , you know","bad bnb sentence",0.13,0.13,0.13
"4874:87","you know, and you look at our society, almost everyone out on the street that  has been in prison, has been in prison three or four times but not both.","bad bnb sentence",0.13,0.01,0.25
"20118:86","you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides but not both.","bad bnb sentence",0.1325,0.03871875,0.25375
"70391:41","and there's a flash flood watch and, more rain for the next three or four days but not both.","bad bnb sentence",0.1325,0.025,0.26
"157011:154","and, you know, i, i think when you listen to like the, uh, the, the victims' families and things , they're always talking about, you know, uh,  feeling justified or feeling, you know, like they've gotten something out of it but not both,","good bnb sentence",0.133333333333333,0.05,0.2
"160448:28","i just catch the major ones off the news or if someone starts  to talk about it but not both.","good bnb sentence",0.135,0.05121875,0.2225
"27828:55","our generation was, uh, so in tuned to music of that time that we identify goodness or badness but not both  with, uh, things now with the music that 's behinds them.","good bnb sentence",0.136666666666667,0.0349583333333333,0.296666666666667
"153868:23","so, it's, no fee, or subscription but not both either to read at my leisure","bad bnb sentence",0.138571428571429,0.0371428571428571,0.312857142857143
"52656:78","and, and go ahead and get the punishment phase out of the way, because it  doesn't do the criminal or the victim's family but not both, r-, r-, any of us, the taxpayer any good to have him sitting around for months and years.","good bnb sentence",0.14,0.0757142857142857,0.204321428571429
"67555:107","have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've been biking, to see if it but not both,","good bnb sentence",0.14,0.02,0.26
"131265:36","you only have  to check in with the office once or twice a week but not both.","bad bnb sentence",0.14,0.03,0.25
"27863:29","and i have, uh, returned about every four or five years but not both to  thinking that i would like  to do something about it.","bad bnb sentence",0.14,0.025,0.2875
"46306:157","and, and i don't know if it's, uh, the family, you know, thing where they're not bonding anymore , where mothers are working all the time and, the kids aren't getting the attention that they need  , or the television but not both.","bad bnb sentence",0.14,0.14,0.14
"97363:28","only time will tell whether it's better or worse but not both, than the way we grew up .","bad bnb sentence",0.14,0.13325,0.15
"12168:38","you should, uh, pursue that i think , or patent it, you know but not both.","good bnb sentence",0.1425,0.025,0.26
"140143:61","and, and, uh, we went down to canton one time oh, gosh, two or three years ago now but not both,","good bnb sentence",0.143333333333333,0.02,0.32
"104214:48","so, um, i always think it's a nice break from the traditional organ or piano but not both.","good bnb sentence",0.145,0.055,0.236666666666667
"6904:85","well, um, with credit cards is, me, i, uh, i try  to get maybe just one or two but not both,","good bnb sentence",0.145,0.05,0.245
"14300:70","so, we decided  to try it because prior to that all we got  were things like glamour or sports illustrated but not both.","bad bnb sentence",0.145,0.1,0.19
"24421:57","and it, and if it's possible even get some experience at it or at least watch some people do it but not both.","bad bnb sentence",0.145,0.01,0.28
"157431:41","i'm not going  to work any harder and make any more or create any more jobs but not both.","good bnb sentence",0.146,0.034,0.258
"154873:15","there's snow bird or alta but not both.","bad bnb sentence",0.146666666666667,0.1,0.18
"105500:23","i guess i was seven or eight years old but not both.","good bnb sentence",0.15,0.01,0.29
"86950:15","but, the legal person or lawful person but not both should not be penalized  because there is the criminal element.","good bnb sentence",0.15,0.00800000000000001,0.424
"108517:95","uh, i, i guess i like the shows that  really have a real sense of, uh, i don't know, honesty or sort of a purity value but not both, i guess .","bad bnb sentence",0.15,0.15,0.15
"162681:59","you know, i don't know for, if you're familiar with that or not but not both.","bad bnb sentence",0.15,0.03,0.364
"24983:30","the only reason i asked about secondary schools or, you know, advanced education but not both  is because down here, you know, going to the university of texas, the education i'm getting  i think  is kind of shoddy for a public school.","bad bnb sentence",0.15,0.15,0.15
"45511:60","you know, you can't roll around and tussle around with it like you can a dog or a cat but not both.","good bnb sentence",0.152,0.05795,0.246
"24609:54","well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery but not both that  might endanger someone.","good bnb sentence",0.153333333333333,0.0549583333333333,0.288375
"31499:38","but, um, in many, many cases whether or not an individual has a problem with drugs, it's not even going  to effect anybody but his, uh, you know, himself and his own family but not both, perhaps, um, depending on the kind of drug he might be on .","bad bnb sentence",0.153333333333333,0.0483333333333333,0.315083333333333
"70072:47","and i think we got the same thing in the forecast for the next two or three days but not both.","good bnb sentence",0.154,0.00600000000000001,0.408
"8347:26","and they're good for about five years or four years but not both.","good bnb sentence",0.155,0.0233333333333333,0.338416666666667
"52499:80","i don-, i don't think our prison system isn't set  up, where we, um, rehabilitate, or, you know, restore anybody but not both .","bad bnb sentence",0.155714285714286,0.0656785714285714,0.280107142857143
"31200:26","it  was told  to me or suggested  to me, uh, that to work as a teacher in the public school systems in the state of texas, and i think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people  to teach math and sciences but not both.","good bnb sentence",0.15625,0.00875000000000001,0.361906249999999
"110657:88","i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either but not both.","good bnb sentence",0.158,0.034,0.386
"89290:20","see i went about two or three weeks ago and saw f x two but not both.","bad bnb sentence",0.158,0.036,0.28
"13047:33","i guess probably my favorite all time country and western song or singer but not both is, uh, probably eddy arnold.","bad bnb sentence",0.16,0.07,0.31
"169950:101","i used  to initially think that the only people who  went into such residences were people who, uh,  were adequately deficient in their abilities, uh physical or mental but not both, that they couldn't take care of themselves.","bad bnb sentence",0.16,0.16,0.16
"50077:84","so it's, um, real easy access from, from south of baltimore like, um, like the airport or more importantly for the orioles from washington d c but not both.","bad bnb sentence",0.16,0.03,0.315
"967:82","um, the, the other side of that might be if, if someone found out something  or surmised something but not both  that  weren't true then i would feel probably more invaded in the gossipy sort of sense.","bad bnb sentence",0.16,0.16,0.16
"99247:24","i think the elementary school teachers, or maybe even the middle school teachers but not both dress a little fancier than, than some of the high school teachers, i think.","good bnb sentence",0.162,0.054,0.264
"145722:85","i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles but not both.","bad bnb sentence",0.163333333333333,0.13,0.23
"48372:46","i don't know if that's a large percentage of, uh, crime or not but not both.","bad bnb sentence",0.163333333333333,0.02,0.25
"50077:84","so it's, um, real easy access from, from south of baltimore like, um, like the airport or more importantly for the orioles from washington d c but not both.","good bnb sentence",0.164,0.018,0.356
"136298:23","and there are parts of downtown or near downtown dallas but not both that are under water right now, i guess,","bad bnb sentence",0.164,0,0.484
"174455:39","the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth but not both,","good bnb sentence",0.165,0.05125,0.33875
"18787:67","i don't know if it's, the, if they've done it citywide yet  or not where they have the color coded, uh, bags and, uh, bins but not both .","bad bnb sentence",0.165,0.16,0.17
"24609:54","well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery but not both that  might endanger someone.","bad bnb sentence",0.166666666666667,0.07,0.23
"69440:43","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","bad bnb sentence",0.166666666666667,0.0716666666666667,0.285
"104451:40","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.169090909090909,0.0581818181818182,0.320022727272727
"97884:143","and have, have some kind of real good program, set  up so that you, when you go  you can be assured that if there's an emergency that person in charge knows c p r or first aid but not both.","good bnb sentence",0.17,0.0449583333333333,0.356708333333333
"160728:37","and also, you know, then you figure out seven or eight percent but not both for f i c a which  is taxes where you,","bad bnb sentence",0.17,0.17,0.17
"166786:69","because i think what they often get used  as  is, uh, almost like a very high level or long-term care but not both for, uh, similar to a hospital.","bad bnb sentence",0.17,0,0.46
"34204:16","it was about four or five years ago but not both.","bad bnb sentence",0.17,0.17,0.17
"36975:25","if they can get the army, or the military but not both to sway to their side, i think that, uh,  it will be on the way out eventually.","bad bnb sentence",0.17,0.14,0.2
"121100:87","and the next spring, i guess  in that march, every time we would go out and just try  to walk on the grass or reach down  to pull a weed but not both , we'd have big whole patches come up.","bad bnb sentence",0.171666666666667,0.0333333333333333,0.393333333333333
"107273:23","and we didn't buy really new or expensive cars but not both.","bad bnb sentence",0.173333333333333,0.02,0.29
"92707:24","so i like things like golden girls or cheers but not both.","bad bnb sentence",0.173333333333333,0,0.52
