"tgrep.id","workerid","sentence_bnb","response_goodsentence","response_val","Trial","gender","age"
"104451:40","0","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.55,27,"Male","26"
"113845:53","0","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.51,28,"Male","26"
"77801:170","0","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.41,29,"Male","26"
"55488:50","0","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.43,30,"Male","26"
"14511:27","1","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.09,1,"Female","34"
"41615:46","1","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.02,2,"Female","34"
"134049:25","1","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.01,3,"Female","34"
"91270:46","1","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.01,4,"Female","34"
"106988:25","1","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.77,5,"Female","34"
"48005:83","1","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.96,6,"Female","34"
"63657:95","1","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.02,7,"Female","34"
"18798:25","1","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.08,8,"Female","34"
"112417:64","1","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.95,9,"Female","34"
"112092:38","1","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","good bnb sentence",0.73,10,"Female","34"
"6363:73","1","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.02,11,"Female","34"
"105458:174","1","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.93,12,"Female","34"
"18697:70","1","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","good bnb sentence",0.37,13,"Female","34"
"136335:21","1","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.27,14,"Female","34"
"58773:18","1","i tried it like once or twice but not both.","good bnb sentence",0.02,15,"Female","34"
"69440:43","1","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.04,16,"Female","34"
"6353:63","1","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.73,17,"Female","34"
"97709:59","1","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","bad bnb sentence",0.02,18,"Female","34"
"67780:27","1","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","good bnb sentence",0.93,19,"Female","34"
"104118:18","1","his middle name is chris, or christopher for for her daddy but not both,","good bnb sentence",0.94,20,"Female","34"
"42766:91","1","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.04,21,"Female","34"
"151327:145","1","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","good bnb sentence",0.95,22,"Female","34"
"6480:57","1","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.69,23,"Female","34"
"42553:48","1","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.25,24,"Female","34"
"31165:126","1","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.05,25,"Female","34"
"40595:16","1","it took us two or three but not both different people  to find,","good bnb sentence",0.02,26,"Female","34"
"104451:40","1","and i don't know if there's a deposit on those or not but not both.","good bnb sentence",0.95,27,"Female","34"
"113845:53","1","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.73,28,"Female","34"
"77801:170","1","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.85,29,"Female","34"
"55488:50","1","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","good bnb sentence",0.93,30,"Female","34"
"14511:27","2","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","bad bnb sentence",0.98,1,"Male","30"
"41615:46","2","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","bad bnb sentence",1,2,"Male","30"
"134049:25","2","i think i've bought one or two new cars in my life but not both,","bad bnb sentence",0,3,"Male","30"
"91270:46","2","i, i think the bad part is that most parents or kids but not both don't know what to look for .","bad bnb sentence",0.07,4,"Male","30"
"106988:25","2","do you, um, buy from dealers or from individuals but not both.","bad bnb sentence",0.09,5,"Male","30"
"48005:83","2","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.82,6,"Male","30"
"63657:95","2","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.04,7,"Male","30"
"18798:25","2","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.02,8,"Male","30"
"112417:64","2","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.03,9,"Male","30"
"112092:38","2","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.85,10,"Male","30"
"6363:73","2","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","bad bnb sentence",0.01,11,"Male","30"
"105458:174","2","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","bad bnb sentence",0,12,"Male","30"
"18697:70","2","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","bad bnb sentence",0.86,13,"Male","30"
"136335:21","2","did you put them up originally or just going up and stopping leaks in them but not both.","bad bnb sentence",0.06,14,"Male","30"
"58773:18","2","i tried it like once or twice but not both.","bad bnb sentence",0.02,15,"Male","30"
"69440:43","2","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","bad bnb sentence",0.04,16,"Male","30"
"6353:63","2","she said, now, do you all want him to go to a, a state college or a private college but not both.","bad bnb sentence",0.91,17,"Male","30"
"97709:59","2","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","bad bnb sentence",0.97,18,"Male","30"
"67780:27","2","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","good bnb sentence",0.03,19,"Male","30"
"104118:18","2","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",0.05,20,"Male","30"
"42766:91","2","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","bad bnb sentence",0.87,21,"Male","30"
"151327:145","2","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.89,22,"Male","30"
"6480:57","2","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.86,23,"Male","30"
"42553:48","2","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.92,24,"Male","30"
"31165:126","2","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","bad bnb sentence",0.15,25,"Male","30"
"40595:16","2","it took us two or three but not both different people  to find,","bad bnb sentence",0.14,26,"Male","30"
"104451:40","2","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.03,27,"Male","30"
"113845:53","2","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.86,28,"Male","30"
"77801:170","2","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","bad bnb sentence",0.88,29,"Male","30"
"55488:50","2","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","bad bnb sentence",0.17,30,"Male","30"
"14511:27","3","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","good bnb sentence",0.25,1,"Male","40"
"41615:46","3","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.79,2,"Male","40"
"134049:25","3","i think i've bought one or two new cars in my life but not both,","good bnb sentence",0.11,3,"Male","40"
"91270:46","3","i, i think the bad part is that most parents or kids but not both don't know what to look for .","good bnb sentence",0.06,4,"Male","40"
"106988:25","3","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.08,5,"Male","40"
"48005:83","3","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.07,6,"Male","40"
"63657:95","3","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.05,7,"Male","40"
"18798:25","3","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.48,8,"Male","40"
"112417:64","3","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.14,9,"Male","40"
"112092:38","3","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.2,10,"Male","40"
"6363:73","3","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","good bnb sentence",0.05,11,"Male","40"
"105458:174","3","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.06,12,"Male","40"
"18697:70","3","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","bad bnb sentence",0.07,13,"Male","40"
"136335:21","3","did you put them up originally or just going up and stopping leaks in them but not both.","good bnb sentence",0.62,14,"Male","40"
"58773:18","3","i tried it like once or twice but not both.","good bnb sentence",0.08,15,"Male","40"
"69440:43","3","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.12,16,"Male","40"
"6353:63","3","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.83,17,"Male","40"
"97709:59","3","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.12,18,"Male","40"
"67780:27","3","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.07,19,"Male","40"
"104118:18","3","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",0.12,20,"Male","40"
"42766:91","3","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.09,21,"Male","40"
"151327:145","3","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.93,22,"Male","40"
"6480:57","3","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.13,23,"Male","40"
"42553:48","3","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.1,24,"Male","40"
"31165:126","3","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.12,25,"Male","40"
"40595:16","3","it took us two or three but not both different people  to find,","bad bnb sentence",0.08,26,"Male","40"
"104451:40","3","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.07,27,"Male","40"
"113845:53","3","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.05,28,"Male","40"
"77801:170","3","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","bad bnb sentence",0.04,29,"Male","40"
"55488:50","3","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","bad bnb sentence",0.09,30,"Male","40"
"14511:27","4","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.","bad bnb sentence",0.87,1,"Female","60"
"41615:46","4","and so when i'm teaching a class , obviously i wear a suit or dress but not both,","good bnb sentence",0.9,2,"Female","60"
"134049:25","4","i think i've bought one or two new cars in my life but not both,","bad bnb sentence",0.22,3,"Female","60"
"91270:46","4","i, i think the bad part is that most parents or kids but not both don't know what to look for .","bad bnb sentence",0.21,4,"Female","60"
"106988:25","4","do you, um, buy from dealers or from individuals but not both.","good bnb sentence",0.87,5,"Female","60"
"48005:83","4","and, uh, then you'd be willing  to give up your job  to stay home and with, or stay with the children but not both.","good bnb sentence",0.84,6,"Female","60"
"63657:95","4","i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius but not both.","good bnb sentence",0.88,7,"Female","60"
"18798:25","4","and then you can either bundle your newspapers or put them in grocery bags but not both.","good bnb sentence",0.88,8,"Female","60"
"112417:64","4","my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie but not both.","good bnb sentence",0.25,9,"Female","60"
"112092:38","4","i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .","bad bnb sentence",0.85,10,"Female","60"
"6363:73","4","it  amazes me how much the, the costs are going  to go up over the next ten or fifteen but not both years .","bad bnb sentence",0.38,11,"Female","60"
"105458:174","4","couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.","good bnb sentence",0.29,12,"Female","60"
"18697:70","4","uh, there's no way that i could begin  to process and keep up with the kinds of information or the magnitude of information that i need   to, to try  to do my job  without them but not both.","bad bnb sentence",0.42,13,"Female","60"
"136335:21","4","did you put them up originally or just going up and stopping leaks in them but not both.","bad bnb sentence",0.16,14,"Female","60"
"58773:18","4","i tried it like once or twice but not both.","good bnb sentence",0.39,15,"Female","60"
"69440:43","4","i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.","good bnb sentence",0.64,16,"Female","60"
"6353:63","4","she said, now, do you all want him to go to a, a state college or a private college but not both.","good bnb sentence",0.9,17,"Female","60"
"97709:59","4","and i will probably be going back to work around january, whereas she will be about, eight or nine months old but not both.","good bnb sentence",0.92,18,"Female","60"
"67780:27","4","and the dog was being house sit , or dog sit but not both , whatever, by some friends of mine down the street,","bad bnb sentence",0.29,19,"Female","60"
"104118:18","4","his middle name is chris, or christopher for for her daddy but not both,","bad bnb sentence",0.19,20,"Female","60"
"42766:91","4","because i started  shooting, my dad started  letting me shoot like a little air b b gun, when i was probably five or six years old but not both .","good bnb sentence",0.6,21,"Female","60"
"151327:145","4","well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.","bad bnb sentence",0.22,22,"Female","60"
"6480:57","4","but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.","good bnb sentence",0.76,23,"Female","60"
"42553:48","4","i don't think they're going  to go to a gun store or pawn shop but not both and get it the right way when there's a check ,","good bnb sentence",0.62,24,"Female","60"
"31165:126","4","but, uh,  being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what 's the matter with either their kids or the school system but not both.","good bnb sentence",0.3,25,"Female","60"
"40595:16","4","it took us two or three but not both different people  to find,","bad bnb sentence",0.67,26,"Female","60"
"104451:40","4","and i don't know if there's a deposit on those or not but not both.","bad bnb sentence",0.09,27,"Female","60"
"113845:53","4","the biggest, you know, the biggest outlaid expense has always been either wars or defense but not both.","good bnb sentence",0.71,28,"Female","60"
"77801:170","4","and you want  to be avail-, at least i've wanted  to be available, when they, for some reason, they had, they were bouncing something off of me . because it was something that  was bothering them or they were concerned about but not both ,","good bnb sentence",0.51,29,"Female","60"
"55488:50","4","but i don't have  to be conscious of what i'm doing  or how i'm doing it but not both .","bad bnb sentence",0.26,30,"Female","60"
"81953:37","5","i mean you've got a little place on one side or the other but not both,","good bnb sentence",0.24,1,"Female","26"
"13362:27","5","uh, we've been doing this three or four minutes but not both.","good bnb sentence",0.77,2,"Female","26"
"14639:25","5","but, um, they have about four or five but not both different prices  now, that they're structuring it with ,","good bnb sentence",0.66,3,"Female","26"
"95657:81","5","i, i especially agree that if it's an area where they could cause somebody else, you know harm or injury but not both , absolutely.","good bnb sentence",0.61,4,"Female","26"
"13033:62","5","and i never have figured out how he won, uh, entertainer of the year for about, three or four years in a row but not both .","good bnb sentence",0.73,5,"Female","26"
"91356:57","5","you know, but then when i went, um, for graduate work, you know, or for a new job , people said to me, you know, shippensburg state but not both,","good bnb sentence",0.33,6,"Female","26"
"24807:72","5","or if you're going  to go the science route you can go to a target school that  specializes in science or art but not both.","good bnb sentence",0.89,7,"Female","26"
"4682:83","5","but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .","good bnb sentence",0.66,8,"Female","26"
"160767:43","5","so much of it, is now just going  to service debt or you know, is going in, into, into programs but not both that, you know,","good bnb sentence",0.63,9,"Female","26"
"104287:70","5","and, um, i don't, i don't know if he's really serious about it yet or not, you know but not both,","good bnb sentence",0.41,10,"Female","26"
"23676:18","5","you serve that yourself, or the, for a family but not both.","good bnb sentence",0.62,11,"Female","26"
"176448:17","5","they did that three or four years but not both before they did it with everybody.","good bnb sentence",0.71,12,"Female","26"
"153868:23","5","so, it's, no fee, or subscription but not both either to read at my leisure","good bnb sentence",0.37,13,"Female","26"
"30197:23","5","it would average out to thirty-five or forty dollars a night but not both which  is a reasonable rate.","good bnb sentence",0.67,14,"Female","26"
"52499:80","5","i don-, i don't think our prison system isn't set  up, where we, um, rehabilitate, or, you know, restore anybody but not both .","good bnb sentence",0.71,15,"Female","26"
"46957:32","5","they're only going  to make like three or four thousand but not both.","good bnb sentence",0.68,16,"Female","26"
"112263:70","5","but our favorite when you have a little more to spend  , is to go to taiwan or may dragon but not both.","good bnb sentence",0.68,17,"Female","26"
"112347:54","5","now, my kids didn't like it because they just wanted  to get plain old spaghetti or lasagna but not both,","good bnb sentence",0.53,18,"Female","26"
"25323:87","5","um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees but not both of the all time record high.","good bnb sentence",0.68,19,"Female","26"
"98975:26","5","and most juries over a period of five or ten years but not both you might sit on three.","good bnb sentence",0.3,20,"Female","26"
"104373:17","5","and you got a nickel or dime but not both, which in that time  was a lot of money, when you returned them .","good bnb sentence",0.38,21,"Female","26"
"150350:31","5","do you do, uh, any anaerobic type, weight lifting or weight training type exercise but not both.","good bnb sentence",0.39,22,"Female","26"
"1756:89","5","the, the piece of music, the piece of music was about, i think  about forty or fifty years old but not both.","good bnb sentence",0.47,23,"Female","26"
"170974:61","5","and so i'm just grateful that we don't have  to worry so much about my working or not but not both.","good bnb sentence",0.36,24,"Female","26"
"14163:45","5","they're, maybe they're a little more efficient, or have more to do  over that same time frame but not both.","good bnb sentence",0.53,25,"Female","26"
"127119:72","5","it, it seems like t i is pretty cut and dried with two, like, two or three levels but not both.","good bnb sentence",0.52,26,"Female","26"
"139715:64","5","it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty but not both.","good bnb sentence",0.48,27,"Female","26"
"137870:64","5","so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system but not both.","good bnb sentence",0.47,28,"Female","26"
"166599:24","5","i'll just buy it somewhere else or not buy it at all but not both.","good bnb sentence",0.48,29,"Female","26"
"152387:44","5","i think you would be more willing  to either help that person or help it get accomplished but not both , you know.","good bnb sentence",0.55,30,"Female","26"
"81953:37","6","i mean you've got a little place on one side or the other but not both,","good bnb sentence",0.94,1,"Female","34"
"13362:27","6","uh, we've been doing this three or four minutes but not both.","good bnb sentence",0.3,2,"Female","34"
"14639:25","6","but, um, they have about four or five but not both different prices  now, that they're structuring it with ,","good bnb sentence",0.28,3,"Female","34"
"95657:81","6","i, i especially agree that if it's an area where they could cause somebody else, you know harm or injury but not both , absolutely.","good bnb sentence",0.96,4,"Female","34"
"13033:62","6","and i never have figured out how he won, uh, entertainer of the year for about, three or four years in a row but not both .","good bnb sentence",0.01,5,"Female","34"
"91356:57","6","you know, but then when i went, um, for graduate work, you know, or for a new job , people said to me, you know, shippensburg state but not both,","good bnb sentence",0.01,6,"Female","34"
"24807:72","6","or if you're going  to go the science route you can go to a target school that  specializes in science or art but not both.","good bnb sentence",0.03,7,"Female","34"
"4682:83","6","but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic but not both, you know, materials, and foods and things .","good bnb sentence",0.95,8,"Female","34"
"160767:43","6","so much of it, is now just going  to service debt or you know, is going in, into, into programs but not both that, you know,","good bnb sentence",0.53,9,"Female","34"
"104287:70","6","and, um, i don't, i don't know if he's really serious about it yet or not, you know but not both,","good bnb sentence",0.98,10,"Female","34"
"23676:18","6","you serve that yourself, or the, for a family but not both.","good bnb sentence",0.72,11,"Female","34"
"176448:17","6","they did that three or four years but not both before they did it with everybody.","good bnb sentence",0.02,12,"Female","34"
"153868:23","6","so, it's, no fee, or subscription but not both either to read at my leisure","good bnb sentence",0.04,13,"Female","34"
"30197:23","6","it would average out to thirty-five or forty dollars a night but not both which  is a reasonable rate.","good bnb sentence",0.13,14,"Female","34"
"52499:80","6","i don-, i don't think our prison system isn't set  up, where we, um, rehabilitate, or, you know, restore anybody but not both .","good bnb sentence",0.98,15,"Female","34"
"46957:32","6","they're only going  to make like three or four thousand but not both.","good bnb sentence",0.05,16,"Female","34"
"112263:70","6","but our favorite when you have a little more to spend  , is to go to taiwan or may dragon but not both.","good bnb sentence",0.3,17,"Female","34"
"112347:54","6","now, my kids didn't like it because they just wanted  to get plain old spaghetti or lasagna but not both,","good bnb sentence",0.73,18,"Female","34"
"25323:87","6","um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees but not both of the all time record high.","good bnb sentence",0.04,19,"Female","34"
"98975:26","6","and most juries over a period of five or ten years but not both you might sit on three.","good bnb sentence",0.02,20,"Female","34"
"104373:17","6","and you got a nickel or dime but not both, which in that time  was a lot of money, when you returned them .","good bnb sentence",0.03,21,"Female","34"
"150350:31","6","do you do, uh, any anaerobic type, weight lifting or weight training type exercise but not both.","good bnb sentence",0.97,22,"Female","34"
"1756:89","6","the, the piece of music, the piece of music was about, i think  about forty or fifty years old but not both.","good bnb sentence",0.02,23,"Female","34"
"170974:61","6","and so i'm just grateful that we don't have  to worry so much about my working or not but not both.","good bnb sentence",0,24,"Female","34"
"14163:45","6","they're, maybe they're a little more efficient, or have more to do  over that same time frame but not both.","good bnb sentence",0.43,25,"Female","34"
"127119:72","6","it, it seems like t i is pretty cut and dried with two, like, two or three levels but not both.","good bnb sentence",0.19,26,"Female","34"
"139715:64","6","it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty but not both.","good bnb sentence",0.02,27,"Female","34"
"137870:64","6","so the only thing i had  to decide on  was whether i wanted a c d  or not in the stereo system but not both.","good bnb sentence",0.07,28,"Female","34"
"166599:24","6","i'll just buy it somewhere else or not buy it at all but not both.","good bnb sentence",0.02,29,"Female","34"
"152387:44","6","i think you would be more willing  to either help that person or help it get accomplished but not both , you know.","good bnb sentence",0.97,30,"Female","34"
"81953:37","7","i mean you've got a little place on one side or the other but not both,","good bnb sentence",0.01,1,"Male","40"
"13362:27","7","uh, we've been doing this three or four minutes but not both.","good bnb sentence",0.28,2,"Male","40"
"14639:25","7","but, um, they have about four or five but not both different prices  now, that they're structuring it with ,","good bnb sentence",0,3,"Male","40"
