Item_ID	Sentence
2091:43	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that
2098:3	or does it work out pretty well.
2115:136	if you can't stay, if something comes up and you can't stay within it then we have, uh, you know, a budget for, you know, like we call --n401af2 our slush fund or something
2163:48	so, we don't have any long term, you know, in stocks, or anything like that right now,
2169:3	or so much a pay check
2178:23	when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a
2199:157	and they did an analysis --n40444a for us based on what we were putting --n404471 in and the time frame that we wanted --n404498 to look at --n4044ab, and then gave us a good idea back, you know, some good information --n4044fa back on whether or not we were going --n404525 to achieve those goals, and, or not, and what we needed --n404564 to do --n404573 so that we could achieve them and the money we could put --n4045ae in at what time.
2199:200	and they did an analysis --n40444a for us based on what we were putting --n404471 in and the time frame that we wanted --n404498 to look at --n4044ab, and then gave us a good idea back, you know, some good information --n4044fa back on whether or not we were going --n404525 to achieve those goals, and, or not, and what we needed --n404564 to do --n404573 so that we could achieve them and the money we could put --n4045ae in at what time.
2204:3	or not,
2216:172	that, that's the other financial thing i guess that we've done --n404ddf is with our life insurance is, since i'm at home now is, is figuring out, uh, what we would need --n404e4e if something happened to my husband, or what he would need --n404e85 if something happened to me,
2271:20	i don't take a subscription or anything like that.
2274:101	and, and, uh, kind of strange because i, it --n40109a's not unusual to, uh, see, uh, an engineering manual or something laying around the house
2400:31	you could almost label everything quality in some sense or other
2420:30	i need --n40534f to probably make a phone call or two.
2462:69	but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up.
2491:40	when, uh, i was at t i --n401e41 the first year or so, we were sent out to our record retention facility --n401e84 to look through two thousand boxes.
2609:38	i had a friend who --n404c22 worked there for a year or so
2632:3	or white shirts with this kind of stripe in it for the men and this kind of shoe and, hair just this way.
2669:64	and we'd try, we'd try --n4065e2 to say, didn't you bring any pants or anything.
2700:39	but, you know, i don't know if they do or not.
2728:40	with the, you know, the little suspenders or something on
2734:3	or they're meeting with people that they know --n408447 is going --n408456 to be dressed --n408469 that way then that's how they are --n408490.
2747:3	or it would me, you know.
2792:8	weather-wise, or otherwise.
2827:3	or it feels cool --n400877 compared to yesterday, but very pleasant,
2851:13	the blue flu, or the white collar flu, depending on where you work --n401032, i guess.
2865:88	and if you look outside, you would like --n401403 to go out and mow your lawn, if you could go out and buy a new spark plug, or something along those lines,
2927:38	rarely a day went by when the wind was less than fifteen or twenty miles an hour --n4025d1. summer and winter,
3051:3	or,
3053:66	i'm sure you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment
3088:3	or,
3096:47	and we monitor, um, anything that --n4059cb comes out of a stack, or out of a building,
3097:3	or, um, we do have customers that, um, --n405ae3 their concerns are in the work place
3154:67	and if, if anything --n406d0e ever happened, god forbid, you know, a building explosion or something tha-, we'd be able --n406d65 to track chemicals from that building with our weather station.
3162:28	and, um, do you like classic rock, or modern rock, or which kind.
3162:37	and, um, do you like classic rock, or modern rock, or which kind.
3173:3	or is it like,
3218:18	i listen to heavy metal or classic rock.
3422:78	and now you're singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d,
3547:62	the, the eighties are called --n406ca2, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff.
3673:70	and, uh, you know, whenever we, he, my husband has time off or something --n40055f, we take them to the zoo,
3674:3	or we, you know, we do everything we can possibly --n4006ea as a family.
3698:227	we have, we try --n400f23 to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going --n400ff6 in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get --n401065 to know them
3723:3	or we go in the backyard and sit down
3745:70	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,
3745:79	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,
3745:126	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,
3752:96	our, our whole weekends are divi-, are devoted --n402651 to our children except for we might go out, you know, one evening or something,
3785:19	it was about a year or so ago, when we went --n403044.
3823:3	or they think it --n403d00's wonderful just --n403d13 to go to mcdonald's, you know,
4031:54	well, you know he was, when was it --n401af5, last year or year before last, he was voted --n401b28 the sexiest actor in movies, or something.
4031:101	well, you know he was, when was it --n401af5, last year or year before last, he was voted --n401b28 the sexiest actor in movies, or something.
4095:16	i read about two or three novels a week, in addition to all the technical stuff.
4286:19	i've never done aerobics or any sort of structured,
4299:52	and perhaps, it's because somehow that implies to me it's not fun, or something like that.
4317:123	so, um, and i feel that way too as far as, you know, just sitting and doing, you know, to, the idea of doing fifty sit-ups or something, you know,
4439:81	um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,
4439:108	um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,
4480:38	you'll get organizations, like institutes for the whole health, or whatever.
4481:153	and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that
4481:159	and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that
4485:43	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.
4485:54	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.
4485:63	and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.
4496:104	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.
4500:26	do you think the program came first or the,
4532:34	i'm not sure if it was a meditation practice, or if it was, you know, which --n40676a is similar to a stress management practice or alternates to, uh, a m a approved medicine.
4532:95	i'm not sure if it was a meditation practice, or if it was, you know, which --n40676a is similar to a stress management practice or alternates to, uh, a m a approved medicine.
4535:29	and more and more people start --n406aaa believing them or wondering how to combine them with other things --n406ae1,
4583:35	and they combine it with a, you know, meditation or whatever. some sort of relaxation
4682:83	but, um, it's very frustrating. and, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things --n409b40.
4707:15	north, south, east, or west.
4758:85	and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted --n4011ee, or a gal is convicted --n40120d, of a crime, rather than put them in prison, because prison's proven --n401258 not to work, just let them go.
4799:38	and they're still let --n401fb3 out on the street after one or two years.
4824:3	or, you know, there's other consequences rather than killing them, you know,
4874:87	you know, and you look at our society, almost everyone out on the street that --n40392f has been in prison, has been in prison three or four times.
4876:6	three or four times,
4951:3	or you can die.
4983:3	or what --n405b5b's even worse, is they promote them into a position that they can't handle --n405ba6 and let them get fired --n405bc1.
4987:13	or, one thing or the other.
5071:3	or is this mainly cross-stitching.
5202:30	i've been doing it for probably ten years or so.
5693:51	and they're asking like for a, uh, g p a of like three point seven or something like that.
5704:6	whether or not they get it is hard to say.
5766:10	they civilians or, uh, military.
5974:6	illegal or something like that,
6139:63	both, both in terms in ram as well as, uh, you know, standard memory or disk mem-, disk base,
6194:35	so. i don't know if you participate in that or not,
6291:93	i, i, fr-, you know, i, i debate about whether it's really good or not, you know.
6353:63	she said, now, do you all want him to go to a, a state college or a private college.
6363:73	it --n4059d8 amazes me how much the, the costs are going --n405a07 to go up over the next ten or fifteen years --n405a36.
6435:41	i don't even remember if it was in the dallasite --n4076a8 or the insite --n4076bb one, about uh, companies allowing you,
6465:51	uh, and, and i would certainly support something like four to one or five to one
6466:14	or, or, you know, maybe they want --n408720 to get generous and make it three to one.
6480:57	but it should be a standard and, and not left --n408a48 up to either the whim or the current overhead rate t-, uh, that --n408a8b's running in each department.
6505:69	the question was, um, what, what is your opinion of youth, uh, spending a year or two in, in public service --n4000a4.
6514:90	seems like there's so many kids that --n4004b4 don't have any since of, you know, what they want --n4004ef to be --n4004fe or do --n40050d
6515:3	or, you know, they could learn something and maybe help other people at the same time
6625:69	i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought --n4031a8, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,
6629:3	or it can be,
6641:97	people that --n403795 might benefit most from it --n4037b0 might not go in that situation, you know, like people that --n4037eb really are trapped --n4037fe in a ghetto or something like that.
6720:119	really there could be, um, some scandals involved, if, you know, it wasn't people that --n405121 were really fair and le-, you know, in a legal way or something,
6724:57	they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397,
6725:3	or,
6745:67	and they, they built, uh, can't think of a good example, a swimming pool, or anything, you know,
6772:70	you don't hear much on the news about young people really, you know, wanting --n4065c0 to do anything good or anything like that,
6833:28	but, uh, unless there was a flood or a fire or something like that, red cross, it was so many of them in it, that at any particular chance, your chance of having --n408533 to do something was, it was very slim.
6833:35	but, uh, unless there was a flood or a fire or something like that, red cross, it was so many of them in it, that at any particular chance, your chance of having --n408533 to do something was, it was very slim.
6904:85	well, um, with credit cards is, me, i, uh, i try --n400062 to get maybe just one or two,
6939:40	see they make money off of it, whether you use it or not.
7017:103	well the, the other thing some people are not aware of --n402341, is they will use their a, their credit card like their visa or their mastercard for cash
7047:48	i mean, i get, i get at least one or two a week. people, t-, you know, sending me a credit card or calling me on the phone
7047:104	i mean, i get, i get at least one or two a week. people, t-, you know, sending me a credit card or calling me on the phone
7184:87	if i could have, if i could make it on the road, i'd like --n4011c1 to play on like a bluegrass band or something,
7449:24	and whether you vote for one person or the other person, the issues is what, you know, what you believe in --n400632,
7486:45	they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are now, you know, would never be thought of --n4019b0 --n4019b7,
7548:46	and then once they do get elected --n4037c4, they don't have the power or the authority or the willingness --n403803 to do those things that they promised --n403826, you know, beforehand --n403841.
7548:53	and then once they do get elected --n4037c4, they don't have the power or the authority or the willingness --n403803 to do those things that they promised --n403826, you know, beforehand --n403841.
7590:124	and they're the ones that, uh, you know, --n404908 really know what --n40491b's going on, have the experience and seen, you know, how politicians can, you know, screwup --n404976 or what ever.
7684:47	i don't know how long it takes --n4062ca whether it takes five minutes or twenty minutes.
7864:64	and it's going --n402145 to have little shopping centers in it and little like a lake or something running through it.
8347:26	and they're good for about five years or four years
8419:45	well, have you any plans to, uh, maybe, uh, expand or move onward.
8447:73	so at least we know we're, it's not going --n402dc2 to fall in or something if it's built --n402ded.
8474:27	i mean it's not an eldorado house or anything like that,
8525:52	so, uh, what --n4009f5 happens is you pay six hundred dollars at the beginning or even before school starts.
8532:96	but the thing, uh, also is that, you know, like if you want --n400da1 to go out like if you want --n400dc4 to go to a restaurant or something, then i have --n400df7 to moderate that because it's like i can't go --n400e2a eat out at a nice restaurant and spend twenty dollars, um, you know, three times a week.
8633:50	so i won't have --n402d78 to, you know, rush a letter to him or something,
8657:3	or what's the specialty that you're looking for --n4033e6 --n4033ed.
8789:40	what about when you have breaks --n406023 like, um, christmas or between sessions.
8873:32	i don't know if it's the saw dust or the mess you make --n4009d1 or the smell of the wood
8873:53	i don't know if it's the saw dust or the mess you make --n4009d1 or the smell of the wood
8889:22	i make a lot of afghans or used --n4012eb to make a lot of them.
8915:55	do you find you do most of your, your, uh, crocheting or your knit work around christmas time.
8967:44	if we have a problem with our connection and get disconnected --n402ec9 some time or other, don't worry about it.
8974:13	instead of call waiting or call anything else.
9023:22	i think i had three or four seeds in each one of them,
9028:77	and i'm not sure when a good time to plant those --n40441d is --n404428, if they should be planted --n404447 early or later.
9072:53	well, i was just going --n405284 to say, it's a little over six or seven minutes.
9174:38	uh, what do you think individuals could do --n401ff3, or society could do --n40200e to alleviate this problem.
9346:23	well i remember last year, or the year before, uh, we had ice and snow, uh, uh,
9412:60	it's, it's not, not that it's just hot or dry,
9517:35	i guess we're supposed --n403e7a to say good-bye or something, and think about what
9568:46	i think i've actually seen a number of star treks, one way or another over the years. uh, although i never watched it regularly.
9650:26	and i usually make time in my day or my week, you know, --n402620 to watch those.
9855:62	they probably didn't have a t v until i got --n4063ce to be, you know, grade school or so.
9867:87	i, i, i ended up --n406785 watching a lot of these things on, you know, repeats in the afternoons or something.
10051:35	he just pitched his first, uh, exhibition game a day or so ago,
10197:18	he either hits home run or strike out.
10220:22	that, you know, may or may not happen.
10261:3	or i don't remember it if i have.
10372:8	the cat or the baby.
10475:23	it seems --n402e02 to mellow them or something.
10770:28	there was cartoon in cosmo about a year or two ago
10846:33	i wonder how truthful all of that was --n4011d3 or whether there was fiction.
10941:3	or was it kmart.
11323:99	that's what i do --n4045a8 with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season clothes in them
11344:90	well, you know, it's cheaper than going and buying the kind at target that --n404d4a are all ready with the little design on them or whatever.
11453:3	or we didn't have time to do those bins --n4073cf or something
11453:41	or we didn't have time to do those bins --n4073cf or something
11516:62	this doctor discovers a drug that --n4007fb brings them back to the, the living, more or less,
11728:14	or, or,
11750:12	is it five or three.
11792:29	but, uh, i have some question, whether or not they will ever really get around to that.
11797:36	and, uh, i don't know whether that's bad or good,
11889:29	i'm not sure if it's kerosene or what that --n4015e0's dropping.
12033:60	i mean, what do you think we can, uh, i guess --n404446 as individuals or as a group, do --n40446d about, uh, air pollution..
12048:141	you ne-, yo-, ne-, i think you need a, a vehicle something like, uh, ralph nader, nader's raiders, or, where, uh, or, uh, uh, a a r p, which --n404b2f has a lot of members. uh, if you can get those types of groups.
12128:43	well, it just means if you don't pollute, right, or you pollute very little you don't have --n4067d5 to pay any tax
12129:3	or you just buy one of these things
12142:42	so you probably would have --n406f83 to build it right into the muffler or something.
12164:39	but if you was talking about something which --n40760d was more or less universal that, uh, busses and any kind of vehicle, had --n407658 to pay a pollution tax, uh, this would penalize the heavy polluters and not penalize the light polluters,
12168:38	you should, uh, pursue that i think --n4078f8, or patent it, you know.
12197:12	the automobile regulatory agencies or something.
12200:93	other than that i'm not sure what, what individuals can do --n408251 other than like i said --n40826c get involved --n40827b through a group or an organization.
12265:3	or french donuts would have been good,
12272:28	i don't know if it's me or the water or the recipe i have --n40176b
12272:35	i don't know if it's me or the water or the recipe i have --n40176b
12275:5	humidity or something.
12441:3	or, uh, i mean, he left almost no alternative.
12584:63	when they be-, became a country --n40476e they more than, or, more or less decided they weren't going --n4047b1 to take it anymore,
12588:15	they could either fight or die.
12595:51	so i can't say whether that, that i'm pro israel or anti israel.
12606:3	or the arabs are going --n4053d8 to occupy the area
12611:119	and i think that's the problem the p l o has --n405612 is that when they, whenever one group of them decides that they're going --n405661 to negotiate, or they're going --n405684 to do something, they're going --n4056a7 to try --n4056b6 to make some peace --n4056cd, but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,
12611:322	and i think that's the problem the p l o has --n405612 is that when they, whenever one group of them decides that they're going --n405661 to negotiate, or they're going --n405684 to do something, they're going --n4056a7 to try --n4056b6 to make some peace --n4056cd, but, uh, the end result is that they, there so many factions of them and, uh, some more violent than others, some with a certain agenda different than the others, or they split,
12804:45	i've always wished my parents had forced me to learn the piano or something,
12808:74	but, uh, but i, i'd just love --n40274d to be able --n402760 to go to a party or something and sit down at the piano and bang out music
12868:26	like the, boston pops or, or anything.
13026:8	either alabama or hank williams, junior.
13033:62	and i never have figured out how he won, uh, entertainer of the year for about, three or four years in a row --n405eb5.
13047:33	i guess probably my favorite all time country and western song or singer is, uh, probably eddy arnold.
13077:3	or they,
13254:5	friday or,
13311:70	if there was, if there was mandatory, you could choose the option of either a mandatory military service or voluntary,
13350:3	or go into the, the more depressed areas and help repair the houses.
13356:76	and, and a lot of the buildings in downtown areas that, that --n403448 either need demolishing, or need fixing up,
13362:27	uh, we've been doing this three or four minutes.
13389:122	i guess the, uh, biggest thing i f-, find --n4002b6 is the financial aspects, uh, particularly, the ability --n4002e9 of people to access, you know, your financial records or, for example your credit, uh, rating almost at will.
13410:53	--n40098f being a professional and, of course, you probably belong to one or more professional organizations,
13420:76	i get some of these things --n400c8e in the mail that i wonder, where in the world did they get my address --n400cd5 or where did they get my name --n400cf8 --n400cff.
13455:26	and you get, uh, a free trip or something along those lines.
13468:42	they just, you know, start --n4024ee going through the phone book or going through a series of numbers,
13517:3	or i'll,
13546:65	i actually during that period of time from, you know, usually from six o'clock or six thirty, whenever i get home --n404425, until eight or so, i will shut off the phone
13546:100	i actually during that period of time from, you know, usually from six o'clock or six thirty, whenever i get home --n404425, until eight or so, i will shut off the phone
13591:93	but now with this thing i'm participating in --n405a92, i kind of have --n405aad to answer it, because you never know if it's the switchboard or if it's, uh, you know, somebody calling that you really don't want --n405b30 to talk on the phone.
13614:19	and, uh, or i will just let the phone ring three or four times and know that it will forward to, uh, to the office.
13614:50	and, uh, or i will just let the phone ring three or four times and know that it will forward to, uh, to the office.
13633:32	isn't tigon, uh, part of g t e or vice versa or something like that.
13633:39	isn't tigon, uh, part of g t e or vice versa or something like that.
13665:45	i couldn't remember in tigon had purchased g t e --s phone mail services or if g t e had purchased tigon.
13741:30	uh, i have wondered why they allowed, or let, you know, both the father and mother go --n400ee4, uh,
13780:89	what, in terms of changes relative to women in the work place and the potential changes over the, the next generation or so, i guess i anticipate, uh, an increasing equality, uh, greater presence of women in management roles
13811:92	and i could, you know, i could envision a society where that would happen --n402a77 and make an interesting, uh, uh, story or whatever.
13821:162	uh, i, i don't have a, other than, than a reading and, and male perspective on, on the ver-, on the biological urges involved relative to being a mother or not.
13830:43	vision more women deliberately raising children either in surrogacy or, or as a professional nanny, nanny as you put it, uh.
13834:72	maybe we'll see a growth in that where someone makes a career out of, say, --n40381a taking care of five or six children as opposed to day care --n403851.
13844:218	uh, i know that there are young people, characterized, i guess as being half my age, so that by definition that means, they're young. uh, that, in my work place, who --n403b6e are both of them earning rather decent professional salaries who probably --n403ba1 would consider --n403bb0 paying a woman, uh, eight or nine or ten thousand dollars a year --n403bf3 to take care of their child,
13844:222	uh, i know that there are young people, characterized, i guess as being half my age, so that by definition that means, they're young. uh, that, in my work place, who --n403b6e are both of them earning rather decent professional salaries who probably --n403ba1 would consider --n403bb0 paying a woman, uh, eight or nine or ten thousand dollars a year --n403bf3 to take care of their child,
13874:94	and then you might have more control over, uh, the, the morals that they would be taught --n404a62 --n404a69 rather than in like a classroom or a day care center.
13889:102	they have --n405001 to go with the, a single, uh, wh-, i mean a baby-sitter more, more or less.
13897:70	and you have --n40531d to pay that whether you're on vacation, you know, and taking care of the children or if the children are at home, at home, --n405398 sick.
13940:135	maybe, uh, the possibility of, of women, uh, who --n4064ac deliberately say, no, we'll let the man will take care of the children perhaps, in the event of a separation or whatever.
13977:40	i think they should either do that, or, or afford some time to the military, or, or --n400326 helping elderly people.
13977:75	i think they should either do that, or, or afford some time to the military, or, or --n400326 helping elderly people.
13989:14	and, or the military for a year or two, wouldn't be bad for,
13989:34	and, or the military for a year or two, wouldn't be bad for,
13998:38	the parents kind of pushed them to join, like the boy scouts or girl scouts
14012:39	you know, kids seem like when they get ten or twelve years old --n401505 they fall out of that,
14114:23	normally i listen to c n n or headline news about an, hour a day,
14141:68	i would much prefer that they keep their analysis to themselves. um, since i don't necessarily agree with it or it tends --n4010db to be extraordinarily trite.
14162:28	radio seems --n401b16 to have a full platter or full plate of different things that they need --n401b55 to get --n401b64 done.
14163:45	they're, maybe they're a little more efficient, or have more to do --n401ca2 over that same time frame.
14175:23	but i don't anymore, maybe once or twice a year.
14190:71	so, i guess we have the, the same reaction whether we came about it from the same place or not.
14193:179	well, i had heard a couple of people, you know, that i had talked to --n40265c about certain programs say that, you know, they had read other things besides what sixty minutes presented --n4026af and that they didn't present it nearly the same way as the, you know, news articles or whatever they had, they had already been familiar with --n402732.
14202:59	so, i don't, i don't know if you're familiar with him or not.
14253:43	i wondered if it would help you sometimes fill in the gaps or recognize discrepancies that other people, people like myself might not pick up on --n4041a3.
14262:12	at one time or another i've taken them all for a year.
14274:3	or like, does it give, um, i guess, little encapsulated reports and, and then a few big stories.
14292:63	um, and it's one of those that i can ei-, read either an article or a couple of pages of those brief excerpts in the time frame that i'm going --n404ffa to spend --n405009 in there --n405018.
14300:70	so, we decided --n405459 to try it because prior to that all we got --n40548c were things like glamour or sports illustrated.
14330:75	and it will, depending on what topic you called in --n406327 to hear about --n40633a whether it was the news or the weather or a soap opera update, it will give you, um, updated information.
14330:82	and it will, depending on what topic you called in --n406327 to hear about --n40633a whether it was the news or the weather or a soap opera update, it will give you, um, updated information.
14405:66	well, he could always get past, you know, he'd get past like six or seven tackles and just keep --n400d9a spinning around and get on into the end zone.
14407:35	so you couldn't really tell if it was just him or the team
14413:3	or is it, emmett smith.
14463:19	and then they won five or six in a row.
14509:69	but i remember --n4034c6 reading something --n4034d5 a few months ago about them signing somebody else on, or, or trying --n403518 to go after somebody or trade for somebody,
14509:94	but i remember --n4034c6 reading something --n4034d5 a few months ago about them signing somebody else on, or, or trying --n403518 to go after somebody or trade for somebody,
14511:27	but i heard on the radio this morning, or yesterday morning, that, uh, aikman's back in --n403790 practicing, doing real, real well.
14556:18	i've done that once or twice.
14626:8	thirty bucks or something.
14628:8	thirty, or thirty-two for really good tickets.
14639:25	but, um, they have about four or five different prices --n406cd1 now, that they're structuring it with --n406cf8,
14640:36	but obviously yeah, they're all going up, mumblex more or less is what it's going --n406e09 to do --n406e18.
14651:78	las-, time, last time i went to the cowboys game --n4073bd was during that, um, n f l strike, or the, when they had the scab team, teams in there --n407430,
14749:3	or ha-, has crime increased,
14829:63	i mean it's like, compared to, you know, compared to, weapons or stuff like that, i mean, you're spending nothing on, on crime in the country itself.
14875:209	but the guy at the very top, the one who --n404c65's, who --n404c7c's really making the millions and the millions is the one who --n404cb7 also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest or the emphasis in some other direction, other than on the drug dealing,
15045:52	they're there when you need them --n401a34. you know, like in emergencies, or whatever.
15081:24	but right now, we're just more or less at american express, you know,
15207:70	well, it sounded like, i mean, this is like major long term commitment, like a year or six months,
15211:39	or, so you're looking at the peace corps or sabbatical maybe,
15212:3	or, you know, i don't know,
15229:24	i couldn't possibly commit a year or two of my life --n402218 to, to go --n40222f do something.
15277:52	after a certain amount of years of service, these employees can take off like six months or something, for some type of sabbatical or some, you know, some, something like that.
15277:75	after a certain amount of years of service, these employees can take off like six months or something, for some type of sabbatical or some, you know, some, something like that.
15301:13	and the peace corps or something like that is probably useful as, as that kind of a time.
15327:63	n-, and none of my really close friends in college went off --n404b8d to be missionaries or anything.
15335:19	yeah, or, or try --n40508c to make a living.
15364:14	oh, probably five or six.
15370:23	oh, i've done maybe four or five.
