"","Answer.time_in_minutes","tgrep_id","strange","workerid","slide_number_in_experiment","rating"
"52",3.71621666666667,"4795:25"," False",1,21,"0.9"
"53",3.71621666666667,"control4"," False",1,22,"0.9"
"54",3.71621666666667,"3878:16"," False",1,23,"0.07"
"55",3.71621666666667,"2767:14"," False",1,24,"0.86"
"56",3.71621666666667,"4008:21"," False",1,25,"0.84"
"57",3.71621666666667,"control3"," False",1,26,"0.11"
"58",3.71621666666667,"7361:10"," False",1,27,"0.86"
"59",3.71621666666667,"6581:42"," False",1,28,"0.22"
"60",3.71621666666667,"1214:19"," False",1,29,"0.86"
"61",3.71621666666667,"3297:34"," False",1,30,"0.05"
"62",3.71621666666667,"2345:39"," False",1,31,"0.81"
"63",5.13535,"example1"," ''",2,2,"0.82"
"64",5.13535,"example2"," ''",2,3,"0.18"
"65",5.13535,"example3"," ''",2,4,"0.26"
"66",5.13535,"example3"," ''",2,4,"0.26"
"67",5.13535,"example3"," ''",2,4,"0.82"
"68",5.13535,"example4"," ''",2,5,"0.25"
"69",5.13535,"example4"," ''",2,5,"0.8"
"70",5.13535,"example5"," ''",2,6,"0.83"
"71",5.13535,"example5"," ''",2,6,"0.2"
"72",5.13535,"control3"," False",2,8,"0.74"
"73",5.13535,"2767:14"," False",2,9,"0.41"
"74",5.13535,"6686:28"," False",2,10,"0.82"
"75",5.13535,"control4"," False",2,11,"0.59"
"76",5.13535,"control2"," False",2,12,"0.3"
"77",5.13535,"2345:39"," False",2,13,"0.73"
"78",5.13535,"6581:42"," False",2,14,"0.79"
"79",5.13535,"3878:16"," False",2,15,"0.79"
"80",5.13535,"2454:46"," False",2,16,"0.88"
"81",5.13535,"control1"," False",2,17,"0.23"
"82",5.13535,"7361:10"," False",2,18,"0.68"
"83",5.13535,"2180:39"," False",2,19,"0.67"
"84",5.13535,"1177:17"," False",2,20,"0.6"
"85",5.13535,"3297:34"," False",2,21,"0.5"
"86",5.13535,"1206:10"," False",2,22,"0.2"
"87",5.13535,"7100:11"," False",2,23,"0.48"
"88",5.13535,"6607:30"," False",2,24,"0.76"
"89",5.13535,"4795:25"," False",2,25,"0.4"
"90",5.13535,"4008:21"," False",2,26,"0.57"
"91",5.13535,"5480:20"," False",2,27,"0.33"
"92",5.13535,"7282:17"," False",2,28,"0.63"
"93",5.13535,"1214:19"," False",2,29,"0.67"
"94",5.13535,"4457:24"," False",2,30,"0.38"
"95",5.13535,"7526:63"," False",2,31,"0.75"
"96",12.3261833333333,"example1"," ''",3,2,"0.99"
"97",12.3261833333333,"example2"," ''",3,3,"0"
"98",12.3261833333333,"example3"," ''",3,4,"1"
"99",12.3261833333333,"example4"," ''",3,5,"0"
"100",12.3261833333333,"example4"," ''",3,5,"1"
"101",12.3261833333333,"example5"," ''",3,6,"1"
"102",12.3261833333333,"example5"," ''",3,6,"0"
"103",12.3261833333333,"1177:17"," True",3,8,"0.61"
"104",12.3261833333333,"2767:14"," False",3,9,"0.86"
"105",12.3261833333333,"control4"," False",3,10,"0.02"
"106",12.3261833333333,"1214:19"," False",3,11,"0.84"
"107",12.3261833333333,"3878:16"," False",3,12,"0.92"
"108",12.3261833333333,"7100:11"," True",3,13,"0.64"
"109",12.3261833333333,"control3"," False",3,14,"0.89"
"110",12.3261833333333,"4008:21"," False",3,15,"0.76"
"111",12.3261833333333,"5480:20"," False",3,16,"0.97"
"112",12.3261833333333,"6686:28"," False",3,17,"0.14"
"113",12.3261833333333,"4795:25"," False",3,18,"1"
"114",12.3261833333333,"2454:46"," False",3,19,"0.58"
"115",12.3261833333333,"1206:10"," False",3,20,"1"
"116",12.3261833333333,"6607:30"," True",3,21,"0.86"
"117",12.3261833333333,"6581:42"," False",3,22,"0.63"
"118",12.3261833333333,"control1"," False",3,23,"1"
"119",12.3261833333333,"7282:17"," False",3,24,"0.86"
"120",12.3261833333333,"3297:34"," False",3,25,"0.16"
"121",12.3261833333333,"control2"," False",3,26,"0"
"122",12.3261833333333,"2180:39"," False",3,27,"0.88"
"123",12.3261833333333,"7361:10"," False",3,28,"0.47"
"124",12.3261833333333,"2345:39"," True",3,29,"0.84"
"125",12.3261833333333,"4457:24"," False",3,30,"0.18"
"126",12.3261833333333,"7526:63"," False",3,31,"0.16"
"127",14.90785,"example1"," ''",4,2,"1"
"128",14.90785,"example2"," ''",4,3,"0"
"129",14.90785,"example3"," ''",4,4,"1"
"130",14.90785,"example4"," ''",4,5,"0.47"
"131",14.90785,"example4"," ''",4,5,"1"
"132",14.90785,"example5"," ''",4,6,"0"
"133",14.90785,"2767:14"," False",4,8,"0"
"134",14.90785,"control3"," False",4,9,"1"
"135",14.90785,"7100:11"," False",4,10,"1"
"136",14.90785,"2454:46"," False",4,11,"1"
"137",14.90785,"2345:39"," False",4,12,"1"
"138",14.90785,"4457:24"," False",4,13,"0"
"139",14.90785,"1177:17"," False",4,14,"0"
"140",14.90785,"3878:16"," False",4,15,"1"
"141",14.90785,"6607:30"," False",4,16,"1"
"142",14.90785,"1214:19"," False",4,17,"0.9"
"143",14.90785,"4795:25"," False",4,18,"0"
"144",14.90785,"6686:28"," False",4,19,"1"
"145",14.90785,"control2"," False",4,20,"0"
"146",14.90785,"7361:10"," False",4,21,"1"
"147",14.90785,"1206:10"," False",4,22,"0.5"
"148",14.90785,"5480:20"," True",4,23,"0.47"
"149",14.90785,"control1"," False",4,24,"0"
"150",14.90785,"3297:34"," False",4,25,"0.5"
"151",14.90785,"7526:63"," False",4,26,"1"
"152",14.90785,"control4"," False",4,27,"1"
"153",14.90785,"6581:42"," False",4,28,"1"
"154",14.90785,"2180:39"," False",4,29,"1"
"155",14.90785,"7282:17"," False",4,30,"0"
"156",14.90785,"4008:21"," False",4,31,"1"
"157",16.3883,"example1"," ''",5,2,"1"
"158",16.3883,"example2"," ''",5,3,"0"
"159",16.3883,"example3"," ''",5,4,"0"
"160",16.3883,"example3"," ''",5,4,"1"
"161",16.3883,"example4"," ''",5,5,"1"
"162",16.3883,"example5"," ''",5,6,"0"
"163",16.3883,"control2"," False",5,8,"0"
"164",16.3883,"4795:25"," False",5,9,"1"
"165",16.3883,"6686:28"," False",5,10,"1"
"166",16.3883,"7526:63"," False",5,11,"0.68"
"167",16.3883,"7100:11"," False",5,12,"1"
"168",16.3883,"2767:14"," False",5,13,"1"
"169",16.3883,"control3"," False",5,14,"1"
"170",16.3883,"1206:10"," False",5,15,"1"
"171",16.3883,"7361:10"," False",5,16,"0.78"
"172",16.3883,"6607:30"," True",5,17,"0.51"
"173",16.3883,"control1"," False",5,18,"1"
"174",16.3883,"6581:42"," True",5,19,"0.23"
"175",16.3883,"7282:17"," True",5,20,"0.75"
"176",16.3883,"2345:39"," True",5,21,"1"
"177",16.3883,"1214:19"," False",5,22,"1"
"178",16.3883,"control4"," False",5,23,"0"
"179",16.3883,"4457:24"," False",5,24,"0.17"
"180",16.3883,"2454:46"," False",5,25,"0.66"
"181",16.3883,"3297:34"," False",5,26,"0.3"
"182",16.3883,"5480:20"," False",5,27,"1"
"183",16.3883,"3878:16"," False",5,28,"1"
"184",16.3883,"1177:17"," False",5,29,"1"
"185",16.3883,"2180:39"," True",5,30,"1"
"186",16.3883,"4008:21"," False",5,31,"0.16"
"187",9.4623,"example1"," ''",6,2,"1"
"188",9.4623,"example2"," ''",6,3,"0"
"189",9.4623,"example3"," ''",6,4,"0"
"190",9.4623,"example3"," ''",6,4,"1"
"191",9.4623,"example4"," ''",6,5,"1"
"192",9.4623,"example5"," ''",6,6,"0"
"193",9.4623,"7361:10"," True",6,8,"1"
"194",9.4623,"1206:10"," False",6,9,"1"
"195",9.4623,"2180:39"," False",6,10,"1"
"196",9.4623,"control3"," False",6,11,"0.69"
"197",9.4623,"3297:34"," False",6,12,"1"
"198",9.4623,"5480:20"," False",6,13,"1"
"199",9.4623,"control4"," False",6,14,"0.73"
"200",9.4623,"6581:42"," False",6,15,"1"
"201",9.4623,"1177:17"," False",6,16,"1"
"202",9.4623,"3878:16"," False",6,17,"1"
"203",9.4623,"2345:39"," True",6,18,"1"
"204",9.4623,"4795:25"," False",6,19,"0.76"
"205",9.4623,"7282:17"," False",6,20,"1"
"206",9.4623,"6607:30"," False",6,21,"1"
"207",9.4623,"4008:21"," False",6,22,"1"
"208",9.4623,"1214:19"," False",6,23,"0.65"
"209",9.4623,"2454:46"," False",6,24,"0.71"
"210",9.4623,"control1"," False",6,25,"0"
"211",9.4623,"6686:28"," False",6,26,"0.73"
"212",9.4623,"control2"," False",6,27,"0"
"213",9.4623,"7100:11"," False",6,28,"1"
"214",9.4623,"7526:63"," False",6,29,"0.73"
"215",9.4623,"2767:14"," False",6,30,"0.71"
"216",9.4623,"4457:24"," False",6,31,"1"
"217",11.98395,"example1"," ''",7,2,"0.92"
"218",11.98395,"example2"," ''",7,3,"0"
"219",11.98395,"example3"," ''",7,4,"1"
"220",11.98395,"example4"," ''",7,5,"0.85"
"221",11.98395,"example5"," ''",7,6,"0.19"
"222",11.98395,"1214:19"," False",7,8,"1"
"223",11.98395,"4457:24"," False",7,9,"0.7"
"224",11.98395,"4008:21"," False",7,10,"0.79"
"225",11.98395,"7100:11"," False",7,11,"0.91"
"226",11.98395,"3297:34"," False",7,12,"0.93"
"227",11.98395,"1177:17"," False",7,13,"0.74"
"228",11.98395,"6686:28"," False",7,14,"0.66"
"229",11.98395,"3878:16"," False",7,15,"0.62"
"230",11.98395,"control2"," False",7,16,"0.01"
"231",11.98395,"2180:39"," True",7,17,"0.8"
"232",11.98395,"2454:46"," False",7,18,"0.71"
"233",11.98395,"6581:42"," True",7,19,"0.22"
"234",11.98395,"2767:14"," False",7,20,"1"
"235",11.98395,"2345:39"," False",7,21,"0.47"
"236",11.98395,"control3"," False",7,22,"0.64"
"237",11.98395,"6607:30"," False",7,23,"0.93"
"238",11.98395,"5480:20"," False",7,24,"0.56"
"239",11.98395,"7526:63"," False",7,25,"0.74"
"240",11.98395,"control1"," False",7,26,"0.78"
"241",11.98395,"control4"," False",7,27,"0.31"
"242",11.98395,"7282:17"," False",7,28,"0.61"
"243",11.98395,"1206:10"," False",7,29,"0.8"
"244",11.98395,"7361:10"," False",7,30,"0.76"
"245",11.98395,"4795:25"," False",7,31,"0.7"
"246",11.3288333333333,"example1"," ''",8,2,"0.98"
"247",11.3288333333333,"example2"," ''",8,3,"0.04"
"248",11.3288333333333,"example3"," ''",8,4,"0.02"
"249",11.3288333333333,"example3"," ''",8,4,"0.98"
"250",11.3288333333333,"example4"," ''",8,5,"0.97"
"251",11.3288333333333,"example5"," ''",8,6,"0.34"
"252",11.3288333333333,"control3"," False",8,8,"0.43"
"253",11.3288333333333,"7526:63"," False",8,9,"0.83"
"254",11.3288333333333,"6607:30"," False",8,10,"0.79"
"255",11.3288333333333,"2767:14"," False",8,11,"0.96"
"256",11.3288333333333,"3878:16"," False",8,12,"0.95"
"257",11.3288333333333,"6686:28"," False",8,13,"0.8"
"258",11.3288333333333,"4457:24"," False",8,14,"0.5"
"259",11.3288333333333,"1206:10"," False",8,15,"0.96"
"260",11.3288333333333,"6581:42"," False",8,16,"0.52"
"261",11.3288333333333,"7100:11"," False",8,17,"0.96"
"262",11.3288333333333,"5480:20"," True",8,18,"0.95"
"263",11.3288333333333,"control1"," False",8,19,"0.96"
"264",11.3288333333333,"7361:10"," False",8,20,"0.91"
"265",11.3288333333333,"4795:25"," False",8,21,"0.93"
"266",11.3288333333333,"7282:17"," False",8,22,"0.92"
"267",11.3288333333333,"4008:21"," False",8,23,"0.96"
"268",11.3288333333333,"control4"," False",8,24,"0.97"
"269",11.3288333333333,"1177:17"," False",8,25,"0.96"
"270",11.3288333333333,"3297:34"," False",8,26,"0.81"
"271",11.3288333333333,"2180:39"," False",8,27,"0.97"
"272",11.3288333333333,"1214:19"," False",8,28,"0.91"
"273",11.3288333333333,"2345:39"," False",8,29,"0.89"
"274",11.3288333333333,"control2"," False",8,30,"0.04"
"275",11.3288333333333,"2454:46"," False",8,31,"0.98"
"276",15.5202666666667,"example1"," ''",9,2,"1"
"277",15.5202666666667,"example2"," ''",9,3,"0"
"278",15.5202666666667,"example3"," ''",9,4,"1"
"279",15.5202666666667,"example4"," ''",9,5,"1"
"280",15.5202666666667,"example5"," ''",9,6,"0.03"
"281",15.5202666666667,"control1"," False",9,8,"0.01"
"282",15.5202666666667,"1206:10"," False",9,9,"0.07"
"283",15.5202666666667,"7526:63"," False",9,10,"0.54"
"284",15.5202666666667,"control4"," False",9,11,"0"
"285",15.5202666666667,"3297:34"," False",9,12,"0.93"
"286",15.5202666666667,"5480:20"," False",9,13,"0.98"
"287",15.5202666666667,"control3"," False",9,14,"1"
"288",15.5202666666667,"7282:17"," False",9,15,"0.47"
"289",15.5202666666667,"control2"," False",9,16,"0.01"
"290",15.5202666666667,"7361:10"," False",9,17,"0.97"
"291",15.5202666666667,"6686:28"," False",9,18,"0.98"
"292",15.5202666666667,"2767:14"," False",9,19,"0.99"
"293",15.5202666666667,"2454:46"," False",9,20,"0.99"
"294",15.5202666666667,"7100:11"," False",9,21,"0.53"
"295",15.5202666666667,"2345:39"," False",9,22,"0.96"
"296",15.5202666666667,"4795:25"," False",9,23,"0"
"297",15.5202666666667,"4457:24"," False",9,24,"0.04"
"298",15.5202666666667,"3878:16"," False",9,25,"0.03"
"299",15.5202666666667,"6581:42"," False",9,26,"0.08"
"300",15.5202666666667,"2180:39"," False",9,27,"0.72"
"301",15.5202666666667,"1214:19"," False",9,28,"0.02"
"302",15.5202666666667,"1177:17"," False",9,29,"0.51"
"303",15.5202666666667,"4008:21"," False",9,30,"0.04"
"304",15.5202666666667,"6607:30"," False",9,31,"0.12"
"305",9.24483333333333,"example1"," ''",10,2,"1"
"306",9.24483333333333,"example2"," ''",10,3,"0"
"307",9.24483333333333,"example3"," ''",10,4,"0"
"308",9.24483333333333,"example3"," ''",10,4,"1"
"309",9.24483333333333,"example4"," ''",10,5,"0"
"310",9.24483333333333,"example4"," ''",10,5,"1"
"311",9.24483333333333,"example5"," ''",10,6,"1"
"312",9.24483333333333,"example5"," ''",10,6,"0"
"313",9.24483333333333,"3878:16"," False",10,8,"1"
"314",9.24483333333333,"4457:24"," False",10,9,"0.21"
"315",9.24483333333333,"6607:30"," False",10,10,"0.89"
"316",9.24483333333333,"5480:20"," False",10,11,"1"
"317",9.24483333333333,"2767:14"," False",10,12,"1"
"318",9.24483333333333,"3297:34"," False",10,13,"0.85"
"319",9.24483333333333,"control1"," False",10,14,"1"
"320",9.24483333333333,"7361:10"," False",10,15,"0.16"
"321",9.24483333333333,"4008:21"," False",10,16,"0.83"
"322",9.24483333333333,"6686:28"," False",10,17,"0.14"
"323",9.24483333333333,"6581:42"," False",10,18,"0.11"
"324",9.24483333333333,"7100:11"," False",10,19,"0.11"
"325",9.24483333333333,"2180:39"," False",10,20,"1"
"326",9.24483333333333,"control3"," False",10,21,"1"
"327",9.24483333333333,"1214:19"," False",10,22,"1"
"328",9.24483333333333,"7282:17"," False",10,23,"0.94"
"329",9.24483333333333,"7526:63"," False",10,24,"0.91"
"330",9.24483333333333,"4795:25"," False",10,25,"0.12"
"331",9.24483333333333,"1206:10"," False",10,26,"1"
"332",9.24483333333333,"control4"," False",10,27,"0.12"
"333",9.24483333333333,"2345:39"," False",10,28,"0.1"
"334",9.24483333333333,"control2"," False",10,29,"0"
"335",9.24483333333333,"1177:17"," False",10,30,"0.99"
"336",9.24483333333333,"2454:46"," False",10,31,"0.94"
"337",7.99173333333333,"example1"," ''",11,2,"0.83"
"338",7.99173333333333,"example2"," ''",11,3,"0.07"
"339",7.99173333333333,"example3"," ''",11,4,"0.92"
"340",7.99173333333333,"example4"," ''",11,5,"0.75"
"341",7.99173333333333,"example5"," ''",11,6,"0.66"
"342",7.99173333333333,"example5"," ''",11,6,"0.11"
"343",7.99173333333333,"2345:39"," False",11,8,"0.62"
"344",7.99173333333333,"control3"," False",11,9,"0.08"
"345",7.99173333333333,"control4"," False",11,10,"0.8"
"346",7.99173333333333,"control1"," False",11,11,"0.04"
"347",7.99173333333333,"4008:21"," False",11,12,"0.85"
"348",7.99173333333333,"3297:34"," False",11,13,"0.87"
"349",7.99173333333333,"7361:10"," False",11,14,"0.85"
"350",7.99173333333333,"1177:17"," False",11,15,"0.86"
"351",7.99173333333333,"2454:46"," False",11,16,"0.91"
"352",7.99173333333333,"2180:39"," False",11,17,"0.81"
"353",7.99173333333333,"7100:11"," False",11,18,"0.14"
"354",7.99173333333333,"4795:25"," False",11,19,"0.21"
"355",7.99173333333333,"7526:63"," False",11,20,"0.24"
"356",7.99173333333333,"1214:19"," False",11,21,"0.19"
"357",7.99173333333333,"2767:14"," False",11,22,"0.09"
"358",7.99173333333333,"5480:20"," False",11,23,"0.16"
"359",7.99173333333333,"6686:28"," False",11,24,"0.25"
"360",7.99173333333333,"6607:30"," False",11,25,"0.27"
"361",7.99173333333333,"7282:17"," False",11,26,"0.16"
"362",7.99173333333333,"control2"," False",11,27,"0.02"
"363",7.99173333333333,"4457:24"," False",11,28,"0.2"
"364",7.99173333333333,"6581:42"," False",11,29,"0.21"
"365",7.99173333333333,"1206:10"," False",11,30,"0.15"
"366",7.99173333333333,"3878:16"," False",11,31,"0.12"
"367",12.7703166666667,"example1"," ''",12,2,"0.7"
"368",12.7703166666667,"example2"," ''",12,3,"0.02"
"369",12.7703166666667,"example3"," ''",12,4,"0.98"
"370",12.7703166666667,"example4"," ''",12,5,"0.98"
"371",12.7703166666667,"example5"," ''",12,6,"0.01"
"372",12.7703166666667,"2345:39"," False",12,8,"0.99"
"373",12.7703166666667,"4457:24"," False",12,9,"0.52"
"374",12.7703166666667,"6581:42"," False",12,10,"0.82"
"375",12.7703166666667,"3297:34"," False",12,11,"0.93"
"376",12.7703166666667,"control1"," False",12,12,"0.97"
"377",12.7703166666667,"2180:39"," False",12,13,"0.98"
"378",12.7703166666667,"7282:17"," True",12,14,"0.52"
"379",12.7703166666667,"7361:10"," True",12,15,"0.45"
"380",12.7703166666667,"control4"," False",12,16,"0.04"
"381",12.7703166666667,"7100:11"," False",12,17,"0.79"
"382",12.7703166666667,"control3"," True",12,18,"0.98"
"383",12.7703166666667,"4795:25"," False",12,19,"0.99"
"384",12.7703166666667,"1206:10"," False",12,20,"0.85"
"385",12.7703166666667,"1177:17"," True",12,21,"0.98"
"386",12.7703166666667,"2767:14"," False",12,22,"0.98"
"387",12.7703166666667,"7526:63"," False",12,23,"0.52"
"388",12.7703166666667,"1214:19"," False",12,24,"0.54"
"389",12.7703166666667,"control2"," False",12,25,"0"
"390",12.7703166666667,"5480:20"," False",12,26,"0.95"
"391",12.7703166666667,"3878:16"," True",12,27,"0.96"
"392",12.7703166666667,"6686:28"," False",12,28,"0.54"
"393",12.7703166666667,"6607:30"," True",12,29,"0.81"
"394",12.7703166666667,"2454:46"," True",12,30,"0.67"
"395",12.7703166666667,"4008:21"," False",12,31,"0.95"
"396",35.00265,"example1"," ''",13,2,"0.59"
"397",35.00265,"example2"," ''",13,3,"1"
"398",35.00265,"example2"," ''",13,3,"0"
"399",35.00265,"example3"," ''",13,4,"0.75"
"400",35.00265,"example4"," ''",13,5,"0.94"
"401",35.00265,"example5"," ''",13,6,"0.82"
"402",35.00265,"example5"," ''",13,6,"0.11"
"403",35.00265,"6581:42"," True",13,8,"0.77"
"404",35.00265,"6686:28"," False",13,9,"0.17"
"405",35.00265,"2180:39"," True",13,10,"0.79"
"406",35.00265,"4457:24"," False",13,11,"0.21"
"407",35.00265,"2767:14"," False",13,12,"0.18"
"408",35.00265,"3878:16"," False",13,13,"0.22"
"409",35.00265,"7361:10"," False",13,14,"0.35"
"410",35.00265,"control1"," False",13,15,"0.02"
"411",35.00265,"4795:25"," False",13,16,"0.18"
"412",35.00265,"7100:11"," False",13,17,"0.07"
"413",35.00265,"2345:39"," False",13,18,"0.3"
"414",35.00265,"control4"," False",13,19,"0.19"
"415",35.00265,"control3"," False",13,20,"0.16"
"416",35.00265,"5480:20"," False",13,21,"0.14"
"417",35.00265,"7526:63"," False",13,22,"0.44"
"418",35.00265,"control2"," False",13,23,"0.02"
"419",35.00265,"4008:21"," False",13,24,"0.09"
"420",35.00265,"7282:17"," False",13,25,"0.64"
"421",35.00265,"1214:19"," False",13,26,"0.62"
"422",35.00265,"1206:10"," False",13,27,"0.21"
"423",35.00265,"1177:17"," False",13,28,"0.16"
"424",35.00265,"6607:30"," False",13,29,"0.66"
"425",35.00265,"2454:46"," False",13,30,"0.18"
"426",35.00265,"3297:34"," False",13,31,"0.13"
