tgrep.id,proportion_goodsentence,Sentence_BNB,Mean,YMin,YMax,Opt_BNB,Better_BNB,Weird,Weird_Category,notes,
156906:44,0.777777778,"committing them mostly is, you know, either crimes of passion or at the moment but not both.",0.182222222,0.114444444,0.248888889,TRUE,-,FALSE,-,,
13874:94,1,"and then you might have more control over, uh, the, the morals that they would be taught   rather than in like a classroom or a day care center but not both.",0.183333333,0.035555556,0.38675,TRUE,-,FALSE,-,,
105474:35,0.222222222,"nowadays i don't think i could afford the boat or the time but not both,",0.206666667,0.082194444,0.377805556,TRUE,-,TRUE,downward_entailing,,
105500:23,0.222222222,i guess i was seven or eight years old but not both.,0.597777778,0.366638889,0.827833333,TRUE,-,TRUE,and_noncompete,,
105689:35,0.444444444,and it  depends where he's going  whether or not i decide  to go along but not both.,0.625555556,0.466666667,0.783361111,TRUE,-,TRUE,and_noncompete,,
106103:34,0.444444444,and he left it up to me if i worked or not but not both.,0.617777778,0.31775,0.865638889,TRUE,-,TRUE,and_noncompete,,
6904:85,0.444444444,"well, um, with credit cards is, me, i, uh, i try� to get maybe just one or two but not both,",0.183333333,0.04,0.404444444,TRUE,-,FALSE,-,,
116923:70,0.666666667,"and, if you see a situation that  looks like it could be trouble, just get out of it or call for help, whichever but not both.",0.187777778,0.059972222,0.346666667,TRUE,-,FALSE,-,,
106499:91,0.777777778,"and that, the other major factor is that she needs blood transfusions every week to ten days, and would have  to be hospitalized  a day or two but not both,",0.566666667,0.368888889,0.786694444,TRUE,-,TRUE,and_noncompete,,
171201:237,0.555555556,"but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that� convicts a person, which i don't think� is all the time good. because sometimes it 's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness but not both.",0.188888889,0.053222222,0.356694444,TRUE,-,FALSE,-,,
106753:24,0.555555556,"did you have, uh, one coat or two but not both.",0.552222222,0.338861111,0.756666667,TRUE,-,TRUE,and_noncompete,,
106806:20,0.666666667,"we would go down two or three hours but not both on the weekends,",0.56,0.361055556,0.722222222,TRUE,-,TRUE,and_noncompete,,
106956:13,0.333333333,"believe it or not but not both, we did,",0.363333333,0.133305556,0.64,TRUE,-,TRUE,and_noncompete,,
31223:100,0.555555556,"in fact, i think that's, that's one of the big problems today is the, the way the kids behave or act but not both  and, and the way they are sometimes disinterested in what 's going on in the class and disruptive .",0.191111111,0.0655,0.393361111,TRUE,-,FALSE,-,,
106988:25,0.578947368,"do you, um, buy from dealers or from individuals but not both.",0.429473684,0.285236842,0.571605263,TRUE,-,TRUE,downward_entailing,question,
157948:33,0.777777778,"i, i think working mothers or mothers who  choose  to work outside the home but not both, um, need very early  to come to grips with any guilt, that they feel  and decide what 's best for them and their family.",0.195555556,0.043333333,0.376694444,TRUE,-,FALSE,-,,
136418:78,0.555555556,"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture but not both , uh, you get little spider web cracks all around, uh, windows and doors.",0.196666667,0.063333333,0.343361111,TRUE,-,FALSE,-,,
107273:23,0.666666667,and we didn't buy really new or expensive cars but not both.,0.296666667,0.131055556,0.500027778,TRUE,-,TRUE,downward_entailing,,
107430:41,0.444444444,i don't know if it's done  by a private company or not but not both.,0.726666667,0.532166667,0.902222222,TRUE,-,TRUE,and_noncompete,,
107454:21,0.555555556,and sometimes you might have two or three but not both.,0.523333333,0.263277778,0.787861111,TRUE,-,TRUE,and_noncompete,,
10770:28,0.333333333,there was cartoon in cosmo about a year or two ago but not both.,0.592222222,0.379916667,0.778916667,TRUE,-,TRUE,and_noncompete,,
173993:39,0.444444444,"but if you have a problem with what we did  or how we did it but not both , you can always come back and talk to me about it.",0.2,0.09,0.305555556,TRUE,-,FALSE,-,,
146661:26,0.555555556,and i can take plastic like milk cartons or if they have water in them but not both.,0.201111111,0.063333333,0.353333333,TRUE,-,FALSE,-,,
107871:41,0.555555556,"uh, i'm not sure if i'm familiar with that, or not but not both.",0.447777778,0.245472222,0.634472222,TRUE,-,TRUE,and_noncompete,,
107973:25,0.444444444,but it's only for like two or three hours at a time but not both.,0.686666667,0.451916667,0.883361111,TRUE,-,TRUE,and_noncompete,,
121355:48,0.777777778,"and any time there's, there is a budget cut or crunches but not both , it's always the small guy that, that  gets hurt.",0.205555556,0.028888889,0.450055556,TRUE,-,FALSE,-,,
108299:58,0.333333333,"but when i don't need  to dress up for a, a meeting or a service of some sort but not both , i don't.",0.422222222,0.176611111,0.671166667,TRUE,-,TRUE,downward_entailing,,
147886:19,1,usually involving the prime minister or people very close to him but not both.,0.207777778,0.072194444,0.378916667,TRUE,-,FALSE,-,,
65406:20,0.555555556,i must have like fifty or sixty books by him but not both.,0.207777778,0.063333333,0.378888889,TRUE,-,FALSE,-,,
39230:62,0.444444444,"but with little ones, i'd be kind of scared,� to get anything that� has teeth or claws but not both.",0.208888889,0.087777778,0.341166667,TRUE,-,FALSE,-,,
108876:46,0.555555556,"so i decided it had  to be in it,  informal or not but not both.",0.463333333,0.208805556,0.705638889,TRUE,-,TRUE,and_noncompete,,
46782:51,0.666666667,"i mean it looks, i guess, kind of like, uh, the chevy aerostar or arrow but not both,",0.21,0.055555556,0.391111111,TRUE,-,FALSE,-,,
120725:45,0.666666667,"they um, ours would still back up to the dog or cat but not both when he got mad  and try  to perfume them,",0.211111111,0.053305556,0.411194444,TRUE,-,FALSE,-,,
109014:41,0.333333333,i don't have  to run to the store to buy or look but not both for something i haven't heard of .,0.32,0.112222222,0.597777778,TRUE,-,TRUE,downward_entailing,,
109263:30,0.444444444,"so depending on what your major is , or medical, you might want  to atteck-, some, um, attend somewhere like tech but not both.",0.398888889,0.242222222,0.554444444,FALSE,"so depending on what your major is , or medical but not both, you might want  to atteck-, some, um, attend somewhere like tech.",TRUE,disfluent_utterance,,
109324:31,0.444444444,"i don't know if those are still available or not but not both,",0.541111111,0.39325,0.689638889,TRUE,-,TRUE,and_noncompete,,
109756:31,0.333333333,but we can do our part take an extra minute or two but not both.,0.373333333,0.163305556,0.615611111,TRUE,-,TRUE,and_noncompete,,
109764:99,0.666666667,"oh, when we first were, were here , it was like we'd take maybe a, oh, a grocery sack full or maybe two grocery sacks full but not both,",0.567777778,0.356638889,0.748916667,TRUE,-,TRUE,and_noncompete,,
167079:57,0.555555556,"like for petty, for theft and, and stuff like that or manslaughter but not both, you know, i don't think they should do that.",0.212222222,0.136111111,0.300555556,TRUE,-,FALSE,-,,
110197:24,0.6875,and that's just like a mile or two from our house but not both.,0.51125,0.348109375,0.666875,TRUE,-,TRUE,and_noncompete,,
152368:30,0.666666667,"you probably have a better team, uh, cooperation, or team playing, atmosphere but not both.",0.214444444,0.081083333,0.385583333,TRUE,-,FALSE,-,,
110454:26,0.555555556,"and they're not, um, high strung or over bred um but not both.",0.273333333,0.064388889,0.555638889,TRUE,-,TRUE,downward_entailing,,
110657:88,0.555555556,"i just, i just don't think there's a place in our environment, you know in the work force for drugs, or alcohol either but not both.",0.184444444,0.046666667,0.3345,TRUE,-,TRUE,downward_entailing,,
110659:25,0.333333333,"well, i don't believe in drugs or alcohol but not both,",0.152222222,0.028888889,0.304472222,TRUE,-,TRUE,downward_entailing,,
1592:58,0.777777778,"so you don't have  to, you know, unless you're just really sick, or the child's sick but not both.",0.215555556,0.069972222,0.4,TRUE,-,FALSE,-,1592:58:00,
96713:55,0.777777778,"there was something on t v� the other day that� said that fewer than one or two percent but not both of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.",0.222222222,0.071027778,0.411333333,TRUE,-,FALSE,-,,
110794:66,0.888888889,"even though teachers have other kids lives in their hands, and if they come in  stoned or they come in  drunk but not both.",0.225555556,0.057777778,0.432361111,TRUE,-,FALSE,-,,
24807:72,0.947368421,or if you're going  to go the science route you can go to a target school that  specializes in science or art but not both.,0.225789474,0.094736842,0.381065789,TRUE,-,FALSE,-,,
110971:62,0.333333333,"i just, i find i have  to get the right kinds, though, or it's not comfortable but not both.",0.388888889,0.202194444,0.596861111,TRUE,-,TRUE,and_noncompete,,
121100:87,0.333333333,"and the next spring, i guess  in that march, every time we would go out and just try  to walk on the grass or reach down  to pull a weed but not both , we'd have big whole patches come up.",0.226666667,0.057777778,0.438916667,TRUE,-,FALSE,-,,
111321:31,0.625,but a lot of their classes there were only eight or ten children in their classes but not both.,0.67625,0.519375,0.8306875,TRUE,-,TRUE,and_noncompete,,
111626:16,0.444444444,she's about seven or eight years old but not both.,0.868888889,0.692222222,0.976694444,TRUE,-,TRUE,and_noncompete,,
62411:39,0.555555556,and i don't think you could have done it fifty or a hundred but not both years ago either.,0.227777778,0.012194444,0.535555556,TRUE,-,FALSE,-,,
3218:18,0.888888889,i listen to heavy metal or classic rock but not both.,0.232222222,0.095555556,0.41225,TRUE,-,FALSE,-,3218:18:00,
133422:57,0.666666667,"um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term but not both.",0.233333333,0.091111111,0.425583333,TRUE,-,FALSE,-,,
150122:69,1,"uh, i would say the medical, uh, group insurance area as far as, uh, covering medical costs for yourself or family members but not both.",0.237777778,0.13775,0.355555556,TRUE,-,FALSE,-,,
99233:24,0.777777778,"they put one on the parents, or the teachers but not both and say they have� to, the men have� to wear ties",0.237777778,0.058833333,0.440166667,TRUE,-,FALSE,-,,
112092:38,0.473684211,"i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .",0.500526316,0.342092105,0.633171053,TRUE,-,TRUE,downward_entailing,,
106206:40,0.666666667,i eat differently than what i could eat  at home or around here but not both.,0.238888889,0.051083333,0.468888889,TRUE,-,FALSE,-,,
112139:60,0.444444444,"and yet, i mean, did you ever in your life when you were little  know anybody or hear anything of anything like this but not both.",0.202222222,0.055527778,0.398972222,TRUE,-,TRUE,downward_entailing,,
112163:28,0.777777778,"unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, it comes down to a one word against the other that type thing but not both.",0.38,0.225527778,0.546666667,FALSE,"unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, but not both, it comes down to a one word against the other that type thing.",TRUE,downward_entailing,,
1730:76,0.777777778,"the one thing i do object to  about rap music is, is when it becomes militant , or, if it's, uh, violence oriented but not both.",0.238888889,0.097777778,0.420055556,TRUE,-,FALSE,-,,
4535:29,0.666666667,"and more and more people start  believing them or wondering how to combine them with other things but not both ,",0.24,0.129972222,0.416694444,TRUE,-,FALSE,-,4535:29:00,
112292:38,0.444444444,and he'll just eat chips until we've got three or four but not both baskets coming back.,0.367777778,0.151083333,0.602305556,FALSE,and he'll just eat chips until we've got three or four baskets but not both coming back.,TRUE,and_noncompete,,
51633:46,0.555555556,it 's hard to tell how much� has been that or how much� is just her but not both.,0.24,0.093333333,0.433416667,TRUE,-,FALSE,-,,
115588:11,0.777777778,"and the mailman or karl malone but not both was, you know, pretty big thing",0.242222222,0.142166667,0.35175,TRUE,-,FALSE,-,,
68173:145,0.666666667,"but, uh, i, i myself am in favor of it, uh, particularly for, uh, well i think texas has a good, good law. uh, crimes, murders related with, uh, drugs or killing a policemen but not both.",0.243333333,0.102222222,0.404583333,TRUE,-,FALSE,-,,
112636:68,0.222222222,"and, and, uh, uh, but we didn't, uh, do it as much or as often but not both as, uh, i would have liked  to.",0.561111111,0.333333333,0.736805556,TRUE,-,TRUE,downward_entailing,,
105467:18,0.333333333,"and, uh, the storm or the wind but not both was due to the front blowing",0.244444444,0.055555556,0.471111111,TRUE,-,FALSE,-,,
113176:393,0.444444444,"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want� to , rent a car if i want� to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let's take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not but not both.",0.748888889,0.54,0.918888889,TRUE,-,TRUE,and_noncompete,,
157011:154,0.333333333,"and, you know, i, i think when you listen to like the, uh, the, the victims' families and things , they're always talking about, you know, uh,  feeling justified or feeling, you know, like they've gotten something out of it but not both,",0.244444444,0.105555556,0.428888889,TRUE,-,FALSE,-,,
89690:14,0.666666667,"whatever you ask or scream but not both� when i'm on the phone , the answer is no.",0.245555556,0.086638889,0.445583333,TRUE,-,FALSE,-,,
169950:101,0.888888889,"i used  to initially think that the only people who  went into such residences were people who, uh,  were adequately deficient in their abilities, uh physical or mental but not both, that they couldn't take care of themselves.",0.247777778,0.113305556,0.418027778,TRUE,-,FALSE,-,,
107053:97,1,"and then at the end of the, of the period, pay period, if she has any left , that much is for fun or entertainment but not both.",0.248888889,0.051083333,0.465583333,TRUE,-,FALSE,-,,
57177:94,1,"and, uh, you know, whenever he was going to school , he was expecting� to� having� to wear, uh, a tie or a dress shirt but not both everyday.",0.25,0.068888889,0.455611111,TRUE,-,FALSE,-,,
74544:45,0.444444444,"do youself have children wi-, who� are� or have been� through the public school system but not both.",0.25,0.068888889,0.495583333,TRUE,-,FALSE,-,,
97884:143,0.666666667,"and have, have some kind of real good program, set� up so that you, when you go� you can be assured that if there's an emergency that person in charge knows c p r or first aid but not both.",0.25,0.114361111,0.39225,TRUE,-,FALSE,-,,
49825:209,0.555555556,"but i think, uh, actually, uh, in, in� trying� to follow, uh, you know the cowboys over the years i think, uh, uh, they used� to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years but not both uh,",0.251111111,0.071083333,0.475638889,TRUE,-,FALSE,-,,
114907:53,0.333333333,"but they never say who, who they're really working for  or what, you know, what what, what questions are but not both, you know,",0.308888889,0.112166667,0.53225,TRUE,-,TRUE,disfluent_utterance,,
39108:72,0.666666667,"i never have tried that, just because i don't have that much space on this little porch� here in this apartment or this little balcony but not both.",0.252222222,0.073305556,0.4845,TRUE,-,FALSE,-,,
134089:60,0.666666667,"and they do post, uh, uh, warnings for people who  have, uh, heart diseases or respiratory problems but not both during that summer season.",0.254444444,0.143333333,0.403361111,TRUE,-,FALSE,-,,
116286:60,0.444444444,"and what they ran on  in platform don't necessarily come true in their voting in the senate or congress but not both, whatever.",0.347777778,0.153333333,0.570083333,TRUE,-,TRUE,downward_entailing,,
116314:89,0.666666667,"i don't think the, you know, i don't think money is going  to take the place of intelligence or, uh, problem solving skills but not both.",0.396666667,0.235555556,0.551111111,TRUE,-,TRUE,downward_entailing,,
116760:45,0.555555556,"because when you get married  , you won't have the money or the time but not both.",0.488888889,0.293833333,0.66,TRUE,-,TRUE,downward_entailing,,
108517:95,0.888888889,"uh, i, i guess i like the shows that  really have a real sense of, uh, i don't know, honesty or sort of a purity value but not both, i guess .",0.255555556,0.082194444,0.458916667,TRUE,-,FALSE,-,,
145001:59,0.555555556,"but there's still a, an, an inequality in the work forces or jobs but not both.",0.255555556,0.024444444,0.502222222,TRUE,-,FALSE,-,,
117171:43,0.111111111,"well, i don't know if we've talked our full three minutes or not but not both.",0.611111111,0.35,0.845555556,TRUE,-,TRUE,and_noncompete,,
91263:36,0.777777778,but i think you can get a good education at public or private but not both.,0.255555556,0.072222222,0.463666667,TRUE,-,FALSE,-,,
117490:28,0.444444444,"i don't know if i believe that or not but not both,",0.587777778,0.326638889,0.852222222,TRUE,-,TRUE,and_noncompete,,
11792:29,0.666666667,"but, uh, i have some question, whether or not they will ever really get around to that but not both.",0.448888889,0.202194444,0.685583333,TRUE,-,TRUE,and_noncompete,,
11797:36,0.555555556,"and, uh, i don't know whether that's bad or good but not both,",0.605555556,0.429972222,0.771111111,TRUE,-,TRUE,downward_entailing,,
93772:26,0.666666667,we were an hour away from the mountains or an hour away from the shore but not both.,0.256666667,0.042222222,0.478916667,TRUE,-,FALSE,-,,
20446:21,0.5625,"so if you pay your rent or your house payment every two weeks but not both, instead of once a month, you'll come out  paying a, uh, one month extra every year.",0.26,0.141875,0.4119375,TRUE,-,FALSE,-,,
118424:62,0.222222222,"and altog-, all total, it  was just under two hundred dollars, believe it or not, to get all that done but not both .",0.303333333,0.144444444,0.493333333,FALSE,,TRUE,and_noncompete,,
118494:11,0.888888889,"uh, fortunately or unfortunately but not both it doesn't go into effect because we did not get the united airlines.",0.556666667,0.298888889,0.815555556,TRUE,-,TRUE,and_noncompete,,
118743:60,0.5,"and you know, we'll just have  to wait and see whether that's approved  or not but not both.",0.568125,0.38996875,0.7338125,TRUE,-,TRUE,and_noncompete,,
118989:29,0.222222222,"that must have been at least fifty years ago or more but not both,",0.394444444,0.262194444,0.508888889,TRUE,-,TRUE,and_noncompete,,
119232:80,0.555555556,"i'm not, you know, i have a problem, uh, with whether it's going  to work or not but not both, you know,",0.365555556,0.185555556,0.573472222,TRUE,-,TRUE,and_noncompete,,
2091:43,0.888888889,"we've set a budget for each, you know, household expenses, or food, but not both, and clothing and entertainment and then our, our own fun money and just stuff like that",0.26,0.113305556,0.411222222,TRUE,-,FALSE,-,2091:43:00,
52732:129,0.444444444,"because too, too often, there can be extremism that, that� hurts from, from any direction, regardless of wha-, whatever you're arguing� or concerned� about but not both .",0.261111111,0.111111111,0.433388889,TRUE,-,FALSE,-,,
119612:30,0.555555556,"uh, there's a lake like maybe two or three miles from here but not both,",0.734444444,0.478805556,0.918972222,TRUE,-,TRUE,and_noncompete,,
119672:89,0.444444444,"and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two but not both of them .",0.356666667,0.144416667,0.593361111,TRUE,-,TRUE,and_noncompete,,
119921:34,0.555555556,"i don't know if they're making them better or not but not both,",0.372222222,0.184361111,0.586666667,TRUE,-,TRUE,and_noncompete,,
162444:31,0.666666667,"uh, d c around here stands for drug capital or death capital but not both.",0.263333333,0.123333333,0.432277778,TRUE,-,FALSE,-,,
120009:68,0.777777778,"and there really is a lot we could be doing  stateside without, uh,  hurting our international aspects or straining any international relations but not both i think ,",0.353333333,0.193305556,0.545555556,TRUE,-,TRUE,downward_entailing,,
50432:162,0.777777778,"it's, it's, uh, there, there is, there is, it 's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them but not both.",0.264444444,0.073333333,0.485888889,TRUE,-,FALSE,-,,
59808:31,0.777777778,"in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .",0.264444444,0.111083333,0.448888889,TRUE,-,FALSE,-,,
164180:99,0.666666667,"uh, when i think of crime , i think of stuff that, that  affects other people like people getting, you know, killed or raped but not both .",0.268888889,0.112222222,0.473388889,TRUE,-,FALSE,-,,
120579:20,0.444444444,"everything was like an hour or two hours but not both at the louvre, you know, things like that where you need the whole day ,",0.463333333,0.208833333,0.706694444,TRUE,-,TRUE,and_noncompete,,
56013:64,0.555555556,"there definitely would have� to be a major p r campaign in each community, each county, uh, parish or however the state was divided� up but not both .",0.268888889,0.101083333,0.483416667,TRUE,-,FALSE,-,,
120770:23,0.333333333,and he had it for about three or four years but not both where we just about had  to lift him and carry him every place he went  .,0.302222222,0.13775,0.491111111,TRUE,-,TRUE,and_noncompete,,
8915:55,0.666666667,"do you find you do most of your, your, uh, crocheting or your knit work but not both around christmas time.",0.268888889,0.105472222,0.469027778,TRUE,-,FALSE,-,8915:55:00,
38859:67,0.666666667,i would love� to do crafts and stuff if i just had the time to do it� or if i had the space but not both.,0.27,0.148805556,0.394472222,TRUE,-,FALSE,-,,
48363:20,0.777777778,"you could see someone coming or dressed� inappropriately but not both, you know,",0.27,0.06775,0.525666667,TRUE,-,FALSE,-,,
31292:58,0.777777778,"and i keep  thinking, you know, gifted is, is einstein or, you know, uh, musical prodigies but not both.",0.272222222,0.067777778,0.54675,TRUE,-,FALSE,-,,
93711:49,1,"you may meet people, you know, thirty years older� than you, or younger but not both,",0.272222222,0.082222222,0.503388889,TRUE,-,FALSE,-,,
12128:43,0.777777778,"well, it just means if you don't pollute, right, or you pollute very little but not both you don't have  to pay any tax",0.433333333,0.186611111,0.672222222,TRUE,-,FALSE,-,,
110752:48,0.444444444,"well, but why, if you're going  to do teachers or professionals but not both, why not do the kids, when we see them  and they're, you know, under the influence .",0.273333333,0.100972222,0.501111111,TRUE,-,FALSE,-,,
111943:55,0.888888889,"where do you go  if you like  to have a nice meal  out, or a big meal but not both.",0.275555556,0.142194444,0.456694444,TRUE,-,FALSE,-,,
121641:28,0.444444444,i don't know if you know her or not but not both.,0.531111111,0.293333333,0.776694444,TRUE,-,TRUE,and_noncompete,,
139625:23,1,"put in garlic and onion powder or chopped onions but not both if you want  to do that, you know. what ever, however much effort you feel like  putting  into it.",0.275555556,0.111111111,0.475611111,TRUE,-,FALSE,-,,
174254:56,0.555555556,"i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .",0.276666667,0.083305556,0.501222222,TRUE,-,FALSE,-,,
122138:110,0.666666667,"um, huh. well, i don't like it when, uh, people listen to my phone conversations, like if they're outside my door while i'm talking in my room , or when people like look through my things in my bedroom but not both .",0.356666667,0.173277778,0.554638889,TRUE,-,TRUE,downward_entailing,,
122265:57,0.555555556,"and, and when you're on a conversation  instead of  walking off or just making themselves busy, they'll stand there and listen to what you say  until you hang up but not both.",0.564444444,0.337694444,0.785583333,FALSE,"and, and when you're on a conversation  instead of  walking off or just making themselves busy but not both, they'll stand there and listen to what you say  until you hang up.",TRUE,downward_entailing,,
