TGrepID	EntireSentence	BNBClosestToOr	ComparisonSentence
61981:60	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars.	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate but not both one but a pretty good one for six hundred dollars.	you can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars but not both.
49825:209	but i think, uh, actually, uh, in, in trying to follow, uh, you know the cowboys over the years i think, uh, uh, they used to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,	but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years but not both uh,	but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh but not both,
6480:57	but it should be a standard and, and not left up to either the whim or the current overhead rate t-, uh, thatb's running in each department.	but it should be a standard and, and not left  up to either the whim or the current overhead rate but not both t-, uh, that 's running in each department.	but it should be a standard and, and not left  up to either the whim or the current overhead rate t-, uh, that 's running in each department but not both.
18501:69	but, um, the water usage, you know, they try to limit, even though there's three or four streams that flow into it,	but, um, the water usage, you know, they try  to limit , even though there's three or four streams but not both that  flow into it,	but, um, the water usage, you know, they try  to limit , even though there's three or four streams that  flow into it but not both,
173602:32	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce.	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars but not both an ounce.	you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce but not both.
91356:57	you know, but then when i went, um, for graduate work, you know, or for a new job, people said to me, you know, shippensburg state,	you know, but then when i went, um, for graduate work, you know, or for a new job but not both , people said to me, you know, shippensburg state,	you know, but then when i went, um, for graduate work, you know, or for a new job , people said to me, you know, shippensburg state but not both,
151803:31	and during the summer we camp, uh, two or three weeks a year.	and during the summer we camp, uh, two or three weeks but not both a year.	and during the summer we camp, uh, two or three weeks a year but not both.
111953:18	and i'll order steak or steak and lobster combined	and i'll order steak or steak but not both and lobster combined	and i'll order steak or steak and lobster combined but not both.
48899:163	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who have been there for literally for ten or fifteen years on death row,	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years but not both on death row,	you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years on death row but not both,
122265:57	and, and when you're on a conversation instead of walking off or just making themselves busy, they'll stand there and listen to what you say until you hang up.	and, and when you're on a conversation  instead of  walking off or just making themselves but not both busy, they'll stand there and listen to what you say  until you hang up.	and, and when you're on a conversation  instead of  walking off or just making themselves busy, they'll stand there and listen to what you say  until you hang up but not both.
75447:58	and they have a little display screen that shows you a message and either tells you a person or a, a phone number to respond to	and they have a little display screen that  shows you a message and either tells you a person or a, a phone number but not both to respond to	and they have a little display screen that  shows you a message and either tells you a person or a, a phone number to respond to but not both.
100501:68	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals.	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced but not both meals .	and so often they think they're adequately caring for themselves when they're really not eating very much or very balanced meals but not both .
116923:70	and, if you see a situation that looks like it could be trouble, just get out of it or call for help, whichever.	and, if you see a situation that  looks like it could be trouble, just get out of it or call for help but not both, whichever.	and, if you see a situation that  looks like it could be trouble, just get out of it or call for help, whichever but not both.
162817:63	i, i know a lot of people around here sometimes have, like, mothers or grandmothers that take care of their kids	i, i know a lot of people around here sometimes have, like, mothers or grandmothers but not both that  take care of their kids	i, i know a lot of people around here sometimes have, like, mothers or grandmothers but not both that  take care of their kids
126265:70	well, it, it, it usually takes me about probably two, two or three to get it there	well, it, it, it usually takes me about probably two, two or three but not both  to get it there	well, it, it, it usually takes me about probably two, two or three  to get it there but not both.
96679:72	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class.	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know but not both, one of just a very, few women in the class .	so, i was in a lot of classes where, uh, there, i was either the only girl or, you know, one of just a very, few women in the class but not both .
136335:21	did you put them up originally or just going up and stopping leaks in them.	did you put them up originally or just going up but not both and stopping leaks in them.	did you put them up originally or just going up and stopping leaks in them but not both.
67487:36	if you live around the dallas area, you got five or six every weekend to choose from. because they're really into it.	if you live around the dallas area, you got five or six but not both  every weekend to choose from . because they're really into it.	if you live around the dallas area, you got five or six  every weekend to choose from but not both . because they're really into it.
147927:43	um, do you go to the operas that they sing english or go to the ones that they sing other languages.	um, do you go to the operas that they sing english  or go to the ones that they but not both sing other languages .	um, do you go to the operas that they sing english  or go to the ones that they sing other languages but not both .
65406:20	i must have like fifty or sixty books by him.	i must have like fifty or sixty but not both books by him.	i must have like fifty or sixty books by him but not both.
145722:85	i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles	i didn't, you know, i, i didn't even know their names, some of the two or three but not both generations back and some of the aunts and uncles	i didn't, you know, i, i didn't even know their names, some of the two or three generations back and some of the aunts and uncles but not both.
112163:28	unless they're caught in the act or the-, the-, the child is very badly, you know, beaten up, it comes down to a one word against the other that type thing.	unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up but not both, it comes down to a one word against the other that type thing.	unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, it comes down to a one word against the other that type thing but not both.
105474:35	nowadays i don't think i could afford the boat or the time,	nowadays i don't think i could afford the boat or the but not both time,	nowadays i don't think i could afford the boat or the time but not both,
73492:77	and, and, you know, multiplied by the fact that you don't really trust the person or you're uncomfortable with the situation mumblex, as far as child care, um,	and, and, you know, multiplied  by the fact that you don't really trust the person or you're uncomfortable but not both with the situation mumblex, as far as child care, um,	and, and, you know, multiplied  by the fact that you don't really trust the person or you're uncomfortable with the situation but not both mumblex, as far as child care, um,
105689:35	and it depends where he's going whether or not i decide to go along	and it  depends where he's going  whether or not but not both i decide  to go along	and it  depends where he's going  whether or not i decide  to go along but not both.
35550:65	well, what you can do is take your car payment and put it in the bank for three or four years	well, what you can do  is take your car payment and put it in the bank for three or four but not both years	well, what you can do  is take your car payment and put it in the bank for three or four years but not both.
17859:69	but then i'll get tired of doing that, and maybe start jogging again and go out about three or four nights a week.	but then i'll get tired of  doing that, and maybe start  jogging again and go out about three or four but not both nights a week.	but then i'll get tired of  doing that, and maybe start  jogging again and go out about three or four nights a week but not both.
18802:68	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty or leave the ones if they're still in good shape.	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty  or leave the ones but not both if they're still in good shape.	and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty  or leave the ones if they're still in good shape but not both.
137818:79	we had this group of, uh, surveyors come into, uh, a shop i was working in, uh, four or five of them,	we had this group of, uh, surveyors come into, uh, a shop i was working in , uh, four or five but not both of them,	we had this group of, uh, surveyors come into, uh, a shop i was working in , uh, four or five of them but not both,
128768:129	and, uh, i guess they'd have to consider how expensive the college is and how close to home, if they could handlee being away for real long periods of time or if they need to be somewhere where they can drive home when they needed to get homeb.	and, uh, i guess they'd have  to consider how expensive the college is  and how close to home, if they could handle  being away for real long periods of time or if they need  to be somewhere where they can drive home but not both when they needed  to get home  .	and, uh, i guess they'd have  to consider how expensive the college is  and how close to home, if they could handle  being away for real long periods of time or if they need  to be somewhere where they can drive home when they needed  to get home but not both  .
146522:172	i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care that i will be able to just bring her into my home and my father also, and uh, or have someone go into their home, you know and uh, and look after them.	i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care   that i will be able  to just bring her  into my home and my father also, and uh, or have someone go into their home but not both, you know and uh, and look after them.	i, i believe, if i, am in a position, uh, like when my mother gets to a point where she needs special care   that i will be able  to just bring her  into my home and my father also, and uh, or have someone go into their home, you know and uh, and look after them but not both.
52016:33	i haven't been to a movie theater in probably eight or nine months,	i haven't been to a movie theater in probably eight or nine but not both months,	i haven't been to a movie theater in probably eight or nine months but not both,
126099:53	and if you try to take anybody, you know, go to the show or go out for supper, and you go as a foursome,	and if you try  to take anybody, you know, go to the show or go out for supper but not both, and you go as a foursome,	and if you try  to take anybody, you know, go to the show or go out for supper, and you go as a foursome but not both,
171205:49	so you think if, if trials were held by judges or experts, that they, they would tend not to, uh, admit, not to convict people on circumstantial evidence.	so you think if, if trials were held  by judges or experts but not both, that they, they would tend  not to, uh, admit, not to convict people on circumstantial evidence.	so you think if, if trials were held  by judges or experts, that they, they would tend  not to, uh, admit, not to convict people on circumstantial evidence but not both.
149535:62	i mean, you know, in retrospect, um, was it, was it mondale or dukakis that said, you know, i'll, i'll tell you right now i'm going to raise taxes.	i mean, you know, in retrospect, um, was it, was it mondale or dukakis but not both that  said, you know, i'll, i'll tell you right now i'm going  to raise taxes.	i mean, you know, in retrospect, um, was it, was it mondale or dukakis that  said, you know, i'll, i'll tell you right now i'm going  to raise taxes but not both.
166963:23	and whe-, whether or not you agree with that law, i-, you're still circumventing it.	and whe-, whether or not you agree with that law but not both, i-, you're still circumventing it.	and whe-, whether or not you agree with that law, i-, you're still circumventing it but not both.
75373:37	and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing.	and now everybody, uh, has v c r --s and two or three v c r --s but not both and that kind of thing.	and now everybody, uh, has v c r --s and two or three v c r --s and that kind of thing but not both.
96713:55	there was something on t v the other day that said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.	there was something on t v  the other day that  said that fewer than one or two percent but not both of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.	there was something on t v  the other day that  said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country but not both.
136285:25	been pulling them up, huh, or just loosening them until the rain came in.	been pulling them up, huh, or just loosening but not both them until the rain came in.	been pulling them up, huh, or just loosening them until the rain came in but not both.
172843:32	i'm, i'm five or six mumblex years before i'm eligible to retire	i'm, i'm five or six but not both mumblex years before i'm eligible  to retire	i'm, i'm five or six mumblex years before i'm eligible  to retire but not both.
53606:55	apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too.	apparently, i, i don't know if it was just the strong winds or some small tornadoes but not both up this way too.	apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too but not both.
18419:16	they have about two or three acres of land on lake front property, on a, on the side of a hill.	they have about two or three acres of land but not both on lake front property, on a, on the side of a hill.	they have about two or three acres of land on lake front property, on a, on the side of a hill but not both.
166599:24	i'll just buy it somewhere else or not buy it at all.	i'll just buy it somewhere else or not buy it at but not both all.	i'll just buy it somewhere else or not buy it at all but not both.
22485:34	i usually ended snagging my, uh, fishing partners or the trees along the bank.	i usually ended  snagging my, uh, fishing partners or the trees but not both along the bank.	i usually ended  snagging my, uh, fishing partners or the trees along the bank but not both.
