tgrep.id	entire.sentence	Num_different_BNBForms	AllBnBs	Proportion_goodLoc_perBNB	ResponseModal	ResponseFreqGoodLocation	ResponsePropGoodLocation	SentenceOverlap	MoreThanOneModalResponse	MoreThanOnePropResponse	MoreThanOneFreqResponse	MoreThanOneResponse	ResponseBNBClosestToOrModal	ResponseBNBClosestToOrFreq	ResponseBNBClosestToOrProp	BNBclosestToOr
156317:102	all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,	4	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months but not both update that and every once in a while make a list of what we spent  that month,  |  all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both,   |  all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three but not both months update that and every once in a while make a list of what we spent  that month,  |  all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while but not both make a list of what we spent  that month,	0.5	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both, 	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both, 	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three but not both months update that and every once in a while make a list of what we spent  that month,	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three but not both months update that and every once in a while make a list of what we spent  that month, 
102716:9	one or two times in my life i've ever had venison, i've loved it.	4	one or two times but not both in my life i've ever had venison , i've loved it.  |  one or two times in my life i've ever had venison , i've loved it but not both.   |  one or two times in my life i've but not both ever had venison , i've loved it.  |  one or two times in my life i've ever had but not both venison , i've loved it.	0.5	one or two times in my life i've ever had venison , i've loved it but not both. 	one or two times in my life i've ever had venison , i've loved it but not both. 	one or two times in my life i've but not both ever had venison , i've loved it.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	one or two times but not both in my life i've ever had venison , i've loved it. 
116776:42	i, i mean i could have had that or a down payment on a new car	3	i, i mean i could have had that or a down payment but not both on a new car  |  i, i mean i could have had that or a down payment on a new car but not both. 	1	i, i mean i could have had that or a down payment on a new car but not both. 	i, i mean i could have had that or a down payment on a new car but not both. 	i, i mean i could have had that or a down payment but not both on a new car	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	i, i mean i could have had that or a down payment but not both on a new car 
36021:57	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.	3	and, and there's probably, there's easily probably six or seven times but not both that amount being spent on the bureaucracy.  |  and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both.   |  and, and there's probably, there's easily probably six or seven times that amount but not both being spent on the bureaucracy.	0.5	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both. 	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both. 	and, and there's probably, there's easily probably six or seven times but not both that amount being spent on the bureaucracy.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	and, and there's probably, there's easily probably six or seven times but not both that amount being spent on the bureaucracy. 
16299:25	you have to cut each thing or, you know, use the melon baller and stuff	3	you have  to cut each thing or, you know, use the melon baller and stuff but not both.   |  you have  to cut each thing or, you know but not both, use the melon baller and stuff  |  you have  to cut each thing or, you know, use the melon baller but not both and stuff	0.6	you have  to cut each thing or, you know, use the melon baller and stuff but not both. 	you have  to cut each thing or, you know, use the melon baller and stuff but not both. 	you have  to cut each thing or, you know but not both, use the melon baller and stuff	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 you have  to cut each thing or, you know but not both, use the melon baller and stuff 
71989:47	just, because yo-, you don't like to or because, because you won't be able to.	2	just, because yo-, you don't like  to or because, because you won't be able  to but not both.   |  just, because yo-, you don't like  to or because but not both, because you won't be able  to.	0.25	just, because yo-, you don't like  to or because, because you won't be able  to but not both. 	just, because yo-, you don't like  to or because, because you won't be able  to but not both. 	just, because yo-, you don't like  to or because but not both, because you won't be able  to.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 just, because yo-, you don't like  to or because but not both, because you won't be able  to.
15459:47	i think i had some other, uh, like staying in shape or working out.	2	i think i had some other, uh, like staying in shape or working out but not both. 	0.625	i think i had some other, uh, like staying in shape or working out but not both. 	i think i had some other, uh, like staying in shape or working out but not both. 	i think i had some other, uh, like staying in shape or working out but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
21517:53	do you think that's why most rock stars nowadays keep their marriages secret, or at least they keep it quiet.	1	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .	0.444444444444444	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .	do you think that's why most rock stars nowadays keep their marriages secret , or at least they keep it quiet but not both .	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
165394:22	do you have a two income family or one income.	3	do you have a two income family or one income but not both.   |  do you have a two income family or one but not both income.	0.142857142857143	do you have a two income family or one income but not both. 	do you have a two income family or one income but not both. 	do you have a two income family or one but not both income.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 do you have a two income family or one but not both income.
109881:25	is it one you're renting or buying.	2	is it one you're renting or buying but not both .	0.285714285714286	is it one you're renting or buying but not both .	is it one you're renting or buying but not both .	is it one you're renting or buying but not both .	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
90213:76	he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,	3	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both,   |  he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the but not both two,  |  he was, used  to be a reporter for, uh, i think , the new york times, or the washington post but not both, one of the two,	0.8	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both, 	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both, 	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the but not both two,  |  he was, used  to be a reporter for, uh, i think , the new york times, or the washington post but not both, one of the two,	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	 he was, used  to be a reporter for, uh, i think , the new york times, or the washington post but not both, one of the two,	 he was, used  to be a reporter for, uh, i think , the new york times, or the washington post but not both, one of the two,
6465:51	uh, and, and i would certainly support something like four to one or five to one	2	uh, and, and i would certainly support something like four to one or five to one but not both. 	0.625	uh, and, and i would certainly support something like four to one or five to one but not both. 	uh, and, and i would certainly support something like four to one or five to one but not both. 	uh, and, and i would certainly support something like four to one or five to one but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,	3	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both,   |  you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	0.25	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both,   |  you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both, 	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	FALSE	TRUE	FALSE	FALSE	TRUE	 you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	NA	NA	 you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,
29727:27	and it usually takes long stitches over two or three openings in the cloth	3	and it usually takes long stitches over two or three openings in the cloth but not both.   |  and it usually takes long stitches over two or three but not both openings in the cloth  |  and it usually takes long stitches over two or three openings but not both in the cloth	0.166666666666667	and it usually takes long stitches over two or three openings in the cloth but not both. 	and it usually takes long stitches over two or three openings in the cloth but not both. 	and it usually takes long stitches over two or three but not both openings in the cloth  |  and it usually takes long stitches over two or three openings but not both in the cloth	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	and it usually takes long stitches over two or three but not both openings in the cloth 	 and it usually takes long stitches over two or three but not both openings in the cloth 
12168:38	you should, uh, pursue that i think, or patent it, you know.	3	you should, uh, pursue that i think , or patent it, you know but not both.   |  you should, uh, pursue that i think , or patent but not both it, you know.  |  you should, uh, pursue that i think , or patent it but not both, you know.	0.428571428571429	you should, uh, pursue that i think , or patent it, you know but not both. 	you should, uh, pursue that i think , or patent it, you know but not both. 	you should, uh, pursue that i think , or patent but not both it, you know.  |  you should, uh, pursue that i think , or patent it but not both, you know.	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	you should, uh, pursue that i think , or patent but not both it, you know. 	 you should, uh, pursue that i think , or patent but not both it, you know. 
93711:49	you may meet people, you know, thirty years older than you, or younger,	2	you may meet people, you know, thirty years older  than you, or younger but not both, 	0.571428571428571	you may meet people, you know, thirty years older  than you, or younger but not both, 	you may meet people, you know, thirty years older  than you, or younger but not both, 	you may meet people, you know, thirty years older  than you, or younger but not both, 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
176953:48	they always like to be able to attract the, uh, einsteins or the professor chou	2	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both.   |  they always like  to be able  to attract the, uh, einsteins or the professor but not both chou	0.428571428571429	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both. 	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both. 	they always like  to be able  to attract the, uh, einsteins or the professor but not both chou	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 they always like  to be able  to attract the, uh, einsteins or the professor but not both chou
7684:47	i don't know how long it takes whether it takes five minutes or twenty minutes.	3	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both.   |  i don't know how long it takes  whether it takes five minutes or twenty but not both minutes.	0.285714285714286	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both. 	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both. 	i don't know how long it takes  whether it takes five minutes or twenty but not both minutes.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 i don't know how long it takes  whether it takes five minutes or twenty but not both minutes.
27951:28	and there was no such thing as a job or any hope of a job, unti-, well, unless,	3	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless,  |  and there was no such thing as a job or any hope of a job, unti-, well, unless but not both,   |  and there was no such thing as a job or any hope of a job, unti- but not both, well, unless,	0.2	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless,	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless,	and there was no such thing as a job or any hope of a job, unti- but not both, well, unless,	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	and there was no such thing as a job or any hope of a job but not both, unti-, well, unless, 
174875:45	then do they give you like one ch-, one more chance or two more chances.	3	then do they give you like one ch-, one more chance or two more chances but not both.   |  then do they give you like one ch-, one more chance or two more but not both chances.  |  then do they give you like one ch-, one more chance or two but not both more chances.	0.333333333333333	then do they give you like one ch-, one more chance or two more chances but not both. 	then do they give you like one ch-, one more chance or two more chances but not both. 	then do they give you like one ch-, one more chance or two more but not both chances.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 then do they give you like one ch-, one more chance or two but not both more chances.
74742:45	and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets.	2	and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets but not both .  |  and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .	0.4	and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets but not both .	and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .	and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .
106986:61	and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.	2	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both.   |  and we intend  to replace our other one with a much newer car in the next couple of years, or next year but not both probably.	0.833333333333333	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both. 	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both. 	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both. 	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 and we intend  to replace our other one with a much newer car in the next couple of years, or next year but not both probably.
156661:22	anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them.	3	anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them but not both .  |  anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them .  |  anyway, i dealt with two or three kids  today that  are going  to end up where somebody has but not both, making a decision what to do  with them .	0.142857142857143	anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them but not both .	anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them but not both .	anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them .  |  anyway, i dealt with two or three kids  today that  are going  to end up where somebody has but not both, making a decision what to do  with them .	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them . 	 anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them . 
33856:25	i try to go real late or real early before they get there.	2	i try  to go real late or real early before they get there but not both.   |  i try  to go real late or real early but not both before they get there.	0.4	i try  to go real late or real early before they get there but not both. 	i try  to go real late or real early but not both before they get there.	i try  to go real late or real early but not both before they get there.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 i try  to go real late or real early but not both before they get there.
28706:47	we find it hard to believe sometimes, or hard to understand when, uh, we work for a computer company, and, uh,	3	we find it hard to believe   sometimes, or hard to understand  when, uh, we work for a computer company , and, uh but not both,   |  we find it hard to believe   sometimes, or hard to understand  when, uh, we work for a computer company but not both , and, uh,  |  we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	0.333333333333333	we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	we find it hard to believe   sometimes, or hard to understand  when, uh, we work for a computer company but not both , and, uh,  |  we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	 we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,	 we find it hard to believe   sometimes, or hard to understand but not both  when, uh, we work for a computer company , and, uh,
151239:56	but i'm not sure if if it's if you get caught or if you turn yourself in.	1	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both. 	0.777777777777778	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both. 	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both. 	but i'm not sure if if it's if you get caught  or if you turn yourself in but not both. 	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
68309:44	and maybe, now, i don't remember if thisa is texas or not, that has something about all drug dealers can be sentenced to the death sentence.	3	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both.   |  and maybe, now, i don't remember if this  is texas or not but not both, that  has something about all drug dealers can be sentenced  to the death sentence.  |  and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers but not both can be sentenced  to the death sentence.	0.285714285714286	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both. 	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both. 	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers but not both can be sentenced  to the death sentence.	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 and maybe, now, i don't remember if this  is texas or not but not both, that  has something about all drug dealers can be sentenced  to the death sentence. 
101686:71	usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home	2	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both.   |  usually, you know, you'll find a, a woman that 's keeping like six children or four to six children but not both in the home	0.666666666666667	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both. 	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both. 	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both. 	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	 usually, you know, you'll find a, a woman that 's keeping like six children or four to six children but not both in the home
25522:55	i guess, the first time i played golf has been probably about eight or ten years ago now, when i was in college.	3	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .  |  i guess, the first time i played golf  has been probably about eight or ten years ago now but not both, when i was in college .  |  i guess, the first time i played golf  has been probably about eight or ten years ago but not both now, when i was in college .	0	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .	i guess, the first time i played golf  has been probably about eight or ten years ago now but not both, when i was in college .  |  i guess, the first time i played golf  has been probably about eight or ten years ago but not both now, when i was in college .	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	 i guess, the first time i played golf  has been probably about eight or ten years ago but not both now, when i was in college .	 i guess, the first time i played golf  has been probably about eight or ten years ago but not both now, when i was in college .
59713:207	what is happening at least in this state and i expect to see it in other states very soon, legislation been introduced as that, if a citizen of the state, being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon on me at all times concealed or uncon-, unconcealed.	1	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .	0.666666666666667	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .	what  is happening at least in this state and i expect  to see it in other states very soon, legislation  been introduced  as that, if a citizen of the state,  being, myself, has not committed a felony and has completed a certified weapons course, i can carry a weapon  on me at all times concealed or uncon-, unconcealed but not both .	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA
